Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,453335.56009191275,90134203829.497101,27355334026.421421,3818896926.2664614,22890985068.468929,3926484693.1753206
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,5.7934002876281738,1313040.8525466919,143082.51440525055,-42926.177382469177,145154.17814254761,-33638.875931501389
3,Vegetable and melon farming,71.109642028808594,7208977.222442627,2108320.2362060547,-1206276.2975692749,466297.92451858521,1314.8835860192776
4,Fruit farming,4.7314562797546387,350245.08833885193,98381.876945495605,-81112.019717693329,31754.259020090103,81.757338193710893
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",198.17684936523438,17618810.653686523,8301616.6687011719,-1438120.96118927,904882.49063491821,1621.2367918342352
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,292.74395751953125,7065038.2041931152,3346912.145614624,-884877.26449966431,377097.21922874451,-181796.62525653839
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",31.755054473876953,3987999.6776580811,91650.612652301788,-364159.31582450867,321033.86521339417,58019.131422042847
12,Dairy cattle and milk production,1.513938307762146,615999.99666213989,41999.582201242447,-34073.151648044586,16884.313896298409,7367.4195446074009
13,Poultry and egg production,2.0982861518859863,1051240.086555481,92902.630567550659,-20876.001566648483,11619.358323514462,2673.2154656201601
14,"Animal production, except cattle and poultry and eggs",456.48287963867188,45865840.911865234,7554418.0870056152,-4658360.481262207,8288982.3913574219,1106688.4994506836
15,"Forestry, forest products, and timber tract production",67.164810180664062,7993506.4315795898,5975093.8415527344,590086.63892745972,26328.181847929955,91777.54819393158
16,Commercial logging,422.19998168945312,48920673.370361328,22324708.938598633,13204252.243041992,-2680804.0142059326,1926663.0411148071
17,Commercial fishing,8582.16796875,1566528808.59375,28134481.430053711,243193969.7265625,250804718.01757813,178657455.44433594
18,Commercial hunting and trapping,305.15789794921875,47140361.785888672,6793.5683764517307,38142116.546630859,-50664.927810430527,5169998.6457824707
19,Support activities for agriculture and forestry,380.9102783203125,8853954.3151855469,12210072.51739502,-1786436.7961883545,-5250391.0064697266,810639.44101333618
20,Oil and gas extraction,3226.56005859375,5771230957.03125,736716125.48828125,93970306.396484375,3422960937.5,784036743.1640625
21,Coal mining,124.60211181640625,54628257.751464844,9388050.0793457031,-413508.50462913513,21749252.319335938,1080120.2058792114
22,"Copper, nickel, lead, and zinc mining",621.69012451171875,1308395507.8125,71984558.10546875,-1011643.0521011353,897219116.2109375,23585165.023803711
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,3440.08251953125,1334511596.6796875,228935684.20410156,-4195557.5942993164,350032379.15039062,33001525.87890625
25,Silver ore mining,455.50900268554688,267782257.08007813,60804458.618164062,-598866.22428894043,105551902.77099609,5830536.3655090332
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,163.93937683105469,30324388.50402832,2769148.3497619629,-1939338.5648727417,9195873.2604980469,755771.51775360107
29,Sand and gravel mining,585.31976318359375,62096027.374267578,9244750.0228881836,-6805838.5848999023,8741720.1995849609,2274475.09765625
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,151.49655151367188,20880249.0234375,4643265.2473449707,-1679503.6792755127,4708284.3780517578,624910.95066070557
35,Drilling oil and gas wells,813.67242431640625,619413146.97265625,128684204.1015625,10384987.831115723,230600662.23144531,63696300.506591797
36,Support activities for oil and gas operations,5586.87255859375,2131236572.265625,701337036.1328125,31777254.104614258,339308044.43359375,123579589.84375
37,Metal mining services,443.26434326171875,655756835.9375,91429130.554199219,10292368.888854981,370616516.11328125,84615196.228027344
38,Other nonmetallic minerals services,485.34942626953125,667827331.54296875,94328025.817871094,11233969.688415527,369937591.55273438,85362205.505371094
39,Electric power generation - Hydroelectric,245.07980346679688,127775314.33105469,28936618.804931641,0,37642032.623291016,4109897.1366882324
40,Electric power generation - Fossil fuel,481.56475830078125,554681030.2734375,46708297.729492188,-321207.55314826965,83295280.456542969,25033430.099487305
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,53.370639801025391,36951419.830322266,899695.45602798462,-160174.10159111023,4479353.4278869629,2189682.0068359375
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,43.576976776123047,15475552.558898926,1524012.0887756348,-140965.59584140778,2344060.4209899902,571696.28143310547
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,1027.641357421875,1234602050.78125,143012786.86523438,-158969.73013877869,238916976.92871094,47216392.517089844
48,Natural gas distribution,306.70648193359375,245826904.296875,44588363.647460938,-10943.911969661713,67750961.303710938,6906458.3778381348
