Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2681252.847376585,476731520319.99823,123844842230.73442,14542234381.166372,76781594494.229767,15001849628.962162
1,Oilseed farming,335.81109619140625,124689918.51806641,101716.62271022797,174368484.49707031,-42834804.534912109,-13132855.415344238
2,Grain farming,1123.5560302734375,205401962.28027344,4763883.5906982422,121253974.91455078,60006988.525390625,-18510765.075683594
3,Vegetable and melon farming,541.27752685546875,57418273.92578125,3574054.9564361572,15244220.733642578,9814899.4445800781,-2378.5275407135487
4,Fruit farming,137.70008850097656,9957030.2963256836,595279.69360351562,3107263.8034820557,2385644.1974639893,-300.1999284606427
5,Tree nut farming,65.505508422851562,2618967.2946929932,531595.05128860474,655387.9976272583,91436.386108398438,80.639285442885011
6,"Greenhouse, nursery, and floriculture production",2704.40087890625,316659637.45117188,31756090.16418457,77450569.152832031,42978794.097900391,-18280.128017067909
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,2600.234130859375,336723999.0234375,36358570.098876953,93592903.137207031,60591987.609863281,-4942920.2079772949
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19560.0234375,323243682.86132812,32591777.801513672,89997611.999511719,45594745.635986328,-34424602.508544922
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6850.18408203125,526461975.09765625,2575108.2897186279,230795623.77929688,111997581.48193359,-6595037.4603271484
12,Dairy cattle and milk production,30.55668830871582,12118000.030517578,175850.43609142304,1931281.0897827148,877767.68207550049,-41373.405605554581
13,Poultry and egg production,8374.1103515625,3861229492.1875,72627296.447753906,152822906.49414063,112785110.47363281,-6449648.8571166992
14,"Animal production, except cattle and poultry and eggs",2362.44921875,175343063.35449219,6067166.805267334,201832336.42578125,-39424453.735351562,-1514883.5182189941
15,"Forestry, forest products, and timber tract production",915.4383544921875,53810886.383056641,29189043.045043945,4870751.8577575684,1010460.7343673706,882680.95254898071
16,Commercial logging,6653.34912109375,474034240.72265625,212653060.91308594,30907842.636108398,615104.13885116577,6937079.4296264648
17,Commercial fishing,1196.4979248046875,82927001.953125,2430469.5129394531,-1094935.1787567139,41949611.663818359,5084999.5613098145
18,Commercial hunting and trapping,330.9669189453125,11046717.643737793,611122.36976623535,-29649.928212165833,3867814.5408630371,1144498.2290267944
19,Support activities for agriculture and forestry,6999.310546875,418240020.75195312,216612884.52148438,146467437.74414063,-1131318.0923461914,3552857.1605682373
20,Oil and gas extraction,3775.264404296875,1092802856.4453125,48882122.039794922,3009767.7707672119,122270195.00732422,60348247.528076172
21,Coal mining,3012.221923828125,1959258666.9921875,334308105.46875,-16633480.072021484,1031385131.8359375,58426574.70703125
22,"Copper, nickel, lead, and zinc mining",28.441835403442383,28652570.724487305,703373.55136871338,-644079.32758331299,11674821.853637695,2433412.5518798828
23,Iron ore mining,26.619329452514648,7479092.1211242676,710503.04174423218,-762168.64585876465,701717.91315078735,489543.13993453979
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,15.100432395935059,4585267.5437927246,1413013.5774612427,-794971.64487838745,1917748.6896514893,139025.88188648224
27,Other metal ore mining,215.90193176269531,60919063.568115234,6012955.6655883789,-3283984.1842651367,13692350.387573242,3182106.7333221436
28,Stone mining and quarrying,1231.25927734375,677400878.90625,97085670.471191406,-8433319.091796875,429345550.53710938,12626664.161682129
