Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1653304.687356472,275579291775.6438,70290926338.074738,8406551865.3383026,41459843837.143387,10293360650.062794
1,Oilseed farming,4165.97119140625,1486570678.7109375,2167482.6145172119,850012084.9609375,88682876.586914062,-51072845.458984375
2,Grain farming,10183.1640625,1621008911.1328125,66505584.716796875,387245513.91601562,62429458.618164062,-52536010.7421875
3,Vegetable and melon farming,527.3580322265625,43357513.427734375,4774101.2573242188,4658317.0890808105,977028.0122756958,10782.280936837196
4,Fruit farming,114.23176574707031,6612733.3641052246,699340.1050567627,835100.76999664307,208864.09282684326,2182.6946176588535
5,Tree nut farming,464.63821411132812,13402335.166931152,4812242.5079345703,1357245.683670044,61684.545129537582,7227.7700528502464
6,"Greenhouse, nursery, and floriculture production",572.91632080078125,46253623.962402344,8205334.6633911133,4578120.7084655762,827588.02175521851,5179.296713322401
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,5032.96875,446042999.26757812,85197257.995605469,50171276.092529297,10580952.644348145,-2995571.8517303467
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,6615.20751953125,101565368.65234375,18115062.713623047,11443428.993225098,1888588.3092880249,-3647805.2139282227
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6507.84521484375,484029968.26171875,4188098.4306335449,85870185.852050781,13574405.670166016,13127886.772155762
12,Dairy cattle and milk production,39.58319091796875,12579999.923706055,322930.66382408142,811343.4910774231,120125.77056884766,213006.392121315
13,Poultry and egg production,13021.986328125,4938971679.6875,164333831.78710938,79105918.884277344,19018207.550048828,18345214.84375
14,"Animal production, except cattle and poultry and eggs",2430.988525390625,161520370.48339844,10016207.695007324,76225723.266601562,10169322.013854981,6513866.4245605469
15,"Forestry, forest products, and timber tract production",536.3453369140625,44646072.387695312,19248203.277587891,12498652.458190918,824549.55577850342,1611887.2165679932
16,Commercial logging,4373.24755859375,393213104.24804688,115161735.53466797,116084571.83837891,528855.44300079346,14911848.068237305
