Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3819686.0907094181,635588224003.34485,189779669756.46094,23137690733.990341,116854213398.3411,24944287215.426563
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,250.01824951171875,82123474.12109375,5552825.4508972168,44170452.117919922,8177008.6288452148,-8146707.5347900391
3,Vegetable and melon farming,6539.85498046875,969497497.55859375,175933258.05664063,234517333.984375,56482292.175292969,-136234.19404029846
4,Fruit farming,821.31500244140625,88713020.324707031,15462110.51940918,25223699.569702148,7244244.5755004883,-8488.1791844964027
5,Tree nut farming,2528.384033203125,122823631.28662109,72681335.44921875,28004219.055175781,1461506.6051483154,14760.595746338368
6,"Greenhouse, nursery, and floriculture production",1397.289794921875,182788299.56054688,53440792.083740234,40733657.836914062,8455510.139465332,-44810.913503170013
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,1632.21826171875,232973999.0234375,73338218.688964844,58999649.047851562,14288230.895996094,-6138792.9916381836
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,12901.3408203125,448147155.76171875,131731246.94824219,113682792.66357422,21544443.130493164,-44959320.068359375
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4729.779296875,850356933.59375,12126065.254211426,339652618.40820312,61655639.6484375,-21649147.033691406
12,Dairy cattle and milk production,1299.705322265625,771590026.85546875,32642936.706542969,112040290.83251953,19048688.888549805,-8342363.3575439453
13,Poultry and egg production,58.287136077880859,42525596.618652344,2331926.3458251953,1533509.1352462769,423356.71186447144,-212831.54189586639
14,"Animal production, except cattle and poultry and eggs",742.8345947265625,108852523.80371094,11009529.113769531,114460731.50634766,-19561016.082763672,-2260808.4678649902
15,"Forestry, forest products, and timber tract production",281.82391357421875,27274892.807006836,19157184.600830078,266343.08695793152,2076412.4393463135,277261.04855537415
16,Commercial logging,530.1707763671875,45034706.115722656,21294511.795043945,2198001.3847351074,2704294.4431304932,1074470.2816009522
17,Commercial fishing,352.50949096679688,12061171.531677246,60432.761907577515,1739606.1420440674,5234186.1724853516,4825434.2079162598
18,Commercial hunting and trapping,434.69039916992188,55593750,190302.31237411499,9153254.508972168,35532478.332519531,4840598.1063842773
19,Support activities for agriculture and forestry,14585.5595703125,681293823.2421875,501506072.99804688,55172351.837158203,-5839807.0335388184,20556411.743164062
20,Oil and gas extraction,6512.41748046875,1489114746.09375,4562447.5479125977,3394633.2931518555,-2778167.9630279541,3361505.7468414307
21,Coal mining,293.44332885742188,119170639.03808594,32746105.194091797,7884916.3055419922,22056760.787963867,2730546.9512939453
22,"Copper, nickel, lead, and zinc mining",11554.3671875,11827189453.125,1171258178.7109375,55621650.695800781,4244484863.28125,471342376.70898438
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,260.61270141601562,118086044.31152344,13552124.977111816,40761535.64453125,6024421.215057373,2692001.5811920166
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,34.351890563964844,8324449.5391845703,2072574.1386413574,1140173.077583313,614134.55009460449,151493.75796318054
27,Other metal ore mining,135.46076965332031,46150878.90625,2173358.9172363281,16015110.015869141,1080511.8083953857,959719.65789794922
28,Stone mining and quarrying,673.07183837890625,161375610.3515625,23277179.718017578,32061634.063720703,22474512.100219727,3326533.317565918
29,Sand and gravel mining,1085.119384765625,210281936.64550781,42263721.466064453,61702922.821044922,11619371.41418457,4520933.6280822754
30,"Other clay, ceramic, refractory minerals mining",39.125339508056641,6652350.4257202148,375748.9025592804,1811276.7934799194,110880.18119335175,157044.51501369476
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,309.42282104492188,82342460.632324219,14716791.152954102,27503042.221069336,5895669.4602966309,1827726.4833450317
34,Other nonmetallic minerals,173.43376159667969,33708209.991455078,4476867.1989440918,12737154.960632324,1319856.0476303101,768936.75327301025
35,Drilling oil and gas wells,755.6295166015625,205616363.52539063,15532454.490661621,14953718.185424805,-876728.23667526245,3231483.6978912354
36,Support activities for oil and gas operations,1065.1998291015625,225866683.95996094,6761467.456817627,37682113.647460938,-615948.43864440918,3726080.1792144775
37,Metal mining services,1025.98681640625,252339767.45605469,16189231.872558594,4786176.2046813965,-636501.19304656982,3308352.9472351074
38,Other nonmetallic minerals services,952.758056640625,268429809.5703125,54045555.114746094,3486900.5680084229,-1792331.6955566406,2712572.5746154785
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,1662.8006591796875,2408111572.265625,238376617.43164063,0,503691833.49609375,284998718.26171875
41,Electric power generation - Nuclear,0.49316093325614929,478673.87533187866,86549.408733844757,0,83627.320826053619,54551.43004655838
42,Electric power generation - Solar,686.15972900390625,256418121.33789063,53978141.784667969,12814846.038818359,78962112.426757812,20130334.854125977
43,Electric power generation - Wind,17.520368576049805,29148569.107055664,2478930.2349090576,0,14623757.362365723,2347628.8318634033
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0.59198188781738281,351058.03608894348,61568.673700094223,0,112205.73633909226,25450.378656387329
46,Electric power generation - All other,4.212860107421875,739664.97182846069,703642.18950271606,0,-539014.04142379761,74018.403887748718
47,Electric power transmission and distribution,7847.75048828125,11156209960.9375,1252836181.640625,16199275.970458984,2512801025.390625,1222163940.4296875
48,Natural gas distribution,1088.711669921875,810816589.35546875,118390899.65820313,177803.75480651856,176514801.02539063,66371025.085449219
49,"Water, sewage and other systems",2329.388427734375,631475524.90234375,153583557.12890625,25352676.391601562,140334854.12597656,45643959.045410156
50,Construction of new health care structures,6233.01171875,948206359.86328125,275155517.578125,81937332.153320312,197897338.8671875,9486005.7830810547
51,Construction of new manufacturing structures,10088.595703125,1473442016.6015625,449007354.73632812,129893630.98144531,169260345.45898438,14514494.895935059
52,Construction of new power and communication structures,14378.5244140625,2749850341.796875,658350036.62109375,208548461.9140625,801343200.68359375,41101856.231689453
53,Construction of new educational and vocational structures,15690.287109375,2089372070.3125,727190368.65234375,172378799.43847656,384146148.68164062,19306667.327880859
54,Construction of new highways and streets,12781.7734375,2661511962.890625,593166625.9765625,160095581.0546875,656007019.04296875,24739078.521728516
55,"Construction of new commercial structures, including farm structures",24803.935546875,3102727783.203125,1055815917.96875,317182830.81054688,291101013.18359375,44702892.303466797
