Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,24064565.367553234,4801357426097.1543,1539204062329.6946,247966052830.15219,985699715032.19019,176162439114.064
1,Oilseed farming,31.03318977355957,49151802.062988281,88888.600468635559,49275180.816650391,-203444.15307044983,-2447839.2601013184
2,Grain farming,1785.74560546875,969750671.38671875,49354095.458984375,406222686.76757812,330128509.52148438,-59154235.83984375
3,Vegetable and melon farming,35362.7421875,8124654296.875,1109743408.203125,1530638671.875,1618327270.5078125,-756585.77680587769
4,Fruit farming,69070.6640625,11739643554.6875,1540113525.390625,2599656005.859375,3277604003.90625,-733103.63292694092
5,Tree nut farming,125799.1171875,9207700195.3125,4101177734.375,1635054565.4296875,374598358.15429688,754417.35982894897
6,"Greenhouse, nursery, and floriculture production",15008.359375,2914775634.765625,641425231.93359375,505882568.359375,460990936.27929688,-494491.90497398376
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,3019.055908203125,638312011.71875,151241973.87695313,125896751.40380859,133844299.31640625,-11548315.048217773
9,Sugarcane and sugar beet farming,178.81446838378906,52761001.586914062,9744927.4063110352,18643787.384033203,12181498.527526856,-2529387.2356414795
10,All other crop farming,21983.962890625,1330409423.828125,294353973.38867188,262844543.45703125,218673324.58496094,-77902343.75
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9786.0390625,3199014648.4375,34336128.234863281,995152160.64453125,793019042.96875,-389533935.546875
12,Dairy cattle and milk production,6823.0751953125,6377170898.4375,203070632.93457031,721199279.78515625,538272766.11328125,-48822391.510009766
13,Poultry and egg production,1444.4248046875,1681973999.0234375,69422477.722167969,47238357.543945312,57249427.795410156,-9036949.1577148438
14,"Animal production, except cattle and poultry and eggs",1443.5103759765625,357002746.58203125,27462369.918823242,295426116.94335938,198680419.921875,-232432113.64746094
15,"Forestry, forest products, and timber tract production",1954.2928466796875,234024002.07519531,165130966.18652344,16866109.848022461,11223719.596862793,2679763.3171081543
16,Commercial logging,5741.99853515625,620812927.24609375,304235290.52734375,95349853.515625,13924990.653991699,14916572.570800781
17,Commercial fishing,3722.58984375,353046203.61328125,51539661.407470703,11039899.826049805,235235092.16308594,49333030.700683594
18,Commercial hunting and trapping,465.37939453125,99794624.328613281,2518408.7753295898,5915015.697479248,81311164.855957031,5017428.3981323242
19,Support activities for agriculture and forestry,248952.75,12956175781.25,9992921875,880763061.5234375,-130982391.35742188,337673004.15039062
20,Oil and gas extraction,27719.671875,11926446289.0625,1020225402.8320313,21765943.52722168,3702686523.4375,879802368.1640625
21,Coal mining,970.65966796875,225250183.10546875,8063792.2286987305,13630198.478698731,6885519.0277099609,18867347.717285156
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,217.42665100097656,61595001.220703125,1818917.8705215454,3508656.7401885986,497202.21757888794,3990244.3885803223
