Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3816450.5268461704,653193037261.90332,203227535325.55701,30439193665.935165,113430061514.114,22922418424.465343
1,Oilseed farming,23.411949157714844,20963506.698608398,62907.256186008453,9696380.615234375,2885362.3867034912,-367234.25984382629
2,Grain farming,3645.814453125,1061959838.8671875,89670082.092285156,205217910.76660156,94361419.677734375,-24008602.142333984
3,Vegetable and melon farming,2692.108642578125,321828521.72851562,72932075.500488281,27970188.140869141,16732059.478759766,43547.004461288452
4,Fruit farming,537.3160400390625,47847404.479980469,10414360.046386719,4887901.3061523438,3486770.6298828125,8121.3638186454773
5,Tree nut farming,2.1012508869171143,79039.275646209717,58408.584445714951,6474.8106524348259,839.30738037452102,25.874584025586955
6,"Greenhouse, nursery, and floriculture production",3542.289306640625,351325592.04101562,128270568.84765625,28129201.889038086,14503086.090087891,25360.975414514542
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,234.43927001953125,36158000.946044922,11080167.770385742,5894250.8697509766,2178991.3177490234,-659285.84337234497
10,All other crop farming,11260.10546875,375463958.74023438,137825363.15917969,34220386.505126953,16108018.87512207,-7932936.6683959961
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",18829.232421875,3472389648.4375,61835781.097412109,498315948.48632812,224677322.38769531,30115936.279296875
12,Dairy cattle and milk production,1553.739501953125,761018981.93359375,40206001.281738281,39703224.182128906,16766145.706176758,6613807.6782226562
13,Poultry and egg production,268.15478515625,164676742.55371094,11276893.615722656,2133589.506149292,1463010.9071731567,298811.28668785095
14,"Animal production, except cattle and poultry and eggs",2593.1474609375,349427612.3046875,44596420.288085938,133394409.1796875,50757957.458496094,5499392.9862976074
15,"Forestry, forest products, and timber tract production",242.26165771484375,20998239.517211914,14633134.841918945,134682.47652053833,1341681.5996170044,162810.66834926605
16,Commercial logging,917.0191650390625,53338584.899902344,17010282.516479492,2364331.0070037842,1756157.8750610352,1482992.7682876587
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,881.25836181640625,24350778.579711914,582469.4037437439,-144937.45565414429,3519326.6868591309,5716191.7686462402
19,Support activities for agriculture and forestry,10865.2314453125,423205993.65234375,280454315.18554688,56121723.175048828,-4576124.1912841797,9339082.7178955078
20,Oil and gas extraction,29980.498046875,13140510742.1875,1451134887.6953125,3587731201.171875,116638069.15283203,1169050170.8984375
21,Coal mining,1258.475341796875,687533447.265625,140474655.15136719,-3948627.4719238281,291673553.46679688,28809110.641479492
22,"Copper, nickel, lead, and zinc mining",50.230121612548828,48279201.507568359,1602662.3249053955,-1901665.0915145874,17903226.852416992,5093456.7451477051
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,1209.35205078125,476697113.03710938,83509490.966796875,-7505107.8796386719,114435485.83984375,30774517.059326172
25,Silver ore mining,61.260982513427734,25957113.265991211,4717717.6475524902,-1125736.1173629761,7339943.4089660645,2088115.6921386719
26,Uranium-radium-vanadium ore mining,91.548141479492188,9490366.9357299805,4248265.266418457,-11221267.700195313,3880449.7718811035,1000585.7944488525
27,Other metal ore mining,792.99407958984375,389089385.98632812,89033706.665039062,-1863106.6083908081,136448745.72753906,13720343.589782715
28,Stone mining and quarrying,1022.8048706054688,206225845.33691406,29188251.495361328,-44230354.309082031,86873031.616210938,12468097.686767578
29,Sand and gravel mining,1690.7679443359375,161313690.18554688,46366729.736328125,-82246620.178222656,39295097.351074219,17393218.994140625
30,"Other clay, ceramic, refractory minerals mining",35.910873413085938,5855924.129486084,1644586.5631103516,-1490504.8608779907,1495994.2102432251,353271.21615409851
31,"Potash, soda, and borate mineral mining",68.732536315917969,31525125.503540039,14789250.373840332,-1197525.6204605103,5672011.8522644043,1029783.1296920776
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,222.83151245117188,29314191.818237305,10935675.621032715,-12505851.745605469,9938364.9826049805,2437633.2759857178
35,Drilling oil and gas wells,4062.006591796875,1675101806.640625,291428161.62109375,264978027.34375,84717025.756835938,105196861.26708984
36,Support activities for oil and gas operations,18423.87890625,5710805175.78125,1612567749.0234375,357837860.10742188,406402221.6796875,249865692.13867188
37,Metal mining services,3405.836669921875,1482067871.09375,188658035.27832031,384264495.84960938,23399877.548217773,126584304.80957031
38,Other nonmetallic minerals services,3467.861572265625,1469191284.1796875,172337509.15527344,385393554.6875,19433303.833007812,127749458.31298828
39,Electric power generation - Hydroelectric,146.6146240234375,48507240.295410156,3003091.57371521,2428529.2625427246,4099357.1281433105,4825120.4490661621
40,Electric power generation - Fossil fuel,790.7520751953125,984847778.3203125,84888282.775878906,4453491.2109375,158853225.70800781,79891082.763671875
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,296.59158325195312,93268280.029296875,19841558.456420898,3474069.1184997559,25705352.783203125,5114665.5082702637
43,Electric power generation - Wind,550.1016845703125,532278930.6640625,28521308.898925781,6587225.9140014648,149008544.921875,43657741.546630859
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,70.405006408691406,27066034.317016602,2436521.2917327881,844756.78205490112,3932533.9794158936,1794541.9549942017
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,5665.802734375,7238092773.4375,811972839.35546875,1851071.0000991821,1451652099.609375,530935546.875
48,Natural gas distribution,2010.3243408203125,1316626586.9140625,168225830.078125,21645565.032958984,223784362.79296875,73216201.782226562
49,"Water, sewage and other systems",980.613525390625,230313583.37402344,54731994.62890625,6328896.5225219727,45224910.736083984,11812568.664550781
50,Construction of new health care structures,7377.376953125,1163343261.71875,326227233.88671875,162673492.43164063,215419418.33496094,4841103.5537719727
51,Construction of new manufacturing structures,11880.005859375,1814648559.5703125,530529846.19140625,255939346.31347656,183552886.96289063,7651086.3304138184
52,Construction of new power and communication structures,17737.98046875,3316033935.546875,840767517.08984375,343340087.890625,814522094.7265625,33789306.640625
53,Construction of new educational and vocational structures,18689.095703125,2589674804.6875,879765014.6484375,341526916.50390625,421872222.90039062,9869409.5611572266
54,Construction of new highways and streets,14907.6064453125,3145123779.296875,673539855.95703125,316426452.63671875,710753662.109375,12744786.262512207
55,"Construction of new commercial structures, including farm structures",29189.857421875,3870098632.8125,1266907836.9140625,622715087.890625,313120697.02148438,26950979.232788086
56,Construction of other new nonresidential structures,37363.23046875,3304805908.203125,1641290161.1328125,816090637.20703125,-878279418.9453125,18707876.205444336
57,Construction of new single-family residential structures,46218.390625,6847960449.21875,2011731689.453125,1036812377.9296875,1022730468.75,38375637.054443359
58,Construction of new multifamily residential structures,14347.34765625,1655597534.1796875,627005187.98828125,322920135.49804688,357082092.28515625,7509876.7280578613
59,Construction of other new residential structures,32345.69140625,6653048828.125,1428810668.9453125,715627685.546875,976486877.44140625,43489753.723144531
60,Maintenance and repair construction of nonresidential structures,22011.599609375,4549274414.0625,970957031.25,493555053.7109375,533667175.29296875,28738386.154174805
61,Maintenance and repair construction of residential structures,10315.798828125,2221490722.65625,435649078.36914062,211639251.70898438,310053466.796875,30664966.583251953
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",7951.54541015625,827356201.171875,354924621.58203125,176428894.04296875,-148112716.67480469,6005101.6807556152
63,Dog and cat food manufacturing,790.79058837890625,1094959838.8671875,60103248.596191406,306206.13694190979,180383224.48730469,16988346.099853516
64,Other animal food manufacturing,814.494873046875,837763366.69921875,59464733.123779297,1326218.3666229248,38762981.414794922,11975167.274475098
65,Flour milling,148.17800903320313,174212051.39160156,13357775.688171387,92719.793319702148,15187561.03515625,834378.36170196533
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,39.933265686035156,57417942.047119141,1675228.3573150635,76300.926506519318,3201007.1277618408,375435.05430221558
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,61.776256561279297,280185485.83984375,2956277.1320343018,17063.861712813377,12660321.235656738,1405749.5594024658
70,Fats and oils refining and blending,46.930896759033203,72126632.690429688,2237266.5405273438,18505.915999412537,2316484.4512939453,372323.87065887451
71,Breakfast cereal manufacturing,162.4886474609375,130458648.68164063,9337211.6088867188,73338.158428668976,14749342.918395996,786227.64348983765
72,Beet sugar manufacturing,259.98318481445312,168874908.44726563,16280065.536499023,10567.980818450451,20317564.010620117,1493098.9742279053
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,767.16845703125,306487915.0390625,36746696.472167969,397161.8115901947,18826326.370239258,1601650.2380371094
75,Chocolate and confectionery manufacturing from cacao beans,36.946937561035156,21797939.300537109,775932.96766281128,115271.07656002045,941900.84934234619,154920.38428783417
76,Confectionery manufacturing from purchased chocolate,1225.6878662109375,408009582.51953125,47818649.291992188,477680.504322052,23099294.662475586,2223433.256149292
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,264.30538940429688,90989021.301269531,8702351.5701293945,327547.8184223175,5016314.9833679199,417604.7146320343
79,Canned fruits and vegetables manufacturing,237.56452941894531,105313392.63916016,6127486.2289428711,943913.0425453186,5511834.1445922852,528027.95171737671
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,150.47404479980469,61923328.399658203,5540517.3301696777,148393.51177215576,5242195.1293945312,326592.32616424561
82,Cheese manufacturing,1162.1070556640625,1097334716.796875,105919548.03466797,69925.770163536072,47233810.424804688,5350337.028503418
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,1067.892333984375,852799438.4765625,112400962.82958984,59251.073747873306,81427825.927734375,4664227.9624938965
85,Creamery butter manufacturing,0,0,0,0,0,0
