Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2347063.3998006582,462425487112.388,147213268020.27411,29377570358.010735,87230586864.732849,18004768562.2565
1,Oilseed farming,1.0849001407623291,255422.41334915161,0,-269.66779842041433,0,-1593.4687107801437
2,Grain farming,100.57379150390625,11038825.035095215,1058211.6842269898,-26776.107028126717,3395903.3489227295,-61129.815876483917
3,Vegetable and melon farming,567.9962158203125,34270961.761474609,8817196.8460083008,-425480.84259033203,6168751.2397766113,25324.078276753426
4,Fruit farming,524.84906005859375,21921012.878417969,5416828.1555175781,-376664.25108909607,5530592.9183959961,21868.404000997543
5,Tree nut farming,0.64531397819519043,23076.668381690979,19360.525533556938,0,848.39347982779145,35.644185118144378
6,"Greenhouse, nursery, and floriculture production",4657.3671875,292785400.390625,121360382.08007813,-1773164.0338897705,41845252.990722656,91796.204447746277
7,Tobacco farming,450.32357788085938,20578548.431396484,8920421.6003417969,-183537.20009326935,4402715.6829833984,-50967.518240213394
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,1753.244140625,17900651.931762695,7460020.5421447754,-166348.1593132019,2658819.4370269775,-113866.13547801971
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",375.01470947265625,18120998.382568359,366356.40263557434,-122771.92622423172,4059373.8555908203,1648380.2795410156
12,Dairy cattle and milk production,318.609375,73016998.291015625,4379551.4106750488,-299665.12322425842,5569392.6811218262,3738664.6270751953
13,Poultry and egg production,170.90219116210938,46096469.879150391,3583728.7902832031,-67919.380962848663,1417846.0836410523,524993.59846115112
14,"Animal production, except cattle and poultry and eggs",695.87506103515625,31166715.621948242,4515897.274017334,-234863.43026161194,15674152.374267578,4064514.6369934082
15,"Forestry, forest products, and timber tract production",108.14824676513672,13388260.841369629,10506309.509277344,0,772244.81105804443,0
