Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,591456.58959370852,120178873168.88571,33676055946.177803,3850313315.5504475,31664578965.466587,3990774944.6187229
1,Oilseed farming,80.470436096191406,62723007.202148438,87991.55056476593,162422073.36425781,-95411048.889160156,-7488450.0503540039
2,Grain farming,408.07705688476562,110101173.40087891,4552684.3070983887,124775817.87109375,-8778287.8875732422,-15954059.600830078
3,Vegetable and melon farming,461.2342529296875,54517280.578613281,6051521.3012695312,27793075.561523438,6102637.767791748,-12669.130228459835
4,Fruit farming,33.280899047851562,2886447.1912384033,307733.05892944336,1729653.8352966309,452884.16743278503,-453.51925655268133
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",238.41706848144531,24369968.414306641,4358213.9015197754,11445483.207702637,2166028.2611846924,-10083.294473588467
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,424.30618286132812,12387434.959411621,2227299.9286651611,6622616.7678833008,1144231.2002182007,-1774323.2250213623
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",52.810050964355469,8133206.3674926758,70897.579193115234,6842133.0451965332,1132329.9407958984,-318813.68160247803
12,Dairy cattle and milk production,30.897724151611328,14732000.350952148,381235.62932014465,4508411.4074707031,698808.19320678711,-261496.72269821167
13,Poultry and egg production,1878.5985107421875,1107728027.34375,37155807.495117188,84186660.766601562,21188829.42199707,-9044552.8030395508
14,"Animal production, except cattle and poultry and eggs",58.053524017333984,7513808.7272644043,438214.09344673157,15697090.148925781,-8747741.69921875,-232978.83570194244
15,"Forestry, forest products, and timber tract production",31.502811431884766,3551169.8722839355,2464687.8242492676,0,471939.86177444458,0
16,Commercial logging,43.599353790283203,20816564.559936523,2970231.294631958,15865507.125854492,510220.17002105713,9805.6495189666748
17,Commercial fishing,358.87600708007812,32945602.416992188,656108.08134078979,21529302.597045898,6711787.223815918,1319938.6596679688
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,958.69549560546875,20885015.487670898,30233596.801757812,6102531.4331054688,-23171134.948730469,496475.42834281921
20,Oil and gas extraction,357.1114501953125,114496505.73730469,0,33308525.085449219,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,0,0,0,0,0,0
29,Sand and gravel mining,37.388801574707031,5298303.1272888184,2102755.5465698242,-1905822.3962783814,1531176.4478683472,463130.11646270752
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,27.500698089599609,8286896.7056274414,22771.425545215607,1932306.4088821411,32887.410372495651,10869.999416172504
36,Support activities for oil and gas operations,56.027206420898438,15293336.868286133,1428327.7988433838,2942500.5912780762,1329142.8089141846,214488.9235496521
37,Metal mining services,38.391620635986328,12137399.673461914,0,3579906.9404602051,0,0
38,Other nonmetallic minerals services,38.391620635986328,12040452.003479004,0,3579373.5980987549,0,0
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,171.35285949707031,223918273.92578125,23465866.088867188,1320037.7225875855,35326007.843017578,21488698.959350586
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0.82085561752319336,442597.1508026123,155145.15340328217,0,161694.69058513641,17452.657222747803
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,23.193775177001953,3585413.6943817139,2778933.2866668701,405755.6688785553,-2657237.5297546387,299620.15151977539
47,Electric power transmission and distribution,1513.4090576171875,1953776611.328125,244413299.56054688,3447522.6402282715,347966522.21679688,171518859.86328125
48,Natural gas distribution,201.70518493652344,169741149.90234375,37541061.401367188,35028.573125600815,39944824.21875,8967103.9581298828
49,"Water, sewage and other systems",470.5916748046875,127852874.75585938,37640316.009521484,5277753.8299560547,24374820.709228516,6708449.3637084961
50,Construction of new health care structures,948.36865234375,153369369.50683594,43285324.096679688,20936023.712158203,30158981.323242188,603527.54592895508
51,Construction of new manufacturing structures,1464.22119140625,225325546.26464844,64851524.353027344,33086929.321289062,23268918.991088867,960216.224193573
52,Construction of new power and communication structures,2016.86083984375,384115234.375,89089096.069335938,46748603.820800781,100029006.95800781,2297728.3000946045
