Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,12123214.87629199,1851489321455.9556,557891991973.93848,62354270387.080078,328090913280.16669,84007549486.890671
1,Oilseed farming,5.4925432205200195,3811659.3360900879,7831.3536942005157,2255202.2933959961,1447937.2501373291,-88454.186916351318
2,Grain farming,232.46928405761719,61532806.396484375,3596120.1190948486,15375939.36920166,18919437.408447266,-1573545.6943511963
3,Vegetable and melon farming,9292.0830078125,1124656860.3515625,176401412.96386719,126391738.89160156,202329879.76074219,145748.3172416687
4,Fruit farming,11865.0712890625,1043035644.53125,157130798.33984375,137781524.65820313,263014221.19140625,173916.81671142578
5,Tree nut farming,181.89723205566406,7257973.6709594727,3712249.2790222168,768824.69654083252,266691.14828109741,2171.2642628699541
6,"Greenhouse, nursery, and floriculture production",19071.767578125,2055963134.765625,519541931.15234375,212858383.17871094,293684539.79492188,132334.09821987152
7,Tobacco farming,43.322906494140625,3762413.0249023438,994294.04735565186,508035.77899932861,804528.35559844971,-54594.516754150391
8,Cotton farming,414.53363037109375,48783000.946044922,13273093.223571777,5739590.1679992676,9238763.8092041016,-323844.313621521
9,Sugarcane and sugar beet farming,3907.404052734375,599955017.08984375,127247314.453125,126465095.52001953,125107948.30322266,-11293383.598327637
10,All other crop farming,26580.77734375,736722961.42578125,187177276.61132813,86825775.146484375,109368736.26708984,-19241224.28894043
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3588.85205078125,510922973.6328125,6297306.5376281738,94811172.485351562,114393493.65234375,-14148426.055908203
12,Dairy cattle and milk production,980.766357421875,473819000.24414062,17325902.938842773,31964693.069458008,36121463.775634766,-9139072.4182128906
13,Poultry and egg production,667.35577392578125,395115081.78710938,18727025.985717773,6619573.1163024902,12146579.742431641,2908725.0232696533
14,"Animal production, except cattle and poultry and eggs",2037.3502197265625,240198440.55175781,20906986.236572266,116833892.82226563,67780342.102050781,23193670.272827148
15,"Forestry, forest products, and timber tract production",1760.680908203125,132547012.32910156,67692703.247070312,21351942.06237793,7251986.9804382324,1903819.3225860596
16,Commercial logging,3766.53076171875,328166076.66015625,139907180.78613281,48173633.575439453,9154355.0491333008,4732917.308807373
17,Commercial fishing,6365.833984375,333603973.38867188,21743894.577026367,52737319.946289062,215679748.53515625,37869319.915771484
18,Commercial hunting and trapping,464.33804321289062,78629409.790039062,6705611.2289428711,13683519.36340332,50321609.497070312,2242472.8870391846
19,Support activities for agriculture and forestry,46563.046875,1982144165.0390625,1539138549.8046875,74174797.058105469,-15037336.349487305,33026424.407958984
20,Oil and gas extraction,15300.9912109375,3531464599.609375,6497046.947479248,95990844.7265625,-60591056.823730469,10943282.127380371
21,Coal mining,358.17837524414062,76324676.513671875,20188.063383102417,-5072.3720341920853,69471.254944801331,10629750.25177002
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,63.525344848632812,17533340.454101562,298747.00307846069,-1288.2733717560768,329106.6586971283,1777334.5708847046
24,Gold ore mining,38.652572631835938,10762993.812561035,406995.89252471924,-149.54966900404543,924328.5059928894,1266235.4707717896
25,Silver ore mining,18.840328216552734,6789478.7788391113,554813.02738189697,-204.82152467593551,1430602.0736694336,825574.57685470581
26,Uranium-radium-vanadium ore mining,25.84422492980957,10212724.685668945,2618920.3262329102,-515.70148207247257,3964643.4783935547,359960.8838558197
27,Other metal ore mining,260.25888061523438,116163955.68847656,17109209.060668945,-1235.8721578493714,43456668.853759766,5795401.5731811523
28,Stone mining and quarrying,1591.946044921875,771557556.15234375,93889236.450195312,-14591.262675821781,463131286.62109375,24778472.900390625
