Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,6185117.7610208988,1073495412912.0708,314488433745.31714,39068728896.024132,206785021341.5036,35020020296.995178
1,Oilseed farming,47.630397796630859,46664142.608642578,39075.367152690887,52356521.606445312,-6421181.2019348145,-1625846.266746521
2,Grain farming,647.27752685546875,239310379.02832031,5662108.8981628418,112643135.07080078,70651115.417480469,-7461782.9322814941
3,Vegetable and melon farming,3326.9267578125,555465698.2421875,35271873.474121094,117588317.87109375,95951828.002929688,5853.3479459583759
4,Fruit farming,1233.929443359375,150086151.12304688,9153602.6000976562,37345706.939697266,36339313.507080078,2028.7474617362022
5,Tree nut farming,2082.621826171875,113973434.44824219,23600143.432617188,22741746.90246582,4021173.9540100098,2788.5718736797571
6,"Greenhouse, nursery, and floriculture production",2160.604248046875,318460235.59570312,32579895.01953125,62106761.932373047,43679431.915283203,1681.7123396322131
7,Tobacco farming,393.7994384765625,47025276.184082031,5031169.8913574219,11960999.488830566,9655221.9390869141,-845191.18070602417
8,Cotton farming,4956.80126953125,797184020.99609375,87811515.808105469,176676666.25976563,144963928.22265625,-6595479.9652099609
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,30986.0703125,1210957763.671875,124556724.54833984,268832489.01367188,172613189.69726563,-38202518.463134766
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1677.0567626953125,339101959.22851562,1692072.5107192993,118533927.91748047,72900787.353515625,2034898.7579345703
12,Dairy cattle and milk production,451.72540283203125,301985992.43164062,4470534.3246459961,38375419.616699219,22105262.756347656,46609.945595264435
13,Poultry and egg production,6427.69140625,5280168457.03125,101316970.82519531,166633529.66308594,155859817.50488281,870757.93743133545
14,"Animal production, except cattle and poultry and eggs",762.23150634765625,124543861.38916016,4448257.4462890625,115660835.26611328,-2748184.6809387207,1228690.505027771
15,"Forestry, forest products, and timber tract production",1378.2747802734375,106396209.71679688,44303306.579589844,31347871.780395508,1807368.9937591553,2050915.002822876
16,Commercial logging,7514.5087890625,661080810.546875,255852462.76855469,145863815.30761719,-5111778.2592773438,12701926.231384277
17,Commercial fishing,888.031982421875,19527511.596679688,15127364.158630371,-4450552.4635314941,2314426.4221191406,6210018.1579589844
18,Commercial hunting and trapping,683.0361328125,74068527.221679688,11443433.76159668,-330557.49535560608,49419448.852539062,3885908.842086792
19,Support activities for agriculture and forestry,14792.5244140625,615545837.40234375,453506713.8671875,77892250.061035156,-40156871.795654297,12845496.17767334
20,Oil and gas extraction,3143.478515625,799756591.796875,0,85098251.342773438,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2425.39111328125,844555297.8515625,168314819.3359375,79322196.960449219,249257019.04296875,58534534.454345703
29,Sand and gravel mining,1426.16162109375,338830108.64257812,92968070.983886719,59118667.602539062,39202507.019042969,29024778.366088867
30,"Other clay, ceramic, refractory minerals mining",1077.5233154296875,284453613.28125,99898582.458496094,2799087.2859954834,45214801.788330078,20954715.728759766
