Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,929347.21317073703,149834661196.52802,49193421539.919449,6151915893.9029427,29409363908.656261,8533175823.2663841
1,Oilseed farming,2.0332968235015869,494954.61583137512,0,-843.87778770178556,0,-86954.027414321899
2,Grain farming,808.049072265625,80755172.729492188,16160627.365112305,-316329.03218269348,10000840.187072754,-14143942.832946777
3,Vegetable and melon farming,1561.7430419921875,76643211.364746094,41163860.321044922,-1536637.9022598267,5553647.518157959,-8528.8016125559807
4,Fruit farming,3128.056640625,109525016.78466797,56498371.124267578,-3039143.8007354736,11123926.162719727,-8475.414477288723
5,Tree nut farming,2523.2880859375,45177055.358886719,74047470.092773438,-1247253.1795501709,-29872949.600219727,3861.0103074461222
6,"Greenhouse, nursery, and floriculture production",1928.1072998046875,88999382.019042969,77010978.698730469,-870423.49576950073,5120559.6923828125,-16204.243525862694
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0.12262439727783203,14023.331925272942,10184.543207287788,0,1177.82864253968,-1703.9100639522076
10,All other crop farming,283.4730224609375,2821404.4570922852,2454565.7634735107,-42340.751737356186,168701.51460170746,-530469.47717666626
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",938.18585205078125,46234996.795654297,1951329.5888900757,-505861.81879043579,4169475.0785827637,-1124821.5436935425
12,Dairy cattle and milk production,49.503509521484375,9520000.4577636719,1192012.3100280762,-63094.757497310638,292317.27123260498,-83303.287625312805
13,Poultry and egg production,62.690761566162109,14548448.56262207,2361143.1121826172,-34616.794437170029,180140.6592130661,-60014.214366674423
14,"Animal production, except cattle and poultry and eggs",2255.614013671875,95968513.488769531,29028188.705444336,-1167877.4356842041,19429224.014282227,-1799312.3531341553
15,"Forestry, forest products, and timber tract production",133.748779296875,11392966.270446777,4982672.6913452148,3200969.934463501,577186.64407730103,23027.008399367332
16,Commercial logging,84.02923583984375,9888125.4196166992,5102648.7350463867,1139826.1785507202,822195.58954238892,8046.8161031603813
17,Commercial fishing,1532.7584228515625,94525138.854980469,10440736.770629883,16916704.177856445,19017950.057983398,1616344.8095321655
18,Commercial hunting and trapping,0,0,0,0,0,0
