Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2084913.7583893538,404136744646.19153,97594217347.465454,13129123144.123062,68327569448.842667,11322230804.599155
1,Oilseed farming,4452.48876953125,4855957031.25,6763752.4604797363,586221679.6875,939784545.8984375,-2550841.3314819336
2,Grain farming,19032.046875,8791380859.375,344566162.109375,443410064.69726562,1098399902.34375,17162866.592407227
3,Vegetable and melon farming,70.291969299316406,15997952.461242676,1682807.6839447022,362891.31641387939,1169516.4442062378,954.20650904998183
4,Fruit farming,44.178688049316406,7167565.8226013184,724138.97514343262,191107.19859600067,734435.61792373657,560.46363897621632
5,Tree nut farming,3.8209257125854492,297427.05821990967,102021.16519212723,6359.2507503926754,4440.9474357962608,39.466282032663003
6,"Greenhouse, nursery, and floriculture production",686.54949951171875,147370605.46875,24974924.087524414,3079638.9579772949,8554183.9599609375,4121.5363889932632
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,1998.758056640625,91747100.830078125,15632532.119750977,2182480.3352355957,5534562.1109008789,-1602859.1394424439
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",18021.376953125,4089560791.015625,33803691.864013672,153177261.35253906,372069854.73632812,32799484.252929688
12,Dairy cattle and milk production,975.48553466796875,869219970.703125,21315776.824951172,11835900.30670166,26926786.422729492,11174072.265625
13,Poultry and egg production,1520.954833984375,1634251831.0546875,51946014.404296875,5526356.6970825195,20415090.560913086,8897546.7681884766
14,"Animal production, except cattle and poultry and eggs",41133.609375,8078124511.71875,478552246.09375,804882080.078125,1649964111.328125,19402099.609375
15,"Forestry, forest products, and timber tract production",103.76718139648438,10242406.845092773,7140243.0534362793,0,1077921.0329055786,0
16,Commercial logging,650.307373046875,55427276.611328125,10842152.59552002,20215757.369995117,984621.16718292236,1596129.4174194336
17,Commercial fishing,177.77511596679688,3165584.3257904053,1073553.0853271484,-418192.2972202301,367815.22631645203,2089519.5007324219
18,Commercial hunting and trapping,312.87918090820312,7387323.3795166016,1046646.8334197998,-72514.273226261139,-1829799.1752624512,2992514.8487091064
19,Support activities for agriculture and forestry,14307.21875,648205566.40625,343266296.38671875,287451629.63867188,-107799484.25292969,17485570.907592773
20,Oil and gas extraction,1582.9591064453125,365841461.18164062,0,5961505.4130554199,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1722.823486328125,428509033.203125,116727600.09765625,4524447.4411010742,75020965.576171875,26861150.741577148
29,Sand and gravel mining,745.97235107421875,133176666.25976563,50683555.603027344,1427375.7934570313,9275367.7368164062,9798982.6202392578
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,19.399410247802734,3190007.209777832,1005699.3961334229,104357.55550861359,197364.80712890625,271272.00365066528
35,Drilling oil and gas wells,151.65144348144531,35703361.511230469,528490.18573760986,-714423.17962646484,490519.22559738159,723526.12018585205
36,Support activities for oil and gas operations,193.26377868652344,34003898.620605469,726102.76937484741,75010.746717453003,434231.66871070862,416466.3553237915
37,Metal mining services,170.17756652832031,38573310.852050781,0,640725.91066360474,0,0
