Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1027599.8056673408,160719917689.84497,41572509696.27034,8322427809.0912857,23397037968.056103,4954631831.3755369
1,Oilseed farming,15.478009223937988,22018896.102905273,45985.89614033699,14606540.679931641,6877843.3799743652,-604098.14119338989
2,Grain farming,2533.669677734375,1021686279.296875,62433624.267578125,294442230.22460938,214236511.23046875,-41492576.599121094
3,Vegetable and melon farming,8899.4990234375,1400104370.1171875,229623306.27441406,181470748.90136719,171780883.7890625,-38719.896227121353
4,Fruit farming,173.734375,20587865.829467773,3243000.5073547363,3136539.2208099365,3540510.1776123047,-374.94584103114903
5,Tree nut farming,2.9322922229766846,142351.25482082367,76130.136847496033,17390.850931406021,3567.2122612595558,3.5768939596891869
6,"Greenhouse, nursery, and floriculture production",543.35308837890625,68879226.684570312,18199817.657470703,8224533.0810546875,6710091.1140441895,-3641.9988609850407
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,1410.5657958984375,288425994.87304688,63964332.580566406,70118721.008300781,41018054.962158203,-9866095.5429077148
10,All other crop farming,17177.25390625,832266296.38671875,221097976.68457031,113123893.73779297,84260826.110839844,-30098571.77734375
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6192.49169921875,1736894897.4609375,22384450.912475586,371727966.30859375,265212432.86132813,-5926334.8579406738
12,Dairy cattle and milk production,3647.56494140625,2378393066.40625,90936981.201171875,185050079.34570313,123654785.15625,-4889034.7480773926
13,Poultry and egg production,101.5140380859375,83861282.348632812,4156044.9600219727,1620374.6795654297,1758192.0623779297,-77395.975589752197
14,"Animal production, except cattle and poultry and eggs",1100.862548828125,222006286.62109375,19502376.556396484,120209556.57958984,72380180.358886719,-699637.65144348145
15,"Forestry, forest products, and timber tract production",273.97848510742188,17662401.19934082,10795233.726501465,692343.05620193481,162907.12356567383,667270.36237716675
16,Commercial logging,2280.10107421875,168859146.11816406,80714775.085449219,6888267.0402526855,-1626450.6578445435,6487526.4167785645
17,Commercial fishing,349.08212280273438,6486826.8966674805,1232286.6916656494,679517.68636703491,392363.10124397278,4074281.2156677246
18,Commercial hunting and trapping,222.82830810546875,21487756.729125977,2475319.6239471436,1436380.7439804077,12234326.362609863,2109821.7964172363
19,Support activities for agriculture and forestry,9492.8818359375,475105804.44335938,299591705.32226562,113767738.34228516,-20914260.864257812,11133985.51940918
20,Oil and gas extraction,1130.731201171875,267284301.7578125,2538936.8534088135,6592323.7800598145,-923922.53875732422,2009345.0546264648
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",98.00030517578125,55964122.772216797,6847486.0191345215,702102.30350494385,-7033807.7545166016,5538117.4087524414
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,140.75094604492188,42100502.014160156,4052340.5075073242,7561339.3783569336,-1259453.1774520874,2011812.2100830078
25,Silver ore mining,587.82763671875,178137084.9609375,45720706.939697266,9958804.1305541992,-12897833.824157715,11218175.888061523
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,78.231513977050781,19396911.62109375,1455107.0928573608,2662612.1997833252,-457462.40019798279,766039.31188583374
28,Stone mining and quarrying,444.63641357421875,67912002.563476562,11810883.522033691,5731463.4323120117,-5669488.4300231934,3034796.2379455566
29,Sand and gravel mining,824.08935546875,108442687.98828125,29169561.386108398,11711647.033691406,-5660649.7764587402,4739114.7613525391
30,"Other clay, ceramic, refractory minerals mining",18.879434585571289,2467970.8480834961,142938.46487998962,223789.24489021301,-28844.29506957531,104603.18624973297
31,"Potash, soda, and borate mineral mining",84.442787170410156,20681821.823120117,6875475.4066467285,315920.68076133728,-1016697.0491409302,708298.50435256958
32,Phosphate rock mining,447.765625,92411315.91796875,32082912.445068359,5806611.0610961914,-6319602.0126342773,4495060.4438781738
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,203.23736572265625,23452758.7890625,4875589.8475646973,1407453.8946151733,-948768.7349319458,1237603.1875610352
35,Drilling oil and gas wells,144.02838134765625,35195430.755615234,1640133.261680603,-965377.15196609497,997265.5177116394,591178.5364151001
36,Support activities for oil and gas operations,318.76385498046875,59376667.022705078,5023198.127746582,-2626737.8330230713,2193913.9366149902,1425667.0475006104
37,Metal mining services,303.51394653320312,82467720.031738281,11912147.521972656,-5191232.6812744141,6783433.4373474121,1310100.1977920532
38,Other nonmetallic minerals services,185.18037414550781,58345890.045166016,9946449.2797851562,-219804.42106723785,7196352.0050048828,611231.50587081909
39,Electric power generation - Hydroelectric,330.88296508789062,142318893.43261719,19972518.920898438,537185.49013137817,34590003.967285156,10146166.801452637
40,Electric power generation - Fossil fuel,43.454998016357422,66228446.960449219,7717953.6819458008,0,18324029.922485352,4094774.2462158203
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,103.22971343994141,17278985.977172852,628885.26916503906,321576.41649246216,1033688.7836456299,1674588.9186859131
43,Electric power generation - Wind,146.84182739257813,124111267.08984375,4135408.878326416,351775.97403526306,27411369.323730469,10929663.65814209
44,Electric power generation - Geothermal,22.057582855224609,15240145.683288574,3928699.4934082031,0,5070112.2283935547,572914.12353515625
45,Electric power generation - Biomass,63.036060333251953,19719812.393188477,617710.29233932495,161186.65039539337,1264904.3798446655,1508340.0011062622
46,Electric power generation - All other,20.145549774169922,3284699.4400024414,2199021.577835083,0,-1504745.1257705689,194593.92130374908
47,Electric power transmission and distribution,2009.8231201171875,2631800048.828125,272017761.23046875,146638.67652416229,613855468.75,170188232.421875
48,Natural gas distribution,251.81446838378906,203884368.89648438,34170219.421386719,11705.078184604645,57349384.307861328,8417489.0518188477
49,"Water, sewage and other systems",700.47601318359375,149627960.20507813,30216539.38293457,675429.46338653564,31105775.833129883,7472171.3066101074
50,Construction of new health care structures,2044.436767578125,295704864.50195312,64465789.794921875,39130393.981933594,65003799.438476562,1240828.1564712524
51,Construction of new manufacturing structures,3406.9375,469471282.95898438,109576965.33203125,62744251.251220703,55034748.077392578,2088263.5116577148
52,Construction of new power and communication structures,4758.06494140625,805651245.1171875,151438949.58496094,90301681.518554688,213596771.24023438,5994880.199432373
53,Construction of new educational and vocational structures,5061.03955078125,634122924.8046875,171530456.54296875,81329124.450683594,125160545.34912109,2458674.430847168
54,Construction of new highways and streets,4200.7470703125,838715209.9609375,140314254.76074219,75427162.170410156,216186889.6484375,3366162.3001098633
55,"Construction of new commercial structures, including farm structures",8040.6708984375,946814392.08984375,245733230.59082031,149205902.09960938,93555496.215820312,6452226.1619567871
56,Construction of other new nonresidential structures,10458.0107421875,978518615.72265625,327112548.828125,195405029.296875,-26377218.246459961,4587922.0962524414
57,Construction of new single-family residential structures,12712.6796875,1664743408.203125,385296386.71875,247401809.69238281,269069335.9375,9785227.7755737305
58,Construction of new multifamily residential structures,3946.9638671875,395064086.9140625,120276092.52929688,77020683.288574219,102029510.49804688,1906394.362449646
59,Construction of other new residential structures,8890.9345703125,1709472656.25,274921936.03515625,170643173.21777344,294072143.5546875,10906528.472900391
60,Maintenance and repair construction of nonresidential structures,6056.544921875,1166514160.15625,186843734.74121094,117824851.98974609,160489501.953125,7323518.7530517578
61,Maintenance and repair construction of residential structures,2921.39453125,591989440.91796875,88221046.447753906,52574737.548828125,94076934.814453125,7798852.9205322266
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",2188.218994140625,229590606.68945313,68553932.189941406,42207317.352294922,-3359332.3230743408,1623282.4325561523
63,Dog and cat food manufacturing,49.979808807373047,71230812.072753906,1599193.811416626,13710550.308227539,2105969.9058532715,903447.56841659546
64,Other animal food manufacturing,683.09075927734375,711044921.875,47785015.106201172,31070510.864257812,15493023.872375488,7626961.2312316895
65,Flour milling,99.659515380859375,111816284.1796875,6468600.2731323242,4303902.6260375977,3227134.2277526855,469680.75633049011
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,124.89649963378906,187763397.21679688,11168297.76763916,3332953.929901123,9363806.7245483398,980165.66038131714
68,Wet corn milling,16.683160781860352,32101055.145263672,1672483.4442138672,1988017.7974700928,1011408.9250564575,165906.42929077148
69,Soybean and other oilseed processing,13.43943977355957,61689113.616943359,1102951.6458511353,1009857.8929901123,2072568.6550140381,256243.91436576843
70,Fats and oils refining and blending,13.835850715637207,22541494.369506836,1143844.7237014771,979852.73599624634,519674.65877532959,91961.853206157684
71,Breakfast cereal manufacturing,184.37838745117188,147380157.47070313,14622653.007507324,2148999.4525909424,10135250.091552734,746557.71255493164
72,Beet sugar manufacturing,1499.2059326171875,923229736.328125,102248710.63232422,3668387.8898620605,55992027.282714844,7208179.9507141113
73,Sugar cane mills and refining,142.93272399902344,143126525.87890625,13480468.75,3337872.7436065674,8137294.7692871094,647772.78900146484
74,Nonchocolate confectionery manufacturing,37.072940826416016,23383554.458618164,2059268.4745788574,8767663.0020141602,462927.57987976074,64980.819821357727
75,Chocolate and confectionery manufacturing from cacao beans,65.492523193359375,46139186.859130859,1821724.534034729,8002645.4925537109,970323.44341278076,229237.30313777924
76,Confectionery manufacturing from purchased chocolate,61.232147216796875,27358938.217163086,1488549.5901107788,8756443.977355957,315513.22340965271,93158.863484859467
77,"Frozen fruits, juices and vegetables manufacturing",3113.32763671875,1372278320.3125,211399795.53222656,11123594.284057617,87498321.533203125,6323338.0317687988
78,Frozen specialties manufacturing,1155.706298828125,408235687.25585938,49921680.450439453,9546069.1452026367,12626709.938049316,1525839.09034729
79,Canned fruits and vegetables manufacturing,106.35126495361328,58237800.598144531,6585210.8001708984,7579928.3981323242,2599179.744720459,197061.65790557861
80,Canned specialties,107.49921417236328,88569061.279296875,8106538.7725830078,2672582.6263427734,5646063.3277893066,314662.3969078064
81,Dehydrated food products manufacturing,2096.0703125,893804992.67578125,118296646.11816406,16832355.499267578,49112056.732177734,3802813.2915496826
82,Cheese manufacturing,2389.27880859375,2122635986.328125,146877716.06445313,7726648.3306884766,28739921.569824219,9209521.2936401367
83,"Dry, condensed, and evaporated dairy product manufacturing",366.45248413085938,458900268.5546875,23893114.08996582,794607.99694061279,18279508.590698242,2095307.3501586914
84,Fluid milk manufacturing,1169.9805908203125,827129394.53125,78798324.584960938,2213100.6717681885,25047975.540161133,4278182.0297241211
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,7.0008578300476074,8796474.4567871094,72109.289467334747,6345936.2983703613,19996.648654341698,16104.098409414291
87,Frozen cakes and other pastries manufacturing,796.27947998046875,73134963.989257812,25638504.028320312,5596143.2456970215,4672490.5967712402,5351944.4465637207
88,Poultry processing,30.893640518188477,19958158.493041992,414353.96671295166,11995084.762573242,66187.70956993103,37629.235535860062
89,"Animal, except poultry, slaughtering",497.20849609375,338912933.34960938,23932653.427124023,9006590.8432006836,4287067.8901672363,1825171.3514328003
90,Meat processed from carcasses,2139.883544921875,1098457031.25,105190467.83447266,21299860.000610352,3773429.8706054688,5026235.1036071777
91,Rendering and meat byproduct processing,120.70406341552734,46820281.982421875,7475462.9135131836,3866566.4196014404,-955515.08665084839,271948.87399673462
92,Seafood product preparation and packaging,360.42987060546875,148630874.63378906,16734748.840332031,10580661.773681641,2066960.334777832,799312.94918060303
93,"Bread and bakery product, except frozen, manufacturing",1682.2237548828125,315624053.95507812,60359172.821044922,97884742.736816406,11076901.435852051,5994621.2768554688
94,Cookie and cracker manufacturing,149.71246337890625,58678710.9375,9882585.5255126953,7125287.0559692383,2194989.2044067383,250934.33260917664
95,"Dry pasta, mixes, and dough manufacturing",57.238121032714844,33888061.5234375,2168733.5968017578,5722186.0885620117,1428063.2734298706,164012.75992393494
96,Tortilla manufacturing,165.43734741210938,41213054.656982422,8447999.0005493164,5411570.5490112305,866661.13138198853,183349.43056106567
97,Roasted nuts and peanut butter manufacturing,64.347488403320312,26435010.91003418,4073894.9775695801,0,653445.36304473877,0
98,Other snack food manufacturing,138.09666442871094,74188926.696777344,7316508.7699890137,10797204.01763916,2588705.30128479,253483.38484764099
99,Coffee and tea manufacturing,97.658554077148438,65909675.598144531,4813779.8309326172,6725452.4230957031,2299437.2844696045,296869.69518661499
100,Flavoring syrup and concentrate manufacturing,52.860855102539062,148993331.90917969,8574703.2165527344,2187143.5642242432,33833892.822265625,606884.89675521851
101,"Mayonnaise, dressing, and sauce manufacturing",378.02069091796875,210034149.16992188,25938770.294189453,6313226.2229919434,11703454.971313477,952842.65279769897
102,Spice and extract manufacturing,10.727715492248535,9132007.5988769531,310592.83018112183,3973092.5559997559,83045.110106468201,27998.574078083038
103,All other food manufacturing,608.81353759765625,283354797.36328125,28876907.348632812,79712303.161621094,5058799.7436523438,860824.1081237793
104,Bottled and canned soft drinks & water,302.41775512695312,208646301.26953125,18005113.60168457,1142259.3593597412,9216955.1849365234,1548480.8683395386
105,Manufactured ice,80.459251403808594,9619544.9829101562,3619446.0391998291,115461.72201633453,-3152279.1385650635,77703.15557718277
106,Breweries,522.73614501953125,205985641.47949219,16877279.281616211,2386691.5702819824,11509371.757507324,14794043.54095459
107,Wineries,251.70095825195313,72509582.51953125,6452262.8784179688,952799.91626739502,2102594.8524475098,1915142.5361633301
108,Distilleries,43.331188201904297,41860198.974609375,3047439.5751953125,285964.16115760803,3960752.9640197754,8460971.8322753906
109,Tobacco product manufacturing,0,0,0,0,0,0
110,"Fiber, yarn, and thread mills",17.587944030761719,5895811.0809326172,981870.47243118286,-16128.713265061379,299354.40421104431,46221.68093919754
111,Broadwoven fabric mills,3.1258373260498047,560256.89840316772,26087.652891874313,-5630.5518373847008,8213.7305289506912,5240.5744791030884
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0
113,Nonwoven fabric mills,5.9459867477416992,2230266.0942077637,157329.9914598465,-3095.97491286695,102458.21624994278,18012.808635830879
114,Knit fabric mills,0,0,0,0,0,0
115,Textile and fabric finishing mills,13.701223373413086,3143554.2106628418,416928.17211151123,-10548.113845288754,86342.141032218933,21935.170516371727
116,Fabric coating mills,16.848512649536133,6439936.637878418,1420249.4621276856,-3771.5265061706305,359717.13066101074,34739.58745598793
117,Carpet and rug mills,24.219100952148438,7708354.9499511719,855482.39946365356,121747.88117408752,455368.93606185913,74395.410716533661
118,Curtain and linen mills,22.129432678222656,5011624.3362426758,462309.12208557129,1149216.2942886353,145188.48061561585,31542.077660560608
119,Textile bag and canvas mills,73.472038269042969,13601150.512695313,2129045.9632873535,3062392.4732208252,404508.35227966309,79587.735235691071
120,"Rope, cordage, twine, tire cord and tire fabric mills",80.402458190917969,22618051.528930664,4590890.4075622559,505519.09208297729,2373777.6279449463,162369.28105354309
121,Other textile product mills,108.51374816894531,18176195.14465332,3583352.0889282227,3814622.6406097412,577622.83086776733,105337.38136291504
122,Hosiery and sock mills,11.343683242797852,1013668.417930603,205665.2158498764,26016.280055046082,69240.62967300415,106151.20828151703
123,Other apparel knitting mills,11.34378719329834,1068104.1479110718,205665.2158498764,25664.489716291428,50728.66752743721,103253.73709201813
124,Cut and sew apparel contractors,165.55555725097656,6030598.6404418945,768238.1272315979,-9287.4467372894287,40632.199496030807,138705.74533939362
125,Mens and boys cut and sew apparel manufacturing,78.059059143066406,9386107.4447631836,1399504.4231414795,18353.765830397606,774238.34800720215,144834.66744422913
126,Womens and girls cut and sew apparel manufacturing,57.749500274658203,9152352.3330688477,236447.40879535675,16877.830028533936,91157.928109169006,138815.35828113556
127,Other cut and sew apparel manufacturing,35.838665008544922,3395480.3943634033,442990.89908599854,20913.343876600266,186025.15757083893,116421.81128263474
128,Apparel accessories and other apparel manufacturing,295.54348754882812,33317230.224609375,8923198.6999511719,-13493.958860635757,4628921.0319519043,226907.68539905548
129,Leather and hide tanning and finishing,39.27862548828125,11002974.510192871,486803.5614490509,46036.887913942337,673758.62598419189,51858.678460121155
130,Footwear manufacturing,37.277511596679688,6070394.0391540527,1316087.2459411621,19422.240555286407,281064.30172920227,27187.434956431389
131,Other leather and allied product manufacturing,152.295166015625,12592571.258544922,1333547.9497909546,123498.43233823776,94729.125499725342,70986.703038215637
132,Sawmills,1983.80322265625,625038330.078125,128999237.06054688,15368680.953979492,77659713.745117188,4059908.8668823242
133,Wood preservation,137.66517639160156,84992118.835449219,5825550.5561828613,4816261.7683410645,16029506.683349609,596718.13249588013
134,Veneer and plywood manufacturing,148.76748657226563,43584537.506103516,8022124.2904663086,2389154.6726226807,4842370.5101013184,280579.26893234253
135,Engineered wood member and truss manufacturing,960.428955078125,229603378.29589844,52525852.203369141,6806910.0379943848,26017808.91418457,1445356.9650650024
136,Reconstituted wood product manufacturing,111.28238677978516,65960189.819335938,7492273.8075256348,2213725.0900268555,13589136.123657227,456932.45530128479
137,Wood windows and door manufacturing,600.697265625,139282699.58496094,27699337.005615234,6922317.9817199707,14126926.422119141,1009917.140007019
138,"Cut stock, resawing lumber, and planing",477.10165405273438,120623558.04443359,19905086.517333984,6699140.0718688965,21825447.082519531,835899.65105056763
139,"Other millwork, including flooring",645.405517578125,144188293.45703125,30541278.839111328,8860901.8325805664,20103239.059448242,986371.45757675171
140,Wood container and pallet manufacturing,333.67977905273438,56037208.557128906,11542294.502258301,8387824.0585327148,3287775.2780914307,368499.42803382874
141,Manufactured home (mobile home) manufacturing,842.89129638671875,230014282.2265625,44574455.261230469,3152627.2296905518,44343795.776367188,1737157.2256088257
142,Prefabricated wood building manufacturing,558.84100341796875,97303665.161132812,27108779.907226562,4177976.131439209,5133468.6279296875,688945.7106590271
143,All other miscellaneous wood product manufacturing,584.32666015625,113461906.43310547,16468948.364257813,23954462.051391602,7038554.6684265137,747362.31565475464
144,Pulp mills,41.218517303466797,27248878.479003906,4048371.7918395996,1677.9586439952254,1079426.7654418945,209586.42661571503
145,Paper mills,597.69964599609375,432957641.6015625,55258663.177490234,2155.7947620749474,33809551.239013672,3363436.6989135742
146,Paperboard mills,593.7608642578125,474504119.87304688,57765972.137451172,0,31201072.692871094,3957687.6163482666
147,Paperboard container manufacturing,509.52822875976562,250941131.59179688,49326812.744140625,4377.5551021099091,9803369.5220947266,1812770.3666687012
148,Paper bag and coated and treated paper manufacturing,76.021957397460938,32692409.515380859,5090248.5847473145,2413.07751275599,1636917.7103042603,253564.77499008179
149,Stationery product manufacturing,9.6506185531616211,3354686.4986419678,341273.75483512878,4401.584155857563,57244.677096605301,29834.544286131859
150,Sanitary paper product manufacturing,19.469217300415039,13779662.132263184,1532451.3912200928,1211.9355378672481,1417079.0910720825,117317.49027967453
151,All other converted paper product manufacturing,0.89175623655319214,268375.27751922607,52025.478333234787,0,10100.864805281162,2860.7347048819065
152,Printing,1933.8468017578125,338747650.14648438,70312606.811523438,4622857.5706481934,94031669.616699219,2098844.5281982422
153,Support activities for printing,50.447105407714844,4986120.2239990234,872532.36770629883,232256.84463977814,1335542.3212051392,42037.904262542725
154,Petroleum refineries,26.297174453735352,190900161.74316406,2789033.4129333496,108210.89893579483,8249770.1644897461,7265548.7060546875
155,Asphalt paving mixture and block manufacturing,13.957000732421875,9665411.9491577148,444482.86294937134,129802.56974697113,106004.09656763077,147226.52733325958
156,Asphalt shingle and coating materials manufacturing,23.009212493896484,16701967.239379883,1301147.1033096314,142124.10151958466,1187851.7866134644,484291.61310195923
157,Petroleum lubricating oil and grease manufacturing,21.01634407043457,18489906.311035156,876023.11372756958,171182.37912654877,957869.05288696289,479495.31674385071
158,All other petroleum and coal products manufacturing,0,0,0,0,0,0
159,Petrochemical manufacturing,33.182636260986328,160534210.20507813,3127679.5864105225,46675.771474838257,1992486.4768981934,2759818.5539245605
160,Industrial gas manufacturing,19.650491714477539,15736480.712890625,1264864.2063140869,73146.432638168335,209821.22421264648,261236.31000518799
161,Synthetic dye and pigment manufacturing,0,0,0,0,0,0
162,Other basic inorganic chemical manufacturing,68.828659057617188,44902557.373046875,5298683.6433410645,370799.21364784241,615901.47018432617,627260.02931594849
163,Other basic organic chemical manufacturing,26.652240753173828,35425289.154052734,1251731.8725585938,103423.75189065933,117578.58842611313,412788.12289237976
164,Plastics material and resin manufacturing,11.796652793884277,13508975.028991699,169758.08143615723,182112.84279823303,10389.169678092003,167665.88389873505
165,Synthetic rubber manufacturing,0,0,0,0,0,0
166,Artificial and synthetic fibers and filaments manufacturing,0,0,0,0,0,0
167,Nitrogenous fertilizer manufacturing,153.63429260253906,128604934.69238281,8136000.6332397461,1679736.7334365845,1177868.3662414551,1737037.5394821167
168,Phosphatic fertilizer manufacturing,709.5186767578125,672757751.46484375,82642745.971679688,386390.38801193237,11899068.832397461,9341764.4500732422
169,Fertilizer mixing,47.298179626464844,22473258.972167969,1992301.2256622315,530570.74546813965,239654.36220169067,294536.62037849426
170,Pesticide and other agricultural chemical manufacturing,10.315738677978516,13382529.258728027,651999.35436248779,135840.81828594208,137513.14580440521,179061.59162521362
171,Medicinal and botanical manufacturing,168.86996459960938,79051544.189453125,14886078.834533691,369576.33495330811,1460249.5431900024,983873.12889099121
172,Pharmaceutical preparation manufacturing,256.70657348632812,257581695.55664063,23886550.903320312,100478.66404056549,7106247.9019165039,8851753.2348632812
173,In-vitro diagnostic substance manufacturing,0,0,0,0,0,0
174,Biological product (except diagnostic) manufacturing,137.91957092285156,61067138.671875,10953147.888183594,16542.941331863403,1650078.8927078247,923945.72496414185
175,Paint and coating manufacturing,17.477987289428711,10741890.907287598,207257.61353969574,424722.76091575623,24271.599948406219,142733.63351821899
176,Adhesive manufacturing,24.587131500244141,13646292.686462402,1680492.1627044678,50685.904920101166,131167.82903671265,153739.36295509338
177,Soap and other detergent manufacturing,32.319423675537109,28846410.751342773,794751.52492523193,371368.22938919067,220737.56158351898,429280.51948547363
178,Polish and other sanitation good manufacturing,8.0318231582641602,3992122.4117279053,162678.67386341095,190063.07423114777,20175.89658498764,57617.496699094772
179,Surface active agent manufacturing,0,0,0,0,0,0
180,Toilet preparation manufacturing,838.4766845703125,510534729.00390625,46746269.226074219,699907.24325180054,14622975.34942627,9057627.6779174805
181,Printing ink manufacturing,0,0,0,0,0,0
182,Explosives manufacturing,0,0,0,0,0,0
183,Custom compounding of purchased resins,0,0,0,0,0,0
184,Photographic film and chemical manufacturing,323.65243530273438,218049545.28808594,38970233.917236328,76458.32747220993,4852259.1590881348,2358634.4718933105
185,Other miscellaneous chemical product manufacturing,189.78823852539063,107899856.56738281,20797616.958618164,1177841.9017791748,1188581.7050933838,1261737.1082305908
186,Plastics packaging materials and unlaminated film and sheet manufacturing,259.99484252929688,113718078.61328125,15445591.926574707,75250.223278999329,13246076.583862305,521793.60389709473
187,Unlaminated plastics profile shape manufacturing,61.457221984863281,24881307.601928711,2673563.7187957764,75487.487018108368,4247877.5978088379,110811.88917160034
188,Plastics pipe and pipe fitting manufacturing,487.54464721679688,221354522.70507813,21589185.71472168,129719.18284893036,40583816.528320312,1141564.9652481079
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",110.43216705322266,36495590.209960938,6203032.9704284668,78944.131731987,7052126.407623291,166563.57049942017
190,Polystyrene foam product manufacturing,116.57286071777344,43890926.361083984,8119330.4061889648,99775.806069374084,6880110.7406616211,203536.00382804871
191,Urethane and other foam product (except polystyrene) manufacturing,31.8704833984375,11392876.625061035,1563443.8991546631,24364.778771996498,1273440.2418136597,55341.277271509171
192,Plastics bottle manufacturing,101.26990509033203,42994094.848632812,5590660.0952148438,62637.127935886383,4688354.0153503418,190686.10668182373
193,Other plastics product manufacturing,757.0694580078125,206886947.63183594,37287342.071533203,1574356.1983108521,23872823.715209961,958742.14172363281
194,Tire manufacturing,64.023544311523438,23969572.067260742,3709194.8986053467,81544.287502765656,1642041.6831970215,150336.17615699768
195,Rubber and plastics hoses and belting manufacturing,21.437801361083984,7450582.0274353027,1747447.0138549805,129820.74916362763,1379421.4725494385,29583.606868982315
196,Other rubber product manufacturing,38.12335205078125,11154044.151306152,1324826.0021209717,346278.19061279297,836261.98768615723,60172.080993652344
197,"Pottery, ceramics, and plumbing fixture manufacturing",22.710739135742188,2851343.1549072266,587636.76881790161,123371.70541286469,126066.93804264069,30481.53780400753
198,"Brick, tile, and other structural clay product manufacturing",58.290302276611328,11761918.067932129,1385299.0865707398,483016.4909362793,855842.59033203125,144228.14548015595
199,Flat glass manufacturing,0,0,0,0,0,0
200,Other pressed and blown glass and glassware manufacturing,0,0,0,0,0,0
201,Glass container manufacturing,0,0,0,0,0,0
202,Glass product manufacturing made of purchased glass,103.03728485107422,19335947.036743164,1672727.2272109985,847731.76908493042,828628.7784576416,200421.79524898529
203,Cement manufacturing,36.600715637207031,24595348.358154297,4059792.5186157227,6640.9623250365257,4601561.0694885254,208296.53739929199
204,Ready-mix concrete manufacturing,993.8045654296875,387910217.28515625,68080123.901367188,445347.93496131897,36973293.304443359,3158051.9676208496
