Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7928498.4049893618,1547475338618.7554,468920890275.27722,54158685430.695297,284445009348.24628,60116426255.781013
1,Oilseed farming,11453.8876953125,6251526367.1875,8833423.6145019531,1034025390.625,1449730468.75,-2563276.2908935547
2,Grain farming,33146.5078125,8393161132.8125,333711517.33398438,580005554.19921875,1256541137.6953125,18768791.198730469
3,Vegetable and melon farming,812.4422607421875,110466194.15283203,11787714.004516602,3433204.6508789062,9676516.5328979492,8806.5331801772118
4,Fruit farming,215.37260437011719,20402959.823608398,2091093.7786102295,745343.80435943604,2505087.8524780273,2181.7316301167011
5,Tree nut farming,16.806268692016602,819915.35425186157,285304.69536781311,24018.872529268265,14669.384807348251,138.59457976650447
6,"Greenhouse, nursery, and floriculture production",2911.6982421875,403048614.50195312,69291641.235351562,11539965.629577637,28033212.661743164,13953.426852822304
7,Tobacco farming,7.3661518096923828,752789.55698013306,135344.34139728546,28110.792860388756,78378.714621067047,-11587.124317884445
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3177.38427734375,75836448.669433594,13108261.108398438,2471690.6547546387,5481717.586517334,-2868622.0645904541
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",5391.1728515625,614077941.89453125,5149215.2214050293,31513690.948486328,66945144.653320312,10066019.058227539
12,Dairy cattle and milk production,596.0020751953125,309869995.1171875,7708699.2263793945,5781083.5838317871,11502230.644226074,3629897.8328704834
13,Poultry and egg production,279.8065185546875,172117385.86425781,5549937.7250671387,797448.75431060791,2576349.7352600098,732415.19927978516
14,"Animal production, except cattle and poultry and eggs",12562.8759765625,1308870727.5390625,78658500.671386719,178680267.33398438,320337982.17773438,21966997.146606445
15,"Forestry, forest products, and timber tract production",698.1580810546875,53424781.799316406,34252693.176269531,256311.23781204224,4483862.8768920898,812567.53206253052
16,Commercial logging,1172.2772216796875,84818504.333496094,36951717.376708984,720451.29537582397,5955817.2225952148,1913249.4926452637
17,Commercial fishing,456.24020385742188,5831638.3361816406,588251.35231018066,-818180.44185638428,1381030.0827026367,4583105.5641174316
18,Commercial hunting and trapping,398.15036010742188,10883687.019348145,1017073.8697052002,-65322.250127792358,45316.815376281738,3251569.2710876465
19,Support activities for agriculture and forestry,10419.162109375,495398651.12304688,271493835.44921875,197170745.84960938,-66267059.326171875,14495151.519775391
20,Oil and gas extraction,14250.2685546875,3342852294.921875,40981616.973876953,60225425.720214844,-44968166.351318359,46866928.100585938
21,Coal mining,2660.929931640625,1144244384.765625,266310363.76953125,9102292.0608520508,292450958.25195312,88957420.349121094
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,49.982341766357422,15304809.5703125,196390.58411121368,2540242.1951293945,142334.92314815521,1866778.8505554199
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
