Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3939141.4944887161,791723648646.71228,191760661225.65418,30057109282.34877,131483544948.58627,21461610932.255863
1,Oilseed farming,7401.46435546875,3030011230.46875,5848487.8540039062,433530181.88476562,708787841.796875,-6608194.8280334473
2,Grain farming,19364.4765625,3631280761.71875,197224945.06835938,217068298.33984375,548380249.0234375,4621429.443359375
3,Vegetable and melon farming,1282.3724365234375,127463623.046875,18579875.946044922,3426782.3696136475,11262808.799743652,27844.322845339775
4,Fruit farming,185.53739929199219,12894574.165344238,1805276.5130996704,407474.51782226562,1597009.7780227661,3764.9029400199652
5,Tree nut farming,11.636960983276367,411864.39990997314,195771.99220657349,10436.811484396458,7433.0652132630348,192.23429262638092
6,"Greenhouse, nursery, and floriculture production",1308.3563232421875,130771957.39746094,30711032.867431641,3238856.315612793,9174889.5645141602,12559.919618070126
7,Tobacco farming,34.077140808105469,2535388.9465332031,622683.70389938354,81898.145377635956,266280.85970878601,-30009.094625711441
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,4478.84814453125,79762550.354003906,18833129.8828125,2248770.4753875732,5815786.8385314941,-2263957.5004577637
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4316.13623046875,368599975.5859375,4222106.93359375,16362928.39050293,40534206.390380859,33407203.674316406
12,Dairy cattle and milk production,1712.5513916015625,653276977.5390625,22200119.018554688,10542826.652526856,24460803.985595703,15532765.38848877
13,Poultry and egg production,3388.873291015625,1533907714.84375,67564559.936523438,6147623.0621337891,23160615.921020508,7122589.111328125
14,"Animal production, except cattle and poultry and eggs",16775.548828125,1300433227.5390625,106756263.73291016,153566986.08398438,321048431.39648438,40426258.087158203
15,"Forestry, forest products, and timber tract production",272.27297973632812,25492656.707763672,12140772.819519043,6679262.638092041,932409.82294082642,428835.6602191925
16,Commercial logging,1384.2529296875,161718170.16601563,24485057.830810547,88519447.326660156,-3092998.5046386719,5427125.9307861328
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,454.99725341796875,11178113.93737793,84342.151880264282,-6250.5616806447506,-3248212.0990753174,6726464.7483825684
19,Support activities for agriculture and forestry,7826.638671875,403173156.73828125,175652160.64453125,335197021.484375,-181340881.34765625,14692961.692810059
20,Oil and gas extraction,4572.40478515625,1071726928.7109375,9746644.9737548828,32868408.203125,-19547019.958496094,9139381.4086914062
