Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1943151.3614356518,368095248565.55457,88383616044.796997,16947908489.266405,55485055314.239578,11861036538.85037
1,Oilseed farming,1594.1556396484375,1643547241.2109375,3541006.326675415,472484008.7890625,189433181.76269531,-4110612.8692626953
2,Grain farming,12332.5927734375,4460500000,270414947.50976562,535734863.28125,331900054.93164062,-17314687.728881836
3,Vegetable and melon farming,141.18305969238281,21907266.616821289,3564428.5678863525,1183363.7952804565,953785.0022315979,2179.1674662381411
4,Fruit farming,28.188398361206055,3225376.8444061279,504036.90338134766,204787.64176368713,196826.18975639343,406.5688990522176
5,Tree nut farming,58.995723724365234,2933519.6018218994,1556433.0816268921,149359.330534935,26085.821911692619,693.10789695009589
6,"Greenhouse, nursery, and floriculture production",453.79049682617188,60053249.359130859,15742055.892944336,2988431.9305419922,2075986.8621826172,3099.4515400379896
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,868.4354248046875,125171997.0703125,35328933.715820312,7078659.0576171875,5736868.3815002441,-686355.1139831543
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,5368.02490234375,213817474.36523438,56352321.624755859,12112091.064453125,7681649.6849060059,-3930490.7321929932
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",38972.69921875,8301773437.5,106142662.04833984,740468200.68359375,449820343.01757812,93620605.46875
12,Dairy cattle and milk production,901.7410888671875,567323974.609375,21519601.821899414,18395883.560180664,10466617.584228516,507440.56701660156
13,Poultry and egg production,128.47966003417969,100412475.5859375,4936880.1116943359,808584.69009399414,747034.01327133179,136623.50177764893
14,"Animal production, except cattle and poultry and eggs",3500.62353515625,572618652.34375,52470592.498779297,135864227.29492188,69654609.680175781,6519291.4009094238
15,"Forestry, forest products, and timber tract production",124.59177398681641,10477929.11529541,6919562.3397827148,0,1127888.0834579468,0
16,Commercial logging,317.00051879882812,20936723.709106445,7584067.3446655273,642491.04261398315,1439571.738243103,649458.88519287109
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,478.4755859375,11075298.309326172,884609.8780632019,-65558.068454265594,-3188787.2219085693,5408720.9701538086
19,Support activities for agriculture and forestry,9665.8779296875,480170104.98046875,204567001.34277344,260344757.08007813,-71199371.337890625,13627584.457397461
20,Oil and gas extraction,31076.041015625,7707803222.65625,143441543.57910156,535025329.58984375,-268010528.56445313,232322235.10742188
21,Coal mining,106.75330352783203,25711086.273193359,2248381.6146850586,1644030.3325653076,-475611.53769493103,2739446.6400146484
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1099.81494140625,196546981.81152344,57748069.763183594,4901401.9966125488,-12048786.163330078,14839223.861694336
29,Sand and gravel mining,602.01348876953125,86149009.704589844,26981166.839599609,4556093.2159423828,-2275838.6135101318,6859393.5966491699
30,"Other clay, ceramic, refractory minerals mining",49.321964263916016,8832874.2980957031,3223690.7482147217,64103.752374649048,-282753.85499000549,536580.02614974976
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,100.70408630371094,19855607.986450195,7931923.8662719727,171777.97853946686,-414219.37942504883,1616410.1362228394
34,Other nonmetallic minerals,44.900798797607422,5208026.4091491699,248797.78921604157,704144.06061172485,-21043.792366981506,546671.39053344727
35,Drilling oil and gas wells,3422.739501953125,885223999.0234375,66321289.0625,40775669.097900391,-30170732.498168945,25684976.577758789
36,Support activities for oil and gas operations,7071.56787109375,1414881347.65625,171532348.6328125,62148586.273193359,-51200763.702392578,48630573.272705078
37,Metal mining services,3340.8603515625,813861694.3359375,15420812.606811523,57503025.054931641,-28605298.99597168,24865278.244018555
38,Other nonmetallic minerals services,3361.961181640625,811108215.33203125,16413904.190063477,57499008.178710938,-28863862.991333008,25120939.254760742
39,Electric power generation - Hydroelectric,4.6461524963378906,3220963.716506958,808987.73670196533,0,1158204.5555114746,171536.86285018921
40,Electric power generation - Fossil fuel,1205.5068359375,1638503051.7578125,168675888.06152344,-290940.76156616211,331052917.48046875,137827423.09570313
41,Electric power generation - Nuclear,934.08819580078125,916620727.5390625,193281021.11816406,0,173466842.65136719,68878326.416015625
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,522.62042236328125,635698059.08203125,46286472.320556641,-294768.15462112427,253624938.96484375,46789337.158203125
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,2069.316650390625,2633805664.0625,273422119.140625,-75647.614896297455,515183593.75,223044036.86523438
48,Natural gas distribution,2264.471435546875,1485001342.7734375,191406707.76367188,392762.48216629028,265189910.88867188,93359001.159667969
49,"Water, sewage and other systems",217.1954345703125,41265960.693359375,7030813.2171630859,-348964.92958068848,6546619.8921203613,3183022.2606658936
50,Construction of new health care structures,2742.3984375,382776550.29296875,105262611.38916016,50670024.871826172,55717979.431152344,2292492.3896789551
51,Construction of new manufacturing structures,4666.99951171875,665580688.4765625,189136352.5390625,80113456.726074219,63115722.65625,4413635.7307434082
52,Construction of new power and communication structures,6400.4638671875,1019436706.5429688,244032974.24316406,119017036.43798828,181414886.47460938,11800100.326538086
53,Construction of new educational and vocational structures,7456.48828125,909937622.0703125,307844543.45703125,105767333.984375,118213821.41113281,4415093.4219360352
54,Construction of new highways and streets,5823.4609375,1096560058.59375,235686569.21386719,97908935.546875,194600936.88964844,9104722.9766845703
55,"Construction of new commercial structures, including farm structures",10810.419921875,1300040527.34375,400267883.30078125,194445465.08789063,83246414.184570312,14559572.219848633
56,Construction of other new nonresidential structures,13829.9443359375,1076027709.9609375,523684326.171875,253143478.39355469,-339479492.1875,6837158.6799621582
57,Construction of new single-family residential structures,16801.650390625,2237530273.4375,622579711.9140625,322265258.7890625,280197204.58984375,17037420.272827148
58,Construction of new multifamily residential structures,5203.8828125,515422729.4921875,194227645.87402344,100133064.27001953,94009613.037109375,3340223.0739593506
59,Construction of other new residential structures,11837.69140625,2218199462.890625,448825378.41796875,221575500.48828125,251593673.70605469,19454475.402832031
60,Maintenance and repair construction of nonresidential structures,7997.23388671875,1523957763.671875,302818939.20898438,152882568.359375,139079330.44433594,12756740.570068359
61,Maintenance and repair construction of residential structures,3914.880615234375,776587280.2734375,140504302.97851563,66274566.650390625,83845634.460449219,17851478.576660156
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",2904.964599609375,273652801.51367188,111873992.91992188,54695480.346679688,-55567867.279052734,2594899.8928070068
63,Dog and cat food manufacturing,2640.854248046875,3592857421.875,188107284.54589844,3480340.2423858643,562551086.42578125,42950515.747070312
64,Other animal food manufacturing,1559.8939208984375,1653786010.7421875,138694763.18359375,14277826.309204102,95553085.327148438,14400279.045104981
65,Flour milling,950.4761962890625,1120547485.3515625,86267074.584960938,4072400.5699157715,97736579.895019531,4050515.1748657227
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,35.533210754394531,68298187.255859375,4070113.1820678711,251502.66289710999,5589548.5877990723,319464.26630020142
69,Soybean and other oilseed processing,128.33477783203125,599193359.375,9375037.1932983398,936431.58674240112,40006515.502929688,2212392.3301696777
70,Fats and oils refining and blending,388.0701904296875,623317810.05859375,32048385.620117188,346599.25103187561,33065567.016601562,2330845.3559875488
71,Breakfast cereal manufacturing,114.41074371337891,98340202.331542969,9153069.4961547852,67830.033600330353,14407225.608825684,419089.70475196838
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,74.637054443359375,31867422.103881836,4295220.8518981934,1044592.3805236816,2192759.0370178223,118054.65072393417
75,Chocolate and confectionery manufacturing from cacao beans,165.39738464355469,114362152.09960938,11277321.815490723,239684.64136123657,13640964.508056641,522731.30416870117
76,Confectionery manufacturing from purchased chocolate,1422.032470703125,497838867.1875,69909629.821777344,4367934.7038269043,33650890.350341797,1953436.017036438
77,"Frozen fruits, juices and vegetables manufacturing",62.252174377441406,29018213.272094727,3048723.4592437744,1875471.3535308838,2865619.421005249,114609.61401462555
78,Frozen specialties manufacturing,1228.2384033203125,467912445.06835938,68460998.53515625,3045075.4165649414,39323265.075683594,1467276.6923904419
79,Canned fruits and vegetables manufacturing,163.89114379882813,78277671.813964844,5898335.9336853027,3209192.0375823975,5286904.3350219727,274788.2604598999
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,67.019668579101562,31026205.062866211,3955549.955368042,665294.1107749939,3729305.0289154053,110081.08407258987
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",255.97480773925781,337097900.390625,16790788.650512695,736014.00852203369,29172134.399414062,1324563.3840560913
84,Fluid milk manufacturing,207.46035766601563,150366455.078125,11020047.187805176,3602868.0801391602,7955077.6481628418,687317.3713684082
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,1522.09375,132493515.01464844,37798385.620117188,6765536.7851257324,8945429.801940918,18053199.768066406
88,Poultry processing,29.587274551391602,9198840.1412963867,1048962.2354507446,606896.87728881836,380514.32371139526,32379.44096326828
89,"Animal, except poultry, slaughtering",11730.134765625,8186021484.375,765165710.44921875,12669816.970825195,295480346.6796875,38378532.409667969
90,Meat processed from carcasses,6774.82080078125,3484889892.578125,389115997.31445312,4447893.6195373535,27695398.330688477,14266398.429870606
91,Rendering and meat byproduct processing,148.68937683105469,54730735.778808594,10276205.062866211,123637.05784082413,-478269.27900314331,263206.77995681763
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",3120.016357421875,479101715.08789062,116503356.93359375,42131870.269775391,41271781.921386719,18964656.829833984
94,Cookie and cracker manufacturing,444.48196411132812,176745025.63476563,38018642.425537109,2421277.2846221924,19176250.457763672,673834.44309234619
95,"Dry pasta, mixes, and dough manufacturing",263.26824951171875,168357559.20410156,21513027.191162109,1741328.1202316284,32169776.916503906,681686.34176254272
96,Tortilla manufacturing,159.37492370605469,39944843.292236328,6416668.4150695801,6533643.2456970215,1494894.0277099609,160076.5734910965
97,Roasted nuts and peanut butter manufacturing,128.95002746582031,52262519.836425781,7236516.9525146484,0,1524622.2019195557,0
98,Other snack food manufacturing,984.19451904296875,473593048.09570312,39618503.570556641,2819491.6248321533,49075641.632080078,2695469.1410064697
99,Coffee and tea manufacturing,97.739036560058594,67294868.469238281,1856117.0101165772,11338281.631469727,2013473.9875793457,270186.54346466064
100,Flavoring syrup and concentrate manufacturing,472.19985961914062,1457457275.390625,52455169.677734375,2916764.497756958,470030944.82421875,4904083.7287902832
101,"Mayonnaise, dressing, and sauce manufacturing",0,0,0,0,0,0
102,Spice and extract manufacturing,652.52008056640625,403724578.85742188,66942024.230957031,6455557.3463439941,40646839.141845703,1532185.3160858154
103,All other food manufacturing,2041.13037109375,741760253.90625,112291343.68896484,16109313.96484375,44673336.029052734,2607179.4033050537
104,Bottled and canned soft drinks & water,620.57647705078125,471141601.5625,46643722.534179688,631513.35716247559,54223819.732666016,2872430.3245544434
105,Manufactured ice,106.85184478759766,14413817.405700684,4613296.5087890625,207004.44281101227,-2397924.6616363525,93387.573957443237
106,Breweries,193.910400390625,76513343.811035156,4392448.4252929688,845469.53439712524,6802383.8996887207,4965452.1942138672
107,Wineries,141.14999389648438,41708038.330078125,3333990.5738830566,677919.20900344849,2467250.3471374512,972360.37254333496
108,Distilleries,39.354564666748047,34805049.896240234,987181.06746673584,242397.36795425415,2913699.6269226074,6952435.0166320801
109,Tobacco product manufacturing,29.540349960327148,71754631.042480469,1141546.1301803589,18892.977386713028,13335427.284240723,16979560.852050781
110,"Fiber, yarn, and thread mills",5.8384866714477539,1611642.599105835,115220.95650434494,-23574.003949761391,-29634.429141879082,27763.586491346359
111,Broadwoven fabric mills,0,0,0,0,0,0
112,Narrow fabric mills and schiffli machine embroidery,18.052236557006836,2681207.1800231934,612012.98236846924,-12289.740145206451,-37497.784942388535,32449.644058942795
113,Nonwoven fabric mills,0,0,0,0,0,0
114,Knit fabric mills,5.7298245429992676,924874.48453903198,34506.537020206451,-2734.5689013600349,-7541.5936298668385,15867.657959461212
115,Textile and fabric finishing mills,75.734443664550781,16491273.880004883,2207178.5926818848,-61669.21928524971,-403635.38265228271,217995.43499946594
116,Fabric coating mills,0,0,0,0,0,0
117,Carpet and rug mills,22.825386047363281,6657946.5866088867,1182968.7356948853,-6173.7624928355217,-490012.49670982361,126667.90187358856
118,Curtain and linen mills,32.110660552978516,5544020.1759338379,1175497.29347229,-8780.8100506663322,-382468.84942054749,82540.497183799744
119,Textile bag and canvas mills,474.86785888671875,69236625.671386719,20118244.171142578,-11863.036081194878,-3022552.0133972168,927585.84022521973
120,"Rope, cordage, twine, tire cord and tire fabric mills",232.99102783203125,52436550.140380859,12665969.848632813,-3019.7582673281431,-4501674.6520996094,850158.27417373657
121,Other textile product mills,626.0928955078125,78201744.079589844,22655958.17565918,-45826.997607946396,-3751257.6580047607,1096145.1530456543
122,Hosiery and sock mills,22.71135139465332,2214169.979095459,429468.51253509521,2055.6822419166565,192831.33745193481,375341.80283546448
123,Other apparel knitting mills,22.711521148681641,2304894.9241638184,429468.51253509521,2027.885289862752,141276.5383720398,365096.5690612793
124,Cut and sew apparel contractors,118.92001342773438,4902018.5470581055,710479.19988632202,68007.379770278931,49684.390425682068,415996.31309509277
125,Mens and boys cut and sew apparel manufacturing,315.78585815429688,44646709.442138672,13651716.232299805,26371.076703071594,1696932.7926635742,754434.28754806519
126,Womens and girls cut and sew apparel manufacturing,372.690673828125,81941925.048828125,20606071.472167969,161883.54790210724,4216690.0634765625,1010900.616645813
127,Other cut and sew apparel manufacturing,74.3316650390625,7787947.6547241211,1585778.5940170288,45122.675597667694,278728.30629348755,425337.5232219696
128,Apparel accessories and other apparel manufacturing,111.26856994628906,11288857.460021973,3014714.4794464111,44957.723468542099,411249.66740608215,456957.10182189941
129,Leather and hide tanning and finishing,69.728141784667969,19678508.758544922,1712220.6687927246,4940.561018884182,458107.08403587341,204596.01283073425
130,Footwear manufacturing,0,0,0,0,0,0
131,Other leather and allied product manufacturing,70.091140747070312,5556262.0162963867,420818.030834198,7915.726862847805,5778.6442339420319,73090.881109237671
132,Sawmills,48.642227172851562,11715173.721313477,387205.71994781494,898095.54815292358,493050.84347724915,154675.2005815506
133,Wood preservation,19.317825317382812,12234780.311584473,561242.52080917358,177996.51622772217,3266442.5373077393,128984.67481136322
134,Veneer and plywood manufacturing,0,0,0,0,0,0
135,Engineered wood member and truss manufacturing,405.97763061523438,97914001.46484375,16556058.883666992,2704392.4331665039,17345861.434936523,942340.97003936768
136,Reconstituted wood product manufacturing,24.568656921386719,12475055.694580078,515636.68251037598,506233.63256454468,1978168.7259674072,156409.96396541596
137,Wood windows and door manufacturing,273.4688720703125,74885292.053222656,15176909.446716309,1871570.9447860718,16372045.516967773,708650.23136138916
138,"Cut stock, resawing lumber, and planing",11.60600471496582,2946933.2695007324,310096.26388549805,150352.3588180542,719178.91502380371,31447.060406208038
139,"Other millwork, including flooring",184.60444641113281,43120895.385742188,7197214.6034240723,1528460.1449966431,10020388.603210449,435237.79511451721
140,Wood container and pallet manufacturing,485.11819458007812,77594627.380371094,16052709.579467773,3866300.3444671631,9671627.9983520508,825581.19297027588
141,Manufactured home (mobile home) manufacturing,256.15069580078125,78267494.201660156,11480483.055114746,424734.92026329041,24157293.319702148,812546.84925079346
142,Prefabricated wood building manufacturing,216.9068603515625,38952663.421630859,9674530.9829711914,1626773.5958099365,3875004.0531158447,412642.44914054871
143,All other miscellaneous wood product manufacturing,337.53805541992188,66613937.377929688,13773194.313049316,2033159.7328186035,12450695.991516113,663542.03224182129
144,Pulp mills,0,0,0,0,0,0
145,Paper mills,30.65325927734375,23718814.849853516,2479988.5749816895,24714.978411793709,3447853.8036346436,302360.74328422546
146,Paperboard mills,155.50726318359375,131534362.79296875,13343830.108642578,60933.571308851242,16377141.952514648,1815975.7852554321
147,Paperboard container manufacturing,1197.0015869140625,612569396.97265625,109239456.17675781,193901.28552913666,49332370.758056641,7463543.4150695801
148,Paper bag and coated and treated paper manufacturing,165.06512451171875,75915847.778320312,11001934.051513672,87667.748332023621,8039278.0303955078,964893.04304122925
149,Stationery product manufacturing,206.92243957519531,80520553.588867188,11926449.775695801,278346.7173576355,4545729.1603088379,1119815.1111602783
150,Sanitary paper product manufacturing,0,0,0,0,0,0
151,All other converted paper product manufacturing,78.673835754394531,25389940.26184082,4814139.8429870605,161645.12932300568,2123837.7094268799,346704.1552066803
152,Printing,7412.17333984375,1352454223.6328125,349234039.30664062,11945220.947265625,335032470.703125,13541244.506835938
153,Support activities for printing,1242.0584716796875,216365173.33984375,80172927.856445312,439007.52067565918,72466323.852539062,1642061.4719390869
154,Petroleum refineries,1555.1236572265625,13144514648.4375,294592498.77929688,6508919.7158813477,2582220947.265625,60874416.351318359
155,Asphalt paving mixture and block manufacturing,97.353996276855469,79415306.091308594,9275111.198425293,1793181.0617446899,6554964.0655517578,145241.78206920624
156,Asphalt shingle and coating materials manufacturing,202.10502624511719,203524780.2734375,21750703.811645508,2988612.174987793,58842723.846435547,603122.0555305481
157,Petroleum lubricating oil and grease manufacturing,539.50335693359375,643953491.2109375,53750606.536865234,3430488.109588623,174163665.77148438,1741210.5798721314
158,All other petroleum and coal products manufacturing,0,0,0,0,0,0
159,Petrochemical manufacturing,720.67840576171875,3874467529.296875,111503448.48632813,63972.18257188797,385049804.6875,63437198.638916016
160,Industrial gas manufacturing,115.56278991699219,109711471.55761719,13666210.174560547,225581.24363422394,12288788.795471191,1625022.5305557251
161,Synthetic dye and pigment manufacturing,12.485675811767578,8535249.7100830078,1099838.9720916748,34094.516187906265,763820.64819335938,102794.88563537598
162,Other basic inorganic chemical manufacturing,694.6602783203125,532770874.0234375,87448860.168457031,120950.58709383011,55100158.69140625,6683784.008026123
163,Other basic organic chemical manufacturing,1073.8619384765625,1509945556.640625,92516937.255859375,1393345.4751968384,47107887.268066406,17555805.206298828
164,Plastics material and resin manufacturing,251.92253112792969,305314941.40625,17764734.268188477,728113.35325241089,5893381.5956115723,3755622.1485137939
165,Synthetic rubber manufacturing,0,0,0,0,0,0
166,Artificial and synthetic fibers and filaments manufacturing,88.189704895019531,63517089.84375,7830945.0149536133,122399.81442689896,1952560.4248046875,644207.35836029053
167,Nitrogenous fertilizer manufacturing,250.88050842285156,257597625.73242188,36266300.201416016,658520.51973342896,28460626.602172852,2992714.8818969727
168,Phosphatic fertilizer manufacturing,43.568916320800781,41278934.478759766,3202086.2102508545,61376.675963401794,2499175.3101348877,607565.52219390869
169,Fertilizer mixing,112.98685455322266,59082744.598388672,7051373.9585876465,310048.99740219116,4597899.9137878418,741616.90473556519
170,Pesticide and other agricultural chemical manufacturing,82.956069946289062,112107269.28710938,5488158.2260131836,94588.741660118103,6274500.846862793,1513110.5184555054
171,Medicinal and botanical manufacturing,73.701690673828125,36501983.642578125,6044924.7360229492,12231.625616550446,3214349.7467041016,454079.68759536743
172,Pharmaceutical preparation manufacturing,1604.290283203125,1817417968.75,152304870.60546875,793663.74015808105,245615722.65625,58581256.866455078
173,In-vitro diagnostic substance manufacturing,373.76071166992188,131993789.67285156,25004457.473754883,43225.500732660294,8129513.7405395508,1595926.04637146
174,Biological product (except diagnostic) manufacturing,612.028076171875,330648651.12304688,63449932.098388672,153200.87969303131,51814628.601074219,4342239.3798828125
175,Paint and coating manufacturing,188.32638549804688,132416412.35351563,14109740.257263184,601843.95313262939,8956995.964050293,1612414.9560928345
176,Adhesive manufacturing,53.067897796630859,30834690.093994141,3394434.928894043,549402.11772918701,1436196.0887908936,352474.3914604187
177,Soap and other detergent manufacturing,517.796630859375,558440063.4765625,46600433.349609375,1374217.8678512573,70160110.473632812,7247290.6112670898
178,Polish and other sanitation good manufacturing,295.923583984375,164994812.01171875,18059059.143066406,1344252.4671554565,12140953.063964844,2227841.854095459
179,Surface active agent manufacturing,0,0,0,0,0,0
180,Toilet preparation manufacturing,0,0,0,0,0,0
181,Printing ink manufacturing,338.33901977539062,146852645.87402344,29792804.718017578,135287.86599636078,407180.27949333191,1526649.2366790772
182,Explosives manufacturing,30.429927825927734,11164347.648620606,2706331.9683074951,66820.614039897919,196037.23287582398,122032.5231552124
183,Custom compounding of purchased resins,69.7481689453125,35691146.850585938,4519527.4353027344,89880.257844924927,2047234.058380127,416298.68745803833
184,Photographic film and chemical manufacturing,32.271091461181641,20338928.22265625,1571389.7943496704,327628.31449508667,1060596.8236923218,250092.95344352722
185,Other miscellaneous chemical product manufacturing,499.28878784179688,269091461.18164062,33733318.328857422,1798479.437828064,10450329.780578613,3508411.4074707031
186,Plastics packaging materials and unlaminated film and sheet manufacturing,927.3841552734375,393572174.07226562,51743804.931640625,-1829292.1781539917,38459449.768066406,4044345.3788757324
187,Unlaminated plastics profile shape manufacturing,65.783454895019531,26933546.06628418,3341283.5597991943,-291144.31142807007,4601047.9927062988,257635.38479804993
188,Plastics pipe and pipe fitting manufacturing,835.9189453125,387547363.28125,43567455.291748047,-1998983.5023880005,70980789.184570312,4253369.3313598633
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",695.55059814453125,231616241.45507813,42952804.565429688,-769969.16532516479,42322326.66015625,2278884.1724395752
190,Polystyrene foam product manufacturing,297.98208618164062,107131973.26660156,19177375.793457031,-336310.86349487305,14084012.031555176,1130171.537399292
191,Urethane and other foam product (except polystyrene) manufacturing,226.29684448242188,77235649.108886719,10725578.308105469,-2101510.0479125977,7571448.802947998,854133.78477096558
192,Plastics bottle manufacturing,257.1634521484375,109383415.22216797,15353453.636169434,-614160.83574295044,11159001.350402832,1052166.5811538696
193,Other plastics product manufacturing,4136.9375,1158063354.4921875,242025939.94140625,-12103476.524353027,134296997.0703125,11374819.755554199
194,Tire manufacturing,1325.40771484375,555829833.984375,121937301.63574219,-285428.70283126831,46784618.377685547,6759161.9491577148
195,Rubber and plastics hoses and belting manufacturing,1310.8585205078125,402363586.42578125,86033401.489257812,-1082125.7829666138,58860244.750976562,3916803.5984039307
196,Other rubber product manufacturing,226.01644897460938,75059875.48828125,15821183.204650879,-1094206.4523696899,8655346.8704223633,771962.10622787476
197,"Pottery, ceramics, and plumbing fixture manufacturing",20.179723739624023,4933894.6342468262,75698.442757129669,3073294.4011688232,14931.834302842617,38391.441106796265
198,"Brick, tile, and other structural clay product manufacturing",272.188720703125,68643402.099609375,12937193.870544434,5901306.6291809082,7348935.1272583008,942513.108253479
199,Flat glass manufacturing,134.34205627441406,47853210.44921875,7254905.2238464355,1897973.895072937,5677501.6784667969,579614.69888687134
200,Other pressed and blown glass and glassware manufacturing,278.38522338867188,65890830.993652344,16900928.497314453,3019335.2699279785,5280799.8657226562,668497.92003631592
201,Glass container manufacturing,0,0,0,0,0,0
202,Glass product manufacturing made of purchased glass,173.8687744140625,41704708.099365234,6666281.2232971191,4893589.4966125488,3036354.7801971436,473686.48648262024
203,Cement manufacturing,360.16091918945312,221463928.22265625,30743160.247802734,1113792.3002243042,32039363.861083984,2887859.8213195801
204,Ready-mix concrete manufacturing,1435.66015625,543626892.08984375,83070831.298828125,9234775.5432128906,41481109.619140625,6427868.8430786133
205,Concrete block and brick manufacturing,249.17109680175781,77362113.952636719,15071958.541870117,1424688.6968612671,9627334.5947265625,1070904.1357040405
