Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2543999.5933722258,466275411890.08948,118962064961.03293,13033664458.84935,65811981655.580399,15592963426.007248
1,Oilseed farming,3761.34326171875,911369934.08203125,2038191.3185119629,414586730.95703125,287136627.19726562,-56914791.107177734
2,Grain farming,8182.8427734375,922909973.14453125,58078079.223632812,175404815.67382813,187716812.13378906,-52126808.166503906
3,Vegetable and melon farming,484.82830810546875,29464046.478271484,4976222.9919433594,2518478.6319732666,3506507.1582794189,8203.6983221769333
4,Fruit farming,131.58070373535156,5566092.0143127441,902896.58308029175,559228.65867614746,928480.62515258789,2080.7115361094475
5,Tree nut farming,48.730842590332031,1064792.0370101929,586424.35073852539,85787.490010261536,25882.15097784996,627.31635989621282
6,"Greenhouse, nursery, and floriculture production",1292.865478515625,80256889.343261719,21838008.880615234,6319823.7419128418,7583862.3046875,9671.4803948998451
7,Tobacco farming,6596.072265625,301624786.37695312,85830345.153808594,30977195.739746094,42666229.248046875,-7823691.3681030273
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,22464.642578125,238351715.08789063,65206764.221191406,21365348.815917969,23407207.489013672,-15292635.917663574
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",14796.953125,748300964.35546875,9931186.6760253906,105615493.77441406,110831840.51513672,24690198.89831543
12,Dairy cattle and milk production,760.59796142578125,176574996.94824219,6952453.1364440918,9060131.0729980469,8904805.1834106445,3387274.0268707275
13,Poultry and egg production,4674.82958984375,1283039550.78125,65480308.532714844,16349092.483520508,26092327.117919922,5450236.7973327637
14,"Animal production, except cattle and poultry and eggs",16464.986328125,763132019.04296875,72586509.704589844,286520111.08398438,253748840.33203125,36503047.943115234
15,"Forestry, forest products, and timber tract production",195.16950988769531,16941204.071044922,7928037.6434326172,4138542.1752929688,974308.37154388428,93039.49773311615
16,Commercial logging,2458.80859375,235337509.15527344,15986557.006835938,133093261.71875,803166.62788391113,3071875.3337860107
17,Commercial fishing,382.89031982421875,8401369.0948486328,1091972.1126556397,-1515555.5009841919,6665804.8629760742,2018782.377243042
18,Commercial hunting and trapping,166.26376342773438,4363461.0176086426,232301.27990245819,-65881.95264339447,707146.94261550903,713487.44630813599
19,Support activities for agriculture and forestry,10294.7724609375,429358428.95507812,318961822.50976562,74386329.650878906,-47772922.515869141,6214498.5198974609
20,Oil and gas extraction,6371.2900390625,1600398315.4296875,37441127.777099609,15213459.968566895,64057044.982910156,35197216.033935547
21,Coal mining,6934.900390625,2292472412.109375,531526245.1171875,-155455581.66503906,471741271.97265625,174340499.87792969
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,38.0439453125,7967044.8303222656,28783.062472939491,-1183616.3997650147,16859.397292137146,1068012.1183395386
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1989.052734375,499725646.97265625,133013473.51074219,-66058708.190917969,169220367.43164063,26438922.882080078
29,Sand and gravel mining,180.60939025878906,23690990.447998047,11598237.037658691,-9144276.6189575195,4201496.6011047363,2026631.8321228027
30,"Other clay, ceramic, refractory minerals mining",2.2056376934051514,154233.33644866943,54324.924945831299,-301937.46089935303,21122.846752405167,23827.923461794853
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,5.6017870903015137,383187.59202957153,86156.845092773438,-991691.29133224487,45478.57865691185,89536.800980567932
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,808.5838623046875,205966873.16894531,13476379.39453125,-6594513.8931274414,9997287.7502441406,4204228.401184082
36,Support activities for oil and gas operations,1266.48583984375,239080551.14746094,19948434.829711914,-10020771.026611328,11045865.058898926,6099056.2438964844
37,Metal mining services,732.8712158203125,183428375.24414063,7391674.0417480469,367524.74308013916,8360549.9267578125,3951608.8962554932
38,Other nonmetallic minerals services,1864.75732421875,565100158.69140625,93523597.717285156,-3778154.6115875244,55916000.366210938,8467308.9981079102
39,Electric power generation - Hydroelectric,15.956259727478027,10963934.898376465,2200420.8564758301,0,4509222.9843139648,537577.86750793457
40,Electric power generation - Fossil fuel,1486.1756591796875,2122769531.25,192789367.67578125,-1031911.1347198486,541601806.640625,155062347.41210938
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,1.5567015409469605,311487.31708526611,242790.84801673889,0,-133073.41933250427,16637.634485960007
47,Electric power transmission and distribution,4276.150390625,5786630371.09375,548229431.15234375,-546092.80824661255,1472108276.3671875,414569641.11328125
48,Natural gas distribution,1347.0291748046875,867368957.51953125,89581344.604492188,-6420273.3039855957,177566635.13183594,50659481.048583984
49,"Water, sewage and other systems",763.406494140625,172244216.91894531,34711654.663085938,-2519144.0582275391,43186355.590820312,9505939.4836425781
50,Construction of new health care structures,3792.596435546875,521624206.54296875,134021087.64648438,70949111.938476562,81207473.754882812,1958533.2870483398
51,Construction of new manufacturing structures,6447.873046875,891835754.39453125,241218429.56542969,111872451.78222656,80943618.774414062,3532860.279083252
52,Construction of new power and communication structures,9225.4384765625,1542028686.5234375,358206970.21484375,130406478.88183594,352959564.20898438,32853683.471679688
53,Construction of new educational and vocational structures,9764.1083984375,1181314208.984375,377635589.59960938,148034942.62695313,163319259.64355469,2976627.1114349365
54,Construction of new highways and streets,7755.541015625,1442096801.7578125,285917938.23242188,137298492.43164063,269979858.3984375,4093405.2467346191
55,"Construction of new commercial structures, including farm structures",15048.3623046875,1757236938.4765625,507825195.3125,272471771.24023438,119912025.45166016,11344042.778015137
56,Construction of other new nonresidential structures,18989,1529060791.015625,655918395.99609375,360456573.48632812,-360303222.65625,5447412.9676818848
57,Construction of new single-family residential structures,23291.1640625,3059028808.59375,782653503.41796875,453101074.21875,427004455.56640625,16333454.132080078
58,Construction of new multifamily residential structures,7198.7646484375,698557312.01171875,244050949.09667969,140506072.99804688,139908538.81835938,2955153.7036895752
59,Construction of other new residential structures,16273.921875,3007621337.890625,562731994.62890625,310511779.78515625,365934020.99609375,13225117.683410645
60,Maintenance and repair construction of nonresidential structures,11037.7158203125,2070045898.4375,380057586.66992188,214206314.08691406,201448425.29296875,9497861.8621826172
61,Maintenance and repair construction of residential structures,5369.35791015625,1045280517.578125,178236663.81835938,91813568.115234375,120987060.546875,12216759.68170166
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",4002.86865234375,380939941.40625,140203659.05761719,76606842.041015625,-59001453.399658203,2582831.859588623
63,Dog and cat food manufacturing,348.95382690429688,456079010.00976562,26784416.198730469,-215222.73123264313,50563304.901123047,9522844.3145751953
64,Other animal food manufacturing,1291.875732421875,1315015502.9296875,99219032.287597656,-1625873.8040924072,45089153.289794922,20448144.912719727
65,Flour milling,207.65469360351563,225249053.95507813,12260525.703430176,-100429.03572320938,8768352.5085449219,1484411.7164611816
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,19.373912811279297,36562187.194824219,2483339.786529541,-26574.069634079933,2152798.1758117676,292217.49305725098
69,Soybean and other oilseed processing,158.35049438476563,730012817.3828125,13804599.761962891,-76579.570770263672,37185913.0859375,4579075.813293457
70,Fats and oils refining and blending,180.73735046386719,283737579.34570312,14134914.398193359,-152191.98167324066,9205764.7705078125,1821755.5284500122
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,358.61114501953125,158863677.97851563,31842412.948608398,-546948.19450378418,10261439.323425293,951525.27093887329
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,159.28271484375,47811370.849609375,4081582.0693969727,-1333798.7661361694,1240180.7308197022,368112.59388923645
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,2022.2103271484375,758180725.09765625,124642875.67138672,-1205526.9479751587,45192951.202392578,4053324.2225646973
79,Canned fruits and vegetables manufacturing,735.98431396484375,373343872.0703125,55375522.613525391,-1078681.3497543335,31331895.82824707,2069262.0277404785
80,Canned specialties,99.401191711425781,82497421.264648438,7884629.7264099121,-119351.84150934219,7872157.5736999512,441740.7214641571
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,398.5552978515625,352593109.13085938,22538347.244262695,-557044.74449157715,6321992.8741455078,2333047.3899841309
83,"Dry, condensed, and evaporated dairy product manufacturing",250.5860595703125,322686614.99023438,17945528.030395508,-104255.37079572678,19681138.99230957,2175363.7790679932
84,Fluid milk manufacturing,996.50750732421875,715139770.5078125,68512870.788574219,-638611.97233200073,31219793.319702148,5532674.3125915527
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,187.93962097167969,76174171.447753906,9106839.1799926758,-82444.429397583008,3620227.8137207031,649207.29398727417
87,Frozen cakes and other pastries manufacturing,2293.170166015625,183596298.21777344,62661609.649658203,936348.14023971558,14875453.948974609,13324944.496154785
88,Poultry processing,6199.251953125,1884685668.9453125,309254852.29492188,-673472.16606140137,70814888.000488281,11362981.796264648
89,"Animal, except poultry, slaughtering",994.5440673828125,667800781.25,51687259.674072266,-2022063.9705657959,12923675.537109375,5412322.998046875
90,Meat processed from carcasses,2346.425537109375,1200445312.5,131003555.29785156,-2052605.8673858643,7044265.7470703125,8317976.9515991211
91,Rendering and meat byproduct processing,919.3768310546875,323192657.47070312,57640991.2109375,-516945.66011428833,-12027478.218078613,2659321.3081359863
92,Seafood product preparation and packaging,62.792900085449219,19592405.319213867,219352.02181339264,-1515493.631362915,38837.995380163193,213881.99925422669
93,"Bread and bakery product, except frozen, manufacturing",5166.78857421875,734736633.30078125,235266815.18554688,-5471961.9750976562,57458087.921142578,16539318.084716797
94,Cookie and cracker manufacturing,2396.03564453125,836891235.3515625,154657394.40917969,-867107.74898529053,49241886.138916016,6093758.5830688477
95,"Dry pasta, mixes, and dough manufacturing",397.22396850585938,222953277.58789063,26826971.054077148,-289573.28200340271,25322994.232177734,1725389.838218689
96,Tortilla manufacturing,15.492210388183594,3292229.6524047852,762485.98098754883,-71700.453758239746,112132.0053935051,26084.419339895248
97,Roasted nuts and peanut butter manufacturing,850.19097900390625,425657653.80859375,58432292.938232422,-391059.45825576782,77675804.138183594,3128099.2031097412
98,Other snack food manufacturing,298.91104125976562,149561599.73144531,20896614.074707031,-212145.56694030762,12785132.40814209,868788.83838653564
99,Coffee and tea manufacturing,464.92425537109375,287529022.21679688,23208408.355712891,-197315.96112251282,15892159.461975098,2144022.9415893555
100,Flavoring syrup and concentrate manufacturing,447.05496215820312,1356291625.9765625,70761146.545410156,-287123.9185333252,400248657.2265625,7789870.2621459961
101,"Mayonnaise, dressing, and sauce manufacturing",471.67025756835938,255310043.33496094,29122711.181640625,-487726.74798965454,18836435.317993164,1805051.0883331299
102,Spice and extract manufacturing,523.02899169921875,286809875.48828125,39470241.546630859,-814802.22940444946,15128457.069396973,2060318.9468383789
103,All other food manufacturing,2171.855224609375,752508361.81640625,118981338.50097656,-3341609.001159668,29879812.240600586,4655018.3296203613
104,Bottled and canned soft drinks & water,1144.327392578125,825324279.78515625,80729148.864746094,154006.40666484833,59241241.455078125,8885002.1362304688
105,Manufactured ice,139.52363586425781,17415594.100952148,6493526.9355773926,59077.35601067543,-4877640.2473449707,204541.44477844238
106,Breweries,378.10076904296875,160976226.80664063,14214660.64453125,590680.89723587036,13895937.919616699,16242662.42980957
107,Wineries,234.46356201171875,67516159.057617188,4918633.9378356934,682473.42109680176,2297683.7158203125,2714032.6499938965
108,Distilleries,4993.03515625,6264254394.53125,621466491.69921875,820372.10464477539,1157877441.40625,1476013183.59375
109,Tobacco product manufacturing,869.13226318359375,2595612548.828125,68347312.927246094,132906.58593177795,504001495.36132812,838041442.87109375
110,"Fiber, yarn, and thread mills",0,0,0,0,0,0
111,Broadwoven fabric mills,49.201519012451172,12786322.593688965,2616907.3581695557,-2564.5755231380463,1806855.7977676392,80304.77911233902
112,Narrow fabric mills and schiffli machine embroidery,166.81759643554688,29696798.324584961,8782971.3821411133,-1201.9635178148747,1470907.8073501587,162837.31162548065
113,Nonwoven fabric mills,241.92756652832031,116434143.06640625,14893047.332763672,-13957.368209958077,21269073.486328125,719008.74376296997
114,Knit fabric mills,0,0,0,0,0,0
115,Textile and fabric finishing mills,56.225910186767578,12608829.498291016,1199885.8451843262,-12648.631818592548,544918.06030273438,88432.349264621735
116,Fabric coating mills,0,0,0,0,0,0
117,Carpet and rug mills,8.4205818176269531,2803024.7688293457,286112.18929290771,1364.4751161336899,333978.41453552246,25459.02319252491
118,Curtain and linen mills,670.08746337890625,154078613.28125,32878089.904785156,18126.159906387329,22643104.553222656,934494.13776397705
119,Textile bag and canvas mills,831.148681640625,135963943.48144531,32010772.705078125,74775.181710720062,13337312.698364258,882961.63082122803
120,"Rope, cordage, twine, tire cord and tire fabric mills",32.779640197753906,10088653.564453125,1833027.2436141968,2593.9575862139463,2078460.2165222168,65068.49080324173
121,Other textile product mills,351.70440673828125,50415657.043457031,12748515.129089356,105656.62384033203,4506549.8352050781,335140.97332954407
122,Hosiery and sock mills,63.116542816162109,4941491.1270141602,1040176.5108108521,-5798.60620200634,215973.09410572052,316030.02548217773
123,Other apparel knitting mills,32.481189727783203,2988209.9628448486,594774.96147155762,1933.9622231200337,168778.94103527069,267652.06456184387
124,Cut and sew apparel contractors,347.88778686523438,16496759.414672852,6676038.2652282715,-1436161.8757247925,38224.387913942337,518006.44397735596
125,Mens and boys cut and sew apparel manufacturing,1020.618896484375,135096038.81835938,43202804.565429688,-1425882.3394775391,-1140473.3657836914,2291907.3104858398
126,Womens and girls cut and sew apparel manufacturing,32.477878570556641,5926645.2789306641,594774.96147155762,1902.3297354578972,196897.10438251495,257661.25321388245
127,Other cut and sew apparel manufacturing,151.4390869140625,15036468.505859375,3946954.7271728516,-545490.44370651245,54571.788758039474,470840.39449691772
128,Apparel accessories and other apparel manufacturing,100.31864929199219,8880035.400390625,2103621.0060119629,-356013.00001144409,120827.34704017639,375014.36471939087
129,Leather and hide tanning and finishing,61.084964752197266,16284732.818603516,655143.08214187622,252242.14792251587,-60760.527849197388,283722.01323509216
130,Footwear manufacturing,6.5052061080932617,845225.27456283569,34910.954535007477,21819.595247507095,-769.62733874097466,16783.628612756729
131,Other leather and allied product manufacturing,166.92097473144531,16239452.362060547,3667964.2200469971,340883.61263275146,-65630.495548248291,272930.71150779724
132,Sawmills,3246.63720703125,842545471.19140625,110950263.97705078,47335754.39453125,25597681.045532227,5750057.6972961426
133,Wood preservation,288.73614501953125,153397903.44238281,13450276.374816895,3615346.1933135986,14183324.813842773,1079645.5144882202
134,Veneer and plywood manufacturing,644.55584716796875,166875793.45703125,33687328.338623047,2814362.7643585205,7792895.7939147949,1049342.8707122803
135,Engineered wood member and truss manufacturing,448.675537109375,92134803.771972656,15644455.909729004,6222298.6221313477,2969762.5637054443,584134.51910018921
136,Reconstituted wood product manufacturing,28.494064331054688,14647383.689880371,1874407.2914123535,561444.46134567261,1302884.3402862549,101179.18998003006
137,Wood windows and door manufacturing,195.18452453613281,41796173.095703125,7733777.9998779297,3177902.2216796875,1511588.8118743897,283808.97641181946
