Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2718723.8031475544,552046956434.90564,124267266744.28955,17687413114.609894,100948692459.03665,19622841742.169113
1,Oilseed farming,897.031494140625,564497741.69921875,640782.71389007568,257672546.38671875,130632339.47753906,-9002479.5532226562
2,Grain farming,2532.08251953125,656534667.96875,20970504.760742188,125205978.39355469,98083526.611328125,-10686387.062072754
3,Vegetable and melon farming,374.47354125976562,46740802.764892578,4006839.2753601074,4008918.7622070312,4085762.0239257812,8673.2916533946991
4,Fruit farming,87.266654968261719,7810888.2904052734,643111.58657073975,787453.0553817749,957012.1169090271,1888.8839986175299
5,Tree nut farming,147.25262451171875,6211942.6727294922,1736492.7530288696,502194.40460205078,110906.65310621262,2595.1843708753586
6,"Greenhouse, nursery, and floriculture production",1179.526123046875,136291305.54199219,18823360.443115234,10769016.265869141,9459558.4869384766,12082.655914127827
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,1318.96435546875,166725997.92480469,24793094.635009766,14970908.164978027,15342129.707336426,-642312.40749359131
9,Sugarcane and sugar beet farming,2298.487060546875,360843994.140625,41828586.578369141,58050228.118896484,36561386.108398438,-4142195.7015991211
10,All other crop farming,17636.6640625,461559417.72460938,64091476.440429688,41514953.61328125,33293048.858642578,-7958375.9307861328
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1807.3533935546875,236428985.59570313,1592662.9304885864,33483997.344970703,25720745.086669922,4133294.1055297852
12,Dairy cattle and milk production,53.172298431396484,26143999.099731445,522491.455078125,1346054.1963577271,968415.73715209961,324129.22382354736
13,Poultry and egg production,1003.66845703125,598098022.4609375,15493206.977844238,7647354.1259765625,8933871.2692260742,1601740.4794692993
14,"Animal production, except cattle and poultry and eggs",1545.3072509765625,171980743.40820313,8302987.0986938477,64791862.487792969,42002849.578857422,4691968.4410095215
15,"Forestry, forest products, and timber tract production",677.8424072265625,47537296.295166016,24552810.668945312,10816840.171813965,-1572293.9968109131,516901.61228179932
16,Commercial logging,4323.79345703125,342370941.16210938,145763580.32226563,61222724.914550781,-13375036.239624023,3890543.9376831055
17,Commercial fishing,7390.67724609375,488726470.94726562,75515655.517578125,143932266.23535156,83385856.628417969,27543226.24206543
18,Commercial hunting and trapping,707.5938720703125,79641166.687011719,1951851.2487411499,65044815.063476562,590399.98054504395,2147818.8037872314
19,Support activities for agriculture and forestry,5764.384765625,204724243.1640625,160339584.35058594,40447093.963623047,-42313350.677490234,2817624.0921020508
20,Oil and gas extraction,27161.275390625,11782256835.9375,873112182.6171875,693155395.5078125,3115935302.734375,925036926.26953125
21,Coal mining,246.59786987304688,116141586.30371094,30264081.954956055,-1306382.6560974121,37223648.071289062,4788972.8546142578
22,"Copper, nickel, lead, and zinc mining",260.141845703125,332764160.15625,23949102.401733398,-4415832.0426940918,158478713.98925781,22265460.968017578
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,37.132617950439453,11011049.270629883,2429965.2576446533,-511481.46390914917,4284195.8999633789,381853.55067253113
29,Sand and gravel mining,1008.7534790039063,107127769.47021484,31702611.923217773,-33103897.094726562,15915465.354919434,8784712.7914428711
30,"Other clay, ceramic, refractory minerals mining",29.225187301635742,2588847.1603393555,361227.54216194153,-1346933.0072402954,194646.4329957962,244339.2425775528
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,270.48779296875,77001220.703125,26478971.481323242,-476203.47142219543,19370038.986206055,3309725.284576416
34,Other nonmetallic minerals,95.730720520019531,4477046.012878418,465610.86177825928,-5080039.9780273438,250659.88302230835,889428.85398864746
35,Drilling oil and gas wells,5938.99951171875,2288858154.296875,411917907.71484375,46019924.163818359,380847534.1796875,92114601.135253906
36,Support activities for oil and gas operations,28681.802734375,8416680664.0625,2338178710.9375,40281383.514404297,1011643859.8632813,225282440.18554688
37,Metal mining services,2930.742919921875,1258426879.8828125,94985839.84375,74375900.268554688,336744842.52929688,99057601.928710938
38,Other nonmetallic minerals services,3009.67822265625,1277599243.1640625,101225440.97900391,74292716.979980469,338850616.45507812,99931472.778320312
39,Electric power generation - Hydroelectric,126.53910827636719,55082801.818847656,5364163.3987426758,230996.44482135773,15559472.08404541,4453247.0703125
40,Electric power generation - Fossil fuel,1260.8902587890625,2118851074.21875,188000183.10546875,0,747570556.640625,136043731.68945313
41,Electric power generation - Nuclear,1496.577392578125,1590364624.0234375,253876998.90136719,0,461636444.09179688,104211380.00488281
42,Electric power generation - Solar,34.276241302490234,9255484.5809936523,1073959.231376648,67878.72314453125,2956522.9415893555,634677.2313117981
43,Electric power generation - Wind,11.960064888000488,14781311.03515625,588754.05788421631,18973.708152770996,6536139.0113830566,1017051.6967773438
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,117.51491546630859,40773712.158203125,1620774.0306854248,236617.74396896362,5558663.8450622559,3217088.9377593994
46,Electric power generation - All other,15.016856193542481,2924805.1643371582,1168029.5467376709,17140.600830316544,-213499.65035915375,167240.54515361786
47,Electric power transmission and distribution,3673.76513671875,5366793457.03125,450718017.578125,427698.31418991089,1691670043.9453125,343945648.19335938
48,Natural gas distribution,1293.36572265625,1060945434.5703125,125532417.29736328,798708.61768722534,350866607.66601562,49915306.091308594
49,"Water, sewage and other systems",1899.0423583984375,449897949.21875,76768478.393554688,1970012.5455856323,131053253.17382813,22791805.267333984
50,Construction of new health care structures,6042.60302734375,844896057.12890625,294292755.12695312,66723526.000976562,108659004.21142578,3212976.6941070557
51,Construction of new manufacturing structures,9882.9365234375,1400924926.7578125,492046966.55273438,103420387.26806641,103672645.56884766,5507899.284362793
52,Construction of new power and communication structures,14807.6630859375,2428961669.921875,773626220.703125,142885086.05957031,419610473.6328125,21278436.660766602
53,Construction of new educational and vocational structures,14559.2529296875,1823185546.875,733743957.51953125,138850982.66601563,214516815.18554688,6407759.1896057129
54,Construction of new highways and streets,12291.0341796875,2293341796.875,613783264.16015625,128651260.37597656,362184356.68945312,8347644.8059082031
55,"Construction of new commercial structures, including farm structures",23663.00390625,2894169189.453125,1125683959.9609375,255587738.03710938,161499130.24902344,21591073.989868164
56,Construction of other new nonresidential structures,30650.29296875,1937801635.7421875,1480371459.9609375,338674621.58203125,-1294587890.625,13037713.050842285
57,Construction of new single-family residential structures,37604.1953125,4996486328.125,1802439941.40625,424877777.09960938,519770690.91796875,21454845.428466797
58,Construction of new multifamily residential structures,11665.275390625,1156194946.2890625,562795715.33203125,131780868.53027344,179921447.75390625,4377688.8847351074
59,Construction of other new residential structures,26186.9921875,4908057617.1875,1274202758.7890625,291259887.6953125,489947082.51953125,28258581.161499023
60,Maintenance and repair construction of nonresidential structures,17872.845703125,3406194824.21875,868330444.3359375,201304992.67578125,269558563.23242188,18913024.90234375
61,Maintenance and repair construction of residential structures,8247.8232421875,1643269653.3203125,384345886.23046875,88067146.301269531,161019149.78027344,23626220.703125
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",6446.2001953125,522804565.4296875,314743286.1328125,72233337.40234375,-223485794.06738281,4144254.6844482422
63,Dog and cat food manufacturing,13.904943466186523,16522922.515869141,245132.02905654907,242354.73573207855,992292.46377944946,322528.30266952515
