Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4838024.7393612862,930628186882.0415,330166874785.44934,43556247474.287872,181532764741.81165,26897587728.734364
1,Oilseed farming,0.86671352386474609,161278.20312976837,0,-1835.0981408730149,0,-1272.8419387713075
2,Grain farming,60.315376281738281,5241486.0725402832,634394.70529556274,-137022.7187871933,1472874.9990463257,-36660.972982645035
3,Vegetable and melon farming,2247.96044921875,107576499.93896484,34944362.640380859,-14394107.818603516,17687538.146972656,309839.45727348328
4,Fruit farming,2157.762451171875,71443977.355957031,22289766.311645508,-13230401.039123535,16464773.178100586,277936.57779693604
5,Tree nut farming,3.9649310111999512,69132.156670093536,73228.403925895691,-13610.564172267914,2321.5783294290304,415.75438808649778
6,"Greenhouse, nursery, and floriculture production",2683.36669921875,134030914.30664063,70143577.575683594,-8748187.0651245117,17497690.200805664,163501.72460079193
7,Tobacco farming,121.31024932861328,4399329.662322998,2407756.5670013428,-422872.48373031616,859748.42309951782,-13730.203732848167
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,2726.153076171875,22016401.290893555,11584383.964538574,-2205002.0694732666,2987069.3683624268,-177054.28600311279
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",264.88232421875,10117999.076843262,258268.65434646606,-738797.06859588623,2070382.3566436768,3599251.0318756104
12,Dairy cattle and milk production,193.46662902832031,35147998.809814453,2661715.9843444824,-1554627.6569366455,2448857.307434082,7018163.2041931152
13,Poultry and egg production,88.727210998535156,18964248.657226562,1861480.4744720459,-301144.68932151794,532814.44311141968,842601.12047195435
14,"Animal production, except cattle and poultry and eggs",1149.5736083984375,41498703.002929688,7452977.6573181152,-3308714.6282196045,14613244.05670166,20757204.055786133
15,"Forestry, forest products, and timber tract production",534.406005859375,58323776.245117188,24296646.118164062,21725566.864013672,1500138.8788223267,376478.61242294312
16,Commercial logging,943.83489990234375,112833869.93408203,29512174.606323242,49093059.539794922,1804818.2725906372,800529.30116653442
17,Commercial fishing,5796.73974609375,516227294.921875,254976257.32421875,207277740.47851563,19717767.715454102,25630649.566650391
18,Commercial hunting and trapping,57.493804931640625,15220142.364501953,80709.397792816162,14230220.794677734,-54478.846490383148,207809.15021896362
19,Support activities for agriculture and forestry,3240.253662109375,107078880.31005859,71928276.062011719,25880987.167358398,-18285840.98815918,3140901.5655517578
20,Oil and gas extraction,1687.402587890625,505711791.9921875,0,122070175.17089844,0,16807.070001959801
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,528.035888671875,193850173.95019531,27114749.908447266,1759632.94506073,95540512.084960938,6489017.0097351074
29,Sand and gravel mining,866.27813720703125,170680892.94433594,42960937.5,3650250.1964569092,43103321.075439453,8977418.8995361328
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,20.554595947265625,4704570.2934265137,1276177.4063110352,121292.19621419907,1373047.1134185791,226790.29405117035
35,Drilling oil and gas wells,194.74929809570313,55375579.833984375,4032391.0713195801,9728984.8327636719,-4182811.2602233887,1267395.8539962769
36,Support activities for oil and gas operations,201.91357421875,36562820.434570312,722942.054271698,13409515.380859375,-11685266.494750977,315580.01041412354
37,Metal mining services,184.01734924316406,45940547.943115234,295563.4593963623,13126173.973083496,-8539697.6470947266,41033.871471881866
38,Other nonmetallic minerals services,217.62763977050781,58752098.083496094,3678985.3572845459,13117806.434631348,-6570749.2828369141,563386.85750961304
39,Electric power generation - Hydroelectric,629.00634765625,241743789.67285156,26006517.41027832,17948131.561279297,35836360.931396484,15437473.297119141
40,Electric power generation - Fossil fuel,4798.2080078125,6489185546.875,728975708.0078125,36206729.888916016,1377069458.0078125,361766357.421875
41,Electric power generation - Nuclear,552.07952880859375,516325134.27734375,110117492.67578125,0,95122207.641601562,26800477.981567383
42,Electric power generation - Solar,62.158969879150391,26543745.040893555,7603639.6026611328,0,9944063.1866455078,794715.70253372192
43,Electric power generation - Wind,77.026397705078125,60000396.728515625,1635435.8196258545,2522467.3748016357,8625210.7620239258,4579972.7439880371
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,201.61091613769531,32630672.454833984,6768344.4023132324,5971727.8480529785,-5659240.72265625,1573068.9764022827
47,Electric power transmission and distribution,4335.3125,5413917480.46875,600726196.2890625,46801269.53125,1080907958.984375,286832946.77734375
48,Natural gas distribution,2493.123291015625,2200274902.34375,472054504.39453125,529823.4224319458,631505554.19921875,67156936.645507812
49,"Water, sewage and other systems",2014.0703125,422840148.92578125,55894760.131835938,73417900.085449219,46033416.748046875,17016613.006591797
50,Construction of new health care structures,7813.5498046875,1230446533.203125,403262542.72460938,221418777.46582031,119184692.3828125,5545868.3967590332
