Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3732976.4232028723,663314320319.13843,222513796952.93121,37574553863.961716,139840612130.75766,25732447303.537041
1,Oilseed farming,592.0208740234375,216506561.27929688,494637.69793510437,139104125.9765625,73122573.852539062,-6958290.5769348145
2,Grain farming,1951.788818359375,285386718.75,19208848.95324707,80207122.802734375,65149772.644042969,-9648391.7236328125
3,Vegetable and melon farming,862.82574462890625,61540874.481201172,11116952.896118164,7778691.291809082,8220179.557800293,18164.448440074921
4,Fruit farming,411.29025268554688,20965475.082397461,3637533.42628479,3114876.0318756104,3925205.9459686279,8091.779425740242
5,Tree nut farming,3.5627138614654541,86462.520062923431,50931.885838508606,10301.11126601696,2358.8414769619703,57.07027594326064
6,"Greenhouse, nursery, and floriculture production",3363.584228515625,224436981.20117188,65319038.391113281,26134492.874145508,23803335.189819336,31316.239386796951
7,Tobacco farming,20.862894058227539,1086595.2968597412,330716.8185710907,165021.27051353455,172512.41207122803,-19199.630245566368
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3374.408203125,49356426.239013672,14442179.679870606,6542329.3113708496,5440143.1083679199,-1783400.1779556274
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",989.58428955078125,71891990.661621094,1020516.5147781372,15004754.066467285,11950995.445251465,2056751.2512207031
12,Dairy cattle and milk production,535.19732666015625,149850006.10351563,6310739.5172119141,11369962.692260742,8481784.8205566406,2965414.28565979
13,Poultry and egg production,3099.384521484375,1048726318.359375,57246303.558349609,19761175.155639648,23937026.977539062,4495892.5247192383
14,"Animal production, except cattle and poultry and eggs",1550.2340087890625,98089515.686035156,9844175.3387451172,53723079.681396484,25554609.298706055,4278136.7301940918
15,"Forestry, forest products, and timber tract production",264.46255493164062,27508172.988891602,19565782.54699707,1258557.3196411133,1479682.8031539917,45136.559754610062
16,Commercial logging,838.20751953125,75205635.070800781,26406171.798706055,18735816.955566406,1608811.616897583,370607.46550559998
17,Commercial fishing,1933.956787109375,52471023.559570312,3158569.5743560791,12306441.307067871,9872184.7534179688,4492613.7924194336
