Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,842217.05324140191,122110947701.89468,36877319054.213348,4961561567.3079176,17658126560.72073,5624157390.8142252
1,Oilseed farming,1.5269380807876587,418618.8280582428,0,74222.683906555176,0,-10600.72798281908
2,Grain farming,136.03297424316406,17225681.304931641,1410491.3473129273,1276014.9240493774,7236387.7296447754,-390515.80429077148
3,Vegetable and melon farming,3260.166015625,224861114.50195313,49415470.123291016,7491304.3975830078,55271121.978759766,88560.663163661957
4,Fruit farming,1395.5496826171875,66800216.674804688,14099594.116210938,2615857.6011657715,23014518.737792969,35427.674651145935
5,Tree nut farming,0.38784340023994446,15532.189048826695,11130.661703646183,0,779.77590262889862,12.859535672760103
6,"Greenhouse, nursery, and floriculture production",984.0145263671875,70065261.840820312,24807016.372680664,2150416.374206543,13674530.982971191,11817.028746008873
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3438.589111328125,40712272.644042969,14492417.335510254,1422375.4405975342,8257684.7076416016,-1054818.9878463745
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",394.48760986328125,22175998.687744141,382956.23660087585,1219920.9928512573,6783799.6482849121,1056589.3650054932
12,Dairy cattle and milk production,425.85317993164062,111858001.70898438,5730823.0400085449,2237018.346786499,11651018.142700195,3044616.9376373291
13,Poultry and egg production,275.23330688476562,85262695.3125,5662012.1002197266,423457.53312110901,3581239.7003173828,515139.75858688354
14,"Animal production, except cattle and poultry and eggs",1581.6812744140625,88305923.461914062,10147725.105285645,11998418.807983398,56308940.887451172,5629062.1757507324
15,"Forestry, forest products, and timber tract production",243.05363464355469,12837429.046630859,8785214.4241333008,576237.55931854248,-1413905.0245285034,148504.28700447083
