Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3798310.6444839239,695729627988.48755,215481134957.56125,22844956837.773788,111131347961.9939,24104837579.687656
1,Oilseed farming,5442.9521484375,3367904785.15625,5518290.9965515137,-4325953.9604187012,1100703979.4921875,-1178975.5821228027
2,Grain farming,18416.76953125,5290210937.5,243904830.93261719,-15611679.077148438,1116178466.796875,7335754.39453125
3,Vegetable and melon farming,1773.906494140625,273796569.82421875,33878952.026367188,-4135554.7904968262,33800815.582275391,31072.087585926056
4,Fruit farming,212.27452087402344,22823474.884033203,2712463.6173248291,-477120.01204490662,3949308.6338043213,3474.848810583353
5,Tree nut farming,4.2529258728027344,235623.13616275787,95073.536038398743,-5236.6363815963268,5941.1474503576756,56.67476580129005
6,"Greenhouse, nursery, and floriculture production",1869.911865234375,294015991.2109375,58613300.323486328,-2166319.3702697754,28820129.39453125,14480.451121926308
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,2814.07861328125,535708984.375,89635253.90625,-3423191.3089752197,76657447.814941406,-7411484.7183227539
10,All other crop farming,2164.04248046875,58570713.043212891,11739494.323730469,-662188.58957290649,5966624.2599487305,-1426021.8143463135
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",16108.1533203125,2080112792.96875,20225826.263427734,-17145725.250244141,319589141.84570312,21107992.172241211
12,Dairy cattle and milk production,2759.323974609375,1628219970.703125,46969554.901123047,-8129753.1127929688,85177551.26953125,18540870.666503906
13,Poultry and egg production,1515.1734619140625,1057653686.5234375,39546554.565429688,-1895926.7139434815,22311721.801757812,2850684.8812103271
14,"Animal production, except cattle and poultry and eggs",24372.95703125,2879944580.078125,200694229.12597656,-26403442.3828125,993357055.6640625,12310894.012451172
15,"Forestry, forest products, and timber tract production",459.32290649414062,32202415.466308594,19970922.470092773,844568.37177276611,1934278.4881591797,492386.40069961548
