Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3761202.8983426094,642550313025.02747,180682739240.67615,22951980691.540051,98438074759.96019,19179825085.608871
1,Oilseed farming,7837.00634765625,2244392333.984375,3619102.0011901855,558677612.3046875,522737976.07421875,-72535804.748535156
2,Grain farming,13126.8427734375,2016075195.3125,91476898.193359375,209667282.10449219,303139068.60351562,1901203.6323547363
3,Vegetable and melon farming,624.51397705078125,61383121.490478516,7474949.3598937988,2871022.7012634277,5400359.6305847168,6909.0514443814754
4,Fruit farming,326.49984741210938,21241333.0078125,2484398.365020752,1167784.2140197754,2619362.5926971436,3375.0231377780437
5,Tree nut farming,220.10893249511719,8763386.7263793945,3479933.7387084961,386342.88311004639,157470.39020061493,1852.7935026213527
6,"Greenhouse, nursery, and floriculture production",995.118408203125,122154151.91650391,23965734.481811523,5263475.8949279785,8533117.2943115234,4866.8673262000084
7,Tobacco farming,3.9486167430877686,310784.66773033142,63765.421509742737,17465.315759181976,32498.866319656372,-6179.4603243470192
8,Cotton farming,2365.602783203125,324046997.0703125,68452438.354492188,15867531.776428223,30011459.350585938,-2293279.1709899902
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,12797.529296875,169629150.390625,33460056.304931641,8320203.7811279297,12314682.006835938,-11472485.542297363
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",36581.68359375,2195592773.4375,21010116.577148438,169568389.89257813,240398330.68847656,60110282.897949219
12,Dairy cattle and milk production,566.05145263671875,201785995.48339844,5728641.9868469238,5665497.7798461914,7522767.5437927246,2083155.632019043
13,Poultry and egg production,3591.62646484375,1455712158.203125,53567077.63671875,10150113.105773926,21884651.184082031,8382949.8291015625
14,"Animal production, except cattle and poultry and eggs",14794.20703125,883868774.4140625,60617195.129394531,181587097.16796875,217261886.59667969,13416439.056396484
15,"Forestry, forest products, and timber tract production",397.73077392578125,30561994.552612305,12196261.405944824,9068259.2391967773,1206639.5282745361,332084.50675010681
16,Commercial logging,2491.443359375,213390884.39941406,20792097.091674805,105017753.60107422,702507.01904296875,3402466.5355682373
17,Commercial fishing,402.0963134765625,1967709.0644836426,391614.58611488342,-2320675.3730773926,476659.47675704956,2378263.7119293213
18,Commercial hunting and trapping,375.35174560546875,7621304.5120239258,391500.41341781616,-203587.18931674957,-709735.2147102356,1805481.6722869873
19,Support activities for agriculture and forestry,10261.533203125,349711303.7109375,236957595.82519531,101873497.00927734,-73449882.507324219,7011853.6949157715
20,Oil and gas extraction,3664.522705078125,847956970.21484375,814978.83796691895,39983158.111572266,-26880983.352661133,923988.28268051147
21,Coal mining,222.40977478027344,113856094.36035156,38868301.391601562,-3752656.6982269287,33850193.023681641,4149716.854095459
22,"Copper, nickel, lead, and zinc mining",687.96246337890625,813195983.88671875,71730918.884277344,-1247887.4921798706,336095123.29101562,56247871.398925781
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2883.926513671875,590636291.50390625,149129943.84765625,-116939559.93652344,186169387.81738281,28488563.537597656
29,Sand and gravel mining,448.89889526367188,58199619.293212891,27256219.863891602,-19789535.522460938,9688667.2973632812,3740122.5566864014
30,"Other clay, ceramic, refractory minerals mining",130.62896728515625,13062527.656555176,5792936.3250732422,-10000522.613525391,2210234.8804473877,1044878.0059814453
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,63.423744201660156,12726390.838623047,4101088.0470275879,-888835.66856384277,2124235.1531982422,745823.74095916748
34,Other nonmetallic minerals,136.14955139160156,20122575.759887695,7776339.5309448242,-3129354.71534729,2964224.3385314941,1202796.1015701294
35,Drilling oil and gas wells,402.8055419921875,99332061.767578125,4168088.9129638672,3567388.5345458984,-1549633.9797973633,1044335.3652954102
36,Support activities for oil and gas operations,536.45135498046875,97432205.200195312,4756509.7808837891,5036435.1272583008,-3154956.579208374,993008.73279571533
37,Metal mining services,535.244384765625,131800659.1796875,8926942.8253173828,4348981.8572998047,-1749398.4699249268,968149.06597137451
38,Other nonmetallic minerals services,431.12313842773438,99321479.797363281,2216754.9133300781,4296637.5350952148,-2541469.3355560303,334894.68693733215
39,Electric power generation - Hydroelectric,52.452293395996094,36671413.421630859,8783454.8950195312,0,13814250.946044922,1855924.2486953735
40,Electric power generation - Fossil fuel,1962.775390625,2743489257.8125,284650421.14257812,0,613726501.46484375,214922744.75097656
41,Electric power generation - Nuclear,870.02301025390625,853322082.51953125,173134857.17773438,0,170698776.24511719,61483310.699462891
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,16.48975944519043,32779628.753662109,3168379.545211792,0,19071889.877319336,1411593.1987762451
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,41.206806182861328,6311564.4454956055,3833085.5369567871,0,-2884610.8913421631,462530.79175949097
47,Electric power transmission and distribution,5507.43701171875,6831496582.03125,647991271.97265625,6074517.2500610352,1323192260.7421875,536707519.53125
48,Natural gas distribution,2622.796875,2002102416.9921875,322786529.54101562,1339057.5647354126,492556671.14257812,102869644.16503906
49,"Water, sewage and other systems",2180.185302734375,481394500.73242188,91748352.05078125,27979711.532592773,85246421.813964844,26933403.015136719
50,Construction of new health care structures,5777.63818359375,763643127.44140625,232501525.87890625,103146362.3046875,67948188.781738281,4351597.785949707
51,Construction of new manufacturing structures,9581.1904296875,1313181518.5546875,393969329.83398438,166076339.72167969,71085556.030273438,7032026.2908935547
52,Construction of new power and communication structures,12776.0712890625,1936645507.8125,516804443.359375,212376647.94921875,264565917.96875,18353839.874267578
53,Construction of new educational and vocational structures,14263.2705078125,1697430541.9921875,617244567.87109375,216239242.55371094,141642669.67773438,7471832.275390625
54,Construction of new highways and streets,11671.34375,2043365356.4453125,482301757.8125,199966949.46289063,230218261.71875,10015304.565429688
55,"Construction of new commercial structures, including farm structures",22538.7109375,2659387939.453125,868828186.03515625,400405639.6484375,103169822.69287109,20359706.878662109
56,Construction of other new nonresidential structures,28667.12890625,1908302856.4453125,1127600952.1484375,520967102.05078125,-1063390014.6484375,13422939.300537109
57,Construction of new single-family residential structures,35249.44921875,4617534179.6875,1358902954.1015625,656735656.73828125,484143707.27539062,29321022.033691406
58,Construction of new multifamily residential structures,10874.9169921875,1025664062.5,423381591.796875,204525863.64746094,133504669.18945313,5721946.7163085938
59,Construction of other new residential structures,24483.65234375,4397014648.4375,970311462.40234375,453232818.60351562,299837829.58984375,32955905.914306641
60,Maintenance and repair construction of nonresidential structures,16658.90234375,3070562500,657906616.2109375,313415954.58984375,168192672.72949219,22067729.949951172
61,Maintenance and repair construction of residential structures,8161.3681640625,1549309936.5234375,306378631.59179688,134373077.39257813,110496742.24853516,22187931.060791016
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",6044.17822265625,512647949.21875,242030685.42480469,112570846.55761719,-179850845.33691406,4878123.7602233887
63,Dog and cat food manufacturing,3412.681640625,5173269531.25,404145843.50585938,11689670.562744141,1061107421.875,83455032.348632812
64,Other animal food manufacturing,1818.924560546875,1862758178.7109375,118358131.40869141,24571083.068847656,72868850.708007812,25138534.545898438
65,Flour milling,564.1986083984375,643861938.4765625,42846321.105957031,3676223.7548828125,42617744.445800781,3614960.1936340332
66,Rice milling,36.18951416015625,23776197.43347168,1280942.440032959,92936.649918556213,864731.3117980957,106596.63379192352
67,Malt manufacturing,19.463855743408203,28464706.420898438,1050901.1745452881,60239.676386117935,1756699.5620727539,207717.00143814087
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,525.4676513671875,2434213867.1875,37410526.275634766,4711956.5010070801,140157531.73828125,13618524.551391602
70,Fats and oils refining and blending,241.61308288574219,381467895.5078125,15807405.471801758,3287349.7009277344,14318425.178527832,2183157.4440002441
71,Breakfast cereal manufacturing,768.13629150390625,594052612.3046875,38087894.439697266,308803.0219078064,52633888.244628906,4230260.8489990234
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,83.359519958496094,36186794.281005859,2736710.5484008789,4978074.0737915039,1226589.2028808594,198528.67722511292
75,Chocolate and confectionery manufacturing from cacao beans,24.946771621704102,17526885.986328125,1488480.4487228394,963214.4570350647,1580691.4567947388,118739.18026685715
76,Confectionery manufacturing from purchased chocolate,668.65118408203125,238450057.98339844,25889835.357666016,17816551.208496094,10940917.015075684,1382250.0705718994
77,"Frozen fruits, juices and vegetables manufacturing",356.3056640625,159473022.4609375,19204307.556152344,2589811.0866546631,15847618.103027344,984708.13035964966
78,Frozen specialties manufacturing,2111.9521484375,804431640.625,111295745.84960938,21736940.383911133,56124149.322509766,3794451.9519805908
79,Canned fruits and vegetables manufacturing,529.245849609375,294315704.34570312,41845115.661621094,12799711.227416992,32929229.736328125,1333887.9346847534
80,Canned specialties,9.1036033630371094,8973747.2534179688,36763.306707143784,2766378.64112854,51049.917936325073,36677.181720733643
81,Dehydrated food products manufacturing,21.861881256103516,9655368.8049316406,590183.7944984436,1161539.9122238159,488509.68480110168,54092.053323984146
82,Cheese manufacturing,2438.16162109375,2205729980.46875,160082916.25976563,841167.6287651062,62451786.041259766,12783987.998962402
83,"Dry, condensed, and evaporated dairy product manufacturing",696.251953125,932472473.14453125,54838520.050048828,2288094.2821502686,83646484.375,5416454.7920227051
84,Fluid milk manufacturing,1413.415771484375,1040774291.9921875,99403816.223144531,5407122.6119995117,62998310.089111328,7031999.1111755371
85,Creamery butter manufacturing,53.928749084472656,98031990.051269531,3433927.7744293213,286851.52530670166,9897920.6085205078,983577.13222503662
86,Ice cream and frozen dessert manufacturing,1017.8381958007813,427560546.875,53252441.40625,1169861.1974716187,29442569.732666016,3150053.5011291504
87,Frozen cakes and other pastries manufacturing,2793.50732421875,220170730.59082031,74408767.700195312,3258585.6914520264,14327943.801879883,16348480.224609375
88,Poultry processing,7455.02392578125,2254119384.765625,335581939.69726562,2869634.8667144775,106874626.15966797,12244486.808776856
89,"Animal, except poultry, slaughtering",4525.4248046875,3089279296.875,228598526.00097656,31755519.866943359,77518844.604492188,22167816.162109375
90,Meat processed from carcasses,6837.44384765625,3550997070.3125,405691864.01367188,19689716.339111328,26434272.766113281,21630086.898803711
91,Rendering and meat byproduct processing,281.6488037109375,104332015.99121094,18824108.123779297,889829.45680618286,-487772.88198471069,726485.07356643677
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",5423.0693359375,797282043.45703125,147468246.45996094,137025863.64746094,41416435.241699219,19051546.096801758
94,Cookie and cracker manufacturing,538.30615234375,180449462.890625,23029262.542724609,4958151.3404846191,10197929.382324219,1226999.4020462036
95,"Dry pasta, mixes, and dough manufacturing",977.3514404296875,553982421.875,54545173.645019531,7302785.8734130859,71609024.047851562,3804426.6700744629
96,Tortilla manufacturing,15.16063117980957,7164038.1813049316,120158.89585018158,4586172.5807189941,24576.589465141296,23080.304265022278
