Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1601813.0374047756,260624109573.42386,61035343075.249344,8105777736.5167131,38624366148.540054,9981854176.4002285
1,Oilseed farming,3139.16064453125,1103636962.890625,1223199.1291046143,469506622.31445312,201705413.81835938,-28198736.190795898
2,Grain farming,2610.062744140625,444320281.98242188,13857015.609741211,78971984.86328125,52424873.352050781,-9874420.166015625
3,Vegetable and melon farming,1153.6121826171875,110432640.07568359,9243268.9666748047,8827507.9727172852,7623900.8903503418,28274.316340684891
4,Fruit farming,166.16407775878906,10940799.713134766,879543.60246658325,1027975.7976531982,1058690.4287338257,3805.9067446738482
5,Tree nut farming,165.62257385253906,5853367.805480957,1597620.7256317139,441021.50201797485,82535.125315189362,3088.1657730787992
6,"Greenhouse, nursery, and floriculture production",562.3936767578125,57422443.389892578,7743423.4619140625,4228623.8670349121,3147655.725479126,6093.2431370019913
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,5136.45166015625,578697998.046875,84023689.270019531,48429096.221923828,42056888.580322266,-2241928.3390045166
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,10090.70703125,157838012.6953125,21399648.666381836,13231164.932250977,8991670.6085205078,-4078668.1175231934
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",2999.051513671875,220328979.4921875,1449162.7216339111,29081562.042236328,18930292.129516602,7244511.1274719238
12,Dairy cattle and milk production,61.069198608398438,22059000.015258789,430442.6908493042,1058487.8921508789,645325.00505447388,393929.30269241333
13,Poultry and egg production,6781.37109375,2868282958.984375,72545967.102050781,34179866.790771484,33837024.688720703,11451275.825500488
14,"Animal production, except cattle and poultry and eggs",4560.89208984375,314373931.88476562,14819153.785705566,110381607.05566406,60638484.954833984,14642032.623291016
15,"Forestry, forest products, and timber tract production",535.2725830078125,35450092.315673828,13068275.451660156,11458580.97076416,-301288.51532936096,782671.51117324829
16,Commercial logging,6163.6806640625,476070251.46484375,144729003.90625,124583152.77099609,-10130064.964294434,10373409.271240234
17,Commercial fishing,1225.89892578125,282300476.07421875,30444095.611572266,17245824.813842773,162191375.73242188,8359589.5767211914
18,Commercial hunting and trapping,255.86898803710938,26555837.631225586,1447647.0947265625,16921609.878540039,3113348.7224578857,1420948.86302948
19,Support activities for agriculture and forestry,7052.13134765625,289844329.83398438,218145629.8828125,55311511.993408203,-41827377.319335938,5078398.2276916504
20,Oil and gas extraction,8519.19140625,2178255126.953125,55702133.178710938,127899345.39794922,-28398778.915405273,86245353.698730469
21,Coal mining,287.30999755859375,115911987.3046875,24761806.488037109,31736.183911561966,33175384.521484375,5314236.6409301758
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,113.16431427001953,16814182.281494141,742089.56956863403,39592.772722244263,1425173.6402511597,1117201.9243240356
29,Sand and gravel mining,932.1484375,124937622.0703125,25521486.282348633,267362.59460449219,13956368.446350098,7729517.936706543
30,"Other clay, ceramic, refractory minerals mining",161.36538696289063,34247875.213623047,9859506.6070556641,12342.266738414764,5787126.0643005371,1278236.0315322876
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
