Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,680772.06148834527,105316024336.09079,26800500056.416264,4712013344.9895077,15694843619.545763,3246988973.1680608
1,Oilseed farming,106.73483276367188,71612922.668457031,204488.24763298035,-14725.9421646595,26750905.990600586,-154013.78273963928
2,Grain farming,6320.7998046875,1487843017.578125,119546455.38330078,-702915.84730148315,358801422.11914062,-3830898.7617492676
3,Vegetable and melon farming,574.002197265625,57968070.983886719,12500373.840332031,-140172.95837402344,8179455.7571411133,45778.475701808929
4,Fruit farming,55.875953674316406,4161036.491394043,861818.55201721191,-13925.697654485703,822957.03887939453,4164.1700081527233
5,Tree nut farming,0.1425367146730423,5699.5660997927189,4007.8889578580856,0,164.25953072030097,10.690987437556032
6,"Greenhouse, nursery, and floriculture production",360.42593383789062,31043861.389160156,10785322.189331055,-36618.1880235672,3478060.0070953369,12719.943188130856
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,473.04193115234375,61220001.220703125,17851528.167724609,-62627.509236335754,10012790.679931641,-122423.90960454941
10,All other crop farming,10634.01171875,275657714.84375,96287796.020507812,-498931.52713775635,32096282.958984375,-689419.2099571228
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9940.4638671875,1378007934.5703125,23350879.669189453,-1818403.6016464233,241987640.38085938,78362449.645996094
12,Dairy cattle and milk production,107.06681060791016,43840000.152587891,2203972.1012115479,-35043.250769376755,2621313.5719299316,2247155.9047698975
13,Poultry and egg production,82.787300109863281,42109539.031982422,2743960.3805541992,-12084.485031664372,1015328.1688690186,454877.5851726532
14,"Animal production, except cattle and poultry and eggs",2374.66943359375,252797241.2109375,30701192.855834961,-371037.96005249023,99662078.857421875,24831153.869628906
15,"Forestry, forest products, and timber tract production",101.94149017333984,9696932.7926635742,6391445.1599121094,1090919.3754196167,124275.96747875214,101664.90823030472
16,Commercial logging,1402.3333740234375,114224845.88623047,33587032.318115234,32475547.790527344,-1190433.144569397,2367376.3275146484
17,Commercial fishing,593.8992919921875,17170776.3671875,93719.482421875,5168177.604675293,7473791.5992736816,4148208.1413269043
18,Commercial hunting and trapping,324.2476806640625,19296194.076538086,60541.27961397171,12111091.613769531,204790.3835773468,1842517.8527832031
19,Support activities for agriculture and forestry,5383.19287109375,206046890.25878906,151539810.18066406,31021570.205688477,-20870409.01184082,3794826.2691497803
20,Oil and gas extraction,3767.399169921875,1155178833.0078125,71009597.778320312,213687500,-136353225.70800781,150330566.40625
21,Coal mining,1065.2686767578125,462189575.1953125,116385574.34082031,492594.68913078308,106427520.75195313,43750274.658203125
22,"Copper, nickel, lead, and zinc mining",586.23431396484375,741661621.09375,56894348.14453125,409316.48015975952,279907257.08007812,105889518.73779297
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,238.29090881347656,78192481.994628906,9154849.0524291992,2267668.4856414795,5524993.896484375,10904618.263244629
