Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,6020601.2627186775,1039711756692.8865,298510751037.00537,37070481231.783524,198089187736.52057,36917221868.276443
1,Oilseed farming,602.40863037109375,465798400.87890625,786785.5429649353,414408081.0546875,35146476.745605469,-108443046.56982422
2,Grain farming,1688.6431884765625,519602416.9921875,24696315.765380859,193135803.22265625,25310743.33190918,-2741264.820098877
3,Vegetable and melon farming,3214.7041015625,463174560.546875,59082695.007324219,77428359.985351562,13201307.29675293,-1574.3664698675275
4,Fruit farming,1020.9978637695313,106222900.390625,13014093.399047852,20872127.532958984,4243561.7446899414,-248.07776208035648
5,Tree nut farming,33.900474548339844,1628458.7383270264,677379.60815429688,256593.37639808655,9479.8672944307327,4.6523541641363408
6,"Greenhouse, nursery, and floriculture production",4662.96630859375,608883728.02734375,125133384.70458984,93770561.218261719,13779465.675354004,-3515.0684416294098
7,Tobacco farming,4600.0068359375,478547821.04492188,102850708.0078125,96119148.254394531,16211847.305297852,-10803705.215454102
8,Cotton farming,1969.831298828125,281058990.47851562,62192028.045654297,49188838.958740234,8432864.1891479492,-2867811.4414215088
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,17148.740234375,543023437.5,112202117.91992188,95196228.02734375,12771438.598632813,-23133987.426757812
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1562.7830810546875,250882980.34667969,2514804.1248321533,69251953.125,8899167.0608520508,-2183800.9357452393
12,Dairy cattle and milk production,283.56878662109375,162100997.92480469,4820617.67578125,16266738.891601563,1957811.2363815308,-3195191.6217803955
13,Poultry and egg production,7347.00830078125,5120818359.375,197386810.30273438,127615219.11621094,24940319.061279297,-29382390.975952148
14,"Animal production, except cattle and poultry and eggs",17287.404296875,2310289062.5,165970413.20800781,1696411621.09375,183975753.78417969,-813119.35186386108
15,"Forestry, forest products, and timber tract production",632.0091552734375,51153553.009033203,30531501.770019531,4517762.1841430664,3197639.4653320312,577705.32369613647
16,Commercial logging,6170.66796875,478764892.578125,164997589.11132813,93158065.795898438,3432643.1751251221,10427736.282348633
17,Commercial fishing,2596.059814453125,100331878.66210938,1045757.6513290405,10707592.010498047,64950965.881347656,18542242.050170898
18,Commercial hunting and trapping,348.78961181640625,41780727.386474609,1048356.5330505371,5839431.7626953125,28063522.338867188,2025297.6417541504
19,Support activities for agriculture and forestry,15922.607421875,698858398.4375,498075500.48828125,71533264.16015625,-4016771.3165283203,13293268.203735352
20,Oil and gas extraction,4236.00244140625,976085327.1484375,434351.80187225342,22377738.952636719,-12614633.560180664,2848211.7652893066
21,Coal mining,110.40415954589844,29891241.073608398,3767274.6181488037,959411.62109375,2579774.1413116455,2361185.7891082764
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,14.487292289733887,4052682.8765869141,175930.36592006683,393127.47120857239,79509.876668453217,343589.81251716614
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,503.73684692382812,157069229.12597656,32932029.724121094,2982402.3246765137,16645196.914672852,8113010.4064941406
28,Stone mining and quarrying,2141.34521484375,531299926.7578125,124366592.40722656,5482656.4788818359,122077598.57177734,24106973.648071289
29,Sand and gravel mining,694.18084716796875,106991653.44238281,30860502.243041992,3218031.644821167,8625617.9809570312,6600069.0460205078
30,"Other clay, ceramic, refractory minerals mining",112.19779968261719,22786256.790161133,7451626.7776489258,44958.069920539856,2235525.369644165,1017881.8702697754
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,126.18175506591797,17720209.121704102,4103135.5857849121,631785.75038909912,1229817.1520233154,1274823.4272003174
35,Drilling oil and gas wells,497.56741333007812,127957267.76123047,10259405.136108398,3773885.96534729,-2682973.8616943359,2837674.1409301758
36,Support activities for oil and gas operations,583.91680908203125,109667976.37939453,8685097.6943969727,4269162.1780395508,-2884385.1089477539,1851247.4298477173
37,Metal mining services,455.39559936523438,102917945.86181641,46695.385128259659,2405096.7693328857,-1346385.12134552,304842.0250415802
38,Other nonmetallic minerals services,521.6959228515625,120383399.96337891,3601359.3673706055,2404738.4262084961,-1714005.708694458,1115423.6793518066
39,Electric power generation - Hydroelectric,274.98165893554688,115945678.7109375,8269487.3809814453,14058473.587036133,18618101.119995117,10947768.211364746
40,Electric power generation - Fossil fuel,1412.301513671875,2176800781.25,203479080.20019531,0,628026062.01171875,172304031.37207031
41,Electric power generation - Nuclear,2594.26708984375,2643519042.96875,457571502.68554688,0,645802490.234375,204266647.33886719
42,Electric power generation - Solar,1728.3785400390625,489410095.21484375,41663333.892822266,94477424.621582031,89024894.714355469,36200202.941894531
43,Electric power generation - Wind,55.5389404296875,57344322.204589844,1914266.1094665527,2842442.7509307861,16495050.430297852,5349453.9260864258
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,676.874755859375,255549728.39355469,6164596.5576171875,38401565.551757812,16410303.115844727,20966474.533081055
46,Electric power generation - All other,20.145549774169922,4637488.842010498,3693907.2608947754,0,-1704192.9960250855,251945.76382637024
47,Electric power transmission and distribution,7711.86572265625,10664586914.0625,934769104.00390625,57836341.857910156,2754307861.328125,871990173.33984375
48,Natural gas distribution,2019.6053466796875,1561693603.515625,200868347.16796875,379444.53954696655,438627166.74804688,88233345.031738281
49,"Water, sewage and other systems",1549.29345703125,417415740.96679688,68947044.372558594,55261150.360107422,93592559.814453125,22323659.896850586
50,Construction of new health care structures,10219.888671875,1367627807.6171875,370604125.9765625,191072006.22558594,169075134.27734375,7697617.5308227539
51,Construction of new manufacturing structures,17203.09375,2364111816.40625,647535461.42578125,301745056.15234375,189458206.17675781,13373174.667358398
52,Construction of new power and communication structures,22777.13671875,3508055419.921875,823010559.08203125,429868530.2734375,580722839.35546875,26178312.301635742
53,Construction of new educational and vocational structures,26037.265625,3111567138.671875,1039119018.5546875,401283782.95898438,351183166.50390625,15071705.81817627
54,Construction of new highways and streets,21113.697265625,3783839599.609375,800912414.55078125,371728454.58984375,564654663.0859375,18880002.975463867
55,"Construction of new commercial structures, including farm structures",40901.83203125,4761622558.59375,1440783325.1953125,732165954.58984375,254689163.20800781,35393379.211425781
56,Construction of other new nonresidential structures,52125.84375,3843163574.21875,1876456787.109375,963029479.98046875,-1400424072.265625,22651912.689208984
57,Construction of new single-family residential structures,63559.2890625,8148829589.84375,2239992675.78125,1217636718.75,879346862.79296875,46143569.946289062
58,Construction of new multifamily residential structures,19745.34765625,1846433227.5390625,698827880.859375,379201751.70898438,289386718.75,9609687.8051757812
59,Construction of other new residential structures,44610.09375,8084706542.96875,1605334716.796875,840304199.21875,762473327.63671875,65187095.642089844
60,Maintenance and repair construction of nonresidential structures,30355.392578125,5610659667.96875,1087519409.1796875,580190673.828125,420220611.57226562,44238941.192626953
61,Maintenance and repair construction of residential structures,14476.1943359375,2775066650.390625,503072814.94140625,247593276.97753906,257992645.26367188,35456100.463867188
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",10996.0146484375,987067443.84765625,400495086.66992188,207815994.26269531,-237330886.84082031,10234307.289123535
63,Dog and cat food manufacturing,389.33673095703125,520139831.54296875,22656576.156616211,-51050.856709480286,72351325.988769531,13007553.100585938
64,Other animal food manufacturing,1457.4422607421875,1513075317.3828125,105770233.15429688,1294920.802116394,74935668.9453125,31564037.322998047
65,Flour milling,920.10919189453125,1020536132.8125,51484535.217285156,-41492.823511362076,62285182.952880859,8049332.6187133789
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,104.27829742431641,151252609.25292969,4529917.2401428223,-32627.55274772644,9209942.8176879883,1522112.7271652222
68,Wet corn milling,54.468788146972656,105993209.83886719,6478059.7686767578,-1447.8102093562484,9499727.2491455078,1005228.7578582764
69,Soybean and other oilseed processing,229.77900695800781,1101945800.78125,20704572.677612305,-19238.539040088654,94345214.84375,8133997.917175293
70,Fats and oils refining and blending,148.04910278320313,238787567.13867188,11911231.994628906,-6151.9313603639603,13122674.942016602,1826023.3402252197
