Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,584669.90444231033,110747277413.71097,29558437940.031292,3292650253.8738427,18114899565.763653,4191019565.7492728
1,Oilseed farming,4383.03515625,2708029785.15625,3860796.2131500244,-5795886.0397338867,885329162.59765625,-6326776.0276794434
2,Grain farming,13406.1435546875,3880745117.1875,155682998.65722656,-19082534.790039062,819061218.26171875,-8147298.8128662109
3,Vegetable and melon farming,1795.690185546875,282001434.32617188,30362112.045288086,-7097434.9975585938,34824996.948242188,190679.80349063873
4,Fruit farming,3.5323965549468994,385413.73610496521,39855.476468801498,-13425.094075500965,66712.476313114166,350.54166801273823
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",53.132434844970703,8580144.8822021484,1488327.5032043457,-105339.30361270905,841317.95167922974,2494.2676536738873
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,1494.24365234375,288906005.859375,42061538.696289062,-3076118.9460754395,41354480.743408203,-387869.35806274414
10,All other crop farming,659.69757080078125,17895467.758178711,3120977.4017333984,-337123.12579154968,1823609.471321106,-42841.661721467972
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8038.30224609375,1036770874.0234375,8771640.7775878906,-14239544.868469238,159341354.37011719,84164939.880371094
12,Dairy cattle and milk production,90.367835998535156,54108001.708984375,1358136.773109436,-450163.24520111084,2831484.0793609619,2525570.6310272217
13,Poultry and egg production,36.248706817626953,25619987.487792969,833532.86981582642,-76524.637639522552,540641.12901687622,265210.44969558716
14,"Animal production, except cattle and poultry and eggs",1397.299072265625,165818252.56347656,10054530.143737793,-2533104.419708252,57212924.957275391,19439714.431762695
15,"Forestry, forest products, and timber tract production",91.92901611328125,6262685.2989196777,2881893.6347961426,1334347.3672866821,188080.74295520783,65054.513514041901
16,Commercial logging,41.926471710205078,4435191.6313171387,2670218.7061309814,0,360222.01180458069,0
17,Commercial fishing,97.019805908203125,3558315.9923553467,581584.33437347412,674030.18474578857,883750.08106231689,457571.14887237549
18,Commercial hunting and trapping,116.49671936035156,5798140.5258178711,92284.269630908966,3687121.6297149658,-288243.83020401001,447326.36213302612
19,Support activities for agriculture and forestry,4438.9697265625,198697921.75292969,110270431.51855469,90378196.716308594,-37703624.725341797,2306325.6740570068
20,Oil and gas extraction,6696.43505859375,3512325683.59375,341149749.75585938,5851908.6837768555,801707702.63671875,841206237.79296875
21,Coal mining,1136.091796875,486327026.3671875,160639816.28417969,-59315.301477909088,-26115560.531616211,143755233.76464844
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,38.094520568847656,7349036.693572998,434707.6416015625,-135626.73330307007,-69705.478847026825,2578478.3363342285
29,Sand and gravel mining,955.4610595703125,188371109.00878906,59869514.465332031,-1139672.6369857788,-3881059.1697692871,54122127.532958984
30,"Other clay, ceramic, refractory minerals mining",26.575189590454102,6396747.5891113281,2277322.2923278809,-17302.244901657104,-153512.40336894989,1439438.7006759644
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,46.825111389160156,6597159.8625183105,67736.215889453888,-199277.90760993958,-4403.1376019120216,2843814.6114349365
35,Drilling oil and gas wells,3315.740966796875,1489713012.6953125,390763854.98046875,4983297.8248596191,257119293.21289063,78699157.71484375
36,Support activities for oil and gas operations,14472.7255859375,4918246582.03125,1644963378.90625,45353565.216064453,650215148.92578125,155000274.65820313
37,Metal mining services,719.90667724609375,374330535.88867188,36675613.403320312,628946.78115844727,86525077.819824219,90033683.776855469
38,Other nonmetallic minerals services,750.40106201171875,384277313.23242188,39731819.152832031,628853.08265686035,87920768.737792969,90615966.796875
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,1088.8084716796875,1369964965.8203125,171208953.85742188,0,248771011.35253906,45671535.491943359
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,17.852060317993164,18602706.909179688,1608860.6119155884,0,6526572.7043151855,585417.80710220337
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,109.59010314941406,13851297.378540039,12666386.604309082,0,-12319420.81451416,471221.83442115784
47,Electric power transmission and distribution,1631.7322998046875,1883224975.5859375,227138015.74707031,-643101.39417648315,314580780.02929688,62959995.269775391
48,Natural gas distribution,763.916259765625,588048400.87890625,128887161.25488281,36437.533795833588,132322006.22558594,11498917.579650879
49,"Water, sewage and other systems",380.3536376953125,74789260.864257812,19796661.376953125,-2966648.1018066406,12569320.678710938,1864666.8195724487
50,Construction of new health care structures,1043.579345703125,171159988.40332031,52152095.794677734,19912508.010864258,34382575.988769531,465715.64674377441
51,Construction of new manufacturing structures,1699.5628662109375,266718933.10546875,85190353.393554688,31506320.953369141,29537683.486938477,746221.54235839844
52,Construction of new power and communication structures,3277.4033203125,690114562.98828125,228108398.4375,46862083.435058594,145614990.234375,32358699.798583984
53,Construction of new educational and vocational structures,2633.739013671875,376183776.85546875,134764038.0859375,41782970.428466797,66700195.3125,941489.39847946167
54,Construction of new highways and streets,2180.58544921875,477508209.22851562,110875877.38037109,38618583.679199219,117369155.88378906,1231023.0731964111
55,"Construction of new commercial structures, including farm structures",4038.887451171875,550608032.2265625,195042404.17480469,76977638.244628906,48997795.104980469,2613851.5472412109
56,Construction of other new nonresidential structures,5254.84814453125,466613983.15429688,257139007.56835938,100086853.02734375,-132214508.05664063,1526804.9240112305
57,Construction of new single-family residential structures,6455.31005859375,977199401.85546875,312143829.34570312,128392623.90136719,146968261.71875,7235688.6863708496
58,Construction of new multifamily residential structures,1996.227783203125,240405364.99023438,97407272.338867188,39740318.298339844,54567134.857177734,1234210.4911804199
59,Construction of other new residential structures,4498.07080078125,954111145.01953125,221743225.09765625,87718185.424804688,155306686.40136719,4205071.4492797852
60,Maintenance and repair construction of nonresidential structures,3069.27978515625,652574096.6796875,151922760.00976563,60625404.357910156,85421836.853027344,2888745.5463409424
61,Maintenance and repair construction of residential structures,1477.3135986328125,324914093.01757812,68992393.493652344,26131143.569946289,49884101.867675781,3260668.0393218994
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1117.8489990234375,118555465.69824219,56144874.572753906,21753868.103027344,-21622116.088867188,688150.34627914429
63,Dog and cat food manufacturing,0,0,0,0,0,0
64,Other animal food manufacturing,201.57112121582031,203102828.97949219,11569260.597229004,2547261.7149353027,7157147.8843688965,2100765.4666900635
65,Flour milling,179.78195190429688,206951904.296875,13903558.731079102,612143.15891265869,16456340.789794922,369641.51263237
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,32.706565856933594,54643836.975097656,3820829.6298980713,447404.74224090576,7600176.3343811035,112150.01344680786
68,Wet corn milling,177.21650695800781,334305847.16796875,17940767.288208008,253514.82629776001,25739879.608154297,768532.45496749878
69,Soybean and other oilseed processing,148.60800170898438,696887512.20703125,11364095.687866211,604870.2597618103,50662643.432617188,1235849.2612838745
70,Fats and oils refining and blending,146.70242309570313,231778594.97070313,10042428.970336914,480557.08408355713,10824398.040771484,425210.65473556519
71,Breakfast cereal manufacturing,7.4321393966674805,7300930.5000305176,914557.57617950439,43245.255947113037,1503903.2697677612,13140.779919922352
72,Beet sugar manufacturing,1095.4317626953125,746207763.671875,83816490.173339844,188962.08703517914,108892601.01318359,2298853.3973693848
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,14.963112831115723,6457426.5480041504,806071.28143310547,355075.03151893616,429906.57687187195,11430.633254349232
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,62.293842315673828,22717964.172363281,3052108.2878112793,1094784.9750518799,1534810.3046417236,41339.106857776642
77,"Frozen fruits, juices and vegetables manufacturing",456.58895874023438,215298171.99707031,30124811.172485352,327843.33825111389,29581489.562988281,404811.14387512207
78,Frozen specialties manufacturing,169.81939697265625,67254356.384277344,10890993.118286133,561764.89591598511,6535352.7069091797,97887.955605983734
79,Canned fruits and vegetables manufacturing,15.306651115417481,8166956.901550293,1087616.5628433228,107781.93920850754,1018457.7703475952,12374.690733850002
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,14.574281692504883,6791979.3128967285,808596.49181365967,268129.88519668579,796430.88579177856,11562.72180378437
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,183.75959777832031,144115951.53808594,17736682.891845703,129045.32253742218,13376070.976257324,293326.37786865234
85,Creamery butter manufacturing,12.454639434814453,24164113.998413086,1079446.7926025391,41588.760912418365,3702409.029006958,72895.020246505737
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,396.34512329101562,31302820.205688477,10591195.106506348,529673.45714569092,2097109.5561981201,2218741.8937683105
88,Poultry processing,0,0,0,0,0,0
89,"Animal, except poultry, slaughtering",358.82266235351562,238963272.09472656,13036836.624145508,3836843.4906005859,5103751.1825561523,583498.77595901489
90,Meat processed from carcasses,219.07560729980469,114236083.984375,13439930.91583252,777944.20719146729,1170539.9751663208,241179.80897426605
91,Rendering and meat byproduct processing,17.153705596923828,6724676.6090393066,1200727.2243499756,86729.556322097778,267346.65036201477,30782.37920999527
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",1062.5634765625,154841812.13378906,40526737.213134766,8418946.2661743164,14846814.155578613,2424474.7161865234
94,Cookie and cracker manufacturing,0,0,0,0,0,0
95,"Dry pasta, mixes, and dough manufacturing",721.85858154296875,427239013.671875,45646728.515625,1596089.243888855,71310165.405273438,901533.30564498901
96,Tortilla manufacturing,0,0,0,0,0,0
97,Roasted nuts and peanut butter manufacturing,247.07240295410156,129724029.54101563,14261796.951293945,2146630.5255889893,29707988.739013672,257572.38268852234
98,Other snack food manufacturing,42.158782958984375,19257249.83215332,2687311.6493225098,0,318715.12532234192,0
99,Coffee and tea manufacturing,7.1946134567260742,4947707.1762084961,85949.309170246124,940466.94040298462,97404.338419437408,9628.5510808229446
100,Flavoring syrup and concentrate manufacturing,0,0,0,0,0,0
101,"Mayonnaise, dressing, and sauce manufacturing",0,0,0,0,0,0
102,Spice and extract manufacturing,17.84443473815918,9704442.9779052734,914503.81278991699,309629.52971458435,580107.80811309814,20234.046503901482
103,All other food manufacturing,76.365165710449219,26408317.565917969,2690540.3137207031,1373609.185218811,1118244.7671890259,47108.598053455353
104,Bottled and canned soft drinks & water,184.943115234375,137254867.55371094,12330081.939697266,232877.04586982727,14974699.020385742,413020.84922790527
105,Manufactured ice,3.3722596168518066,478041.41044616699,122813.8729929924,38688.313215970993,-60391.746461391449,1426.6464859247208
106,Breweries,88.219924926757812,33925792.694091797,2028207.0636749268,452852.07033157349,3281421.422958374,1090215.4445648193
