Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1328928.9850888252,255788829910.94888,61924076784.117149,13746246175.622107,42321958148.492477,7334981995.6141071
1,Oilseed farming,1682.0457763671875,2774464355.46875,5891726.4938354492,1216477172.8515625,219841064.453125,-7985331.0585021973
2,Grain farming,14807.96484375,6741040039.0625,402803253.17382812,1234847045.8984375,344831176.7578125,23784769.058227539
3,Vegetable and melon farming,538.20318603515625,92774894.714355469,14878224.37286377,7643292.4270629883,2776825.6664276123,13395.842164754868
4,Fruit farming,17.678810119628906,2310102.9396057129,355821.43068313599,223704.38277721405,96914.678812026978,411.11293830908835
5,Tree nut farming,3.1878776550292969,167731.83643817902,87715.409696102142,13025.031425058842,1025.3847576677799,60.417871281970292
6,"Greenhouse, nursery, and floriculture production",410.0098876953125,56035583.49609375,14477972.984313965,4252953.5293579102,1331704.2589187622,4518.6607167124748
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,251.51724243164063,56588001.251220703,12271366.119384766,8744353.2943725586,1963218.8081741333,-386288.25545310974
10,All other crop farming,2300.079345703125,129764083.86230469,33708702.087402344,11211153.030395508,3204952.4784088135,-884909.45100784302
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",31438.22265625,10596776367.1875,133540130.61523438,1441548339.84375,394727874.75585938,157502624.51171875
12,Dairy cattle and milk production,324.37564086914062,233279998.77929688,8721667.2897338867,11536840.438842773,2958751.6784667969,2124364.3760681152
13,Poultry and egg production,247.56193542480469,226934646.60644531,10997262.954711914,2787138.2236480713,1160671.4725494385,-28163.457289338112
14,"Animal production, except cattle and poultry and eggs",4268.310546875,940482116.69921875,84941505.432128906,340337707.51953125,78648544.311523438,11076984.405517578
15,"Forestry, forest products, and timber tract production",67.709144592285156,6427124.5002746582,4411710.7391357422,0,694574.77331161499,0
16,Commercial logging,269.7138671875,15822267.532348633,5303589.8208618164,89233.972132205963,879249.63235855103,513403.47528457642
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,193.54776000976563,4771187.3054504395,0,-94311.811029911041,0,1623840.5704498291
19,Support activities for agriculture and forestry,10137.52734375,407885681.15234375,227512100.21972656,112692604.06494141,-19498115.539550781,10795181.274414063
20,Oil and gas extraction,1728.7762451171875,407268707.27539062,4405436.5158081055,25398111.343383789,-19330688.4765625,3764898.3001708984
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,37.251060485839844,13587241.172790527,5395625.114440918,12381.136417388916,2863413.3338928223,602954.2088508606
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,274.33367919921875,95527336.120605469,21171152.114868164,81784.777343273163,36609455.108642578,4962095.2606201172
29,Sand and gravel mining,701.76641845703125,113963096.61865234,29566326.141357422,785012.30478286743,14557979.583740234,10735973.358154297
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,27.620441436767578,6782928.9436340332,2634694.0994262695,15147.323720157147,1391141.6530609131,447793.96057128906
35,Drilling oil and gas wells,237.7864990234375,64740211.486816406,4502141.9525146484,2802292.3469543457,1934743.4043884277,1130917.5491333008
36,Support activities for oil and gas operations,344.06085205078125,70804664.611816406,6215740.2038574219,4814375.4005432129,746810.55545806885,1432433.2475662231
37,Metal mining services,185.85377502441406,42969894.409179688,473610.43095588684,2729717.7314758301,-2063203.0963897705,402954.31017875671
38,Other nonmetallic minerals services,185.85377502441406,42490497.589111328,473610.43095588684,2729311.2277984619,-2077410.2210998535,404915.77982902527
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,95.897621154785156,348346343.99414062,11127296.447753906,0,225314407.34863281,32256580.352783203
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,89.4735107421875,395339477.5390625,3517767.6677703857,119703125,198865692.13867188,23725605.010986328
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,194.97959899902344,638947692.87109375,21755884.170532227,0,406601745.60546875,57736660.003662109
48,Natural gas distribution,1291.6834716796875,3428417236.328125,123725776.67236328,841560668.9453125,1772893554.6875,157099182.12890625
49,"Water, sewage and other systems",87.3310546875,87989814.758300781,7777134.895324707,0,66945335.388183594,3273730.993270874
50,Construction of new health care structures,2220.2978515625,257580139.16015625,83757858.276367188,25602285.385131836,9197180.7479858398,2332053.4229278564
51,Construction of new manufacturing structures,3654.01123046875,459214538.57421875,142388305.6640625,40191028.594970703,15267111.778259277,3934069.1566467285
52,Construction of new power and communication structures,4935.48291015625,653873168.9453125,185147262.57324219,60179832.458496094,43218757.629394531,8169415.4739379883
53,Construction of new educational and vocational structures,5748.48828125,616323852.5390625,242126968.38378906,53686111.450195312,27826997.756958008,4586794.8532104492
54,Construction of new highways and streets,4648.50830078125,753737976.07421875,195086868.28613281,49676239.013671875,53761291.50390625,8791891.0980224609
55,"Construction of new commercial structures, including farm structures",8693.541015625,932184570.3125,318328857.421875,98332687.377929688,16324653.625488281,10641076.08795166
56,Construction of other new nonresidential structures,11156.185546875,575835876.46484375,417348907.47070312,128412078.85742188,-486407897.94921875,6795257.0915222168
57,Construction of new single-family residential structures,13727.5673828125,1616114868.1640625,502748107.91015625,163885986.328125,114775581.35986328,21385292.053222656
58,Construction of new multifamily residential structures,4255.958984375,337704589.84375,156812591.55273438,50854888.916015625,24850460.052490234,4009500.0267028809
59,Construction of other new residential structures,9636.2900390625,1574760864.2578125,361817016.6015625,112438407.89794922,40779594.421386719,20406839.370727539
60,Maintenance and repair construction of nonresidential structures,6531.44287109375,1106748657.2265625,243387481.68945313,77935653.686523438,23702922.821044922,13270516.395568848
61,Maintenance and repair construction of residential structures,3156.15478515625,553354736.328125,112452224.73144531,33321842.193603516,18757717.132568359,11434263.229370117
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",2364.119384765625,166875946.04492188,89244590.759277344,28111318.588256836,-83355995.178222656,2618972.7783203125
63,Dog and cat food manufacturing,1311.8052978515625,1843477905.2734375,91190620.422363281,916457.53383636475,333297760.00976562,29316486.358642578
64,Other animal food manufacturing,1344.7943115234375,1378210815.4296875,86250045.776367188,4741706.8481445312,71349098.205566406,16800844.192504883
65,Flour milling,346.396728515625,419259002.68554688,32928829.193115234,348671.94294929504,45594680.786132812,2028035.1638793945
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,30.294961929321289,51044513.702392578,3349916.6965484619,86231.857538223267,7795260.4293823242,295583.54616165161
68,Wet corn milling,604.9759521484375,1173577758.7890625,66253982.543945312,13320.299796760082,111200843.81103516,7471840.8584594727
69,Soybean and other oilseed processing,302.46600341796875,1431479858.3984375,21786422.729492188,502852.14185714722,113623847.96142578,7163347.7210998535
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,716.91363525390625,704538513.18359375,80483985.900878906,88272.176682949066,154827789.30664063,3608314.2757415771
72,Beet sugar manufacturing,252.82685852050781,168890701.29394531,15944348.335266113,28333.716094493866,24232950.210571289,1511167.2878265381
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,71.456207275390625,29244297.027587891,3340718.2693481445,479172.08075523376,2084352.2548675537,155319.63109970093
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,21.055488586425781,7306849.9565124512,836945.89138031006,193424.5228767395,492360.02564430237,39789.628237485886
77,"Frozen fruits, juices and vegetables manufacturing",407.6842041015625,185616592.40722656,21437513.35144043,250797.42074012756,24626388.549804688,1029494.7624206543
78,Frozen specialties manufacturing,239.07881164550781,90846275.329589844,11884284.973144531,1005399.227142334,8342673.3016967773,392655.19380569458
79,Canned fruits and vegetables manufacturing,17.443309783935547,8604912.7578735352,198241.59145355225,1378943.4432983398,217166.37909412384,40568.217635154724
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,27.956293106079102,11299407.958984375,729993.28374862671,252056.15162849426,841135.02502441406,63150.309026241302
82,Cheese manufacturing,27.207437515258789,23665927.886962891,853710.53218841553,239554.36050891876,463629.99081611633,130606.62150382996
83,"Dry, condensed, and evaporated dairy product manufacturing",61.456523895263672,84746147.155761719,4736222.7439880371,112867.60866641998,10056689.262390137,437026.47089958191
84,Fluid milk manufacturing,360.50717163085938,269907165.52734375,24994636.535644531,356378.76391410828,22051273.345947266,1639168.381690979
