Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,889995.72832357883,150969640249.63977,47637349235.217087,8433108486.3663406,25391604907.671486,5727800033.5247192
1,Oilseed farming,1.9582744836807251,331956.32696151733,0,-962.5554084777832,0,-2867.7983209490776
2,Grain farming,51.46826171875,4239391.3269042969,439693.30191612244,-28242.478147149086,1804628.7298202515,-31296.368688344955
3,Vegetable and melon farming,335.62750244140625,15868906.974792481,4417208.6715698242,-541097.46217727661,3952481.9850921631,32599.575817584991
4,Fruit farming,376.83425903320312,12183211.326599121,3257188.3201599121,-574950.27780532837,4253287.7922058105,34204.773604869843
5,Tree nut farming,4.7217550277709961,83535.432815551758,75824.819505214691,-4191.0987347364426,4249.5881207287312,348.90379174612463
6,"Greenhouse, nursery, and floriculture production",1025.146728515625,52859996.795654297,23705617.904663086,-879227.63824462891,10453838.348388672,44015.202671289444
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,2528.03564453125,18927961.349487305,8534374.2370605469,-483089.59603309631,3890233.9935302734,-164221.64440155029
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",329.00531005859375,11493999.481201172,251414.00098800659,-213876.36661529541,3562869.7872161865,3148696.1841583252
12,Dairy cattle and milk production,238.70710754394531,42330001.831054688,2746948.7190246582,-477128.2970905304,4467700.4814147949,6102060.3179931641
13,Poultry and egg production,250.22044372558594,51716667.175292969,4350053.7872314453,-209281.71277046204,2201120.6150054932,1674425.0059127808
14,"Animal production, except cattle and poultry and eggs",404.87744140625,13727766.036987305,2102419.376373291,-277567.59524345398,6096353.0540466309,5150256.1569213867
15,"Forestry, forest products, and timber tract production",97.509696960449219,7399254.322052002,4098615.6463623047,1063346.5051651001,229785.96389293671,105331.60716295242
16,Commercial logging,1681.228515625,119348114.01367188,27790624.618530273,34696174.621582031,-2617589.9505615234,3149171.8292236328
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,63.318450927734375,6064017.2958374023,99354.088306427002,4763881.6833496094,-115339.91992473602,396438.39001655579
19,Support activities for agriculture and forestry,1172.7205810546875,42460342.407226562,18544054.03137207,18991876.602172852,-5020860.6719970703,1109098.0768203735
20,Oil and gas extraction,446.22903442382812,103938140.86914063,0,2489598.274230957,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,167.05615234375,29471456.527709961,7657238.0065917969,-71516.752243041992,-463976.02558135986,2435231.9240570068
29,Sand and gravel mining,615.36016845703125,77824798.583984375,19907638.549804688,-303313.40432167053,-487660.9742641449,7570816.5168762207
30,"Other clay, ceramic, refractory minerals mining",82.266960144042969,16086809.158325195,6470713.1385803223,-8046.1921170353889,-164825.6778717041,963529.82521057129
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,75.660301208496094,19221097.946166992,1997171.6403961182,-447258.62145423889,-269766.92676544189,641150.23612976074
36,Support activities for oil and gas operations,88.204833984375,17393829.345703125,2376859.188079834,2650.802955031395,-252422.57118225098,501376.56927108765
37,Metal mining services,47.972293853759766,10960600.852966309,0,267575.05536079407,0,0
38,Other nonmetallic minerals services,97.483909606933594,25668457.03125,3626552.8202056885,267535.17985343933,-336978.64413261414,626996.69599533081
39,Electric power generation - Hydroelectric,86.560104370117188,56668422.698974609,10813111.305236816,0,21060890.197753906,4631860.7330322266
40,Electric power generation - Fossil fuel,576.16864013671875,677078674.31640625,27064804.077148438,2927290.2011871338,72265663.146972656,96282135.009765625
41,Electric power generation - Nuclear,456.2359619140625,484276885.98632812,90313919.067382812,0,110271842.95654297,48759353.637695312
42,Electric power generation - Solar,19.837278366088867,3991346.8360900879,238343.14942359924,129911.75055503845,440584.59997177124,565154.07562255859
43,Electric power generation - Wind,1.30817711353302,2518173.9330291748,192167.44601726532,0,1432518.9590454102,169357.22529888153
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,121.95838165283203,81963012.6953125,13811052.322387695,0,31805915.832519531,5065804.4815063477
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,832.9744873046875,1280341674.8046875,140704742.43164063,129198.55117797852,359087066.65039062,127413963.31787109
48,Natural gas distribution,419.17855834960938,302568542.48046875,35938018.798828125,665627.59876251221,67930000.305175781,25020372.39074707
49,"Water, sewage and other systems",176.65650939941406,43787910.461425781,8954419.1360473633,595098.79350662231,10585978.507995606,3436962.1276855469
50,Construction of new health care structures,1595.45068359375,186734359.74121094,53780189.514160156,61621944.427490234,-28364671.70715332,1474310.8749389648
51,Construction of new manufacturing structures,2608.24072265625,359593597.41210938,91607215.881347656,97926231.384277344,-16329494.476318359,2632712.1257781982
52,Construction of new power and communication structures,3548.971435546875,424252136.23046875,116859832.76367188,138193923.95019531,-92492118.835449219,4867971.8971252441
53,Construction of new educational and vocational structures,3940.03857421875,433039764.40429688,151029464.72167969,129533569.3359375,-47528106.689453125,2541944.0269470215
54,Construction of new highways and streets,3222.088134765625,454070068.359375,113654983.52050781,119952453.61328125,-91978889.465332031,3006762.2661590576
55,"Construction of new commercial structures, including farm structures",6258.56201171875,762022338.8671875,204037353.515625,239579483.03222656,-37907199.859619141,4595642.5666809082
56,Construction of other new nonresidential structures,8036.41552734375,466796813.96484375,264077087.40234375,311742462.15820312,-481028015.13671875,4849247.4555969238
57,Construction of new single-family residential structures,9804.548828125,1296325195.3125,313431579.58984375,392543975.83007812,-13005164.14642334,22462760.925292969
58,Construction of new multifamily residential structures,3042.802001953125,259787841.796875,97778198.2421875,122402328.49121094,-36452579.498291016,3723197.2217559814
59,Construction of other new residential structures,6863.26171875,1118333740.234375,225931854.24804688,271462219.23828125,-130052139.28222656,10756891.250610352
60,Maintenance and repair construction of nonresidential structures,4661.95068359375,811781982.421875,151830307.00683594,187117660.52246094,-68399322.509765625,7010405.0636291504
61,Maintenance and repair construction of residential structures,2336.9482421875,409716308.59375,77273292.541503906,80989265.441894531,-32377521.514892578,4397006.9885253906
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1680.566162109375,133552124.0234375,55707054.138183594,66822029.113769531,-82998901.3671875,1426948.3089447022
63,Dog and cat food manufacturing,39.26416015625,47816570.281982422,1418653.7265777588,-176593.45269203186,3935503.2444000244,1071588.9930725098
64,Other animal food manufacturing,58.147666931152344,60261638.641357422,3638922.2145080566,54492.21283197403,3089254.3792724609,1632321.834564209
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,12.610041618347168,19622394.561767578,756704.98609542847,-36875.28520822525,724208.95099639893,126954.16808128357
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,45.539661407470703,43983592.987060547,2749202.7282714844,-16996.415331959724,3495864.8681640625,311593.47295761108
74,Nonchocolate confectionery manufacturing,31.342594146728516,11575187.683105469,935821.2947845459,-56180.499494075775,443165.39168357849,82939.162850379944
75,Chocolate and confectionery manufacturing from cacao beans,645.06329345703125,474222747.80273438,58916179.656982422,-64288.541674613953,66106048.583984375,3399927.8545379639
76,Confectionery manufacturing from purchased chocolate,204.54661560058594,70254905.700683594,9924291.6107177734,-374983.48951339722,4431253.4332275391,470215.43979644775
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,88.244087219238281,30439052.581787109,3134345.531463623,-90981.721878051758,1670016.2887573242,176074.96678829193
79,Canned fruits and vegetables manufacturing,46.923206329345703,19650726.318359375,823663.89036178589,-201543.61426830292,684840.55995941162,132210.95502376556
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,542.13336181640625,426165893.5546875,54598121.643066406,-123801.41764879227,36559997.55859375,2992105.24559021
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,17.090183258056641,7213575.8399963379,924747.70545959473,-28283.091261982918,540209.35297012329,58913.230895996094
87,Frozen cakes and other pastries manufacturing,1186.6158447265625,96189010.620117188,35010078.430175781,3015690.3266906738,8802998.5427856445,1858802.5569915772
88,Poultry processing,0,0,0,0,0,0
89,"Animal, except poultry, slaughtering",155.81500244140625,106603202.81982422,8625748.6343383789,-25940.654799342155,3202356.8153381348,830569.38648223877
90,Meat processed from carcasses,27.285026550292969,14640977.85949707,1548733.3536148071,459.37125105410814,708370.68557739258,102354.2582988739
91,Rendering and meat byproduct processing,20.571376800537109,8501543.0450439453,1429093.8377380371,42182.084172964096,799924.49283599854,67349.687218666077
92,Seafood product preparation and packaging,203.10409545898438,81543647.766113281,11242912.292480469,-51102.448254823685,2925260.7822418213,679847.5980758667
93,"Bread and bakery product, except frozen, manufacturing",1502.341552734375,174954071.04492188,37776618.957519531,2143887.2814178467,7592717.170715332,2135602.9510498047
94,Cookie and cracker manufacturing,17.734312057495117,5948605.0605773926,866431.17666244507,-14538.880437612534,405385.94126701355,44907.39107131958
95,"Dry pasta, mixes, and dough manufacturing",137.49272155761719,72190460.205078125,5468591.2132263184,-81662.066280841827,7585592.2698974609,594087.60070800781
96,Tortilla manufacturing,0,0,0,0,0,0
97,Roasted nuts and peanut butter manufacturing,47.798919677734375,20144807.815551758,3505070.2095031738,0,514738.61932754517,0
98,Other snack food manufacturing,65.965301513671875,30465127.944946289,4009661.6744995117,-36210.507154464722,972382.78388977051,91215.118765830994
99,Coffee and tea manufacturing,106.99819183349609,59831817.626953125,1430159.2111587524,-256252.91466712952,1439105.2722930908,493213.17672729492
100,Flavoring syrup and concentrate manufacturing,34.069618225097656,94822486.877441406,2938472.9862213135,-26210.807263851166,24424594.879150391,590952.21757888794
101,"Mayonnaise, dressing, and sauce manufacturing",38.083305358886719,19076702.117919922,1209161.7584228516,-62413.126230239868,1149269.700050354,145249.143242836
102,Spice and extract manufacturing,0,0,0,0,0,0
