Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,5486441.573404789,1035080786534.0188,337901823587.19312,60874158832.476479,175937096643.80206,49081078715.20031
1,Oilseed farming,108.71038055419922,33030963.897705078,92524.588108062744,9329647.0642089844,12448690.414428711,-156905.84480762482
2,Grain farming,280.02871704101562,36715133.666992188,2893900.8712768555,4332619.1902160645,8933002.4719238281,-170036.13710403442
3,Vegetable and melon farming,3285.754638671875,215766693.11523438,45643348.693847656,11451266.288757324,30716749.19128418,498121.73843383789
4,Fruit farming,2598.13916015625,121106361.38916016,24605955.123901367,7554908.7524414062,24165618.896484375,368097.18608856201
5,Tree nut farming,5.4011893272399902,122361.84626817703,84407.076239585876,6121.085025370121,3557.8699316829443,623.01266007125378
6,"Greenhouse, nursery, and floriculture production",7589.8115234375,476519073.48632812,162403961.18164063,23298402.786254883,53863788.604736328,508808.31480026245
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3241.565185546875,41786495.208740234,14318448.066711426,2325685.0242614746,4908805.3703308105,-210411.6827249527
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",117.93879699707031,7460999.4888305664,124024.49548244476,653840.12460708618,1321885.2281570435,1764663.9347076416
12,Dairy cattle and milk production,69.616683959960938,17819999.694824219,878824.53203201294,567722.6185798645,1075007.3194503784,2777724.9813079834
13,Poultry and egg production,208.55311584472656,64142211.9140625,4100154.3998718262,507482.17105865479,1560361.385345459,2178513.2884979248
14,"Animal production, except cattle and poultry and eggs",960.40826416015625,53886516.571044922,6336362.361907959,12398717.880249023,13491180.419921875,19084020.614624023
15,"Forestry, forest products, and timber tract production",578.37115478515625,75990768.432617188,26452573.776245117,35192581.176757812,2507927.1793365479,555083.7516784668
16,Commercial logging,423.9805908203125,61059803.009033203,28391622.543334961,14953805.923461914,3273246.2882995605,235615.83459377289
17,Commercial fishing,1270.197021484375,177239654.54101563,15121487.617492676,68751846.313476562,28285232.543945312,8839476.5853881836
18,Commercial hunting and trapping,92.136497497558594,22682882.308959961,1540966.5107727051,18727132.797241211,767367.36297607422,520910.44187545776
19,Support activities for agriculture and forestry,4760.06005859375,176032867.43164063,179159286.49902344,-5425892.8298950195,-41271049.499511719,7704586.5058898926
20,Oil and gas extraction,1796.968017578125,586686645.5078125,6479640.007019043,496409484.86328125,-328277893.06640625,3541328.1917572021
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,92.3482666015625,52160007.476806641,1201955.7952880859,37902725.219726562,-361633.50939750671,1733395.9341049194
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,792.2237548828125,232055145.26367188,62532226.5625,82376747.131347656,-23777299.880981445,16483825.68359375
29,Sand and gravel mining,612.86260986328125,195274795.53222656,32289699.554443359,106252090.45410156,-4963608.7417602539,10766846.656799316
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,6.1869993209838867,3666342.4968719482,74312.2398853302,2798017.0249938965,-7072.3714306950569,154745.99599838257
34,Other nonmetallic minerals,23.61619758605957,7506077.766418457,1037995.2192306519,4225754.2610168457,-160002.11238861084,440770.53666114807
35,Drilling oil and gas wells,218.24006652832031,82145309.448242188,8623165.1306152344,37719776.153564453,-15916957.855224609,1818520.7843780518
36,Support activities for oil and gas operations,338.3038330078125,79143531.799316406,6341866.4932250977,54594524.383544922,-41032268.524169922,2607821.2261199951
37,Metal mining services,193.184814453125,62451469.421386719,696599.60269927979,53352703.094482422,-35037757.873535156,379025.75731277466
38,Other nonmetallic minerals services,271.24432373046875,94801017.761230469,7186220.1690673828,53344753.265380859,-27103504.180908203,1594371.6764450073
39,Electric power generation - Hydroelectric,111.72309875488281,56661128.997802734,5481809.139251709,6136758.3274841309,10019639.015197754,8999111.1755371094
40,Electric power generation - Fossil fuel,1775.63720703125,2699297851.5625,208118927.00195313,54579048.156738281,521483825.68359375,440354614.2578125
41,Electric power generation - Nuclear,1891.093994140625,2057792236.328125,364878356.93359375,0,418080749.51171875,301043060.30273438
42,Electric power generation - Solar,1133.84033203125,320188995.36132812,18215471.267700195,72681457.51953125,31598699.569702148,48093177.795410156
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,188.69351196289063,38854061.126708984,10655952.453613281,7794779.3006896973,-6853082.6568603516,4815855.0262451172
47,Electric power transmission and distribution,5542.58251953125,8496562500,869368347.16796875,64727371.215820312,2025033081.0546875,1192350585.9375
48,Natural gas distribution,5734.04833984375,5184714843.75,827398376.46484375,15745563.507080078,1467309936.5234375,507551879.8828125
49,"Water, sewage and other systems",2776.34814453125,1009478332.5195313,259202636.71875,79686904.907226562,276596282.95898438,76284805.297851562
50,Construction of new health care structures,7450.59130859375,1235919555.6640625,358981750.48828125,216388931.27441406,192876831.0546875,8982649.8031616211
51,Construction of new manufacturing structures,11821.69140625,1916935058.59375,570803833.0078125,342846832.27539062,157132339.47753906,13285068.511962891
52,Construction of new power and communication structures,16210.3642578125,3142765869.140625,777691650.390625,510567474.36523438,651482299.8046875,29956081.390380859
53,Construction of new educational and vocational structures,19754.318359375,2978525390.625,1123481811.5234375,455546539.30664062,392271850.5859375,17198215.484619141
54,Construction of new highways and streets,15334.744140625,3347750976.5625,795095886.23046875,421561431.88476562,637762084.9609375,20652120.590209961
55,"Construction of new commercial structures, including farm structures",29318.955078125,4170017578.125,1356554077.1484375,839861328.125,284574737.54882812,41368183.135986328
56,Construction of other new nonresidential structures,37340.390625,3498172607.421875,1797837524.4140625,1088577880.859375,-1119844726.5625,25648689.270019531
57,Construction of new single-family residential structures,46695.62109375,7813553710.9375,2124140625,1397554565.4296875,1316062500,209211166.38183594
58,Construction of new multifamily residential structures,14260.2109375,1841140136.71875,661239807.12890625,431641052.24609375,375835510.25390625,33415035.247802734
59,Construction of other new residential structures,32019.09765625,6886067382.8125,1538131835.9375,951430908.203125,871140441.89453125,71954536.437988281
60,Maintenance and repair construction of nonresidential structures,21744.330078125,4709694824.21875,1030485839.84375,658498779.296875,478996582.03125,49984153.747558594
61,Maintenance and repair construction of residential structures,10478.080078125,2351440673.828125,478874450.68359375,291432983.3984375,282850677.49023438,45394371.032714844
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",7917.80712890625,877969299.31640625,381319854.73632812,236882919.31152344,-188918365.47851563,12433472.633361816
63,Dog and cat food manufacturing,410.60675048828125,542038574.21875,30396648.406982422,2250082.7312469482,61239006.042480469,13459626.197814941
64,Other animal food manufacturing,542.8406982421875,584257934.5703125,43688282.012939453,5820769.3099975586,22601308.822631836,28130350.112915039
65,Flour milling,30.324249267578125,37668834.686279297,4389635.5628967285,48087.20201253891,3350322.2465515137,260197.28183746338
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,3.7304120063781738,5923300.2662658691,396954.50663566589,97566.373646259308,509163.85650634766,53570.855408906937
68,Wet corn milling,49.798919677734375,102011245.72753906,10207262.03918457,78986.436128616333,9443340.3015136719,901404.38079833984
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,478.62203979492188,768173583.984375,45218257.904052734,584860.50367355347,31428937.911987305,5789245.1286315918
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,114.66429901123047,119919425.96435547,12757006.645202637,154930.14454841614,11780812.26348877,946618.37816238403
