Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1114378.0829733238,186699366416.20844,50624288613.620216,5324771270.5520687,41967487591.68718,7418268153.3430586
1,Oilseed farming,0.46132183074951172,202221.79591655731,0,211645.12634277344,0,-19458.00893008709
2,Grain farming,261.15771484375,48699573.516845703,3898030.7579040527,21796682.357788086,11405657.768249512,-4532139.778137207
3,Vegetable and melon farming,963.13372802734375,92613739.013671875,19895280.838012695,18642507.553100586,12691387.176513672,-5106.8384200334549
4,Fruit farming,118.08905792236328,7998666.2864685059,1650336.1463546753,1892516.4937973023,1536354.3033599854,-310.66086376085877
5,Tree nut farming,5267.7060546875,177554397.58300781,124378639.22119141,33687877.655029297,4969564.4378662109,7825.3578394651413
6,"Greenhouse, nursery, and floriculture production",398.226318359375,37549053.192138672,12995616.912841797,6963133.3351135254,4085624.6948242188,-3248.8906290382147
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,443.08297729492188,45858001.708984375,17088792.80090332,9664018.6309814453,6615370.2735900879,-887089.78891372681
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,8610.544921875,155014801.02539063,53940471.649169922,32722610.473632812,17528947.830200195,-15971590.995788574
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",10557.8125,921358947.75390625,15553240.776062012,306240936.27929688,157133377.07519531,-12283368.110656738
12,Dairy cattle and milk production,3275.067626953125,1217895019.53125,60993827.819824219,147162841.796875,70722305.297851562,-5351024.6276855469
13,Poultry and egg production,105.25244140625,46726558.685302734,3033204.0786743164,1402169.3468093872,1094177.7229309082,-97829.177975654602
14,"Animal production, except cattle and poultry and eggs",380.019775390625,29665431.976318359,3580591.4402008057,26167957.305908203,-1207112.3123168945,-294267.05837249756
15,"Forestry, forest products, and timber tract production",113.46044158935547,9618873.5961914062,6270905.9715270996,309175.7595539093,781247.19858169556,44210.620224475861
16,Commercial logging,472.07305908203125,30782306.671142578,7475451.9462585449,5775096.4164733887,1008547.5444793701,706353.18756103516
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,306.83233642578125,16356672.286987305,629068.67265701294,5154231.071472168,3840482.4733734131,1868824.83959198
19,Support activities for agriculture and forestry,4897.86474609375,205141052.24609375,143468612.67089844,23750490.188598633,-2765408.0390930176,3783089.8761749268
20,Oil and gas extraction,10518.2529296875,6933793457.03125,438903015.13671875,378196411.1328125,3044910400.390625,680497009.27734375
21,Coal mining,1331.9239501953125,580624450.68359375,143048477.17285156,-293616.77169799805,166124114.99023438,27766551.971435547
22,"Copper, nickel, lead, and zinc mining",1102.820068359375,1436325439.453125,106870826.72119141,-1020639.181137085,667726867.67578125,101097076.41601563
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,7.9940361976623535,2517827.7492523193,369685.32204627991,-9695.5681219696999,283339.7388458252,185711.27951145172
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
