Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1797551.568929553,283553680353.98987,87278442419.333405,8961762268.3964157,54313150050.219734,16065440314.459164
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,41.085121154785156,16788547.515869141,1277934.5512390137,-21874.347701668739,3505164.1464233398,-226170.83787918091
3,Vegetable and melon farming,177.86256408691406,26146831.512451172,5341572.7615356445,-174369.36497688294,3194131.61277771,3429.2254131287336
4,Fruit farming,7.6383528709411621,860235.27383804321,168790.2957201004,-7939.7791996598244,147296.04125022888,137.58130080532283
5,Tree nut farming,15.53563404083252,684882.28321075439,456253.02195549011,-6720.410194247961,17088.457942008972,228.11460075899959
6,"Greenhouse, nursery, and floriculture production",128.17457580566406,14554423.332214356,4790361.8812561035,-47346.934676170349,1411739.3493652344,1094.5032117888331
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,4195.69580078125,225111221.31347656,74492767.333984375,-1123682.6181411743,22692371.368408203,-2471460.3424072266
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",960.75762939453125,328523986.81640625,5273931.9801330566,-1195587.5158309937,49946689.605712891,1832721.7102050781
12,Dairy cattle and milk production,194.13803100585938,120375999.45068359,5733124.2561340332,-265368.58081817627,6231412.8875732422,984786.03363037109
13,Poultry and egg production,22.887962341308594,18275617.599487305,1128198.0276107788,-14464.235864579678,381501.4660358429,30388.562008738518
14,"Animal production, except cattle and poultry and eggs",127.25319671630859,25985738.754272461,2989743.2327270508,-105185.73224544525,8869330.4061889648,321465.96908569336
15,"Forestry, forest products, and timber tract production",82.764274597167969,11261524.200439453,8855409.6221923828,0,791586.39907836914,0
16,Commercial logging,89.876785278320312,13569716.453552246,9601083.7554931641,-64480.66234588623,1017821.7887878418,3960.0958116352558
17,Commercial fishing,261.22772216796875,62754943.84765625,8860675.8117675781,-3244052.4101257324,35726570.129394531,1281595.3493118286
18,Commercial hunting and trapping,222.20892333984375,5556906.2232971191,493905.57408332825,-320012.00318336487,774966.71676635742,888828.39679718018
19,Support activities for agriculture and forestry,1370.357177734375,36195949.554443359,29650154.113769531,690715.61098098755,-5772297.8591918945,1302056.0741424561
20,Oil and gas extraction,2355.248779296875,542547790.52734375,1142148.494720459,17053596.496582031,-11839954.376220703,734789.60990905762
21,Coal mining,0,0,0,0,0,0
