Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,12599341.105435729,2526165782152.6523,883814921991.42285,137920726796.59641,516958176753.30542,117881794902.58965
1,Oilseed farming,354.83355712890625,141209716.796875,494838.56558799744,64882858.276367188,68804496.765136719,-1860096.6930389404
2,Grain farming,2909.346923828125,473568145.75195312,46696468.353271484,90909500.122070312,148965133.66699219,-6413257.5988769531
3,Vegetable and melon farming,4826.1962890625,375917877.19726562,99483055.114746094,32455142.974853516,69188453.674316406,140228.22678089142
4,Fruit farming,5244.97021484375,293402160.64453125,74576087.951660156,29774671.55456543,75690971.374511719,142418.5037612915
5,Tree nut farming,76.724761962890625,2082655.1914215088,1737842.4406051636,163877.12955474854,75702.182948589325,1696.344930678606
6,"Greenhouse, nursery, and floriculture production",5381.529296875,386235717.7734375,164676559.44824219,30719894.409179688,56444141.387939453,69157.48119354248
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19947.306640625,329068328.85742188,141061706.54296875,29793561.935424805,49977642.059326172,-4701472.7592468262
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4293.8671875,355123962.40234375,7385051.2504577637,50626274.108886719,81344192.504882812,12319590.568542481
12,Dairy cattle and milk production,8087.26025390625,2485293945.3125,153332870.48339844,128803512.57324219,193834594.7265625,61844425.201416016
13,Poultry and egg production,545.69061279296875,203508316.04003906,16274269.104003906,2619271.0399627686,6400490.2839660645,1092482.9244613648
14,"Animal production, except cattle and poultry and eggs",1307.629638671875,93437698.364257812,13650509.834289551,34733139.038085938,35606105.804443359,4980816.3642883301
15,"Forestry, forest products, and timber tract production",871.131103515625,114163925.17089844,86748390.197753906,2797892.5704956055,7393957.6148986816,230057.62696266174
16,Commercial logging,4571.14501953125,372991394.04296875,124723823.54736328,82155258.178710938,6290764.331817627,6664868.8316345215
17,Commercial fishing,1336.3870849609375,41354377.746582031,3014213.5620117188,15716207.504272461,4686183.9294433594,9380243.3013916016
18,Commercial hunting and trapping,292.53955078125,22822219.848632812,3032237.0529174805,12390335.083007813,1321014.0466690064,1667150.1398086548
19,Support activities for agriculture and forestry,9364.1376953125,369968322.75390625,250595214.84375,84245529.174804688,-51156467.437744141,15727447.509765625
20,Oil and gas extraction,5796.28955078125,2076925292.96875,13223019.599914551,2030256835.9375,-1309583129.8828125,25263483.047485352
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",255.85331726074219,173521194.45800781,2640739.917755127,4186881.5422058105,7596062.183380127,28794878.005981445
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,139.08921813964844,41904991.149902344,429335.20674705505,7998582.3631286621,151493.8622713089,3942166.805267334
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,134.69850158691406,33063220.977783203,419247.65706062317,4091660.4995727539,165447.16060161591,2610562.0861053467
28,Stone mining and quarrying,2374.9833984375,545071533.203125,119432632.44628906,19005462.646484375,91532119.750976562,31983612.060546875
29,Sand and gravel mining,3411.133544921875,523254699.70703125,128260986.328125,44730857.849121094,27989818.572998047,38802932.739257812
