Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,12589.209091931582,1898709279.945586,532355482.32065046,83524815.944596857,284244992.64106274,106405180.76795434
1,Oilseed farming,0.33792427182197571,144561.30564212799,289.9152459576726,2182.4031136929989,135899.76727962494,-1904.2455824092031
2,Grain farming,20.247196197509766,3817384.7198486328,221871.43564224243,17678.25148999691,2072581.0527801514,-51696.620881557465
3,Vegetable and melon farming,40.414909362792969,4163565.1588439941,568408.42962265015,9161.0774397850037,1652593.6126708984,1553.129986859858
4,Fruit farming,30.921895980834961,2362092.2565460205,341862.94674873352,4070.6233121454716,1104140.8777236939,1146.5683346614242
5,Tree nut farming,0.13272841274738312,5111.3213412463665,2322.1778683364391,7.4640397542680148,2540.8624205738306,4.1635839806986041
6,"Greenhouse, nursery, and floriculture production",16.863370895385742,1757441.7591094971,405376.70254707336,1701.1773306876421,741752.80332565308,314.67893859371543
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,420.22344970703125,8338259.6969604492,2311375.1411437988,15056.708827614784,3270344.9726104736,-119130.58161735535
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",41.399749755859375,3778111.2194061279,49711.182713508606,10723.887942731381,1422152.4000167847,131066.29252433777
12,Dairy cattle and milk production,56.593402862548828,21006641.387939453,799781.9185256958,21681.113168597221,3201622.9629516602,522732.37705230713
13,Poultry and egg production,0.60775798559188843,289373.15940856934,13932.810164988041,75.304567872080952,21958.496421575546,1553.4266130998731
14,"Animal production, except cattle and poultry and eggs",14.665018081665039,1403780.5795669556,106005.48982620239,10341.964662075043,1166267.1566009522,74918.307363986969
15,"Forestry, forest products, and timber tract production",1.1833664178848267,112141.6911482811,81772.863864898682,0,6969.8714651167393,314.38752193935215
16,Commercial logging,52.935989379882812,2241793.6325073242,179036.33415699005,202961.11702919006,9030.1549062132835,77140.331268310547
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,1.2379298210144043,47819.580882787704,0,22284.643724560738,0,7073.6617781221867
19,Support activities for agriculture and forestry,27.615524291992188,788462.34083175659,576087.17679977417,76290.369033813477,-117602.35577821732,46421.501785516739
20,Oil and gas extraction,0,0,0,0,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
