industrycode,description,employment,output,employeecompensation,proprietorincome,otherpropertytypeincome,taxonproductionandimports,county
1,Oilseed farming,3.1000769,808826.625,1692.53955078125,979801.4375,-218658.484375,-10654.336,NY_077
2,Grain farming,34.94236,4266036,258716.609375,1585249.125,735793.5,-57772.438,NY_077
3,Vegetable and melon farming,8.604497,605717.75,86283.9140625,106942.7109375,131018.578125,225.95023,NY_077
4,Fruit farming,65.777847,3434003.5,518585.4375,474858.75,1114177.75,1666.8782,NY_077
5,Tree nut farming,.13421023,3698.1376953125,1753.112182617188,433.334716796875,1331.116088867188,3.0124314,NY_077
6,"Greenhouse, nursery, and floriculture production",42.981968,3220345.75,775076.6875,250132.890625,1078588.5,576.61932,NY_077
7,Tobacco farming,0,0,0,0,0,0,NY_077
8,Cotton farming,0,0,0,0,0,0,NY_077
9,Sugarcane and sugar beet farming,0,0,0,0,0,0,NY_077
10,All other crop farming,738.17346,9176258,2654147,1329596.5,2174598.5,-131103.25,NY_077
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",99.764366,5564546.5,76396.5,1267380.25,839830.375,193039.45,NY_077
12,Dairy cattle and milk production,112.06763,28100930,1116349.125,2327262,1938137.125,699267.69,NY_077
13,Poultry and egg production,1.1182668,354370.3125,17803.369140625,7399.8017578125,18841.869140625,1902.3474,NY_077
14,"Animal production, except cattle and poultry and eggs",39.853252,2411064.25,189977.5625,1425319.625,529840.875,128675.98,NY_077
15,"Forestry, forest products, and timber tract production",2.5696571,283047.03125,213996.734375,0,18239.912109375,682.68634,NY_077
16,Commercial logging,15.775039,818034.1875,353172.78125,-104505.140625,17813.169921875,23009.084,NY_077
17,Commercial fishing,0,0,0,0,0,0,NY_077
18,Commercial hunting and trapping,.97727239,154171.125,0,134599.25,0,5584.2383,NY_077
19,Support activities for agriculture and forestry,75.382576,3011660.75,1348650,1246658,-275313.21875,126773.18,NY_077
20,Oil and gas extraction,70.496948,324581.28125,238178.8125,2559905.5,-17175762,307190.34,NY_077
21,Coal mining,0,0,0,0,0,0,NY_077
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0,NY_077
23,Iron ore mining,0,0,0,0,0,0,NY_077
24,Gold ore mining,0,0,0,0,0,0,NY_077
25,Silver ore mining,0,0,0,0,0,0,NY_077
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0,NY_077
27,Other metal ore mining,0,0,0,0,0,0,NY_077
28,Stone mining and quarrying,0,0,0,0,0,0,NY_077
29,Sand and gravel mining,47.985683,6553400,1583248.75,92436.7265625,345505.25,544529.75,NY_077
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0,NY_077
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0,NY_077
32,Phosphate rock mining,0,0,0,0,0,0,NY_077
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0,NY_077
34,Other nonmetallic minerals,0,0,0,0,0,0,NY_077
35,Drilling oil and gas wells,7.3976808,1308404.875,17870.908203125,183010.84375,-162746.078125,63055.172,NY_077
36,Support activities for oil and gas operations,7.5794296,775978.375,25615.779296875,270967.375,-140294.5,59694.793,NY_077
37,Metal mining services,7.5823722,267033.5625,25783.826171875,274518.4375,-993101.0625,34569.418,NY_077
38,Other nonmetallic minerals services,7.5810375,497900.25,25716.40625,274057.1875,-632682.6875,36145.055,NY_077
39,Electric power generation - Hydroelectric,16.125416,12605216,353274.625,7187540,408665.25,899621.69,NY_077
40,Electric power generation - Fossil fuel,0,0,0,0,0,0,NY_077
41,Electric power generation - Nuclear,0,0,0,0,0,0,NY_077
42,Electric power generation - Solar,0,0,0,0,0,0,NY_077
43,Electric power generation - Wind,0,0,0,0,0,0,NY_077
44,Electric power generation - Geothermal,0,0,0,0,0,0,NY_077
45,Electric power generation - Biomass,0,0,0,0,0,0,NY_077
46,Electric power generation - All other,0,0,0,0,0,0,NY_077
