Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7055475.5795531273,1323491925063.6697,359723537549.99487,43499085545.055252,236197589432.33215,45808786887.7938
1,Oilseed farming,8557.71875,2526412353.515625,6330002.7847290039,-13571530.342102051,783950439.453125,-23497331.619262695
2,Grain farming,17488.216796875,2433059326.171875,171535888.671875,-30028373.718261719,487401641.84570312,-20217760.08605957
3,Vegetable and melon farming,1903.565185546875,144564483.64257813,27353849.411010742,-9132082.9391479492,16944719.314575195,61261.206865310669
4,Fruit farming,708.67364501953125,37328117.370605469,6783801.0787963867,-3263505.9356689453,6132661.3426208496,21313.751116394997
5,Tree nut farming,23.699974060058594,652241.52803421021,402443.61758232117,-60624.115169048309,15614.730305969715,580.25866746902466
6,"Greenhouse, nursery, and floriculture production",6666.82080078125,523813964.84375,159682434.08203125,-16141023.635864258,48750114.440917969,94850.555062294006
7,Tobacco farming,47.779178619384766,2741811.5139007568,874099.37381744385,-124423.22075366974,381984.11464691162,-10285.255499184132
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14125.0283203125,183519149.78027344,56247753.143310547,-8677309.0362548828,17750198.364257812,-1744920.015335083
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9737.65234375,600230957.03125,8924679.7561645508,-20691398.620605469,87558258.056640625,30898105.621337891
12,Dairy cattle and milk production,3138.845458984375,907247985.83984375,40020660.400390625,-18944919.586181641,45062129.974365234,26586364.74609375
13,Poultry and egg production,3617.302490234375,1232481445.3125,70469375.610351562,-9239765.1672363281,24685594.55871582,8020925.5218505859
14,"Animal production, except cattle and poultry and eggs",15329.5703125,872420104.98046875,92967529.296875,-33450649.261474609,285706756.59179688,64633468.627929688
15,"Forestry, forest products, and timber tract production",630.35052490234375,68448822.021484375,25344602.584838867,27886632.919311523,2504844.9039459229,416150.06327629089
16,Commercial logging,3204.94287109375,410154113.76953125,39366683.959960938,259471282.95898438,-4222.3143391311169,3938416.4810180664
17,Commercial fishing,530.82415771484375,10962354.66003418,946548.64072799683,935839.83182907104,5962734.6992492676,2934078.4549713135
18,Commercial hunting and trapping,361.7208251953125,7371985.4354858398,1039582.1332931519,2643701.7917633057,-20612335.205078125,1625898.5996246338
19,Support activities for agriculture and forestry,10882.0263671875,297876861.57226562,237525665.28320313,124403755.18798828,-154371963.50097656,8325868.6065673828
20,Oil and gas extraction,17060.095703125,12443057617.1875,86544036.865234375,43831809.997558594,8336586914.0625,97544685.363769531
21,Coal mining,1234.060302734375,508704772.94921875,87931838.989257812,233190353.39355469,-72453750.610351562,33983837.127685547
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2154.943359375,510400817.87109375,130933486.93847656,197642105.10253906,-106411590.57617188,31349700.927734375
29,Sand and gravel mining,1494.527099609375,414771545.41015625,82613685.607910156,216755645.75195313,-27143451.690673828,18348300.933837891
30,"Other clay, ceramic, refractory minerals mining",43.861595153808594,10338588.714599609,1609254.5986175537,4057138.4429931641,-549809.57508087158,516814.88752365112
31,"Potash, soda, and borate mineral mining",16.719331741333008,5957088.4704589844,981925.368309021,2188215.0173187256,-245835.18505096436,300671.21982574463
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,301.306640625,68550582.885742188,33230682.373046875,5304585.4568481445,-6759639.2631530762,5216960.9069824219
34,Other nonmetallic minerals,21.88340950012207,11346438.407897949,212100.63993930817,9099199.2950439453,-69879.829883575439,287383.58616828918
35,Drilling oil and gas wells,2516.00146484375,1251294677.734375,95324325.561523438,-4789089.6797180176,565375610.3515625,20097698.211669922
36,Support activities for oil and gas operations,7145.74365234375,2446629150.390625,424288787.84179688,-12939109.802246094,783289611.81640625,55802215.576171875
37,Metal mining services,1858.877197265625,1340686645.5078125,11051022.529602051,4508733.2725524902,900134338.37890625,10648743.629455566
38,Other nonmetallic minerals services,2474.618408203125,1574703247.0703125,89655120.849609375,3756220.5791473389,919867858.88671875,16046171.188354492
39,Electric power generation - Hydroelectric,263.19564819335938,90059448.2421875,3477310.8959197998,6036096.5728759766,6316372.3945617676,12923151.969909668
40,Electric power generation - Fossil fuel,3340.47265625,5098375488.28125,522083618.1640625,0,1300065795.8984375,501785400.390625
41,Electric power generation - Nuclear,1348.1116943359375,1381689697.265625,260349029.54101563,0,296458587.64648438,130692504.8828125
42,Electric power generation - Solar,288.02447509765625,78696022.033691406,9947634.6969604492,6167700.7675170898,17149230.95703125,7429178.2379150391
43,Electric power generation - Wind,214.46914672851563,179239379.8828125,3796615.8390045166,4857779.5028686523,26394617.080688477,25472787.857055664
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,131.70671081542969,51345294.952392578,3201283.9317321777,2473194.1223144531,6875487.3275756836,5014811.5158081055
46,Electric power generation - All other,58.605236053466797,10375144.004821777,7110726.8333435059,0,-4607682.2280883789,902415.27557373047
47,Electric power transmission and distribution,8280.5703125,11349443359.375,1094951293.9453125,14397239.685058594,2600468750,1148109619.140625
48,Natural gas distribution,6495.9697265625,5129805664.0625,750889465.33203125,20137449.264526367,1326514892.578125,351074340.8203125
49,"Water, sewage and other systems",1808.652587890625,452377319.3359375,89781417.846679688,25860145.568847656,97912445.068359375,31852560.043334961
50,Construction of new health care structures,10317.904296875,1496252319.3359375,432107238.76953125,219341857.91015625,203024719.23828125,6565282.3448181152
51,Construction of new manufacturing structures,17531.74609375,2599391601.5625,771558349.609375,353901977.5390625,224791763.30566406,13985225.677490234
52,Construction of new power and communication structures,22911.88671875,3899004150.390625,963703063.96484375,565555297.8515625,675037963.8671875,36681335.44921875
53,Construction of new educational and vocational structures,26268.869140625,3413696044.921875,1218225830.078125,460537567.13867188,406144348.14453125,12271598.815917969
54,Construction of new highways and streets,20886.68359375,4029118652.34375,910851867.67578125,427977935.79101562,668302246.09375,16123960.494995117
55,"Construction of new commercial structures, including farm structures",40525.8125,5093791503.90625,1614503784.1796875,855981872.55859375,299091705.32226562,46755191.802978516
56,Construction of other new nonresidential structures,51081.77734375,4053833496.09375,2099548583.984375,1113812622.0703125,-1513467773.4375,20190345.764160156
57,Construction of new single-family residential structures,63157,8913260742.1875,2515726806.640625,1400412353.515625,1167103637.6953125,88142837.524414062
58,Construction of new multifamily residential structures,19466.068359375,2059400878.90625,784059631.34765625,435575500.48828125,361874023.4375,15123852.729797363
59,Construction of other new residential structures,43858.22265625,8460856445.3125,1807298706.0546875,964458435.05859375,905508728.02734375,53276050.567626953
60,Maintenance and repair construction of nonresidential structures,29867.98828125,5851804687.5,1223550415.0390625,665909606.93359375,502089324.95117188,37618423.461914062
61,Maintenance and repair construction of residential structures,14583.310546875,2966810302.734375,568320861.81640625,287896301.26953125,308723571.77734375,58109443.664550781
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",10879.5087890625,1049966064.453125,453229583.74023438,238519424.43847656,-250992538.45214844,9775769.2337036133
63,Dog and cat food manufacturing,908.3270263671875,1374946044.921875,76411422.729492188,-1238.5946465656161,274215728.75976562,62710151.672363281
64,Other animal food manufacturing,2378.270263671875,2495755615.234375,164397964.47753906,1550842.28515625,129022491.45507813,80229202.270507812
65,Flour milling,529.83392333984375,622477294.921875,40412811.279296875,-1292.8005307912827,54942554.473876953,9583797.4548339844
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,21.993947982788086,35423995.971679688,1848349.4520187378,-137.64803588856012,4223111.629486084,663206.21967315674
68,Wet corn milling,127.88558959960938,258864135.7421875,16985160.827636719,0,27990953.44543457,4900315.7615661621
69,Soybean and other oilseed processing,565.64300537109375,2752604736.328125,49303993.225097656,-377.0838666241616,252474517.82226563,41377624.51171875
70,Fats and oils refining and blending,333.8369140625,551478027.34375,29075599.670410156,-987.88226023316383,35997821.807861328,8514701.8432617188
71,Breakfast cereal manufacturing,552.2423095703125,499923431.39648438,45947994.232177734,-641.73847204074264,86787643.432617188,8588107.1090698242
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,146.11405944824219,145549850.46386719,8645811.0809326172,-211.93534485064447,14222102.165222168,2543267.0116424561
74,Nonchocolate confectionery manufacturing,1207.9923095703125,483410400.390625,51691757.202148438,-4043.0445224046707,31666820.526123047,8109731.6741943359
75,Chocolate and confectionery manufacturing from cacao beans,66.2379150390625,51660114.288330078,6223000.0495910645,-864.01490261778235,9032680.5114746094,890381.3362121582
76,Confectionery manufacturing from purchased chocolate,1307.390625,431483398.4375,42583423.614501953,-6764.7527903318405,24596759.796142578,7629439.3539428711
77,"Frozen fruits, juices and vegetables manufacturing",140.33148193359375,66605514.526367188,8419071.1975097656,-298.67165721952915,9496036.5295410156,1095110.5356216431
78,Frozen specialties manufacturing,5711.72998046875,2272587646.484375,349203094.48242188,-4690.5474737286568,240692276.00097656,28961183.547973633
79,Canned fruits and vegetables manufacturing,3770.2265625,2217257324.21875,350344268.79882812,-8493.0257871747017,376829315.18554688,26814393.997192383
80,Canned specialties,2619.483642578125,2372656005.859375,204597930.90820313,-1117.8565910086036,388324279.78515625,29438844.680786133
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,1551.099609375,1422094604.4921875,95314163.208007812,-2055.7807292789221,50824157.71484375,22965270.99609375
83,"Dry, condensed, and evaporated dairy product manufacturing",2347.799072265625,3820150390.625,362159210.20507812,-420.0231924187392,755047668.45703125,51555622.100830078
84,Fluid milk manufacturing,2853.458740234375,2161334960.9375,199911529.54101563,-1390.7215325161815,173171539.30664063,40073963.165283203
85,Creamery butter manufacturing,3.1196298599243164,5658018.5890197754,135788.94734382629,-91.977519332431257,534970.81995010376,161171.43630981445
86,Ice cream and frozen dessert manufacturing,1089.3162841796875,499578582.76367188,71537727.355957031,-1630.8336053043604,54061012.268066406,9520918.8461303711
87,Frozen cakes and other pastries manufacturing,6002.6201171875,549788879.39453125,184999343.87207031,584038.55562210083,59436450.958251953,64478019.714355469
88,Poultry processing,2993.181396484375,928438171.38671875,134639511.10839844,-1627.8924886137247,58608612.060546875,13880020.141601563
89,"Animal, except poultry, slaughtering",1453.7764892578125,991818481.4453125,67091621.398925781,403690.27853012085,28981378.555297852,18583713.531494141
90,Meat processed from carcasses,7695.28369140625,4040808349.609375,466940856.93359375,405615.65756797791,41913562.774658203,67881362.915039062
91,Rendering and meat byproduct processing,377.65496826171875,144973052.97851563,26698837.280273438,412096.14276885986,2659076.452255249,2061126.2321472168
92,Seafood product preparation and packaging,45.991718292236328,15632750.511169434,92622.943222522736,-2053.5378716886044,31175.581738352776,396604.00152206421
93,"Bread and bakery product, except frozen, manufacturing",13721.927734375,1866820434.5703125,457447998.046875,516699.13530349731,177201538.0859375,87154418.9453125
94,Cookie and cracker manufacturing,3619.447998046875,1308283081.0546875,209745193.48144531,-3173.731965944171,126951210.02197266,23288343.42956543
95,"Dry pasta, mixes, and dough manufacturing",1191.8331298828125,722083618.1640625,71862693.786621094,-4513.7074775993824,128951904.296875,13102354.049682617
96,Tortilla manufacturing,37.956886291503906,7327536.1061096191,883963.58489990234,-470.90451698750257,247122.85399436951,161772.37033843994
97,Roasted nuts and peanut butter manufacturing,1377.486083984375,708786132.8125,78386482.238769531,-2063.7947600334883,154454040.52734375,11251775.741577148
