Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2342563.4300013781,412962399006.96277,101960025735.10399,25272385473.444519,67312316546.605301,12806431279.280674
1,Oilseed farming,380.6763916015625,149087631.22558594,224944.5766210556,58388668.060302734,50323665.618896484,-9524600.9826660156
2,Grain farming,2818.340087890625,554941345.21484375,23560451.507568359,90802001.953125,120928215.02685547,-29709701.538085938
3,Vegetable and melon farming,147.57792663574219,17078985.214233398,1946046.3523864746,1256823.0628967285,2177615.1657104492,700.87885251268744
4,Fruit farming,35.705146789550781,2806176.4240264893,307104.52795028687,242728.18863391876,501503.70597839355,158.46178575884551
5,Tree nut farming,343.37677001953125,15109025.001525879,5613933.5632324219,1048001.2893676758,393467.39649772644,1240.6341265887022
6,"Greenhouse, nursery, and floriculture production",1264.628662109375,163933059.69238281,30094066.619873047,11113615.989685059,16596303.939819336,2654.8372115939856
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,2040.01025390625,292760009.765625,57866134.643554688,22554725.646972656,39294902.801513672,-2481436.9678497314
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14435.818359375,255295791.62597656,47119609.832763672,19701602.935791016,26860355.377197266,-16255081.176757813
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",40619.83203125,3327967773.4375,29798032.760620117,404386505.12695312,528085327.1484375,19001676.559448242
12,Dairy cattle and milk production,299.42999267578125,129050003.05175781,3428076.5056610107,5700716.9723510742,6972523.2124328613,374251.42526626587
13,Poultry and egg production,1694.0263671875,846413635.25390625,29143180.847167969,9285439.4912719727,18441326.141357422,554254.05502319336
14,"Animal production, except cattle and poultry and eggs",12899.2294921875,1013647827.1484375,65046951.293945312,327648895.26367188,361100585.9375,8021429.0618896484
15,"Forestry, forest products, and timber tract production",355.4755859375,21512855.529785156,12602678.298950195,319146.51393890381,1256162.0473861694,400413.78140449524
16,Commercial logging,1196.0184326171875,64508537.292480469,19085775.375366211,1940966.6061401367,1530273.7951278687,1878804.4452667236
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,42.462718963623047,1568379.6405792236,105911.83602809906,95771.752297878265,423153.78785133362,248661.36908531189
19,Support activities for agriculture and forestry,7948.6904296875,310175384.52148438,194686035.15625,70086181.640625,-20560503.005981445,6072158.3366394043
20,Oil and gas extraction,73988.2578125,33185003906.25,2501024658.203125,2665293701.171875,9460087890.625,1737636596.6796875
21,Coal mining,355.09988403320312,174427688.59863281,13919827.461242676,195053222.65625,-103792526.24511719,4200744.1520690918
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
