Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2531515.9725184441,429563199996.82904,132000212848.64656,18888625255.301765,78776494350.078293,12084363956.638611
1,Oilseed farming,6.590479850769043,5394515.5143737793,15071.152709424496,1554403.54347229,2044516.8018341065,-88181.249797344208
2,Grain farming,1271.3519287109375,349996582.03125,27514425.277709961,42134376.525878906,85635131.8359375,-7143004.4174194336
3,Vegetable and melon farming,4612.5712890625,531101379.39453125,112054328.91845703,28755035.400390625,76033348.083496094,87695.613503456116
4,Fruit farming,6303.23193359375,538317321.77734375,109086181.640625,34258472.442626953,108020240.78369141,111980.25941848755
5,Tree nut farming,2659.768310546875,97103401.184082031,66807525.634765625,4955462.9325866699,2839319.9443817139,38493.148982524872
6,"Greenhouse, nursery, and floriculture production",10482.9140625,1013019775.390625,344343872.0703125,50527889.251708984,115151702.88085938,88204.823434352875
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,103.10535430908203,15272999.76348877,4357360.3630065918,1551008.4629058838,2534412.3840332031,-247372.28453159332
10,All other crop farming,30132.853515625,933694458.0078125,319097137.45117188,53013576.507568359,110301254.27246094,-18111309.051513672
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4223.6806640625,713052917.48046875,11821984.29107666,63747581.481933594,127044059.75341797,7938983.4403991699
12,Dairy cattle and milk production,1007.7047729492188,473296997.0703125,23280179.977416992,15382596.015930176,28712652.206420898,5041804.313659668
13,Poultry and egg production,327.89459228515625,192332794.18945313,12262181.282043457,1552378.2968521118,4705117.2256469727,429468.81055831909
14,"Animal production, except cattle and poultry and eggs",778.8568115234375,98219696.044921875,11670743.942260742,23358482.360839844,39286857.604980469,1941458.8212966919
15,"Forestry, forest products, and timber tract production",797.365478515625,92806663.513183594,64672935.485839844,12987752.914428711,-3369393.3486938477,2960727.9300689697
16,Commercial logging,8365.3193359375,801986755.37109375,337694366.45507812,164869995.1171875,-14761304.85534668,33902805.328369141
17,Commercial fishing,3009.271240234375,194419647.21679688,58670200.347900391,74299629.211425781,8943519.5922851562,49258041.381835938
18,Commercial hunting and trapping,225.45362854003906,39957118.988037109,541465.81888198853,31801435.470581055,1902157.3066711426,3011699.1996765137
19,Support activities for agriculture and forestry,20677.376953125,1005248596.1914063,802053955.078125,119763954.16259766,-106098762.51220703,33730209.350585938
20,Oil and gas extraction,1757.988525390625,403378540.0390625,0,3653214.693069458,0,53071.614354848862
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,85.382621765136719,20237094.879150391,93881.368637084961,399811.20824813843,46811.17832660675,1659011.9600296021
25,Silver ore mining,133.6444091796875,37947715.759277344,3817407.3696136475,275716.84122085571,2161098.4802246094,3470513.1053924561
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1427.371337890625,267827972.41210938,39894008.636474609,1363735.7950210571,43204582.214355469,13211130.142211914
29,Sand and gravel mining,1432.90234375,229204177.85644531,74891708.374023438,996755.18274307251,23094623.565673828,11144838.333129883
30,"Other clay, ceramic, refractory minerals mining",64.05181884765625,9096555.7098388672,1286871.075630188,33074.129372835159,425944.92435455322,478932.88731575012
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,280.06625366210938,39247848.510742188,10093750,237725.25787353516,3337852.2396087646,2316237.9264831543
35,Drilling oil and gas wells,171.1512451171875,40036575.317382812,154186.21897697449,148266.43466949463,83476.148545742035,516745.38850784302
36,Support activities for oil and gas operations,335.58441162109375,59229103.088378906,1031940.3409957886,84589.719772338867,359977.81157493591,1576233.8638305664
37,Metal mining services,199.47006225585938,46046607.971191406,773050.36783218384,368093.341588974,327980.96537590027,115600.86160898209
38,Other nonmetallic minerals services,282.37387084960938,70343582.153320312,4448472.0230102539,238931.34295940399,2405227.8995513916,1018944.8595046997
39,Electric power generation - Hydroelectric,296.90573120117188,175972717.28515625,27740884.780883789,10756787.300109863,52103851.318359375,16212532.043457031
40,Electric power generation - Fossil fuel,272.20211791992188,457846832.27539062,52014663.696289062,0,133929534.91210938,45824268.341064453
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,2.0267593860626221,1124530.553817749,287187.27827072144,0,511935.65130233765,57994.671165943146
43,Electric power generation - Wind,430.72061157226562,718591491.69921875,49884181.976318359,14798181.533813477,358597198.48632812,56890193.939208984
44,Electric power generation - Geothermal,28.612293243408203,18299343.109130859,3712865.1142120361,704865.69404602051,5196485.5194091797,1332259.4165802002
