Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7783240.6622085571,1417019148600.8169,431704951610.44598,76915117685.459442,239535223078.64948,49007622742.434845
1,Oilseed farming,698.1090087890625,235795974.73144531,495636.52276992798,96493476.867675781,114832984.92431641,-1007638.4544372559
2,Grain farming,4074.2470703125,610167358.3984375,36089305.877685547,104321060.18066406,191835586.54785156,-2474600.7919311523
3,Vegetable and melon farming,2168.3349609375,166753372.19238281,26470293.045043945,12822164.535522461,30675619.125366211,80739.408731460571
4,Fruit farming,2707.8369140625,146849975.5859375,22389177.322387695,13272531.509399414,37864540.100097656,94228.588044643402
5,Tree nut farming,47.706691741943359,1283025.9799957275,664139.5092010498,92989.832162857056,48206.698149442673,1351.5333412215114
6,"Greenhouse, nursery, and floriculture production",14383.408203125,1080624267.578125,276364379.8828125,76548774.719238281,157840774.53613281,236812.2786283493
7,Tobacco farming,630.84136962890625,35961212.158203125,9618000.9841918945,3322387.4568939209,7862993.7171936035,-71333.788335323334
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,25749.51953125,373255615.234375,95974830.627441406,30098087.310791016,56659671.783447266,-1671678.0662536621
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8594.50390625,604941955.56640625,7545972.3472595215,76807899.475097656,138496353.14941406,31576337.814331055
12,Dairy cattle and milk production,6017.57470703125,1791719970.703125,66306427.001953125,82702056.884765625,139669555.6640625,58973575.592041016
13,Poultry and egg production,4259.9521484375,1515645874.0234375,72701782.2265625,17373697.280883789,47643852.233886719,10929626.46484375
14,"Animal production, except cattle and poultry and eggs",7242.2744140625,485545837.40234375,40560577.392578125,153238372.80273438,233191101.07421875,35342536.926269531
15,"Forestry, forest products, and timber tract production",1116.76416015625,111334777.83203125,36333660.125732422,50367137.908935547,1591061.1152648926,1257597.4464416504
16,Commercial logging,4799.05712890625,515955322.265625,70144309.997558594,280682403.56445312,-2702157.9742431641,7037876.1291503906
17,Commercial fishing,404.46136474609375,9060915.9469604492,1751284.3608856201,-638286.11373901367,5222587.5854492188,2573945.7607269287
18,Commercial hunting and trapping,375.63458251953125,7655552.3872375488,1484394.1926956177,-54180.0856590271,-13800590.515136719,1943487.4057769775
19,Support activities for agriculture and forestry,13270.830078125,458212066.65039062,330988891.6015625,168227233.88671875,-151888366.69921875,10891681.671142578
20,Oil and gas extraction,15562.603515625,11282038085.9375,525098693.84765625,286015899.65820312,6577503906.25,355318176.26953125
21,Coal mining,6276.052734375,2625908691.40625,536204223.6328125,-42160541.534423828,892744201.66015625,89486930.847167969
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,175.11947631835938,44223712.921142578,3447921.9913482666,-5149844.1696166992,1837709.5460891724,2372519.9699401855
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,6954.47900390625,1618209716.796875,262312011.71875,-151763290.40527344,626026672.36328125,52602672.576904297
29,Sand and gravel mining,1565.3349609375,174755645.75195313,45488986.968994141,-41724205.017089844,30912626.266479492,9996634.4833374023
30,"Other clay, ceramic, refractory minerals mining",40.707832336425781,3694579.6012878418,500217.37813949585,-1788056.492805481,364862.91885375977,250027.38833427429
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,198.89755249023438,19383504.867553711,4649782.657623291,-6526551.7234802246,3388439.1784667969,1351418.7335968018
35,Drilling oil and gas wells,3300.92529296875,1564024536.1328125,243351745.60546875,29813400.268554688,491356750.48828125,44742794.036865234
36,Support activities for oil and gas operations,13664.90234375,4452596679.6875,1171683959.9609375,82766151.428222656,788020263.671875,122640830.99365234
37,Metal mining services,1673.07275390625,1208032226.5625,56451210.021972656,30740186.69128418,709883483.88671875,38029441.833496094
38,Other nonmetallic minerals services,2309.703857421875,1405314697.265625,100070571.89941406,32139114.379882812,721305664.0625,42766704.559326172
39,Electric power generation - Hydroelectric,558.79754638671875,204456466.67480469,19241872.787475586,657364.54725265503,27567037.582397461,26828733.444213867
