Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,647397.26120710373,106645432366.94484,34001586638.359352,3827828074.5902853,19575104839.959778,4807007037.8993626
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,3.8055117130279541,260000.7951259613,27362.653985619545,15597.37604111433,63480.99559545517,-2315.22461399436
3,Vegetable and melon farming,214.86331176757813,8903471.9467163086,2514765.5010223389,240214.91408348084,1271940.8273696899,12293.737381696701
4,Fruit farming,95.667816162109375,2667270.4219818115,723577.91662216187,84586.448967456818,534090.28053283691,5114.9707287549973
5,Tree nut farming,2.3584434986114502,39117.284119129181,34995.075315237045,966.23547142371535,1108.6382437497377,102.66238678013906
6,"Greenhouse, nursery, and floriculture production",563.9029541015625,27180599.212646484,12368594.169616699,675579.36906814575,3083133.4590911865,14261.98985427618
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,161.67759704589844,977040.05241394043,447010.12969017029,27643.864974379539,115177.83254384995,-10505.253449082375
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",59.249355316162109,1643999.8149871826,36488.603800535202,73239.915072917938,292290.83657264709,333766.69883728027
12,Dairy cattle and milk production,13.163557052612305,2012000.0839233398,132485.22579669952,32585.766166448593,121800.30345916748,198209.44964885712
13,Poultry and egg production,77.323593139648438,13603784.561157227,1161076.9033432007,54715.204983949661,332091.42088890076,304765.9695148468
14,"Animal production, except cattle and poultry and eggs",404.51422119140625,10944328.308105469,1737411.9758605957,1294392.8241729736,4359588.623046875,3029702.1865844727
15,"Forestry, forest products, and timber tract production",34.821819305419922,3993002.17628479,2966362.9531860352,0,347351.13382339478,0
16,Commercial logging,115.88053131103516,12556988.716125488,3288227.7965545654,4909675.5981445312,438980.96680641174,37515.021860599518
17,Commercial fishing,1847.5262451171875,91849273.681640625,36904876.708984375,26799293.518066406,23142492.294311523,3468039.7510528564
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,427.22308349609375,12984546.661376953,10549893.379211426,1195389.5092010498,-2375319.0040588379,395555.79423904419
20,Oil and gas extraction,221.19111633300781,51120468.139648438,0,833474.15924072266,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,101.3502197265625,25905921.936035156,2355172.6341247559,-301163.76280784607,9961002.3498535156,1809124.5889663696
29,Sand and gravel mining,194.9097900390625,40344955.444335938,9785211.5631103516,-343708.06813240051,11784345.626831055,2921821.3558197021
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,17.450675964355469,3702074.5277404785,0,-288039.65449333191,0,0
36,Support activities for oil and gas operations,23.779369354248047,4069847.583770752,0,89214.503765106201,0,0
37,Metal mining services,23.779369354248047,5390001.7738342285,0,89579.470455646515,0,0
38,Other nonmetallic minerals services,23.779369354248047,5330269.8135375977,0,89566.126465797424,0,0
39,Electric power generation - Hydroelectric,115.69805145263672,35629478.454589844,805511.05737686157,270779.04343605042,2119647.0260620117,5483840.9423828125
40,Electric power generation - Fossil fuel,130.364990234375,225706741.33300781,21391098.022460938,0,77166038.513183594,18874536.514282227
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,698.11517333984375,522524719.23828125,4913887.0239257812,1634398.4603881836,49489345.550537109,80051361.083984375
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,34.247432708740234,14123271.942138672,13598451.614379883,0,-4056370.2583312988,508280.33685684204
47,Electric power transmission and distribution,866.72320556640625,1167941040.0390625,83812629.699707031,856271.02851867676,286248931.88476562,117559402.46582031
48,Natural gas distribution,288.84609985351562,290944213.8671875,44103225.708007812,0,112624351.50146484,14996385.57434082
49,"Water, sewage and other systems",145.38670349121094,50091678.619384766,12111526.489257813,2414.8155935108662,18819599.151611328,2521003.9615631104
50,Construction of new health care structures,950.84619140625,140095367.43164063,38271305.084228516,22376533.508300781,19925901.412963867,983569.38362121582
51,Construction of new manufacturing structures,1712.9635009765625,269687866.2109375,78634681.701660156,34981117.248535156,33202808.380126953,2186805.0098419189
52,Construction of new power and communication structures,2045.6351318359375,349649963.37890625,80102485.656738281,50077995.300292969,68587928.771972656,2848471.8799591064
53,Construction of new educational and vocational structures,2354.60546875,314861297.60742188,108593132.01904297,47139553.070068359,39667083.740234375,1455764.0552520752
54,Construction of new highways and streets,1927.353271484375,379231689.453125,83724464.416503906,43569774.627685547,65574035.64453125,1269125.6999969482
55,"Construction of new commercial structures, including farm structures",3665.2216796875,467235534.66796875,141303787.23144531,87063194.274902344,29199079.513549805,3692290.3060913086
56,Construction of other new nonresidential structures,4710.74072265625,399218200.68359375,187968078.61328125,112705169.67773438,-119399002.07519531,2726515.2931213379
57,Construction of new single-family residential structures,5724.2666015625,814280578.61328125,220013275.14648438,142555755.61523438,101038497.92480469,11526306.15234375
58,Construction of new multifamily residential structures,1776.5362548828125,190800201.41601563,68663696.2890625,44427768.707275391,33540927.886962891,1934111.8335723877
59,Construction of other new residential structures,4026.00048828125,787328857.421875,159511474.609375,98504180.908203125,89004722.595214844,6085483.5510253906
60,Maintenance and repair construction of nonresidential structures,2726.80859375,540275146.484375,106542160.03417969,68023574.829101562,48994155.883789062,4244374.7520446777
61,Maintenance and repair construction of residential structures,1301.1981201171875,267808868.40820313,49765819.549560547,29231788.635253906,29351341.247558594,3872665.1668548584
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",986.1102294921875,98939552.307128906,39022907.257080078,24375316.619873047,-19895503.997802734,1104623.7945556641
63,Dog and cat food manufacturing,0,0,0,0,0,0
64,Other animal food manufacturing,25.273904800415039,28004272.4609375,1789136.4097595215,196950.15251636505,1634810.9245300293,1848210.5731964111
65,Flour milling,2.2526044845581055,2360084.5336914062,103077.09127664566,0,39815.753698348999,16857.702285051346
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,11.632707595825195,8368482.5897216797,436214.89405632019,69320.343434810638,234096.45259380341,75114.674866199493
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,38.447422027587891,14018982.887268066,840042.8295135498,450685.17327308655,146213.54639530182,107361.68920993805
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,80.356452941894531,25203161.239624023,2403680.8013916016,288011.99793815613,394472.83744812012,194256.43980503082
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,112.50741577148438,37802402.496337891,4154610.6338500977,23437.250405550003,813612.16306686401,236103.71351242065
79,Canned fruits and vegetables manufacturing,47.288692474365234,19980005.264282227,1019727.349281311,155887.08221912384,311628.19266319275,139358.35659503937
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,50.267436981201172,43671176.910400391,2358627.0809173584,40558.233857154846,357334.58399772644,308144.06275749207
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,61.981990814208984,42682258.605957031,3482105.7319641113,9426.2994825839996,857005.59616088867,360284.53707695007
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,31.581735610961914,12246208.190917969,1233841.4192199707,66613.644361495972,264917.93990135193,114301.23448371887
87,Frozen cakes and other pastries manufacturing,659.7001953125,58794483.184814453,21767347.33581543,2361527.681350708,4147810.4591369629,4109325.4089355469
88,Poultry processing,14.893542289733887,4471809.3872070312,742937.56484985352,19257.035106420517,91884.911060333252,28610.322624444962
89,"Animal, except poultry, slaughtering",18.957042694091797,13730117.797851563,1411320.5671310425,118855.72969913483,602153.89728546143,164984.73286628723
90,Meat processed from carcasses,597.06304931640625,309281585.69335938,36603832.244873047,156917.97435283661,1504571.4378356934,2276666.1643981934
91,Rendering and meat byproduct processing,17.392738342285156,7574110.5079650879,1385190.6061172485,96056.900918483734,767775.71439743042,114384.60648059845
92,Seafood product preparation and packaging,216.80203247070313,90028511.047363281,16309675.216674805,146628.06689739227,1559711.6947174072,764171.302318573
93,"Bread and bakery product, except frozen, manufacturing",1874.6806640625,245561416.62597656,68953094.482421875,4382125.3776550293,10294579.50592041,5570824.6231079102
94,Cookie and cracker manufacturing,14.13148307800293,4348495.9602355957,508619.78530883789,12297.673150897026,87466.366589069366,37639.94574546814
95,"Dry pasta, mixes, and dough manufacturing",7.1476664543151855,3511560.6784820557,272646.54636383057,19752.068445086479,139003.99208068848,32551.445066928864
96,Tortilla manufacturing,0,0,0,0,0,0
97,Roasted nuts and peanut butter manufacturing,127.27495574951172,56158477.783203125,7821681.4994812012,642053.96175384521,4343883.5144042969,414562.61277198792
98,Other snack food manufacturing,65.848701477050781,32161354.064941406,5151378.6315917969,80039.992928504944,1384860.3963851929,161941.66243076325
99,Coffee and tea manufacturing,148.77061462402344,93384918.212890625,9697749.137878418,509761.15465164185,3586677.7896881104,719297.70708084106
100,Flavoring syrup and concentrate manufacturing,3.5810253620147705,8002120.9716796875,212294.04211044312,44357.88094997406,648569.76270675659,65662.659704685211
101,"Mayonnaise, dressing, and sauce manufacturing",0,0,0,0,0,0
102,Spice and extract manufacturing,50.825847625732422,25290016.174316406,2147419.9295043945,44099.5953977108,444555.16338348389,209627.24089622498
103,All other food manufacturing,361.56478881835938,117515960.69335938,14028678.894042969,497962.71324157715,1902828.4549713135,811533.98752212524
104,Bottled and canned soft drinks & water,202.81109619140625,141897735.59570313,14538050.651550293,84181.129932403564,5762139.7972106934,1648939.2518997192
105,Manufactured ice,12.904421806335449,1536016.8218612671,524305.58204650879,44286.385178565979,-489333.30178260803,19838.608801364899
106,Breweries,170.43167114257813,72358901.977539062,7933882.7133178711,273086.5478515625,4189102.6496887207,7660433.7692260742
107,Wineries,134.14091491699219,43630577.087402344,7522957.8018188477,34515.198320150375,1898096.2038040161,1619562.5066757202
108,Distilleries,12.164841651916504,13019025.802612305,949243.48592758179,17286.106944084167,955226.42135620117,3768504.8580169678
109,Tobacco product manufacturing,0,0,0,0,0,0
110,"Fiber, yarn, and thread mills",141.35073852539063,48084197.998046875,7121961.1167907715,91644.108295440674,2943105.6976318359,1082843.3036804199
111,Broadwoven fabric mills,57.718936920166016,14160847.663879395,2909761.1904144287,10446.04554772377,1241759.8962783814,279852.12206840515
112,Narrow fabric mills and schiffli machine embroidery,825.09716796875,140808685.30273438,38834911.346435547,192375.92816352844,4019864.559173584,2394302.3681640625
113,Nonwoven fabric mills,102.41674041748047,48013671.875,7129672.5273132324,3113.4563032537699,6293318.2716369629,903973.93703460693
114,Knit fabric mills,171.54180908203125,46748569.488525391,14551583.290100098,53278.662264347076,4895312.3092651367,759597.7783203125
115,Textile and fabric finishing mills,370.80780029296875,105145874.0234375,25155986.785888672,58551.058173179626,7061187.2673034668,1722090.1250839233
116,Fabric coating mills,178.15428161621094,69463592.529296875,14469497.680664063,8699.4199082255363,4967350.0061035156,1071490.7646179199
117,Carpet and rug mills,107.03370666503906,38124454.498291016,5665233.1352233887,5951.4050371944904,4087379.4555664062,959646.70181274414
118,Curtain and linen mills,115.59152984619141,23745908.737182617,4349270.8206176758,228373.76594543457,1851360.2018356323,479867.24972724915
119,Textile bag and canvas mills,108.83635711669922,18178506.851196289,4578528.881072998,336287.94550895691,1179079.8902511597,344154.89435195923
120,"Rope, cordage, twine, tire cord and tire fabric mills",24.738327026367188,8124435.4248046875,1965736.6275787354,24277.925491333008,1377663.7315750122,146001.45816802979
121,Other textile product mills,209.55255126953125,34534091.949462891,11635312.080383301,268239.88556861877,2542188.1675720215,593243.65854263306
122,Hosiery and sock mills,9.9839153289794922,938196.83790206909,232684.86559391022,731.39008600264788,70214.696228504181,100683.39109420776
123,Other apparel knitting mills,9.983978271484375,983727.81276702881,232684.86559391022,721.50025516748428,51442.310214042664,97935.162484645844
124,Cut and sew apparel contractors,74.469123840332031,3368248.462677002,1287267.9233551025,-392813.08650970459,21348.858252167702,161854.75885868073
125,Mens and boys cut and sew apparel manufacturing,45.420566558837891,5084627.1514892578,904985.78548431396,-211946.36821746826,98968.192934989929,190884.12821292877
126,Womens and girls cut and sew apparel manufacturing,9.9831247329711914,1886301.1598587036,232684.86559391022,709.69917578622699,60012.470930814743,94279.482960700989
127,Other cut and sew apparel manufacturing,63.054775238037109,6191174.0303039551,1518802.6428222656,-285235.28575897217,121950.98400115967,209949.0612745285
128,Apparel accessories and other apparel manufacturing,86.620796203613281,6987470.6268310547,1450241.4464950562,-549772.44138717651,113256.35761022568,243341.80355072022
129,Leather and hide tanning and finishing,0,0,0,0,0,0
130,Footwear manufacturing,0,0,0,0,0,0
131,Other leather and allied product manufacturing,111.82719421386719,13111042.976379395,4763391.9715881348,36016.557365655899,31250.838190317154,225480.15415668488
132,Sawmills,48.915473937988281,12369597.434997559,1395872.8313446045,38132.164627313614,959819.7340965271,138675.88341236115
133,Wood preservation,76.112632751464844,45938236.236572266,3261599.3022918701,55918.455123901367,10250592.231750488,455506.23536109924
134,Veneer and plywood manufacturing,0,0,0,0,0,0
135,Engineered wood member and truss manufacturing,27.134284973144531,5724281.3110351562,1036424.7560501099,10422.362945973873,586368.44158172607,56432.958692312241
136,Reconstituted wood product manufacturing,0,0,0,0,0,0
137,Wood windows and door manufacturing,11.389176368713379,2112819.9100494385,230888.06867599487,23441.540077328682,134497.7468252182,26620.114222168922
138,"Cut stock, resawing lumber, and planing",5.944617748260498,1034208.4169387817,52324.671298265457,12734.975665807724,65530.091524124146,14508.483000099659
139,"Other millwork, including flooring",196.52334594726563,47274696.350097656,12143508.911132813,101132.16191530228,9129735.9466552734,415073.6927986145
140,Wood container and pallet manufacturing,165.55384826660156,24512809.753417969,6115025.520324707,55775.593966245651,1989497.6615905762,252173.27475547791
141,Manufactured home (mobile home) manufacturing,14.408396720886231,3461592.6742553711,505447.74532318115,12358.309701085091,574325.68073272705,41149.310767650604
142,Prefabricated wood building manufacturing,10.728344917297363,1553222.4178314209,300777.10747718811,13452.020473778248,65055.035054683685,18354.89459335804
143,All other miscellaneous wood product manufacturing,28.589296340942383,4328722.4769592285,703916.96691513062,37976.890802383423,343616.69421195984,50605.282187461853
144,Pulp mills,0,0,0,0,0,0
145,Paper mills,0,0,0,0,0,0
146,Paperboard mills,125.92367553710938,93483497.619628906,9443216.3238525391,-5181.9519139826298,1572507.381439209,1548318.62449646
147,Paperboard container manufacturing,555.2098388671875,240073440.55175781,27757881.164550781,-58482.751250267029,1700802.6838302612,3645586.7290496826
148,Paper bag and coated and treated paper manufacturing,388.45635986328125,164177612.3046875,27678274.154663086,-4354.4643558561802,2744114.1605377197,2390588.2835388184
149,Stationery product manufacturing,38.875301361083984,14222509.384155273,2124948.5015869141,-4178.4993372857571,109889.4402384758,221516.48998260498
150,Sanitary paper product manufacturing,2.0716824531555176,1412031.1737060547,193261.78729534149,0,55097.091943025589,23870.954290032387
151,All other converted paper product manufacturing,183.8790283203125,54701072.692871094,11240523.338317871,-3524.4296304881573,672828.37629318237,852852.28490829468
152,Printing,1847.5634765625,289170867.91992188,96444976.806640625,1427150.7263183594,26248491.287231445,4850095.7489013672
153,Support activities for printing,161.72671508789063,18200994.491577148,7899501.8005371094,-18452.214077115059,1980415.8210754395,312837.83912658691
154,Petroleum refineries,0,0,0,0,0,0
155,Asphalt paving mixture and block manufacturing,10.146883964538574,71393005.37109375,1598673.5820770264,19401.824101805687,61957225.799560547,1392464.6377563477
156,Asphalt shingle and coating materials manufacturing,0,0,0,0,0,0
157,Petroleum lubricating oil and grease manufacturing,0,0,0,0,0,0
158,All other petroleum and coal products manufacturing,0,0,0,0,0,0
159,Petrochemical manufacturing,0,0,0,0,0,0
160,Industrial gas manufacturing,0,0,0,0,0,0
161,Synthetic dye and pigment manufacturing,45.901908874511719,28599971.771240234,2620646.2383270264,280591.27926826477,1090085.7448577881,584700.88243484497
162,Other basic inorganic chemical manufacturing,0,0,0,0,0,0
163,Other basic organic chemical manufacturing,91.262847900390625,127557098.38867188,7958256.2446594238,24687.385186553001,2427058.6967468262,2299914.8368835449
164,Plastics material and resin manufacturing,365.20703125,446725952.1484375,30435298.919677734,43792.057782411575,6047464.8475646973,8387130.7373046875
165,Synthetic rubber manufacturing,28.309989929199219,24039472.579956055,2650602.3406982422,21737.031638622284,505275.13027191162,425869.61388587952
166,Artificial and synthetic fibers and filaments manufacturing,0,0,0,0,0,0
167,Nitrogenous fertilizer manufacturing,0,0,0,0,0,0
168,Phosphatic fertilizer manufacturing,0,0,0,0,0,0
169,Fertilizer mixing,11.283784866333008,5112699.5086669922,86320.362985134125,245157.8825712204,33712.346106767654,115445.36054134369
170,Pesticide and other agricultural chemical manufacturing,0,0,0,0,0,0
171,Medicinal and botanical manufacturing,0,0,0,0,0,0
172,Pharmaceutical preparation manufacturing,892.495361328125,1066370239.2578125,131747222.90039063,431958.13894271851,127254692.07763672,50275928.497314453
173,In-vitro diagnostic substance manufacturing,2.313615083694458,1043161.0345840454,344404.81662750244,14596.167951822281,67066.602408885956,15288.121066987515
174,Biological product (except diagnostic) manufacturing,100.92615509033203,65944847.106933594,20183555.603027344,8309.624157845974,9872083.6639404297,1104425.6687164307
175,Paint and coating manufacturing,47.619762420654297,31906883.239746094,2779243.7076568604,350422.35255241394,1056720.0183868408,630488.8129234314
176,Adhesive manufacturing,46.261131286621094,24991134.643554688,1986114.6211624146,146374.32992458344,503315.74678421021,472885.3702545166
177,Soap and other detergent manufacturing,185.909912109375,184976516.72363281,13373510.360717773,47470.666468143463,12059677.124023438,4010557.1746826172
178,Polish and other sanitation good manufacturing,43.250370025634766,23187847.137451172,2195903.5396575928,425163.8650894165,884221.07696533203,503854.57277297974
179,Surface active agent manufacturing,14.62174129486084,12139329.91027832,1014401.5550613403,48948.746174573898,776004.8508644104,244916.37945175171
180,Toilet preparation manufacturing,73.928138732910156,47684730.529785156,3739182.2338104248,100545.41379213333,3797614.0975952148,1304975.8672714233
181,Printing ink manufacturing,116.18750762939453,53518489.837646484,13109724.044799805,4467.6079414784908,107314.60154056549,808529.73461151123
182,Explosives manufacturing,0,0,0,0,0,0
183,Custom compounding of purchased resins,590.418701171875,322179962.15820312,58589427.947998047,9165.637195110321,15895847.320556641,5432215.690612793
184,Photographic film and chemical manufacturing,56.977245330810547,38560192.108154297,5435399.5323181152,6236.5811318159103,2197292.3278808594,678228.91473770142
185,Other miscellaneous chemical product manufacturing,39.879199981689453,20556524.276733398,2167847.8717803955,14672.151766717434,402244.09103393555,431792.91486740112
186,Plastics packaging materials and unlaminated film and sheet manufacturing,767.495361328125,376124298.09570312,74168395.99609375,-171494.78197097778,48636951.446533203,4258043.7660217285
187,Unlaminated plastics profile shape manufacturing,43.538852691650391,18535272.598266602,2598813.2953643799,-29378.278180956841,3157339.334487915,216963.18686008453
188,Plastics pipe and pipe fitting manufacturing,0,0,0,0,0,0
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",241.25827026367188,83952842.712402344,17510490.417480469,-21851.630881428719,15222255.706787109,1005541.205406189
190,Polystyrene foam product manufacturing,120.22024536132813,44467899.322509766,8752869.6060180664,-19088.922068476677,5671401.0238647461,580068.34983825684
191,Urethane and other foam product (except polystyrene) manufacturing,215.44146728515625,73278160.095214844,9463709.831237793,-413987.69617080688,5894166.9464111328,1035370.1114654541
192,Plastics bottle manufacturing,4.2392354011535645,1749559.1640472412,227730.25929927826,-5164.3885672092438,146030.21740913391,22089.095786213875
193,Other plastics product manufacturing,637.2315673828125,178826858.52050781,37829620.361328125,-279213.57750892639,18519920.349121094,2229233.5033416748
194,Tire manufacturing,0,0,0,0,0,0
195,Rubber and plastics hoses and belting manufacturing,55.480972290039062,17031829.833984375,3797183.5136413574,-45600.589364767075,2292024.6124267578,211001.42598152161
196,Other rubber product manufacturing,114.66843414306641,37812080.383300781,7756460.1898193359,-12989.677488803864,3743792.7722930908,498096.13823890686
197,"Pottery, ceramics, and plumbing fixture manufacturing",39.100257873535156,3856082.6778411865,23272.620514035225,301070.06430625916,2839.7552669048309,99834.345281124115
198,"Brick, tile, and other structural clay product manufacturing",0,0,0,0,0,0
199,Flat glass manufacturing,54.749000549316406,16281902.313232422,1843854.1889190674,7886.829786002636,892609.47704315186,315828.23395729065
200,Other pressed and blown glass and glassware manufacturing,50.717571258544922,8957031.25,1176400.1846313477,93680.739402770996,227380.72276115418,163525.08962154388
201,Glass container manufacturing,0,0,0,0,0,0
202,Glass product manufacturing made of purchased glass,30.737550735473633,5455793.8575744629,403468.66846084595,116462.91613578796,113681.05560541153,112721.7561006546
203,Cement manufacturing,0,0,0,0,0,0
204,Ready-mix concrete manufacturing,125.10866546630859,46069244.384765625,7686510.0860595703,102527.64821052551,2374326.4675140381,751059.71097946167
205,Concrete block and brick manufacturing,0,0,0,0,0,0
206,Concrete pipe manufacturing,5.5968146324157715,1357873.2013702393,206084.13219451904,0,61385.437846183777,32844.476401805878
207,Other concrete product manufacturing,65.600852966308594,13897712.707519531,3604714.3936157227,21797.30124771595,758068.32313537598,232628.79252433777
208,Lime manufacturing,0,0,0,0,0,0
209,Gypsum product manufacturing,0,0,0,0,0,0
210,Abrasive product manufacturing,107.085205078125,36950744.62890625,8435463.9053344727,20716.855302453041,7420707.7026367188,634756.56509399414
211,Cut stone and stone product manufacturing,201.60354614257813,26629367.828369141,10066599.845886231,345975.1307964325,722928.40480804443,391415.68541526794
212,Ground or treated mineral and earth manufacturing,0,0,0,0,0,0
213,Mineral wool manufacturing,127.11009216308594,54684967.041015625,12095452.308654785,17840.227112174034,7858255.8631896973,896353.66201400757
214,Miscellaneous nonmetallic mineral products manufacturing,21.842025756835938,8057877.5405883789,1633513.2122039795,17418.110743165016,1130879.7597885132,138373.18122386932
215,Iron and steel mills and ferroalloy manufacturing,0,0,0,0,0,0
216,"Iron, steel pipe and tube manufacturing from purchased steel",24.430610656738281,9837038.0401611328,1915796.9951629639,3582.1546334773302,402725.30913352966,138956.77030086517
217,Rolled steel shape manufacturing,42.467063903808594,26317140.579223633,3916495.8000183105,12562.673538923264,2111047.2679138184,367209.28549766541
218,Steel wire drawing,127.97585296630859,44509952.545166016,8794187.5457763672,4537.2741296887398,2689973.8311767578,631075.73986053467
219,Alumina refining and primary aluminum production,0,0,0,0,0,0
220,Secondary smelting and alloying of aluminum,0,0,0,0,0,0
221,"Aluminum sheet, plate, and foil manufacturing",0,0,0,0,0,0
222,"Other aluminum rolling, drawing and extruding",0,0,0,0,0,0
223,Nonferrous metal (exc aluminum) smelting and refining,196.42056274414063,168821212.76855469,10077286.720275879,9843.2516679167748,19558668.13659668,3184012.1746063232
224,"Copper rolling, drawing, extruding and alloying",416.358154296875,352520080.56640625,30623079.299926758,21600.570529699326,5840681.0760498047,4205595.9701538086
