Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2814815.1136194468,473873123849.57074,126362322203.54303,15646524215.08095,75458920013.971741,16910884403.681614
1,Oilseed farming,231.74119567871094,99558876.037597656,117914.00611400604,1215615.1533126831,48667270.660400391,-2568728.9237976074
2,Grain farming,1017.958984375,196521972.65625,6549364.5668029785,1002509.9515914917,62018043.518066406,-4748704.4334411621
3,Vegetable and melon farming,1645.8238525390625,165260238.64746094,14781244.277954102,379148.75149726868,30515029.907226562,36034.59894657135
4,Fruit farming,2173.057861328125,153347518.92089844,13173449.516296387,413533.95581245422,39688282.012939453,44464.003294706345
5,Tree nut farming,153.92054748535156,5443829.5364379883,1587767.3625946045,11772.239580750465,205306.73861503601,2563.9689993113279
6,"Greenhouse, nursery, and floriculture production",2363.63232421875,234532882.69042969,33796333.312988281,495703.27997207642,34385471.343994141,22881.293669342995
7,Tobacco farming,586.67974853515625,43837257.385253906,6606209.7549438477,120840.87729454041,9621077.5375366211,-509534.95502471924
8,Cotton farming,1589.5391845703125,173203994.75097656,26873373.031616211,416018.7840461731,33667335.510253906,-855448.06718826294
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14797.8330078125,274366973.87695312,39750385.284423828,660113.99030685425,41804813.385009766,-7378062.7250671387
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1430.380859375,128113983.15429688,900443.73273849487,485336.89975738525,29440685.272216797,3089617.7291870117
12,Dairy cattle and milk production,108.69504547119141,42108001.708984375,878028.5120010376,57991.627603769302,3294753.7899017334,626358.15143585205
13,Poultry and egg production,2534.76416015625,1170056640.625,31623701.095581055,400180.48882484436,36918388.366699219,3823957.4432373047
14,"Animal production, except cattle and poultry and eggs",672.61102294921875,54055416.107177734,2722893.238067627,544740.97490310669,27887315.75012207,1929902.195930481
15,"Forestry, forest products, and timber tract production",819.3514404296875,55802104.949951172,33721523.284912109,3172855.8540344238,1542160.5110168457,1382034.6593856812
16,Commercial logging,4319.0458984375,322589416.50390625,154232009.88769531,14084293.365478516,1455513.9541625977,8107515.3350830078
17,Commercial fishing,731.6444091796875,22313959.121704102,1122041.7022705078,-2594523.9067077637,17719625.473022461,5694006.4430236816
18,Commercial hunting and trapping,344.31222534179688,54169658.660888672,5380015.8500671387,-85170.865058898926,42364322.662353516,2172217.1306610107
19,Support activities for agriculture and forestry,5872.79150390625,264454193.11523438,178986526.48925781,36973064.422607422,-1288741.7078018189,5533230.7815551758
20,Oil and gas extraction,2387.869384765625,543138427.734375,86662.948131561279,-69696.731865406036,140631.7800283432,107458.15187692642
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,340.29312133789062,141500137.32910156,30313827.514648438,488806.42652511597,28227056.503295898,10581527.709960938
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
