Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,608177.40130676329,106138322084.52002,24886962087.935303,5911566862.8061523,18027336034.660324,3177396039.7671328
1,Oilseed farming,2217.9345703125,2230620849.609375,3031485.5575561523,472168029.78515625,612776306.15234375,-17911123.275756836
2,Grain farming,7232.75390625,3042155517.578125,116335922.24121094,269038055.41992188,539520019.53125,-24565795.8984375
3,Vegetable and melon farming,8.8539924621582031,1815122.0083236694,186291.3966178894,72194.121778011322,188352.10800170898,226.45575518254191
4,Fruit farming,8.4852266311645508,1243470.4303741455,122575.19364356995,58133.251965045929,180859.0441942215,202.81683828216046
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",107.72804260253906,20647388.458251953,3414092.7791595459,756550.43125152588,1701200.7236480713,1218.5478117316961
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3170.177734375,133456970.21484375,22186824.798583984,5566511.1541748047,11427597.045898438,-1151175.1413345337
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",13098.2998046875,2739807861.328125,22096548.080444336,179937438.96484375,353826751.70898438,33074459.075927734
12,Dairy cattle and milk production,581.3690185546875,467964996.33789062,11197001.457214356,11172973.6328125,20577419.281005859,3913526.2966156006
13,Poultry and egg production,180.44122314453125,175556793.21289063,5444622.9934692383,1040929.6751022339,3112954.1397094727,317995.66745758057
14,"Animal production, except cattle and poultry and eggs",5284.78564453125,949202941.89453125,54864925.384521484,165830581.66503906,275198303.22265625,17718667.984008789
15,"Forestry, forest products, and timber tract production",60.923988342285156,4569234.8480224609,2431407.6900482178,689373.31438064575,144873.44026565552,115103.16282510757
16,Commercial logging,419.05889892578125,44103607.177734375,7488741.397857666,21250886.917114258,-524262.24946975708,1847629.9047470093
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,506.70758056640625,16458839.416503906,511477.64921188354,1903072.714805603,-2356482.7442169189,8038192.7490234375
19,Support activities for agriculture and forestry,4649.74853515625,182822631.8359375,95054748.53515625,78725555.419921875,-35063083.648681641,9070640.5639648438
20,Oil and gas extraction,1246.1273193359375,290531005.859375,2207477.0927429199,1165871.6201782227,1568948.1496810913,2286216.0205841064
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,155.23660278320313,63276428.22265625,17734392.166137695,0,8217859.2681884766,4529534.8167419434
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,242.30946350097656,58249767.303466797,11645555.49621582,2601123.8098144531,11720726.96685791,3397062.5400543213
29,Sand and gravel mining,423.67605590820312,68346298.217773438,12508226.39465332,12015924.453735352,3584636.2113952637,5029420.8526611328
30,"Other clay, ceramic, refractory minerals mining",280.26004028320312,60978256.225585938,20756870.269775391,604832.94725418091,6384876.7280578613,3166614.5324707031
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,126.08283996582031,30290168.762207031,774520.99323272705,445005.05924224854,-130656.92782402039,372334.18226242065
36,Support activities for oil and gas operations,215.29887390136719,39502563.4765625,2056670.6657409668,1111616.9691085815,-367102.59318351746,660649.41883087158
37,Metal mining services,142.52789306640625,32714904.78515625,382148.74267578125,156149.2383480072,119485.39316654205,287648.40960502625
38,Other nonmetallic minerals services,133.96614074707031,30301813.125610352,237316.81704521179,125285.95328330994,168704.53953742981,245883.12208652496
39,Electric power generation - Hydroelectric,26.635168075561523,9421795.8450317383,1006166.2197113037,-143181.04088306427,1489656.0907363892,864988.74425888062
40,Electric power generation - Fossil fuel,287.15631103515625,359702239.99023438,30693845.748901367,-463935.37521362305,62297214.508056641,28676519.393920898
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,303.50897216796875,244176330.56640625,7990894.7944641113,-959464.13278579712,45279975.891113281,23860109.329223633
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,1315.3480224609375,1630473266.6015625,162652740.47851563,0,314351806.640625,122307411.19384766
48,Natural gas distribution,202.29847717285156,150262084.9609375,24470350.26550293,0,35082805.633544922,7210918.9033508301
49,"Water, sewage and other systems",201.47219848632813,54788173.675537109,15556043.62487793,0,13752411.842346191,2424515.4857635498
50,Construction of new health care structures,1046.937744140625,133733184.81445313,36540786.743164062,21410165.786743164,10783390.045166016,544998.52657318115
51,Construction of new manufacturing structures,1769.2724609375,237561447.14355469,63749561.309814453,33511592.864990234,14629676.818847656,1021066.427230835
52,Construction of new power and communication structures,2356.32080078125,345131408.69140625,81250297.546386719,49512634.27734375,40106727.600097656,3745779.9911499023
53,Construction of new educational and vocational structures,2598.4267578125,293575134.27734375,95593849.182128906,44574146.270751953,22171945.571899414,1009855.9856414795
54,Construction of new highways and streets,2143.485595703125,360675872.80273438,76009338.37890625,41331184.387207031,36120944.976806641,1363759.6368789673
55,"Construction of new commercial structures, including farm structures",4117.38330078125,473036682.12890625,140099121.09375,82245910.64453125,15745353.698730469,3558655.2619934082
56,Construction of other new nonresidential structures,5247.7451171875,364142089.84375,175653701.78222656,108239982.60498047,-161539459.22851563,2036563.8732910156
57,Construction of new single-family residential structures,6445.75439453125,813148498.53515625,209450256.34765625,137354766.84570313,76000946.044921875,8449666.0232543945
58,Construction of new multifamily residential structures,1982.5548095703125,177465042.11425781,65301132.202148438,42429939.270019531,21180088.043212891,1422496.3188171387
59,Construction of other new residential structures,4454.58642578125,776104736.328125,149676498.41308594,93537948.608398438,47937713.623046875,4504648.6854553223
60,Maintenance and repair construction of nonresidential structures,3027.885498046875,543161926.26953125,101594161.98730469,64582893.371582031,27013519.287109375,2999439.001083374
61,Maintenance and repair construction of residential structures,1495.104248046875,277789184.5703125,48358860.015869141,28568483.352661133,17209709.167480469,4879090.7859802246
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1096.5953369140625,94379920.959472656,37422740.936279297,23133802.41394043,-27242740.631103516,646457.19528198242
63,Dog and cat food manufacturing,295.77886962890625,390800628.66210938,22713407.516479492,-1333759.1886520386,52982509.613037109,3309021.4729309082
64,Other animal food manufacturing,520.7200927734375,515370544.43359375,33979778.289794922,-5866899.9671936035,18916616.439819336,4047421.932220459
65,Flour milling,36.476100921630859,40119220.733642578,2460849.2851257324,-252889.39476013184,2174657.8216552734,106909.05898809433
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,119.19420623779297,542264587.40234375,8394663.8107299805,-3213904.6192169189,27941833.49609375,1414758.0862045288
70,Fats and oils refining and blending,30.68458366394043,47850131.988525391,2351035.5949401855,-445044.96455192566,1892007.58934021,126845.32999992371
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,76.682159423828125,27946554.183959961,3958258.3904266357,-2551756.3819885254,1576171.3981628418,83526.358008384705
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,37.127117156982422,9751028.0609130859,637411.83280944824,-1289809.3461990356,239317.01481342316,35138.882696628571
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,240.31930541992188,85558486.938476562,13316872.596740723,-3502645.0157165527,5966263.7710571289,197565.63007831574
79,Canned fruits and vegetables manufacturing,0,0,0,0,0,0
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,1090.3583984375,985081298.828125,76502250.671386719,-1354155.6596755981,26515701.293945312,2615607.738494873
83,"Dry, condensed, and evaporated dairy product manufacturing",26.877439498901367,34603004.455566406,1829448.1039047241,-154210.165143013,2479197.0252990723,95663.771033287048
84,Fluid milk manufacturing,130.46640014648438,92576576.232910156,7995991.2300109863,-149148.62811565399,4502224.4453430176,296908.34879875183
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,490.17404174804688,39337760.925292969,12527261.734008789,656938.61246109009,2307420.9690093994,4223971.3668823242
