Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4056363.3266787529,725050931126.11768,194518330181.49249,46071597160.594543,102974668935.32874,26549929921.585835
1,Oilseed farming,4161.63818359375,676962463.37890625,1089793.32447052,-8088167.1905517578,311478881.8359375,-4722781.1813354492
2,Grain farming,6201.52001953125,534161193.84765625,24196609.497070312,-14662646.293640137,158666870.1171875,-2966823.8162994385
3,Vegetable and melon farming,1755.56005859375,95063873.291015625,11557189.94140625,-13356254.577636719,16522203.44543457,60109.708458185196
4,Fruit farming,359.01394653320312,12938710.21270752,1510803.3418655396,-2515939.9509429932,3151980.6385040283,11486.080475151539
5,Tree nut farming,95.948310852050781,2075231.3137054443,822702.82506942749,-429007.02357292175,73666.863143444061,2499.5335843414068
6,"Greenhouse, nursery, and floriculture production",4597.2138671875,303356445.3125,59417343.139648438,-20790655.136108398,41863105.773925781,69582.566618919373
7,Tobacco farming,2322.26611328125,99980590.8203125,20479475.021362305,-10091145.515441895,20653945.922851562,-207048.96748065949
8,Cotton farming,4210.416015625,309457000.73242188,65261749.267578125,-31231884.002685547,56618473.052978516,-232535.03441810608
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19559.513671875,146557266.23535156,28860977.172851562,-15412459.373474121,21018842.697143555,-999201.53617858887
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",16406.291015625,559112976.07421875,5341382.5035095215,-42867874.145507812,120936645.5078125,55277145.385742188
12,Dairy cattle and milk production,558.53448486328125,110316001.89208984,3126631.0214996338,-5123493.1945800781,8124634.7427368164,5032496.452331543
13,Poultry and egg production,2715.996826171875,612411743.1640625,22497978.210449219,-10211393.356323242,18188060.760498047,6405354.0229797363
14,"Animal production, except cattle and poultry and eggs",4323.7509765625,145616378.78417969,9970013.6184692383,-12417954.444885254,70710632.32421875,19372314.453125
15,"Forestry, forest products, and timber tract production",326.61288452148438,27205528.259277344,13962558.746337891,5521053.7910461426,1138466.7158126831,212034.55328941345
16,Commercial logging,3540.18115234375,298355499.26757812,51335018.157958984,126111953.73535156,-3211469.1734313965,5505860.3286743164
17,Commercial fishing,0,0,0,0,0,0
