Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,17327690.515152931,3378545273431.3008,914978944735.8772,159561172765.86591,598608781588.63647,135602234588.39208
1,Oilseed farming,123.97406005859375,40777011.871337891,93975.305557250977,12846517.562866211,13439557.075500488,-1968599.796295166
2,Grain farming,9612.6103515625,1515456909.1796875,98275344.848632812,199468826.29394531,322450531.00585938,-83691413.879394531
3,Vegetable and melon farming,3846.080322265625,337121673.58398438,58673530.578613281,19956382.751464844,41970550.537109375,61566.632241010666
4,Fruit farming,2156.733642578125,130445999.14550781,21805521.011352539,9076514.2440795898,22762966.156005859,32263.78932595253
5,Tree nut farming,1787.71533203125,57435993.194580078,32597133.636474609,3204738.3785247803,1460479.1402816773,21770.890802145004
6,"Greenhouse, nursery, and floriculture production",8582.49609375,792934814.453125,222339309.69238281,43242362.976074219,78382888.793945312,60733.165591955185
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,26756.6953125,2725644042.96875,822898559.5703125,168918807.98339844,357217315.67382812,-20641756.057739258
9,Sugarcane and sugar beet farming,229.65280151367188,24667999.267578125,5805469.9897766113,2738939.5236968994,3559739.1128540039,-655981.65988922119
10,All other crop farming,57768.09375,841946411.1328125,237359649.65820313,52266742.706298828,86495086.669921875,-41273826.599121094
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",125787.828125,8643017578.125,118205665.58837891,844823547.36328125,1339150268.5546875,312933837.890625
12,Dairy cattle and milk production,6545.27001953125,2171988037.109375,88128082.275390625,77181282.043457031,114585144.04296875,6613808.6318969727
13,Poultry and egg production,7680.03857421875,2991868896.484375,157348007.20214844,26402524.948120117,63648910.522460938,29752807.6171875
14,"Animal production, except cattle and poultry and eggs",10208.0517578125,654138244.62890625,64117088.317871094,170088226.31835938,227535705.56640625,105273292.54150391
15,"Forestry, forest products, and timber tract production",1590.978759765625,111353179.93164063,69847290.0390625,2303188.3239746094,7110300.0640869141,1056316.4949417114
16,Commercial logging,4904.7978515625,320332458.49609375,134449661.25488281,9910097.1221923828,6977602.9586791992,4659344.1963195801
17,Commercial fishing,5433.92138671875,330301696.77734375,40962734.222412109,-43973491.668701172,303652191.16210938,24141750.335693359
18,Commercial hunting and trapping,2781.64892578125,168090408.32519531,25260984.420776367,-2535344.6006774902,91817962.646484375,10070000.648498535
19,Support activities for agriculture and forestry,46402.69921875,1768520385.7421875,1285277343.75,260891296.38671875,-150862747.19238281,23580993.65234375
20,Oil and gas extraction,237340.078125,135311437500,13199662109.375,10468618164.0625,45683156250,12001604492.1875
21,Coal mining,2904.0634765625,1291383911.1328125,272730895.99609375,-14426657.676696777,441787658.69140625,59331951.141357422
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,93.274421691894531,21949882.507324219,568451.22575759888,-2950378.8948059082,294777.98938751221,1814796.9245910645
24,Gold ore mining,179.11566162109375,40877799.987792969,80055.706202983856,-1213437.557220459,85584.938526153564,4086360.9313964844
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,316.57888793945312,24119390.487670898,4661885.2615356445,-27006166.458129883,3322096.1093902588,3089179.0390014648
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,3980.2587890625,1003402587.890625,167470367.43164063,-70544006.34765625,388861572.265625,43134792.327880859
29,Sand and gravel mining,8870.681640625,1536862426.7578125,515435119.62890625,-137528884.88769531,340789367.67578125,81000450.134277344
30,"Other clay, ceramic, refractory minerals mining",408.52059936523438,81968353.271484375,24560894.012451172,-7422491.5504455566,17430004.119873047,3574887.9909515381
31,"Potash, soda, and borate mineral mining",123.33903503417969,36770282.745361328,12597956.657409668,-1398713.5887145996,3769391.2982940674,1646774.7688293457
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,666.9437255859375,135063858.03222656,36180698.394775391,-14465851.783752441,34857326.507568359,8625586.5097045898
34,Other nonmetallic minerals,313.50448608398438,46334098.815917969,13871429.443359375,-6457072.7348327637,9834917.0684814453,3045165.3003692627
35,Drilling oil and gas wells,52136.3125,23849666015.625,5203743164.0625,682584655.76171875,4806898437.5,1235421020.5078125
36,Support activities for oil and gas operations,162521.34375,52780082031.25,14919907226.5625,554767150.87890625,7684871582.03125,2414688476.5625
37,Metal mining services,25557.087890625,14456435546.875,1420878540.0390625,1122992065.4296875,4931030761.71875,1284858154.296875
38,Other nonmetallic minerals services,25839.35546875,14483480468.75,1447515502.9296875,1123135864.2578125,4924670410.15625,1293457275.390625
39,Electric power generation - Hydroelectric,3061.25634765625,1553688110.3515625,246646041.87011719,153751251.22070313,335079772.94921875,105148437.5
40,Electric power generation - Fossil fuel,6802.40185546875,9476132812.5,1064966064.453125,60371959.686279297,1983402587.890625,717634765.625
41,Electric power generation - Nuclear,1637.7615966796875,1627730102.5390625,363484924.31640625,0,309559661.86523438,111345153.80859375
42,Electric power generation - Solar,233.20791625976563,87151855.46875,18809747.695922852,9116255.7601928711,24252561.569213867,4203568.9353942871
43,Electric power generation - Wind,3756.440185546875,4618818359.375,345581665.0390625,86371246.337890625,1796880859.375,310638854.98046875
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,189.2861328125,88234184.265136719,10487677.574157715,7311077.1179199219,16846452.713012695,5040323.2574462891
46,Electric power generation - All other,131.14959716796875,21205417.633056641,10887340.545654297,2493083.7154388428,-9194046.9741821289,1421946.2871551514
47,Electric power transmission and distribution,34471.44140625,42607652343.75,4203290527.34375,599476074.21875,7438202636.71875,3342946533.203125
48,Natural gas distribution,10970.986328125,7994559570.3125,1253765869.140625,192938888.54980469,1603302246.09375,416314819.3359375
49,"Water, sewage and other systems",8379.4794921875,2174931152.34375,478984893.79882812,248075927.734375,386512756.34765625,102462936.40136719
50,Construction of new health care structures,33239.0234375,5178629882.8125,1468483520.5078125,823735534.66796875,817794738.76953125,22283676.147460938
51,Construction of new manufacturing structures,54795.40625,8445849609.375,2483241210.9375,1298991333.0078125,764218383.7890625,38929050.445556641
52,Construction of new power and communication structures,83569.09375,15428413085.9375,4191232421.875,1801337402.34375,3180860107.421875,207477478.02734375
53,Construction of new educational and vocational structures,84784.8515625,11701294921.875,4019692382.8125,1720842163.0859375,1666174682.6171875,45424224.853515625
54,Construction of new highways and streets,67034.515625,13868189453.125,3050220947.265625,1596445556.640625,2724401123.046875,59429683.685302734
55,"Construction of new commercial structures, including farm structures",132035.640625,17626591796.875,5698671875,3166227783.203125,1212881835.9375,128705902.09960938
56,Construction of other new nonresidential structures,167513.984375,14382103515.625,7346632324.21875,4107610839.84375,-4797046875,71772743.225097656
57,Construction of new single-family residential structures,209419.15625,30647617187.5,9039084960.9375,5241379882.8125,3705772705.078125,253881927.49023438
