Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2042743.0958464146,346701436808.19873,95849459637.351334,11342535227.117506,63633530771.403564,10812559739.981415
1,Oilseed farming,3.1020369529724121,1869707.5843811035,0,509867.54894256592,0,-77814.236283302307
2,Grain farming,232.90187072753906,54694614.410400391,4194667.8161621094,6231458.1871032715,16119361.877441406,-2379765.2721405029
3,Vegetable and melon farming,342.764404296875,38002120.971679688,7821956.6345214844,1947227.3588180542,6553142.5476074219,1923.0279140174389
4,Fruit farming,383.96258544921875,30676282.88269043,6064436.9125366211,1847586.3933563232,7414547.4433898926,2013.1152123212814
5,Tree nut farming,15.415681838989258,572103.91759872437,383992.07592010498,27631.029486656189,20149.76367354393,65.813408582471311
6,"Greenhouse, nursery, and floriculture production",1447.5693359375,146355682.37304688,48533363.342285156,6908681.3926696777,20039051.055908203,3592.1751987189054
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,11840.0439453125,284469726.5625,94844146.728515625,15285888.671875,40478725.433349609,-12936199.188232422
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3767.31494140625,456904968.26171875,7390109.0621948242,38658069.610595703,98055870.056152344,2087366.1041259766
12,Dairy cattle and milk production,851.666748046875,373842010.49804688,17938951.49230957,11498901.3671875,27317613.60168457,1257549.524307251
13,Poultry and egg production,307.62811279296875,164351730.34667969,10222215.65246582,1255425.2147674561,4842910.7666015625,118918.64240169525
14,"Animal production, except cattle and poultry and eggs",2186.91748046875,222262664.79492188,25764566.421508789,50024745.941162109,107085418.70117188,1608509.89818573
15,"Forestry, forest products, and timber tract production",106.47316741943359,10103558.540344238,6993029.1175842285,0,1033499.2408752441,0
16,Commercial logging,316.90109252929688,22791566.848754883,10819005.966186523,45677.464455366135,1021264.0762329102,287816.13707542419
17,Commercial fishing,399.35494995117188,107540275.57373047,15851560.592651367,1173315.7634735107,48399627.685546875,2221913.0992889404
18,Commercial hunting and trapping,478.75286865234375,20905424.118041992,627698.30226898193,9663562.7746582031,702701.21097564697,2177680.0155639648
19,Support activities for agriculture and forestry,2894.0947265625,84175903.3203125,66924209.594726562,8665886.8789672852,-15333631.51550293,2113112.4496459961
20,Oil and gas extraction,3402.702392578125,1330212280.2734375,119651321.41113281,8830105.7815551758,290379302.97851562,137759582.51953125
21,Coal mining,1120.8050537109375,470756622.31445312,112500785.82763672,-2956654.3102264404,139450454.71191406,16455398.559570313
22,"Copper, nickel, lead, and zinc mining",1795.7313232421875,2330670166.015625,171629241.94335938,-15996334.075927734,1144579345.703125,115916229.24804688
23,Iron ore mining,103.73104858398438,16508832.931518555,152144.71518993378,-9888610.83984375,60373.153537511826,1455533.6236953735
24,Gold ore mining,71.130027770996094,17392234.802246094,1242099.1659164429,-1058512.0916366577,1016123.4140396118,1165889.3823623657
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,43.329322814941406,8908707.6187133789,4411995.4109191895,-3693367.0043945312,2405862.56980896,302350.46148300171
27,Other metal ore mining,172.60234069824219,51253623.962402344,10546688.079833984,-3898885.2500915527,9649314.8803710938,1926806.3306808472
28,Stone mining and quarrying,518.32861328125,36819557.189941406,6612900.7339477539,-47398239.135742188,11749900.817871094,4065922.2602844238
29,Sand and gravel mining,1661.7147216796875,202432952.88085938,80937492.370605469,-68473098.754882812,40949344.635009766,10928324.699401856
30,"Other clay, ceramic, refractory minerals mining",110.40542602539063,14923975.944519043,5305089.4737243652,-5802978.9924621582,2880919.9333190918,696130.45454025269
31,"Potash, soda, and borate mineral mining",155.52458190917969,35423664.093017578,13248205.184936523,-7770539.2837524414,3033285.6178283691,1498389.8401260376
32,Phosphate rock mining,167.90557861328125,43450458.526611328,16292850.494384766,-584571.18272781372,4682132.2441101074,1930990.2191162109
33,Other chemical and fertilizer mineral mining,173.78457641601563,25733274.459838867,7335942.7452087402,-6838743.6866760254,5408267.9748535156,1615907.6690673828
34,Other nonmetallic minerals,218.52961730957031,28551084.518432617,12961019.515991211,-11120971.6796875,7031918.0488586426,1528065.4430389404
35,Drilling oil and gas wells,677.0867919921875,233306991.57714844,39488338.470458984,1869357.9435348511,23417058.944702148,13715679.168701172
36,Support activities for oil and gas operations,3229.895263671875,822017761.23046875,194859649.65820313,10081991.195678711,42345523.834228516,34050655.364990234
37,Metal mining services,781.52044677734375,297810333.25195312,67269790.649414062,1054471.7311859131,37805744.171142578,17479394.912719727
38,Other nonmetallic minerals services,686.4093017578125,251549255.37109375,45771942.138671875,1298128.4856796265,36208129.8828125,16994209.289550781
39,Electric power generation - Hydroelectric,10.428928375244141,4760335.4454040527,748115.47994613647,0,1138342.6189422607,444653.03421020508
40,Electric power generation - Fossil fuel,1082.5509033203125,1582614868.1640625,175200088.50097656,0,365459930.41992188,142838714.59960938
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,565.81292724609375,168861755.37109375,24323816.299438477,21940052.032470703,35126647.94921875,12817227.363586426
43,Electric power generation - Wind,88.440696716308594,76932922.36328125,2196178.4362792969,3762497.1866607666,12789881.706237793,9228771.2097167969
44,Electric power generation - Geothermal,20.956418991088867,13206902.503967285,3308239.4599914551,0,3751045.4654693604,762177.34813690186
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,5.4374542236328125,945075.21390914917,997237.02669143677,0,-772361.33813858032,73544.993996620178
47,Electric power transmission and distribution,1694.6279296875,2210356201.171875,227103073.12011719,6949048.9959716797,450761993.40820312,197046005.24902344
48,Natural gas distribution,1573.3262939453125,1042426269.53125,118219772.33886719,25203319.549560547,174657455.44433594,74960624.694824219
49,"Water, sewage and other systems",753.9354248046875,164933975.21972656,23139301.300048828,23376447.677612305,20981834.411621094,11160790.44342041
50,Construction of new health care structures,3768.528076171875,598415954.58984375,161309448.2421875,65974807.739257812,136540344.23828125,2585058.9275360107
