Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,5271540.9410672188,885672147522.21106,308456432217.46759,29450957564.248123,164112542672.37335,34602997349.566193
1,Oilseed farming,913.7591552734375,218403945.92285156,494762.30144500732,-1576803.0881881714,134709686.27929688,-995129.58526611328
2,Grain farming,1953.7452392578125,235678039.55078125,15023042.678833008,-3909224.9870300293,93844192.504882812,-896494.09055709839
3,Vegetable and melon farming,1695.224609375,120753410.33935547,20658212.661743164,-10251798.629760742,28133657.455444336,58082.72585272789
4,Fruit farming,1145.5733642578125,55340393.06640625,9093178.7490844727,-6502539.1578674316,18072122.573852539,36678.589880466461
5,Tree nut farming,17.401494979858398,472817.65937805176,263770.81871032715,-59064.026921987534,22499.542683362961,453.58517672866583
6,"Greenhouse, nursery, and floriculture production",4406.17578125,353483367.91992188,97428398.132324219,-14639134.407043457,65391540.52734375,66731.981933116913
7,Tobacco farming,1572.2012939453125,86947509.765625,25062065.124511719,-5302899.8374938965,24077913.284301758,-134384.22977924347
8,Cotton farming,842.38360595703125,74844001.770019531,22211196.899414062,-4564427.8526306152,18356470.108032227,-44603.139162063599
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,16032.73828125,173299377.44140625,48023880.004882812,-11012681.96105957,33317531.585693359,-785814.82172012329
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8349.6533203125,417541961.66992188,5613204.4792175293,-19344789.505004883,121068969.7265625,28176816.940307617
12,Dairy cattle and milk production,1080.131103515625,286125000,11411705.017089844,-8029989.2425537109,28248506.546020508,9739585.8764648438
13,Poultry and egg production,4169.80419921875,1279183471.6796875,66128601.07421875,-12888601.303100586,50927227.020263672,9842329.0252685547
14,"Animal production, except cattle and poultry and eggs",4196.67919921875,201735458.37402344,19436780.92956543,-10395695.686340332,131320053.10058594,18826711.654663086
15,"Forestry, forest products, and timber tract production",711.84979248046875,59357166.290283203,29933412.551879883,11651886.940002441,2488510.1318359375,1396918.2968139648
16,Commercial logging,4079.801513671875,357173980.71289062,128555831.90917969,83740638.732910156,-3894278.0494689941,12077626.22833252
17,Commercial fishing,1826.715576171875,510892944.3359375,24906297.68371582,24744874.954223633,170106628.41796875,23358509.063720703
18,Commercial hunting and trapping,267.86383056640625,32737434.387207031,5514322.7577209473,9407893.180847168,11372257.232666016,2773834.4669342041
19,Support activities for agriculture and forestry,7296.19580078125,245808410.64453125,187775039.67285156,27744926.452636719,-35032146.453857422,10345458.984375
20,Oil and gas extraction,4346.56298828125,1057423217.7734375,22549856.185913086,24387086.868286133,-5062236.3090515137,27373304.36706543
