Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,436676.17015963793,65992088642.556221,19708795591.532719,2864345662.0803919,8634541595.5671616,3091113138.6115737
1,Oilseed farming,4.5036616325378418,1561195.3735351563,5288.0230359733105,1228307.9624176025,299575.92487335205,-49446.29967212677
2,Grain farming,109.87713623046875,15949064.254760742,1528420.2098846436,5271272.6593017578,7115357.3989868164,-507403.13529968262
3,Vegetable and melon farming,336.93045043945312,23973138.809204102,6165765.7623291016,3563435.3160858154,6257846.8322753906,7414.600346237421
4,Fruit farming,367.1796875,18648195.266723633,4606584.5489501953,3258171.558380127,6823024.2729187012,7551.3282790780067
5,Tree nut farming,0.70330351591110229,17113.883048295975,14316.125772893429,2391.5581405162811,-456.37667062692344,11.776486644521356
6,"Greenhouse, nursery, and floriculture production",360.3095703125,24078111.64855957,9977178.5736083984,3297183.9904785156,4990548.1338500977,3506.5726842731237
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,5437.83447265625,78702453.61328125,32788177.490234375,12268121.719360352,16952638.626098633,-2684672.1172332764
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",957.0181884765625,68638992.309570312,1387236.1183166504,16846914.291381836,22298561.096191406,2079097.7478027344
12,Dairy cattle and milk production,1642.873046875,458279998.77929688,27478586.196899414,40891620.635986328,50692512.512207031,9515344.6197509766
13,Poultry and egg production,79.277168273925781,26696636.199951172,2074826.717376709,591572.88074493408,1190822.3628997803,120209.15746688843
14,"Animal production, except cattle and poultry and eggs",135.0089111328125,8398188.591003418,1209336.8768692017,5451173.3055114746,946714.99729156494,389457.97085762024
15,"Forestry, forest products, and timber tract production",90.665687561035156,5278420.4483032227,2256754.6367645264,1082426.7864227295,93186.378479003906,77388.100326061249
16,Commercial logging,1702.063232421875,95213172.912597656,11611199.378967285,26220649.719238281,-1566141.0093307495,1919659.0185165405
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,74.193305969238281,1822670.3405380249,0,303490.01288414001,0,276347.93519973755
19,Support activities for agriculture and forestry,1678.146728515625,43057998.657226562,30510581.970214844,12621876.71661377,-13599869.728088379,880965.9481048584
20,Oil and gas extraction,205.80390930175781,47185886.383056641,0,397117.9723739624,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,552.19732666015625,252202484.13085938,22004667.282104492,2461210.7276916504,152975784.30175781,8934316.6351318359
29,Sand and gravel mining,236.02981567382813,49879936.218261719,8654367.4468994141,1260225.4152297974,17131612.777709961,3219313.8599395752
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,68.398262023925781,33908317.565917969,8695519.4473266602,87026.95369720459,18458478.927612305,986139.23788070679
35,Drilling oil and gas wells,81.164726257324219,20084684.371948242,4781621.4561462402,-147954.5533657074,-3337876.7967224121,230499.87852573395
36,Support activities for oil and gas operations,22.125152587890625,3746226.7875671387,0,42507.234960794449,0,0
37,Metal mining services,22.125152587890625,4974378.1089782715,0,42681.127786636353,0,0
38,Other nonmetallic minerals services,71.252418518066406,17328695.297241211,2955783.8439941406,-55412.556976079941,-1419393.8970565796,144490.00358581543
39,Electric power generation - Hydroelectric,118.55838012695313,39027797.698974609,1678198.4567642212,2795008.4209442139,2102542.6387786865,4836083.4121704102
40,Electric power generation - Fossil fuel,0,0,0,0,0,0
41,Electric power generation - Nuclear,167.98332214355469,148295989.99023438,27025745.391845703,0,21225751.876831055,13544039.726257324
42,Electric power generation - Solar,67.240577697753906,14706645.011901856,1172012.6867294312,1825151.6819000244,1393588.0661010742,1444092.869758606
43,Electric power generation - Wind,210.19725036621094,146518112.18261719,538057.32727050781,6248304.8439025879,2580028.772354126,20798814.77355957
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,12.78316593170166,6974678.5163879395,1328083.7535858154,0,1967351.9134521484,400579.57172393799
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,873.1280517578125,1169394897.4609375,143790298.46191406,319219.55943107605,237417846.6796875,103382675.17089844
48,Natural gas distribution,125.34712982177734,94059539.794921875,16573324.203491211,9770.7770764827728,20132713.317871094,5607123.3749389648
49,"Water, sewage and other systems",70.745262145996094,14533489.227294922,1996295.8097457886,1470350.8615493774,1781904.4589996338,1189297.7952957153
50,Construction of new health care structures,858.9609375,92900978.088378906,25265125.274658203,20661840.438842773,-6497458.4579467773,590262.17460632324
51,Construction of new manufacturing structures,1390.306640625,170081481.93359375,41602458.953857422,32520389.556884766,-3076097.9652404785,1084230.0653457642
52,Construction of new power and communication structures,1945.2740478515625,250767349.24316406,56824943.542480469,46749969.482421875,3308184.6237182617,3113839.3878936768
53,Construction of new educational and vocational structures,2165.4169921875,219158081.0546875,75829162.59765625,43526618.957519531,-9839244.8425292969,1117341.8760299683
54,Construction of new highways and streets,1737.8106689453125,242910095.21484375,55339321.136474609,40174163.818359375,-20815113.067626953,1320246.2196350098
55,"Construction of new commercial structures, including farm structures",3259.746337890625,347621765.13671875,90896156.311035156,79522026.062011719,-8440602.3025512695,2453820.7054138184
56,Construction of other new nonresidential structures,4385.224609375,244814849.85351563,125252929.6875,104812202.45361328,-188430191.04003906,2834192.7528381348
57,Construction of new single-family residential structures,5238.515625,611453613.28125,144955734.25292969,131363235.47363281,15437587.738037109,9329715.7287597656
58,Construction of new multifamily residential structures,1629.3760986328125,121553817.74902344,45218700.408935547,40994018.5546875,-4950216.2933349609,1556070.6853866577
59,Construction of other new residential structures,3691.188232421875,569531982.421875,105558494.56787109,90964309.692382812,-29795022.964477539,4692304.1343688965
60,Maintenance and repair construction of nonresidential structures,2496.197509765625,405533874.51171875,69818107.604980469,62697357.177734375,-16070768.356323242,3044515.3713226318
61,Maintenance and repair construction of residential structures,1197.2215576171875,201107238.76953125,34362895.965576172,26884185.791015625,-6712029.4570922852,3417653.0838012695
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",897.42755126953125,64652900.695800781,25365844.7265625,22388473.510742188,-33161937.713623047,614505.17177581787
63,Dog and cat food manufacturing,37.478973388671875,41772624.969482422,659832.47756958008,243281.58795833588,519549.48902130127,672450.00600814819
64,Other animal food manufacturing,409.97314453125,408505126.953125,31832662.582397461,694702.56567001343,6340606.689453125,4089683.5327148438
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,2.0986721515655518,2815820.6939697266,22938.02797794342,27321.17660343647,11499.097570776939,16501.128673553467
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,10.447089195251465,45405452.728271484,327418.53594779968,11247.718706727028,367872.95341491699,197827.2944688797
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,57.509590148925781,40355358.123779297,1841365.4565811157,175068.63176822662,763115.88287353516,231769.18923854828
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,90.49542236328125,31863559.722900391,523866.95146560669,1748492.2409057617,70414.699614048004,158571.67541980743
75,Chocolate and confectionery manufacturing from cacao beans,225.41749572753906,138502822.87597656,12207682.609558106,760785.75849533081,3887847.900390625,783950.8056640625
76,Confectionery manufacturing from purchased chocolate,311.28277587890625,98432563.781738281,8979708.6715698242,2919147.9682922363,1138043.0459976196,471918.07627677917
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,38.518905639648438,12458536.148071289,691917.47903823853,458572.98374176025,104639.95486497879,50901.629030704498
79,Canned fruits and vegetables manufacturing,217.86087036132813,96475654.602050781,7978929.0428161621,1656618.8335418701,1883013.6060714722,402227.07390785217
80,Canned specialties,112.08342742919922,82829368.591308594,5126310.3485107422,349516.98780059814,2134800.910949707,326431.48303031921
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,550.21209716796875,477907073.97460938,27135318.756103516,1020175.6954193115,3174730.3009033203,2110273.1227874756
83,"Dry, condensed, and evaporated dairy product manufacturing",395.30233764648438,503482513.42773438,37596794.128417969,23225.285112857819,17198270.797729492,2246131.6585540771
84,Fluid milk manufacturing,888.45599365234375,625165283.203125,64819564.819335938,481363.53492736816,12319809.913635254,3229539.8712158203
85,Creamery butter manufacturing,43.047332763671875,73224037.170410156,3232802.3910522461,27361.651882529259,2794499.1588592529,573602.13994979858
86,Ice cream and frozen dessert manufacturing,334.40283203125,137284698.48632813,20711071.014404297,499481.88662528992,3434082.7465057373,756453.87172698975
87,Frozen cakes and other pastries manufacturing,541.36956787109375,48691375.732421875,20116817.474365234,559701.08509063721,3047553.7776947021,3295729.1603088379
88,Poultry processing,0,0,0,0,0,0
89,"Animal, except poultry, slaughtering",156.38334655761719,102364257.8125,6124028.205871582,588536.97776794434,760842.14448928833,577615.85712432861
90,Meat processed from carcasses,129.70306396484375,65732421.875,6342316.6275024414,339728.02758216858,348436.41519546509,322259.00888442993
91,Rendering and meat byproduct processing,12.917588233947754,5023034.0957641602,809184.90886688232,16928.955912590027,282540.73858261108,44390.037655830383
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",1346.53271484375,171112258.91113281,44858985.900878906,4905940.055847168,5174146.6522216797,3863434.5531463623
94,Cookie and cracker manufacturing,148.55523681640625,46197223.663330078,5744406.2232971191,520550.90665817261,762867.56992340088,247679.23355102539
95,"Dry pasta, mixes, and dough manufacturing",0,0,0,0,0,0
96,Tortilla manufacturing,14.099186897277832,2719197.0348358154,199479.96735572815,250067.68107414246,12235.930189490318,15641.344711184502
97,Roasted nuts and peanut butter manufacturing,62.85516357421875,24719272.613525391,2231919.7654724121,877702.83222198486,306232.9888343811,99182.181060314178
98,Other snack food manufacturing,40.027244567871094,18252004.623413086,2291429.0428161621,252385.58650016785,236928.5523891449,41695.531457662582
99,Coffee and tea manufacturing,712.19512939453125,443619079.58984375,47973934.173583984,2217104.9118041992,13701967.239379883,2152474.4033813477
100,Flavoring syrup and concentrate manufacturing,85.163230895996094,176945678.7109375,2230582.2372436523,1259847.0449447632,5262514.1143798828,977284.07382965088
101,"Mayonnaise, dressing, and sauce manufacturing",123.36654663085938,63388790.130615234,6265902.9960632324,1233342.4091339111,1690404.2959213257,310541.59998893738
102,Spice and extract manufacturing,24.993494033813477,13579456.329345703,1762319.4456100464,433399.79648590088,281740.63563346863,65056.763589382172
103,All other food manufacturing,269.64105224609375,85440498.352050781,6381417.2744750977,3228979.8259735107,668430.3879737854,380485.11743545532
104,Bottled and canned soft drinks & water,39.678237915039062,26681972.503662109,2139091.2532806396,235580.29532432556,654731.27365112305,202128.87227535248
105,Manufactured ice,5.5119543075561523,641582.190990448,214267.0750617981,18673.261627554893,-210414.17121887207,5294.6661598980427
106,Breweries,662.7528076171875,271092315.67382812,33713848.114013672,1619155.8837890625,13746739.387512207,18625724.792480469
107,Wineries,235.77229309082031,72957969.665527344,11036254.8828125,767549.75318908691,2150341.5107727051,1782861.4711761475
108,Distilleries,166.23446655273438,146122512.81738281,7426618.5760498047,556587.93449401855,5771331.3102722168,32219264.984130859
109,Tobacco product manufacturing,0,0,0,0,0,0
110,"Fiber, yarn, and thread mills",57.920101165771484,18960128.784179688,2561931.6101074219,-702198.74382019043,1794152.2598266602,208724.67756271362
111,Broadwoven fabric mills,0,0,0,0,0,0
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0
113,Nonwoven fabric mills,30.323329925537109,16467781.066894531,2584449.7680664062,-81440.88089466095,3866016.3879394531,125789.19529914856
114,Knit fabric mills,0,0,0,0,0,0
115,Textile and fabric finishing mills,37.124713897705078,8627403.2592773438,1081227.6601791382,-172561.09416484833,514326.69162750244,81174.686551094055
116,Fabric coating mills,40.943763732910156,14199641.227722168,1818969.0113067627,-42237.590998411179,1058234.9300384522,115682.82544612885
117,Carpet and rug mills,0,0,0,0,0,0
118,Curtain and linen mills,27.883813858032227,5063018.798828125,564114.33219909668,-24064.386263489723,406936.94353103638,54481.819272041321
119,Textile bag and canvas mills,38.092845916748047,6242578.5064697266,1456347.5847244263,-15198.057517409325,635576.42698287964,56680.548936128616
120,"Rope, cordage, twine, tire cord and tire fabric mills",15.878719329833984,4553500.6523132324,710420.42970657349,-4181.0479015111923,843759.83476638794,44008.675962686539
121,Other textile product mills,22.161096572875977,2641729.3548583984,419548.54130744934,-24468.062445521355,155345.03757953644,29610.836878418922
122,Hosiery and sock mills,193.13888549804688,24075540.542602539,10740342.140197754,208567.97695159912,2466500.0438690186,332172.00636863708
123,Other apparel knitting mills,42.063934326171875,4821475.9826660156,1666704.7739028931,140454.2475938797,365978.92642021179,116474.56884384155
124,Cut and sew apparel contractors,4.9772028923034668,372237.41412162781,119222.59628772736,41293.386369943619,6330.183707177639,52297.834306955338
125,Mens and boys cut and sew apparel manufacturing,81.551040649414062,10471071.243286133,2017308.9504241943,256748.64649772644,604164.0043258667,228327.14021205902
126,Womens and girls cut and sew apparel manufacturing,34.319873809814453,6548756.5994262695,750494.48013305664,140538.93089294434,358289.09277915955,147513.53859901428
127,Other cut and sew apparel manufacturing,53.578140258789062,5049333.0955505371,524153.76901626587,315949.38039779663,134504.43744659424,144226.13382339478
128,Apparel accessories and other apparel manufacturing,79.082527160644531,9838213.9205932617,3296324.4915008545,257729.14290428162,874964.89286422729,177485.8832359314
129,Leather and hide tanning and finishing,0,0,0,0,0,0
130,Footwear manufacturing,0,0,0,0,0,0
131,Other leather and allied product manufacturing,75.5201416015625,8940092.0867919922,3505908.4892272949,-270612.38884925842,127705.46972751617,137380.52546977997
132,Sawmills,704.44439697265625,193556335.44921875,29224416.732788086,-168723.18089008331,20993885.040283203,1840170.0258255005
133,Wood preservation,52.739994049072266,32959720.611572266,2467666.6259765625,-16108.494251966476,8102293.9682006836,291577.21996307373
134,Veneer and plywood manufacturing,204.03016662597656,67318908.69140625,16490932.464599609,-9665.7490357756615,11878241.539001465,489241.3318157196
135,Engineered wood member and truss manufacturing,0,0,0,0,0,0
136,Reconstituted wood product manufacturing,0,0,0,0,0,0
137,Wood windows and door manufacturing,296.55029296875,68095939.636230469,14477980.613708496,-23616.39216542244,8810988.4262084961,634562.79039382935
138,"Cut stock, resawing lumber, and planing",54.809314727783203,11842973.709106445,1532724.8573303223,-15407.242812216282,2005402.8034210205,122667.00714826584
139,"Other millwork, including flooring",205.97296142578125,43572223.663330078,9234343.5287475586,-26658.963412046432,7253091.8121337891,400772.27354049683
140,Wood container and pallet manufacturing,59.902683258056641,7523566.2460327148,1221495.8667755127,-23202.73220539093,415183.6633682251,84471.732378005981
141,Manufactured home (mobile home) manufacturing,40.730411529541016,9649806.9763183594,1359061.2411499023,-11661.32278740406,1613333.4636688232,107280.30651807785
142,Prefabricated wood building manufacturing,197.5322265625,33779212.951660156,9967068.6721801758,-27110.464870929718,2252198.6961364746,310246.85502052307
143,All other miscellaneous wood product manufacturing,282.01968383789062,46982479.095458984,10003206.253051758,-74593.327939510345,5101468.0862426758,458861.50002479553
144,Pulp mills,0,0,0,0,0,0
145,Paper mills,231.4622802734375,159928512.57324219,17649839.401245117,0,8784255.9814453125,1624799.6091842651
146,Paperboard mills,428.03005981445312,327958923.33984375,34270847.320556641,3080.8327719569206,15057313.919067383,3554906.6066741943
147,Paperboard container manufacturing,34.834568023681641,15692975.044250488,2192968.1301116943,1806.9655634462833,354527.44364738464,154495.09024620056
148,Paper bag and coated and treated paper manufacturing,35.199783325195312,14642101.287841797,2050183.0577850342,5300.1753985881805,536297.44052886963,146383.91137123108
149,Stationery product manufacturing,0,0,0,0,0,0
150,Sanitary paper product manufacturing,0,0,0,0,0,0
151,All other converted paper product manufacturing,0,0,0,0,0,0
152,Printing,1205.451171875,179465972.90039063,58253532.409667969,2332307.1002960205,11927618.980407715,2429194.9272155762
153,Support activities for printing,153.96220397949219,17942375.183105469,8474739.0747070312,92912.562191486359,1506077.766418457,227316.21563434601
154,Petroleum refineries,4.5842733383178711,30869152.069091797,0,722.76050923392177,0,799407.2437286377
155,Asphalt paving mixture and block manufacturing,69.319740295410156,64706474.304199219,7384686.4700317383,0,12972889.90020752,454036.98086738586
156,Asphalt shingle and coating materials manufacturing,0,0,0,0,0,0
157,Petroleum lubricating oil and grease manufacturing,0,0,0,0,0,0
158,All other petroleum and coal products manufacturing,0,0,0,0,0,0
159,Petrochemical manufacturing,0,0,0,0,0,0
160,Industrial gas manufacturing,1.3194770812988281,1043059.7066879273,45160.174369812012,46774.446964263916,-3291.659289970994,19228.845834732056
161,Synthetic dye and pigment manufacturing,0,0,0,0,0,0
162,Other basic inorganic chemical manufacturing,0,0,0,0,0,0
163,Other basic organic chemical manufacturing,37.584693908691406,50139442.443847656,2200550.3177642822,121585.81614494324,-113106.74995183945,633005.08260726929
164,Plastics material and resin manufacturing,128.5394287109375,153399673.46191406,10299354.553222656,0,-293277.88949012756,1970458.7459564209
165,Synthetic rubber manufacturing,0,0,0,0,0,0
166,Artificial and synthetic fibers and filaments manufacturing,10.043379783630371,6928854.4654846191,621949.49388504028,211875.12576580048,-13047.019019722939,75995.683670043945
167,Nitrogenous fertilizer manufacturing,0,0,0,0,0,0
168,Phosphatic fertilizer manufacturing,0,0,0,0,0,0
169,Fertilizer mixing,20.527809143066406,9704138.7557983398,622550.66633224487,554694.17572021484,-39273.791015148163,139374.9862909317
170,Pesticide and other agricultural chemical manufacturing,1.341402530670166,1687524.7955322266,48390.470445156097,24407.349526882172,-7150.635588914156,25298.384949564934
171,Medicinal and botanical manufacturing,2.4009330272674561,1228082.8952789307,340348.78015518188,13170.634396374226,-12968.512251973152,15254.386700689793
172,Pharmaceutical preparation manufacturing,350.55886840820312,345938659.66796875,42177772.521972656,216815.62066078186,-6841332.4356079102,13180495.262145996
173,In-vitro diagnostic substance manufacturing,36.620399475097656,14264038.0859375,4723666.6679382324,24796.880781650543,-170959.62166786194,161029.50274944305
174,Biological product (except diagnostic) manufacturing,1.5220004320144653,667814.97001647949,126189.81301784515,17665.008082985878,-11648.815125226975,11168.000288307667
175,Paint and coating manufacturing,52.004047393798828,32912876.129150391,2189813.6138916016,796677.3509979248,-117084.60748195648,459323.85325431824
176,Adhesive manufacturing,5.1161203384399414,2815104.7229766846,190074.93555545807,176176.99503898621,-6314.9239867925644,35139.907151460648
177,Soap and other detergent manufacturing,281.89334106445312,256038970.94726563,16152238.845825195,2181190.7291412354,-2120822.1912384033,4065543.6515808105
178,Polish and other sanitation good manufacturing,17.905458450317383,9714496.6125488281,1237278.1038284302,473588.01960945129,-75538.799166679382,139272.24278450012
179,Surface active agent manufacturing,0,0,0,0,0,0
180,Toilet preparation manufacturing,344.72219848632812,206141571.04492188,23677160.263061523,1240277.0519256592,-3491494.89402771,4062222.0039367676
181,Printing ink manufacturing,0,0,0,0,0,0
182,Explosives manufacturing,0,0,0,0,0,0
183,Custom compounding of purchased resins,42.754596710205078,19833402.633666992,1952259.4213485718,141811.14733219147,-66066.384315490723,262863.24858665466
184,Photographic film and chemical manufacturing,6.9839911460876465,4193593.9788818359,382609.57598686218,65127.171576023102,-16810.877248644829,55625.084787607193
185,Other miscellaneous chemical product manufacturing,1.5898879766464233,827118.57557296753,90136.118233203888,28728.35285961628,-2554.8448320478201,11532.546952366829
186,Plastics packaging materials and unlaminated film and sheet manufacturing,7.6198720932006836,3242532.49168396,501468.77765655518,4929.7534860670567,218718.21582317352,42978.465557098389
187,Unlaminated plastics profile shape manufacturing,18.981287002563477,7914968.0137634277,1286296.4868545532,3781.0804788023233,1039395.5707550049,96063.777804374695
188,Plastics pipe and pipe fitting manufacturing,15.010186195373535,6883114.3379211426,981645.58410644531,2655.6551456451416,938490.09275436401,98692.126572132111
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",0,0,0,0,0,0
190,Polystyrene foam product manufacturing,0,0,0,0,0,0
191,Urethane and other foam product (except polystyrene) manufacturing,16.214311599731445,5727392.6734924316,941262.06636428833,4793.4670001268387,389910.72773933411,79061.351716518402
192,Plastics bottle manufacturing,25.694879531860352,10779191.017150879,1682911.8728637695,6252.6152469217777,717756.27136230469,135855.24260997772
193,Other plastics product manufacturing,996.45819091796875,285254791.25976562,70290199.279785156,65284.892916679382,22887350.082397461,3539783.0009460449
194,Tire manufacturing,0,0,0,0,0,0
195,Rubber and plastics hoses and belting manufacturing,3.5812640190124512,1039616.584777832,234191.29848480225,1899.9972380697727,94020.39647102356,13841.672800481319
196,Other rubber product manufacturing,121.34074401855469,38383415.222167969,7957277.774810791,6749.8460412025452,2554502.7256011963,535363.61455917358
197,"Pottery, ceramics, and plumbing fixture manufacturing",387.99090576171875,57448299.407958984,17756484.985351562,1550843.1196212769,3178304.6722412109,1184877.5148391724
198,"Brick, tile, and other structural clay product manufacturing",36.973533630371094,8693845.7489013672,1795643.2104110718,125448.19712638855,925585.74676513672,207370.02789974213
199,Flat glass manufacturing,0,0,0,0,0,0
200,Other pressed and blown glass and glassware manufacturing,146.42239379882813,27617563.247680664,4039062.0231628418,800865.65017700195,1145201.563835144,571400.88081359863
201,Glass container manufacturing,0,0,0,0,0,0
202,Glass product manufacturing made of purchased glass,52.156703948974609,9721109.3902587891,953149.02067184448,153126.94013118744,393950.79016685486,229877.63583660126
