Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4463428.7201304436,941441402892.828,289744238441.96649,37015790440.071609,202371718871.89987,43814999167.924278
1,Oilseed farming,27.324756622314453,29505762.100219727,93670.181930065155,19175046.920776367,9120583.5342407227,-347677.49905586243
2,Grain farming,3571.207763671875,1065145751.953125,98691040.0390625,299965698.2421875,220468353.27148438,-444247772.21679688
3,Vegetable and melon farming,10346.0869140625,1188062377.9296875,295435363.76953125,150475402.83203125,143884811.40136719,204825.72913169861
4,Fruit farming,38324.4609375,3324331054.6875,793976501.46484375,494907104.4921875,564313049.31640625,708891.45135879517
5,Tree nut farming,76.301536560058594,2705084.3238830566,2181704.044342041,321197.68857955933,66552.102565765381,1150.1605622470379
6,"Greenhouse, nursery, and floriculture production",3946.24609375,362493713.37890625,145226867.67578125,42296413.421630859,34857959.747314453,34589.78608250618
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,25.640504837036133,3834000.1106262207,1289208.8890075684,910818.27878952026,538212.83578872681,-58460.738509893417
10,All other crop farming,24824.26171875,901726501.46484375,363216003.41796875,119769691.46728516,90115509.033203125,-14178953.170776367
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3569.715576171875,760861938.4765625,14867792.129516602,159124694.82421875,114679954.52880859,36002571.105957031
12,Dairy cattle and milk production,2370.74755859375,1131647949.21875,65604858.3984375,86039337.158203125,58076438.903808594,4247114.1815185547
13,Poultry and egg production,613.99114990234375,372318695.06835938,27977008.819580078,7029895.3056335449,7705147.7432250977,11635275.840759277
14,"Animal production, except cattle and poultry and eggs",1720.6392822265625,248550857.54394531,34447544.097900391,136842849.73144531,49666412.353515625,15711192.131042481
15,"Forestry, forest products, and timber tract production",722.04595947265625,81547515.869140625,45345954.895019531,20646381.378173828,-164785.93647480011,1634627.5806427002
16,Commercial logging,5908.32470703125,720712646.484375,265440093.99414063,257145782.47070313,-17487636.566162109,17655382.15637207
17,Commercial fishing,5749.96240234375,482497833.25195312,202607635.49804688,119530776.97753906,81021965.026855469,71276153.564453125
18,Commercial hunting and trapping,119.09003448486328,16880331.039428711,24162.188172340393,14052949.905395508,39846.450090408325,1204828.8583755493
19,Support activities for agriculture and forestry,31525.708984375,1377778808.59375,1242130371.09375,123364219.66552734,-265775482.17773438,40520862.579345703
20,Oil and gas extraction,3982.133544921875,908555114.74609375,1954256.2961578369,747690.61803817749,-221284.85143184662,750937.52145767212
21,Coal mining,79.08367919921875,23101909.637451172,1470717.0724868774,6004423.1414794922,-38545.206189155579,1178937.9119873047
22,"Copper, nickel, lead, and zinc mining",197.99148559570313,129245880.12695313,7877014.6369934082,8036763.1912231445,-435736.74559593201,12933457.374572754
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,373.43798828125,144114608.76464844,37035541.534423828,22699304.580688477,-619866.25194549561,6108661.1747741699
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
