Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,69749.345573201776,19362600685.417652,3684224375.4449301,542601985.35516977,3327624903.5183568,901083446.52437687
1,Oilseed farming,1.0415802001953125,1195855.6175231934,4250.4728771746159,1787725.567817688,-638716.22085571289,-14091.216959059238
2,Grain farming,28.564294815063477,8058808.3267211914,900702.95333862305,4340857.0289611816,-560445.12987136841,-3361143.5890197754
3,Vegetable and melon farming,975.31976318359375,94045104.98046875,27106023.788452148,19084783.554077148,496460.64639091492,16213.67409825325
4,Fruit farming,847.1763916015625,69749298.095703125,13774728.775024414,19943738.93737793,5164291.3818359375,14873.573556542397
5,Tree nut farming,1.2905212640762329,64641.803503036499,43177.030980587006,11485.632508993149,6655.5356606841087,27.484706151881255
6,"Greenhouse, nursery, and floriculture production",534.18121337890625,69749259.948730469,24819553.375244141,8577878.9520263672,9392071.7239379883,6655.596662312746
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,149.55049133300781,3188501.8348693848,1204720.2587127686,768851.28021240234,52912.432700395584,-50136.730074882507
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",102.08979034423828,19440582.275390625,346800.32730102539,6415248.3940124512,613744.79532241821,919892.19188690186
12,Dairy cattle and milk production,105.29497528076172,62202308.654785156,2880613.3270263672,6683861.255645752,1963056.3259124756,233447.41761684418
13,Poultry and egg production,5.1781554222106934,5046971.321105957,341775.71535110474,77744.364738464355,159463.74833583832,157722.14531898499
14,"Animal production, except cattle and poultry and eggs",33.939964294433594,8841107.3684692383,894327.70013809204,6580748.0812072754,305960.86382865906,558856.7852973938
15,"Forestry, forest products, and timber tract production",3.7672226428985596,389564.96119499207,308556.85472488403,0,-1121.2870012968779,8640.1384323835373
16,Commercial logging,188.02210998535156,31367176.055908203,7382205.9631347656,17609815.59753418,-486351.99666023254,561806.14233016968
17,Commercial fishing,228.21438598632813,20447296.142578125,910332.73935317993,11088870.048522949,5480755.3291320801,2834830.0457000732
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,371.301513671875,24524919.509887695,16838508.605957031,8014663.6962890625,-3602893.1140899658,478100.80647468567
20,Oil and gas extraction,0,0,0,0,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,7.7535748481750488,1617902.6365280151,649945.73593139648,0,-16801.256686449051,60467.77218580246
29,Sand and gravel mining,25.598953247070312,4515334.1293334961,2243121.6239929199,0,-23441.879078745842,168344.27416324616
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,0,0,0,0,0,0
36,Support activities for oil and gas operations,0,0,0,0,0,0
37,Metal mining services,0,0,0,0,0,0
38,Other nonmetallic minerals services,0,0,0,0,0,0
39,Electric power generation - Hydroelectric,82.686363220214844,66436264.038085938,9226099.967956543,-69530.285894870758,27517421.722412109,10502028.465270996
40,Electric power generation - Fossil fuel,1.1216385364532471,2193660.2592468262,161820.09875774384,0,661642.07458496094,438617.46788024902
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0.64977055788040161,271583.46772193909,37242.203950881958,0,105420.61924934387,43189.171701669693
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
