industrycode,description,employment,output,employeecompensation,proprietorincome,otherpropertytypeincome,taxonproductionandimports,county
1,Oilseed farming,0,0,0,0,0,0,WA_077
2,Grain farming,87.023468,29621858,4695330,9239801,3274341.5,-12354596,WA_077
3,Vegetable and melon farming,355.3739,32609912,13329760,3832184,-973246.69,5622.0527,WA_077
4,Fruit farming,9482.9219,920893760,257926416,152483184,102956008,196374.47,WA_077
5,Tree nut farming,10.441177,410173.09375,388552.38,42204.066,-41672.898,174.39934,WA_077
6,"Greenhouse, nursery, and floriculture production",98.643219,9300724,4693688,662373.19,349710.97,887.49133,WA_077
7,Tobacco farming,0,0,0,0,0,0,WA_077
8,Cotton farming,0,0,0,0,0,0,WA_077
9,Sugarcane and sugar beet farming,0,0,0,0,0,0,WA_077
10,All other crop farming,6775.0093,371786112,199221296,51915196,-14844151,-5846050,WA_077
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",218.6496,157794320,3992129.8,30153744,25721586,7466533.5,WA_077
12,Dairy cattle and milk production,747.95129,434746112,28553362,27052184,24962996,1631617.3,WA_077
13,Poultry and egg production,60.217896,48995088,4705502,437055.16,478113.09,1531138,WA_077
14,"Animal production, except cattle and poultry and eggs",18.406773,6303549.5,904311.94,2717061.5,1976962.3,398454.78,WA_077
15,"Forestry, forest products, and timber tract production",8.6197309,846573.625,661056.81,0,-2402.262,19769.381,WA_077
16,Commercial logging,108.82493,25543700,9253073,12928509,-609607.81,325535.31,WA_077
17,Commercial fishing,0,0,0,0,0,0,WA_077
18,Commercial hunting and trapping,1.1653591,2710120.75,0,2573217.5,0,11792.136,WA_077
19,Support activities for agriculture and forestry,9974.6885,438309472,438244736,5895705,-93770120,12802449,WA_077
20,Oil and gas extraction,0,0,0,0,0,0,WA_077
21,Coal mining,0,0,0,0,0,0,WA_077
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0,WA_077
23,Iron ore mining,0,0,0,0,0,0,WA_077
24,Gold ore mining,0,0,0,0,0,0,WA_077
25,Silver ore mining,0,0,0,0,0,0,WA_077
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0,WA_077
27,Other metal ore mining,0,0,0,0,0,0,WA_077
28,Stone mining and quarrying,42.046276,5613137,275230.81,1192.4534,-7114.7852,331563.31,WA_077
29,Sand and gravel mining,53.926273,6378103,1555283.5,951.12006,-16253.587,356770.41,WA_077
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0,WA_077
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0,WA_077
32,Phosphate rock mining,0,0,0,0,0,0,WA_077
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0,WA_077
34,Other nonmetallic minerals,0,0,0,0,0,0,WA_077
