Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3728501.5158424377,678239775696.63525,187765737578.11636,20478060957.865181,109937882637.97945,21389333642.816257
1,Oilseed farming,2476.399658203125,910439697.265625,3117981.9107055664,259935943.60351563,383806915.28320312,-28014150.619506836
2,Grain farming,12065.37109375,2002198120.1171875,192944366.45507813,238827117.91992188,544902282.71484375,-70065856.93359375
3,Vegetable and melon farming,6306.01171875,546643310.546875,141378585.81542969,29325426.10168457,87047058.10546875,117893.72563362122
4,Fruit farming,2665.3388671875,162187637.32910156,40288166.046142578,10227068.901062012,36199943.542480469,46568.159013986588
5,Tree nut farming,19.145015716552734,585996.50859832764,494213.25325965881,29631.158336997032,19058.920443058014,272.3132201936096
6,"Greenhouse, nursery, and floriculture production",3292.05859375,283116119.38476562,117968879.69970703,13992060.661315918,35796489.715576172,27212.072163820267
7,Tobacco farming,19.804117202758789,1279205.0838470459,557424.60489273071,82453.608512878418,242116.91319942474,-21234.607324004173
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,13531.125,215092529.296875,90109756.469726562,12100726.127624512,28263397.216796875,-8328770.637512207
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",23229.23828125,1780719848.6328125,36190334.320068359,157739822.38769531,352899932.86132812,27367433.547973633
12,Dairy cattle and milk production,15104.58203125,5045535156.25,304220306.39648438,162482620.23925781,340463195.80078125,24276199.340820312
13,Poultry and egg production,907.86090087890625,361007019.04296875,28213596.343994141,2887112.3790740967,9823270.7977294922,4016970.6344604492
14,"Animal production, except cattle and poultry and eggs",4023.823974609375,277522460.9375,40422813.415527344,65395523.071289062,123472503.66210938,14342447.280883789
15,"Forestry, forest products, and timber tract production",277.9774169921875,26005582.809448242,15981990.814208984,2299300.1937866211,2219155.3115844727,82479.842007160187
16,Commercial logging,5184.6533203125,434965301.51367188,54519859.313964844,202275146.484375,-2529540.5387878418,6987473.9646911621
17,Commercial fishing,836.195556640625,5745614.5286560059,1675720.9300994873,-2350962.8772735596,1615981.5788269043,4708879.9476623535
18,Commercial hunting and trapping,361.80862426757812,7373774.528503418,1854511.1417770386,-90505.011379718781,-6516065.1206970215,1655896.1868286133
19,Support activities for agriculture and forestry,10638.27734375,434143066.40625,304399200.43945312,147941268.92089844,-105741035.46142578,7386691.0934448242
20,Oil and gas extraction,284.5347900390625,68443191.528320312,0,3013236.7610931396,0,742015.42139053345
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1582.1231689453125,764354003.90625,89799568.176269531,6487015.2473449707,453830780.02929688,25634433.746337891
29,Sand and gravel mining,3015.092041015625,784317077.63671875,196928543.09082031,12280994.415283203,283389251.70898438,41159793.853759766
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,142.50271606445313,45242748.260498047,12161722.183227539,412839.53189849854,18767534.255981445,2064385.1757049561
35,Drilling oil and gas wells,343.69381713867188,79834663.391113281,262081.0866355896,186589.46454524994,-28912.262991070747,828975.43907165527
36,Support activities for oil and gas operations,515.90899658203125,91050193.786621094,3684304.95262146,285189.50939178467,-319560.76622009277,1037818.3126449585
37,Metal mining services,30.589191436767578,7221603.3935546875,0,323854.2377948761,0,79417.362809181213
38,Other nonmetallic minerals services,64.353050231933594,15797714.233398438,1241018.0568695068,320776.28374099731,-94180.203974246979,147416.04030132294
39,Electric power generation - Hydroelectric,200.1192626953125,98296508.7890625,10172274.589538574,16814311.981201172,17727636.337280273,6968234.5390319824
40,Electric power generation - Fossil fuel,3226.79443359375,4683670410.15625,489124725.34179688,0,1168566650.390625,345954620.36132812
41,Electric power generation - Nuclear,643.8653564453125,626885009.765625,119850303.64990234,0,130935012.81738281,44551017.761230469
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,223.16471862792969,206880599.97558594,2455401.1821746826,45581340.789794922,16377580.642700195,18935337.066650391
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,363.50390625,190650375.36621094,12019468.307495117,50763965.606689453,24766983.032226562,9867418.2891845703
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,4129.134765625,5622263671.875,592058959.9609375,27674505.233764648,1350347900.390625,415165466.30859375
48,Natural gas distribution,1085.96435546875,809391113.28125,103230133.05664063,41535858.154296875,174463256.8359375,41933734.893798828
49,"Water, sewage and other systems",563.59808349609375,208132751.46484375,43708633.422851562,46564140.319824219,45925338.745117188,7440035.343170166
50,Construction of new health care structures,5457.90185546875,813276794.43359375,239459197.99804688,111204109.19189453,123013587.95166016,3588731.5273284912
51,Construction of new manufacturing structures,9828.9228515625,1485328735.3515625,461363891.6015625,174754058.83789063,149015777.58789063,7723443.5081481934
52,Construction of new power and communication structures,12195.0634765625,2184164062.5,536869628.90625,251745910.64453125,493149597.16796875,19899108.88671875
53,Construction of new educational and vocational structures,13942.640625,1864384155.2734375,671693237.3046875,233499084.47265625,253501296.99707031,6927258.9683532715
54,Construction of new highways and streets,11278.9189453125,2240075683.59375,519192687.98828125,216353591.91894531,412606262.20703125,8746811.8667602539
55,"Construction of new commercial structures, including farm structures",21409.201171875,2735910400.390625,905629211.42578125,430453216.55273438,177080566.40625,19598587.036132812
56,Construction of other new nonresidential structures,27488.693359375,2233367431.640625,1190021606.4453125,565942749.0234375,-789727539.0625,11267468.452453613
57,Construction of new single-family residential structures,33353.6484375,4875205566.40625,1413910766.6015625,713634582.51953125,701303283.69140625,70246986.389160156
58,Construction of new multifamily residential structures,10306.7236328125,1137829223.6328125,440850860.59570312,221404739.37988281,219042343.13964844,11509000.778198242
59,Construction of other new residential structures,23292.994140625,4600385253.90625,1015635009.765625,489440185.546875,552531616.2109375,30520311.35559082
60,Maintenance and repair construction of nonresidential structures,15835.4189453125,3164929687.5,687134277.34375,337904144.28710938,303955505.37109375,21321010.589599609
61,Maintenance and repair construction of residential structures,7808.07080078125,1604333496.09375,317603942.87109375,146455032.34863281,183920959.47265625,22724479.675292969
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",5764.72412109375,565147399.90234375,253891113.28125,121011749.26757813,-132765609.74121094,5388242.7215576172
63,Dog and cat food manufacturing,1028.094970703125,1420216430.6640625,74868972.778320312,5246527.1949768066,233623062.13378906,18074266.43371582
64,Other animal food manufacturing,1771.92529296875,1829089965.8203125,120338142.39501953,23225711.822509766,83540840.148925781,22069965.362548828
65,Flour milling,151.41197204589844,176795684.81445313,12141100.883483887,1705957.7703475952,14352501.86920166,697585.46352386475
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,284.80535888671875,452184875.48828125,25845043.182373047,1301597.5952148438,51345867.156982422,2185017.1089172363
68,Wet corn milling,19.206415176391602,35784423.828125,1679153.9192199707,125856.54854774475,2406125.545501709,186604.12728786469
69,Soybean and other oilseed processing,136.0384521484375,631460021.97265625,8835184.0972900391,1272639.5130157471,39339679.718017578,2534460.3061676025
70,Fats and oils refining and blending,13.858436584472656,21926763.534545898,757302.40345001221,425614.50600624084,815260.88714599609,90095.32630443573
71,Breakfast cereal manufacturing,86.585548400878906,72806373.596191406,6066697.1206665039,208509.4153881073,9963763.2369995117,342800.40860176086
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,643.853515625,289595275.87890625,47396415.710449219,6946492.1951293945,25246919.631958008,1100230.8130264282
75,Chocolate and confectionery manufacturing from cacao beans,978.9844970703125,711345031.73828125,79837829.58984375,2495194.673538208,100763977.05078125,3343948.3642578125
76,Confectionery manufacturing from purchased chocolate,1059.3656005859375,390500793.45703125,45559005.737304688,31470775.604248047,22881856.918334961,1574487.6861572266
77,"Frozen fruits, juices and vegetables manufacturing",1429.87451171875,656653930.6640625,83114952.087402344,4219866.2757873535,81514923.095703125,2840089.3211364746
78,Frozen specialties manufacturing,4589.0341796875,1797873291.015625,280516204.83398438,14633513.450622559,168120910.64453125,5924709.7969055176
79,Canned fruits and vegetables manufacturing,4444.14404296875,2323240722.65625,283474212.64648438,41764495.849609375,265120300.29296875,8047126.7700195312
80,Canned specialties,774.17626953125,682365661.62109375,61040489.196777344,1080559.0152740479,100737480.16357422,2215233.5643768311
81,Dehydrated food products manufacturing,220.72369384765625,99377281.188964844,10842901.229858398,3156841.516494751,10666550.636291504,391822.12948799133
82,Cheese manufacturing,15388.3349609375,14077317382.8125,1067544555.6640625,25955566.40625,494969543.45703125,58003738.403320312
83,"Dry, condensed, and evaporated dairy product manufacturing",2833.43310546875,3778267089.84375,198182144.16503906,5154212.474822998,359268463.13476562,15843520.164489746
84,Fluid milk manufacturing,887.85260009765625,652717529.296875,57720661.163330078,4400065.8988952637,43476016.998291016,3175462.7227783203
85,Creamery butter manufacturing,953.89715576171875,1840948852.5390625,79182800.29296875,2294508.4571838379,271254058.83789062,12504375.457763672
86,Ice cream and frozen dessert manufacturing,293.28616333007812,125475967.40722656,14546416.282653809,2591618.537902832,9558390.6173706055,652632.29608535767
87,Frozen cakes and other pastries manufacturing,3159.697265625,262431030.2734375,87227195.739746094,11389186.859130859,17702360.153198242,19626369.476318359
88,Poultry processing,3076.945556640625,997926391.6015625,182035064.69726563,1860192.5373077393,68900711.059570312,3632812.9768371582
89,"Animal, except poultry, slaughtering",4442.8515625,3051586669.921875,240177169.79980469,20385162.353515625,95696792.602539062,15888183.59375
90,Meat processed from carcasses,8939.625,4685601562.5,569476257.32421875,28610456.466674805,43186176.300048828,20580528.259277344
