Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,905081.33328172565,154583903227.74463,42263430516.456253,4226182317.9237542,26744481128.627113,6316045164.0689287
1,Oilseed farming,105.52728271484375,12424216.270446777,26519.801467657089,-483820.91522216797,12655404.090881348,-1149225.4734039307
2,Grain farming,329.20541381835938,20672769.546508789,1241659.6412658691,-1849561.8104934692,13594261.169433594,-1511482.834815979
3,Vegetable and melon farming,247.31504821777344,9862670.8984375,1589838.6240005493,-4516415.5960083008,3794809.8182678223,5490.7063022255898
4,Fruit farming,770.87811279296875,20396654.12902832,3157894.3729400635,-12927018.165588379,11000045.776367188,15991.425141692162
5,Tree nut farming,33.609973907470703,539605.31949996948,283644.52719688416,-363583.56475830078,42405.761778354645,567.74012045934796
6,"Greenhouse, nursery, and floriculture production",712.09893798828125,35086311.340332031,9112120.6283569336,-7837594.9859619141,10719116.2109375,6988.8569414615631
7,Tobacco farming,0.41781875491142273,13301.072642207146,3612.530417740345,-4375.6403028964996,6082.9888097941875,-357.54547570832074
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,8275.9990234375,45005058.288574219,11751321.792602539,-15426096.916198731,14289129.257202148,-4057300.0907897949
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",7214.13916015625,177976989.74609375,2254445.3144073486,-44476070.404052734,85224647.521972656,15758013.725280762
12,Dairy cattle and milk production,125.55263519287109,18204000.473022461,684111.17792129517,-2755653.8581848145,2968077.1827697754,733499.76539611816
13,Poultry and egg production,1721.4180908203125,284279846.19140625,13847384.452819824,-15449616.432189941,18690973.281860352,2632290.1248931885
14,"Animal production, except cattle and poultry and eggs",662.306396484375,17139207.83996582,1471989.5124435425,-4506791.5916442871,17430706.024169922,1923902.6308059692
15,"Forestry, forest products, and timber tract production",99.960792541503906,8802047.7294921875,4188210.4873657227,1987493.8726425171,616119.384765625,60235.131531953812
16,Commercial logging,1861.8692626953125,181147506.71386719,36646869.659423828,89540908.813476562,-11266603.469848633,3844208.7173461914
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,93.553176879882812,1906643.5098648071,173628.18121910095,-96407.629549503326,-5468382.3585510254,653624.71342086792
19,Support activities for agriculture and forestry,1206.3800048828125,20733110.427856445,27409847.259521484,7625858.7837219238,-24617500.305175781,1225113.8687133789
20,Oil and gas extraction,10892.1455078125,4892656738.28125,200520843.50585938,8258821.4874267578,2029124023.4375,178463348.38867188
21,Coal mining,12792.751953125,5623627929.6875,1375069213.8671875,-68455657.958984375,1484822998.046875,488842712.40234375
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,51.82989501953125,18443908.69140625,4254760.7421875,-1489623.0697631836,1470780.611038208,1872315.1683807373
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,35.44329833984375,12038121.223449707,2698672.7714538574,-619958.51993560791,2150880.8135986328,1025991.678237915
28,Stone mining and quarrying,680.209228515625,172327865.60058594,39208961.486816406,-22429906.845092773,60689464.569091797,13772765.159606934
29,Sand and gravel mining,95.728996276855469,20733600.616455078,8446138.3819580078,-1022333.3835601807,3722555.1605224609,1632023.6921310425
30,"Other clay, ceramic, refractory minerals mining",29.828184127807617,6664019.1078186035,2562654.972076416,-798367.32149124146,1212311.9831085205,487602.44250297546
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,20.415964126586914,4297299.861907959,1635504.7225952148,-176588.38629722595,772987.06769943237,369647.97973632812
35,Drilling oil and gas wells,2177.775146484375,779042663.57421875,138699050.90332031,2464411.2586975098,118254577.63671875,21674226.760864258
36,Support activities for oil and gas operations,5182.43359375,1366178344.7265625,294305877.68554688,11633629.79888916,153101150.51269531,39605564.117431641
37,Metal mining services,1170.970703125,521550170.8984375,21557174.682617188,887634.93299484253,218995162.96386719,19100801.467895508
38,Other nonmetallic minerals services,1951.2744140625,748884521.484375,82553001.403808594,1325888.6337280273,211764328.00292969,23202516.555786133
39,Electric power generation - Hydroelectric,74.045387268066406,50686969.757080078,13856404.304504395,0,17623674.392700195,1959396.7199325562
40,Electric power generation - Fossil fuel,2851.34326171875,3747320800.78125,417563323.97460938,0,728063598.6328125,233501586.9140625
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,275.32485961914062,186246582.03125,2164714.5748138428,3293919.563293457,10537584.30480957,17846616.744995117
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,1333.4351806640625,1563483886.71875,160965774.53613281,1010024.1899490356,260694274.90234375,95473274.230957031
48,Natural gas distribution,798.19110107421875,533339294.43359375,80610839.84375,620539.90364074707,99184333.801269531,23472908.020019531
49,"Water, sewage and other systems",644.2186279296875,167027847.29003906,49065574.645996094,1942453.8612365723,36424976.348876953,5874548.4352111816
50,Construction of new health care structures,1597.8570556640625,276196044.921875,90781578.063964844,16588390.350341797,69419563.293457031,1035789.2513275147
51,Construction of new manufacturing structures,2556.4462890625,409902679.44335938,144102645.87402344,26434352.874755859,57669979.095458984,1587836.1463546753
52,Construction of new power and communication structures,5144.0087890625,1262070922.8515625,365074737.54882812,27077419.281005859,427590881.34765625,70079994.201660156
53,Construction of new educational and vocational structures,4013.857666015625,601167114.2578125,225425537.109375,34861995.697021484,137762466.43066406,1954604.0296554565
54,Construction of new highways and streets,3344.758544921875,774619445.80078125,186755676.26953125,32278617.858886719,231802597.04589844,2567066.1926269531
55,"Construction of new commercial structures, including farm structures",6169.44677734375,853547424.31640625,337227996.82617188,64060668.9453125,99084655.76171875,6465106.0104370117
56,Construction of other new nonresidential structures,8015.9140625,732960083.0078125,442902099.609375,87040344.23828125,-166638504.02832031,3436801.9104003906
57,Construction of new single-family residential structures,9697.7958984375,1515278808.59375,538629211.42578125,106919128.41796875,287530975.34179688,7632292.7474975586
58,Construction of new multifamily residential structures,2998.883544921875,382949554.44335938,168161010.7421875,33066699.981689453,108942596.43554688,1486626.3866424561
59,Construction of other new residential structures,6767.947265625,1507709960.9375,381759033.203125,72954849.243164062,314525390.625,8515979.7668457031
60,Maintenance and repair construction of nonresidential structures,4589.3515625,1011675354.0039063,259171936.03515625,50301704.406738281,170543533.32519531,5754524.2309570312
61,Maintenance and repair construction of residential structures,2220.927734375,509668518.06640625,116472007.75146484,21535827.63671875,98846061.706542969,7253179.0733337402
