Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,400044.85333478451,77691446151.375793,18119519741.568714,3497392792.0556307,13834821576.196407,4016044618.5928307
1,Oilseed farming,0.90245801210403442,794364.8099899292,0,-1419.5635449141264,0,-493.40527039021254
2,Grain farming,456.73947143554688,101491989.13574219,11532832.145690918,-416697.74055480957,35116378.784179688,-96911.28134727478
3,Vegetable and melon farming,13.089564323425293,1095977.1871566773,334241.44983291626,-23031.385615468025,221879.92930412293,455.38114500232041
4,Fruit farming,6.1017866134643555,387683.12335014343,113557.51007795334,-11275.491677224636,110010.34080982208,198.32976977340877
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",175.75424194335938,11636960.983276367,5717702.8656005859,-119289.94953632355,1870603.9190292358,2707.4355166405439
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,352.031494140625,38497001.647949219,15875726.699829102,-342248.76761436462,9033782.0053100586,-31906.180083751678
10,All other crop farming,6187.15673828125,171289520.26367188,84616783.142089844,-2694292.5453186035,28615167.617797852,-140472.15878963471
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",5693.5712890625,947016906.73828125,22695194.244384766,-10860240.936279297,238605331.42089844,19594865.798950195
12,Dairy cattle and milk production,66.283912658691406,23179000.854492188,1647991.1804199219,-161016.98577404022,1988493.0849075317,606752.57444381714
13,Poultry and egg production,77.873329162597656,34745170.593261719,3201963.6631011963,-86653.329432010651,1201991.3196563721,186591.19307994843
14,"Animal production, except cattle and poultry and eggs",1516.2900390625,163566192.62695313,28093193.054199219,-2086328.5064697266,92519241.333007812,6913803.5774230957
15,"Forestry, forest products, and timber tract production",56.963176727294922,5115336.8949890137,2827126.7414093018,1012516.7369842529,119697.00455665588,44784.974306821823
16,Commercial logging,367.52066040039062,36731552.124023438,5734143.2571411133,18374858.856201172,-324847.19157218933,633580.92308044434
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,397.76715087890625,27787273.406982422,842567.0862197876,27249200.820922852,-8877629.280090332,2473376.7509460449
19,Support activities for agriculture and forestry,2389.085205078125,48516506.195068359,40835292.816162109,8049267.7688598633,-20218732.833862305,1849476.2182235718
20,Oil and gas extraction,6647.79638671875,3449633544.921875,333753967.28515625,46375530.242919922,905303649.90234375,652848266.6015625
21,Coal mining,4962.2998046875,3359840087.890625,562463867.1875,25881383.895874023,1598163696.2890625,264347869.87304688
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,158.45867919921875,75121879.577636719,17042524.337768555,12718395.233154297,21302568.435668945,4010786.0565185547
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,136.19331359863281,54676090.240478516,3139505.14793396,18646104.81262207,12786911.964416504,3868196.2490081787
29,Sand and gravel mining,312.53518676757812,98371223.449707031,14201727.867126465,34263160.705566406,16470268.249511719,7463942.0509338379
30,"Other clay, ceramic, refractory minerals mining",872.3631591796875,251277359.00878906,43892219.543457031,39217334.747314453,54637184.143066406,19954151.153564453
31,"Potash, soda, and borate mineral mining",1358.4990234375,579721435.546875,196800643.92089844,10337619.781494141,103286857.60498047,47303516.387939453
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,41.526702880859375,17501041.412353516,3328426.1226654053,2804475.5458831787,5624753.475189209,1399948.7161636353
34,Other nonmetallic minerals,28.12818717956543,9672767.6391601562,1843080.8782577515,2488385.4389190674,2292140.7222747803,712835.49070358276
35,Drilling oil and gas wells,2200.10791015625,835897644.04296875,198615707.39746094,3196794.0330505371,62870323.181152344,68158027.648925781
36,Support activities for oil and gas operations,9128.9443359375,2505523193.359375,736238464.35546875,3686329.1263580322,87734642.028808594,149691070.55664063
37,Metal mining services,805.0172119140625,397602294.921875,44625801.086425781,4952895.1644897461,97875297.546386719,70709938.049316406
38,Other nonmetallic minerals services,993.1959228515625,448992584.22851562,54485450.744628906,4938816.0705566406,97804344.177246094,72874847.412109375
39,Electric power generation - Hydroelectric,3.3009600639343262,1460841.8941497803,272713.66119384766,-11808.212846517563,339792.46020317078,91246.865689754486
40,Electric power generation - Fossil fuel,1316.1650390625,1732803100.5859375,194993438.72070313,0,333064178.46679688,111600341.796875
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,5.4583373069763184,1188121.7956542969,189225.4501581192,-24577.606469392776,223762.36319541931,79532.362520694733
43,Electric power generation - Wind,116.43382263183594,114237228.39355469,7309799.1943359375,-142135.81383228302,34858348.846435547,7760264.3966674805
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,792.79534912109375,944973388.671875,99242416.381835938,-70348.352193832397,162467773.4375,61825157.165527344
48,Natural gas distribution,550.29278564453125,330459167.48046875,38103214.263916016,3061028.2421112061,45254749.298095703,16908670.425415039
49,"Water, sewage and other systems",185.45196533203125,29791126.251220703,3969307.1842193604,-324519.24681663513,3087902.7843475342,1836487.1740341187
50,Construction of new health care structures,806.7066650390625,120220695.49560547,32437099.456787109,10764410.018920898,26720613.479614258,634348.33288192749
51,Construction of new manufacturing structures,1297.8770751953125,183807144.16503906,52630428.314208984,16956058.502197266,21777153.015136719,1004893.3029174805
52,Construction of new power and communication structures,3120.00244140625,850859741.2109375,203772338.8671875,39995449.066162109,327279876.70898438,54032024.383544922
53,Construction of new educational and vocational structures,2039.5400390625,268307983.3984375,90548713.684082031,22563270.568847656,51685703.277587891,1294687.6287460327
54,Construction of new highways and streets,1755.6978759765625,368424407.95898438,78357223.510742188,20743465.423583984,98817497.253417969,1896931.6482543945
55,"Construction of new commercial structures, including farm structures",3182.2822265625,387897521.97265625,125900093.07861328,41587059.020996094,38158172.607421875,3415122.0321655273
56,Construction of other new nonresidential structures,4218.6064453125,364786560.05859375,171554611.20605469,55216297.149658203,-57003684.997558594,2285815.954208374
57,Construction of new single-family residential structures,5113.6572265625,688848754.8828125,201716323.85253906,69554244.995117188,111537551.87988281,3070740.9381866455
58,Construction of new multifamily residential structures,1581.5428466796875,164943145.75195313,62982200.622558594,21482997.894287109,42173904.418945312,705935.23979187012
59,Construction of other new residential structures,3554.188232421875,701755004.8828125,143960571.2890625,47356086.730957031,121321876.52587891,5780649.6620178223
60,Maintenance and repair construction of nonresidential structures,2420.498046875,477591766.35742188,97610282.897949219,32747802.734375,66083808.898925781,3779799.9382019043
61,Maintenance and repair construction of residential structures,1145.142578125,237642303.46679688,43948192.596435547,13993564.605712891,38433567.047119141,4339641.5710449219
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",874.31658935546875,86654045.104980469,35659809.112548828,11763221.740722656,-9697209.358215332,755563.08031082153
63,Dog and cat food manufacturing,0,0,0,0,0,0
64,Other animal food manufacturing,42.728290557861328,41373046.875,1866315.484046936,175922.48320579529,604500.65135955811,628154.15859222412
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
