Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,25801.101643979549,3996309089.6244392,1112521870.5844019,121431239.16958575,436465972.06033766,282905822.54207301
1,Oilseed farming,4.6684017181396484,1776038.7659072876,4148.1354273855686,1013624.0720748901,660676.83696746826,-23395.01678943634
2,Grain farming,37.649879455566406,6187852.3826599121,418848.39534759521,1083315.2532577515,2242816.4482116699,-83798.48301410675
3,Vegetable and melon farming,13.266162872314453,1171716.4516448975,186294.10862922669,97464.226186275482,343635.14184951782,437.08403245545924
4,Fruit farming,4.8849349021911621,319905.90691566467,53921.125829219818,20841.4476364851,121597.75197505951,155.28353105764836
5,Tree nut farming,0.050983861088752747,1660.9501326456666,878.82083607837558,91.693567810580134,609.47932070121169,1.3529778470910969
6,"Greenhouse, nursery, and floriculture production",70.7626953125,6230458.2595825195,1673706.5315246582,227997.54142761231,2168938.6367797852,1115.5953397974372
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,456.33355712890625,7979118.3471679688,2575914.1445159912,544692.03948974609,2234535.2172851562,-113999.44126605988
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",77.232040405273438,6263325.2143859863,95976.695418357849,672084.68914031982,1689759.0160369873,217280.76040744782
12,Dairy cattle and milk production,141.17134094238281,45080230.712890625,1998860.9552383423,1758946.418762207,4875731.4682006836,1121783.2565307617
13,Poultry and egg production,5.789121150970459,2382140.8748626709,133576.30372047424,23435.382172465324,139067.23260879517,12787.920422852039
14,"Animal production, except cattle and poultry and eggs",19.066972732543945,1603635.9071731567,141031.57818317413,446633.33892822266,858979.40397262573,85584.379732608795
15,"Forestry, forest products, and timber tract production",1.724733829498291,162220.07572650909,118054.24094200134,0,10062.296874821186,458.21379171684384
16,Commercial logging,13.965579986572266,1411050.2004623413,126741.90104007721,789645.61223983765,6392.5511203706264,20351.924002170563
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,2.0414111614227295,137636.33370399475,0,95823.965966701508,0,11664.840392768383
19,Support activities for agriculture and forestry,16.377773284912109,171824.8575925827,130977.61571407318,-83287.373185157776,-26737.751439213753,27646.366506814957
20,Oil and gas extraction,2.1892769336700439,270673.54321479797,0,180335.19387245178,244.02768758591265,9544.3688333034515
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,46.146709442138672,11919626.235961914,3273168.5638427734,18264.347687363625,2508527.5173187256,618595.60012817383
29,Sand and gravel mining,0,0,0,0,0,0
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,0.68777227401733398,129297.95682430267,0,12078.165076673031,0,5864.4386008381844
36,Support activities for oil and gas operations,0.23537658154964447,32059.144228696823,0,19088.57561647892,15.449486454599537,1854.7106301411986
37,Metal mining services,0.23538385331630707,29836.738482117653,0,19338.734447956085,25.240735340048559,1074.0680154412985
38,Other nonmetallic minerals services,0.23538400232791901,31206.7661434412,0,19306.2424659729,23.238742869580165,1123.0228701606393
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,0,0,0,0,0,0
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,0,0,0,0,0,0
48,Natural gas distribution,175.31773376464844,83498138.427734375,110214.01733160019,12340.141460299492,123726.7404794693,10890057.563781738
49,"Water, sewage and other systems",0,0,0,0,0,0
50,Construction of new health care structures,38.562126159667969,4815835.4759216309,1021751.5230178833,813858.98590087891,548101.24635696411,58078.423142433167
51,Construction of new manufacturing structures,68.169692993164062,8617846.4889526367,1878051.8770217896,1293794.2743301392,548641.32404327393,94637.677073478699
52,Construction of new power and communication structures,84.099609375,12157250.40435791,2163128.137588501,1826992.0349121094,1866949.6774673462,214284.34550762177
53,Construction of new educational and vocational structures,93.647689819335938,11322866.439819336,3560694.4561004639,1707412.4813079834,1255459.7854614258,105958.94604921341
54,Construction of new highways and streets,77.36578369140625,13093640.327453613,2222270.9655761719,1581992.2685623169,1738005.9957504273,121511.35504245758
55,"Construction of new commercial structures, including farm structures",144.96218872070313,15684477.806091309,3405798.1967926025,3138238.4300231934,724360.16798019409,269533.72359275818
56,Construction of other new nonresidential structures,184.16984558105469,14511387.825012207,4557619.0948486328,4103823.184967041,-2742116.6896820068,177979.82692718506
57,Construction of new single-family residential structures,225.16120910644531,27668657.302856445,5086726.6654968262,5183965.2061462402,3216943.7408447266,840851.3069152832
58,Construction of new multifamily residential structures,69.655693054199219,5925978.1837463379,1589187.6220703125,1615707.3974609375,920099.07960891724,145055.66656589508
59,Construction of other new residential structures,157.14738464355469,27043121.337890625,3849355.4592132568,3582079.8873901367,2206865.0722503662,455741.40548706055
60,Maintenance and repair construction of nonresidential structures,107.67848968505859,18801334.381103516,2505637.8841400146,2472060.9188079834,1178686.8572235107,305839.68758583069
61,Maintenance and repair construction of residential structures,55.899383544921875,10235171.318054199,1339067.2206878662,1091093.0633544922,812828.4215927124,308165.07339477539
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",39.568695068359375,3589228.3916473389,941887.61711120605,884629.90522384644,-484457.64183998108,67032.05406665802
63,Dog and cat food manufacturing,0,0,0,0,0,0
64,Other animal food manufacturing,1.4504759311676025,1436937.2129440308,41708.074510097504,3286.2895168364048,15796.799212694168,82847.11092710495
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,186.74636840820313,72883735.656738281,9573162.0788574219,190648.8835811615,692449.03326034546,1835602.4026870728
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,0,0,0,0,0,0
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,0,0,0,0,0,0
79,Canned fruits and vegetables manufacturing,0,0,0,0,0,0
80,Canned specialties,167.62825012207031,139583679.19921875,19245033.264160156,1258894.8011398315,4312819.0040588379,2760483.2649230957
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,72.154037475585938,66639366.149902344,2906362.0567321777,3696345.329284668,182983.41333866119,1566960.4539871216
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,0,0,0,0,0,0
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,30.364395141601562,2594802.1411895752,819777.66752243042,74699.580669403076,124489.4415140152,360317.73686408997
88,Poultry processing,0,0,0,0,0,0
