Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,135946.05720265582,20024889069.440773,7791447244.7264557,778280496.73505485,3987117897.9760442,1021885209.7712889
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,0.040267329663038254,1701.233210042119,185.51664834376425,33.029089536285028,771.29778219386935,-709.54521652311087
3,Vegetable and melon farming,56.344234466552734,1105659.8424911499,310927.71887779236,8087.2466787695885,229873.13568592072,190.61926286667585
4,Fruit farming,72.16131591796875,910228.61003875732,175388.85772228241,9380.9179961681366,322650.40278434753,194.10019740462303
5,Tree nut farming,0.094656169414520264,1513.9931347221136,986.66909616440535,9.6960193332051858,441.55868818052113,0.64372676433777087
6,"Greenhouse, nursery, and floriculture production",52.866275787353516,3055506.9446563721,1060830.3546905518,13544.147834181786,800106.04858398438,291.56182426959276
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,78.674736022949219,164819.16606426239,60759.689658880234,1432.4896037578583,42560.279369354248,-2591.6541926562786
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",45.025577545166016,767746.62733078003,13362.767174839973,9131.6699981689453,268790.06624221802,36328.34181189537
12,Dairy cattle and milk production,47.453327178955078,5403588.7718200684,244156.91196918488,20928.172394633293,736325.26397705078,20279.854536056519
13,Poultry and egg production,0.89793640375137329,233715.31069278717,15442.080795764923,129.76373545825481,11239.757761359215,7303.8022965192795
14,"Animal production, except cattle and poultry and eggs",112.287109375,4051388.7405395508,399854.71963882446,108692.76523590088,3143466.9494628906,256093.05500984192
15,"Forestry, forest products, and timber tract production",123.55234527587891,7586153.9840698242,1196539.5212173462,3712143.6595916748,-4348.1914326548576,271616.54829978943
16,Commercial logging,362.36297607421875,24760162.353515625,4786390.7814025879,7066773.8914489746,-315335.39295196533,1081323.7428665161
17,Commercial fishing,472.71932983398438,15742757.797241211,2776373.1479644775,3445086.0023498535,3544420.7191467285,5874856.9488525391
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,129.12559509277344,7637875.0801086426,2061620.4738616943,4878391.2658691406,-441119.70067024231,166404.78372573853
20,Oil and gas extraction,502.59152221679688,114360015.86914063,0,2895.6995811313391,0,94781.592488288879
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,184.28330993652344,25666656.494140625,1090839.5051956177,1181285.5005264282,-28198.471292853355,1454629.5404434204
29,Sand and gravel mining,120.48073577880859,12059151.649475098,305487.48373985291,942212.34321594238,-3192.5155781209469,802521.76523208618
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,57.491256713867188,13408983.23059082,0,-129.32647950947285,0,263680.45806884766
36,Support activities for oil and gas operations,54.311912536621094,9283140.1824951172,0,309.67735801823437,0,191092.38684177399
37,Metal mining services,54.266742706298828,12325733.184814453,0,310.17055152915418,0,229364.63356018066
