Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2194469.6286098063,559221017758.54834,177621876293.12463,20858771428.240917,138792566488.6134,22255380582.290089
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,21.063169479370117,3400091.8865203857,340942.68083572388,2505091.4287567139,-869416.71371459961,-1418099.9994277954
3,Vegetable and melon farming,845.0113525390625,49132652.282714844,18487661.361694336,11438347.816467285,-5534848.2131958008,8470.6256166100502
4,Fruit farming,376.50604248046875,17881443.023681641,3487479.6867370605,6743875.0267028809,-263084.32221412659,3813.0986504256725
5,Tree nut farming,1.5591663122177124,52185.267210006714,38967.937231063843,11576.948687434197,-1017.7637450397015,22.188378352439031
6,"Greenhouse, nursery, and floriculture production",801.5096435546875,74524261.474609375,28047691.345214844,11741591.453552246,5929571.1517333984,7111.2350560724735
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,1841.6497802734375,20902927.398681641,10838648.796081543,5600324.6307373047,-3153911.5905761719,-328682.39283561707
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",362.91046142578125,33129650.115966797,631592.5121307373,13940731.048583984,-2002872.4670410156,1567633.3904266357
12,Dairy cattle and milk production,237.04502868652344,85723907.470703125,4273793.6973571777,11706804.275512695,-93968.994915485382,321724.77245330811
13,Poultry and egg production,66.123985290527344,44632778.167724609,2527857.3036193848,963012.09926605225,1629361.1526489258,1394812.3455047607
14,"Animal production, except cattle and poultry and eggs",100.86251831054688,14766618.728637695,1730108.7379455566,13483823.776245117,-2166440.486907959,933415.41290283203
15,"Forestry, forest products, and timber tract production",134.60385131835938,25259159.088134766,12440187.454223633,9932103.157043457,-45207.295566797256,306285.35151481628
16,Commercial logging,528.123779296875,121365005.49316406,21591239.929199219,81923858.642578125,-1422466.7549133301,1577531.3377380371
17,Commercial fishing,1587.8109130859375,272072265.625,149805114.74609375,57747840.881347656,38288635.25390625,19618886.947631836
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,824.8475341796875,67816452.026367188,23862651.824951172,41783058.166503906,-5105831.1462402344,1064664.363861084
20,Oil and gas extraction,899.86376953125,205892303.46679688,538889.34850692749,664010.34593582153,-61019.6553170681,169691.3093328476
21,Coal mining,61.492576599121094,18187263.488769531,0,6003865.2420043945,0,919320.22571563721
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,238.84957885742188,80816619.873046875,11217973.709106445,39540386.199951172,-289987.41507530212,1875400.0663757324
29,Sand and gravel mining,716.715576171875,169134246.82617188,46389976.501464844,58935554.504394531,-484801.29241943359,4733409.8815917969
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,45.481632232666016,9043311.1190795898,207317.7844285965,4738850.5935668945,-2172.5657861679792,321614.29524421692
35,Drilling oil and gas wells,88.830413818359375,23276222.229003906,1450758.5763931274,1117822.7663040161,-10671.409778296948,407150.7453918457
36,Support activities for oil and gas operations,111.738037109375,20458517.074584961,400125.02670288086,962706.02941513062,-2153.6317653954029,393049.06129837036
37,Metal mining services,123.98519897460938,30114820.48034668,1741630.0773620606,218779.66821193695,-5254.0050819516182,523358.94107818604
38,Other nonmetallic minerals services,99.020622253417969,22154214.859008789,156085.14845371246,97620.531916618347,-3058.9804518967867,80541.573464870453
39,Electric power generation - Hydroelectric,161.3848876953125,78811569.213867188,5109941.9593811035,247593.93930435181,15240722.65625,20621715.545654297
40,Electric power generation - Fossil fuel,94.260658264160156,195575744.62890625,15804773.330688477,0,64621780.395507812,36860691.070556641
41,Electric power generation - Nuclear,0,0,0,0,0,0
