IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,453335.5601,90134203829,27355334026,3818896926,22890985068,3926484693
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,5.793400288,1313040.853,143082.5144,-42926.17738,145154.1781,-33638.87593
3,Vegetable and melon farming,71.10964203,7208977.222,2108320.236,-1206276.298,466297.9245,1314.883586
4,Fruit farming,4.73145628,350245.0883,98381.87695,-81112.01972,31754.25902,81.75733819
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",198.1768494,17618810.65,8301616.669,-1438120.961,904882.4906,1621.236792
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,292.7439575,7065038.204,3346912.146,-884877.2645,377097.2192,-181796.6253
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",31.75505447,3987999.678,91650.61265,-364159.3158,321033.8652,58019.13142
12,Dairy cattle and milk production,1.513938308,615999.9967,41999.5822,-34073.15165,16884.3139,7367.419545
13,Poultry and egg production,2.098286152,1051240.087,92902.63057,-20876.00157,11619.35832,2673.215466
14,"Animal production, except cattle and poultry and eggs",456.4828796,45865840.91,7554418.087,-4658360.481,8288982.391,1106688.499
15,"Forestry, forest products, and timber tract production",67.16481018,7993506.432,5975093.842,590086.6389,26328.18185,91777.54819
16,Commercial logging,422.1999817,48920673.37,22324708.94,13204252.24,-2680804.014,1926663.041
17,Commercial fishing,8582.167969,1566528809,28134481.43,243193969.7,250804718,178657455.4
18,Commercial hunting and trapping,305.1578979,47140361.79,6793.568376,38142116.55,-50664.92781,5169998.646
19,Support activities for agriculture and forestry,380.9102783,8853954.315,12210072.52,-1786436.796,-5250391.006,810639.441
20,Oil and gas extraction,3226.560059,5771230957,736716125.5,93970306.4,3422960938,784036743.2
21,Coal mining,124.6021118,54628257.75,9388050.079,-413508.5046,21749252.32,1080120.206
22,"Copper, nickel, lead, and zinc mining",621.6901245,1308395508,71984558.11,-1011643.052,897219116.2,23585165.02
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,3440.08252,1334511597,228935684.2,-4195557.594,350032379.2,33001525.88
25,Silver ore mining,455.5090027,267782257.1,60804458.62,-598866.2243,105551902.8,5830536.366
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,163.9393768,30324388.5,2769148.35,-1939338.565,9195873.26,755771.5178
29,Sand and gravel mining,585.3197632,62096027.37,9244750.023,-6805838.585,8741720.2,2274475.098
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,151.4965515,20880249.02,4643265.247,-1679503.679,4708284.378,624910.9507
