IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2681252.847,4.76732E+11,1.23845E+11,14542234381,76781594494,15001849629
1,Oilseed farming,335.8110962,124689918.5,101716.6227,174368484.5,-42834804.53,-13132855.42
2,Grain farming,1123.55603,205401962.3,4763883.591,121253974.9,60006988.53,-18510765.08
3,Vegetable and melon farming,541.2775269,57418273.93,3574054.956,15244220.73,9814899.445,-2378.527541
4,Fruit farming,137.7000885,9957030.296,595279.6936,3107263.803,2385644.197,-300.1999285
5,Tree nut farming,65.50550842,2618967.295,531595.0513,655387.9976,91436.38611,80.63928544
6,"Greenhouse, nursery, and floriculture production",2704.400879,316659637.5,31756090.16,77450569.15,42978794.1,-18280.12802
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,2600.234131,336723999,36358570.1,93592903.14,60591987.61,-4942920.208
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19560.02344,323243682.9,32591777.8,89997612,45594745.64,-34424602.51
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6850.184082,526461975.1,2575108.29,230795623.8,111997581.5,-6595037.46
12,Dairy cattle and milk production,30.55668831,12118000.03,175850.4361,1931281.09,877767.6821,-41373.40561
13,Poultry and egg production,8374.110352,3861229492,72627296.45,152822906.5,112785110.5,-6449648.857
14,"Animal production, except cattle and poultry and eggs",2362.449219,175343063.4,6067166.805,201832336.4,-39424453.74,-1514883.518
15,"Forestry, forest products, and timber tract production",915.4383545,53810886.38,29189043.05,4870751.858,1010460.734,882680.9525
16,Commercial logging,6653.349121,474034240.7,212653060.9,30907842.64,615104.1389,6937079.43
17,Commercial fishing,1196.497925,82927001.95,2430469.513,-1094935.179,41949611.66,5084999.561
18,Commercial hunting and trapping,330.9669189,11046717.64,611122.3698,-29649.92821,3867814.541,1144498.229
19,Support activities for agriculture and forestry,6999.310547,418240020.8,216612884.5,146467437.7,-1131318.092,3552857.161
20,Oil and gas extraction,3775.264404,1092802856,48882122.04,3009767.771,122270195,60348247.53
21,Coal mining,3012.221924,1959258667,334308105.5,-16633480.07,1031385132,58426574.71
22,"Copper, nickel, lead, and zinc mining",28.4418354,28652570.72,703373.5514,-644079.3276,11674821.85,2433412.552
23,Iron ore mining,26.61932945,7479092.121,710503.0417,-762168.6459,701717.9132,489543.1399
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,15.1004324,4585267.544,1413013.577,-794971.6449,1917748.69,139025.8819
27,Other metal ore mining,215.9019318,60919063.57,6012955.666,-3283984.184,13692350.39,3182106.733
28,Stone mining and quarrying,1231.259277,677400878.9,97085670.47,-8433319.092,429345550.5,12626664.16
