IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1653304.687,2.75579E+11,70290926338,8406551865,41459843837,10293360650
1,Oilseed farming,4165.971191,1486570679,2167482.615,850012085,88682876.59,-51072845.46
2,Grain farming,10183.16406,1621008911,66505584.72,387245513.9,62429458.62,-52536010.74
3,Vegetable and melon farming,527.3580322,43357513.43,4774101.257,4658317.089,977028.0123,10782.28094
4,Fruit farming,114.2317657,6612733.364,699340.1051,835100.77,208864.0928,2182.694618
5,Tree nut farming,464.6382141,13402335.17,4812242.508,1357245.684,61684.54513,7227.770053
6,"Greenhouse, nursery, and floriculture production",572.9163208,46253623.96,8205334.663,4578120.708,827588.0218,5179.296713
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,5032.96875,446042999.3,85197258,50171276.09,10580952.64,-2995571.852
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,6615.20752,101565368.7,18115062.71,11443428.99,1888588.309,-3647805.214
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6507.845215,484029968.3,4188098.431,85870185.85,13574405.67,13127886.77
12,Dairy cattle and milk production,39.58319092,12579999.92,322930.6638,811343.4911,120125.7706,213006.3921
13,Poultry and egg production,13021.98633,4938971680,164333831.8,79105918.88,19018207.55,18345214.84
14,"Animal production, except cattle and poultry and eggs",2430.988525,161520370.5,10016207.7,76225723.27,10169322.01,6513866.425
15,"Forestry, forest products, and timber tract production",536.3453369,44646072.39,19248203.28,12498652.46,824549.5558,1611887.217
16,Commercial logging,4373.247559,393213104.2,115161735.5,116084571.8,528855.443,14911848.07
17,Commercial fishing,417.7727356,7973971.844,340824.8127,-1008540.63,2678538.084,5829924.107
18,Commercial hunting and trapping,345.7402954,11930994.03,333826.8399,-79102.38951,2068032.98,3924133.778
19,Support activities for agriculture and forestry,8623.349609,409633728,271794281,63620010.38,-3064924.002,12309435.84
20,Oil and gas extraction,8148.479492,2626002441,56722824.1,171091476.4,503202819.8,42458404.54
21,Coal mining,101.9635773,28613439.56,2020299.435,-480737.9842,2633257.389,5763154.03
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,10.33291149,2924939.871,925018.4894,-112886.2128,530394.9118,275130.7786
27,Other metal ore mining,39.41283798,15834320.07,3402115.822,-55469.76998,3272974.73,1672541.499
28,Stone mining and quarrying,967.0778198,274459137,46523456.57,-2979241.371,86921531.68,28709674.84
29,Sand and gravel mining,1270.982788,217599670.4,55964893.34,-5625952.721,29773237.23,31866981.51
30,"Other clay, ceramic, refractory minerals mining",77.99414063,17293287.28,4667799.95,-277484.6852,2665409.327,1870731.354
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,96.63713837,15517475.13,3426619.053,-465306.1628,1954851.031,2574637.413
35,Drilling oil and gas wells,918.3582153,306346527.1,30554201.13,12731676.1,48108718.87,4968418.598
36,Support activities for oil and gas operations,2313.467529,583004211.4,91210723.88,18018985.75,74983543.4,11519728.66
37,Metal mining services,876.0102539,278602111.8,6098038.673,18388431.55,54308647.16,4544291.973
38,Other nonmetallic minerals services,884.3932495,278325347.9,6239012.718,18377090.45,54191204.07,4607763.767
39,Electric power generation - Hydroelectric,13.44573593,8836628.914,2094477.654,0,2896038.055,714179.3966
40,Electric power generation - Fossil fuel,546.4900513,793430786.1,86240562.44,0,163471176.1,89829917.91
41,Electric power generation - Nuclear,854.7276611,826172851.6,158223800.7,0,137146347,90673675.54
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,50.30749512,28508939.74,6604109.764,-111252.1589,6804463.387,2283456.326
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,4644.564941,5893116699,555535766.6,-745730.3405,1004394409,692846374.5
48,Natural gas distribution,1035.309326,750437194.8,112118850.7,-19231.86518,150281051.6,60736125.95
49,"Water, sewage and other systems",1394.585571,265147216.8,45212341.31,-3440078.735,37543674.47,26243728.64
50,Construction of new health care structures,2622.59668,322568939.2,77353637.7,45942985.53,36537330.63,1277023.792
51,Construction of new manufacturing structures,4490.930176,586054931.6,143479614.3,71744613.65,51929840.09,2503921.986
52,Construction of new power and communication structures,6021.931641,875522766.1,181534927.4,101792800.9,141481948.9,14933964.73
53,Construction of new educational and vocational structures,6605.84375,730540405.3,222308334.4,96099853.52,78572227.48,2494922.638
54,Construction of new highways and streets,5490.202637,920165893.6,173840148.9,88859649.66,126791381.8,3420489.311
55,"Construction of new commercial structures, including farm structures",10417.19629,1125623657,296002929.7,177369598.4,55700317.38,11127977.37
56,Construction of other new nonresidential structures,13401.53906,973853515.6,391930847.2,234723236.1,-270215637.2,5145091.057
57,Construction of new single-family residential structures,16194.9834,1954740356,454805358.9,294568695.1,233673736.6,12185180.66
58,Construction of new multifamily residential structures,4998.959473,422651855.5,141653884.9,91229515.08,68669815.06,2258099.556
59,Construction of other new residential structures,11251.73047,1917112793,326613830.6,201448974.6,164465255.7,11032900.81
60,Maintenance and repair construction of nonresidential structures,7651.250977,1335730591,220520843.5,138955596.9,91759284.97,7721574.783
61,Maintenance and repair construction of residential structures,3670.95166,669158752.4,103129867.6,59305957.79,56477294.92,11301476.48
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",2770.253662,241581008.9,81406959.53,49686340.33,-44096710.21,1950356.841
