IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3819686.091,6.35588E+11,1.8978E+11,23137690734,1.16854E+11,24944287215
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,250.0182495,82123474.12,5552825.451,44170452.12,8177008.629,-8146707.535
3,Vegetable and melon farming,6539.85498,969497497.6,175933258.1,234517334,56482292.18,-136234.194
4,Fruit farming,821.3150024,88713020.32,15462110.52,25223699.57,7244244.576,-8488.179184
5,Tree nut farming,2528.384033,122823631.3,72681335.45,28004219.06,1461506.605,14760.59575
6,"Greenhouse, nursery, and floriculture production",1397.289795,182788299.6,53440792.08,40733657.84,8455510.139,-44810.9135
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,1632.218262,232973999,73338218.69,58999649.05,14288230.9,-6138792.992
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,12901.34082,448147155.8,131731246.9,113682792.7,21544443.13,-44959320.07
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4729.779297,850356933.6,12126065.25,339652618.4,61655639.65,-21649147.03
12,Dairy cattle and milk production,1299.705322,771590026.9,32642936.71,112040290.8,19048688.89,-8342363.358
13,Poultry and egg production,58.28713608,42525596.62,2331926.346,1533509.135,423356.7119,-212831.5419
14,"Animal production, except cattle and poultry and eggs",742.8345947,108852523.8,11009529.11,114460731.5,-19561016.08,-2260808.468
15,"Forestry, forest products, and timber tract production",281.8239136,27274892.81,19157184.6,266343.087,2076412.439,277261.0486
16,Commercial logging,530.1707764,45034706.12,21294511.8,2198001.385,2704294.443,1074470.282
17,Commercial fishing,352.509491,12061171.53,60432.76191,1739606.142,5234186.172,4825434.208
18,Commercial hunting and trapping,434.6903992,55593750,190302.3124,9153254.509,35532478.33,4840598.106
19,Support activities for agriculture and forestry,14585.55957,681293823.2,501506073,55172351.84,-5839807.034,20556411.74
20,Oil and gas extraction,6512.41748,1489114746,4562447.548,3394633.293,-2778167.963,3361505.747
21,Coal mining,293.4433289,119170639,32746105.19,7884916.306,22056760.79,2730546.951
22,"Copper, nickel, lead, and zinc mining",11554.36719,11827189453,1171258179,55621650.7,4244484863,471342376.7
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,260.6127014,118086044.3,13552124.98,40761535.64,6024421.215,2692001.581
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,34.35189056,8324449.539,2072574.139,1140173.078,614134.5501,151493.758
27,Other metal ore mining,135.4607697,46150878.91,2173358.917,16015110.02,1080511.808,959719.6579
28,Stone mining and quarrying,673.0718384,161375610.4,23277179.72,32061634.06,22474512.1,3326533.318
29,Sand and gravel mining,1085.119385,210281936.6,42263721.47,61702922.82,11619371.41,4520933.628
30,"Other clay, ceramic, refractory minerals mining",39.12533951,6652350.426,375748.9026,1811276.793,110880.1812,157044.515
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,309.422821,82342460.63,14716791.15,27503042.22,5895669.46,1827726.483
34,Other nonmetallic minerals,173.4337616,33708209.99,4476867.199,12737154.96,1319856.048,768936.7533
35,Drilling oil and gas wells,755.6295166,205616363.5,15532454.49,14953718.19,-876728.2367,3231483.698
36,Support activities for oil and gas operations,1065.199829,225866684,6761467.457,37682113.65,-615948.4386,3726080.179
37,Metal mining services,1025.986816,252339767.5,16189231.87,4786176.205,-636501.193,3308352.947
38,Other nonmetallic minerals services,952.7580566,268429809.6,54045555.11,3486900.568,-1792331.696,2712572.575
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,1662.800659,2408111572,238376617.4,0,503691833.5,284998718.3
41,Electric power generation - Nuclear,0.493160933,478673.8753,86549.40873,0,83627.32083,54551.43005
42,Electric power generation - Solar,686.159729,256418121.3,53978141.78,12814846.04,78962112.43,20130334.85
43,Electric power generation - Wind,17.52036858,29148569.11,2478930.235,0,14623757.36,2347628.832
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0.591981888,351058.0361,61568.6737,0,112205.7363,25450.37866
46,Electric power generation - All other,4.212860107,739664.9718,703642.1895,0,-539014.0414,74018.40389
47,Electric power transmission and distribution,7847.750488,11156209961,1252836182,16199275.97,2512801025,1222163940
48,Natural gas distribution,1088.71167,810816589.4,118390899.7,177803.7548,176514801,66371025.09
49,"Water, sewage and other systems",2329.388428,631475524.9,153583557.1,25352676.39,140334854.1,45643959.05
50,Construction of new health care structures,6233.011719,948206359.9,275155517.6,81937332.15,197897338.9,9486005.783
51,Construction of new manufacturing structures,10088.5957,1473442017,449007354.7,129893631,169260345.5,14514494.9
52,Construction of new power and communication structures,14378.52441,2749850342,658350036.6,208548461.9,801343200.7,41101856.23
53,Construction of new educational and vocational structures,15690.28711,2089372070,727190368.7,172378799.4,384146148.7,19306667.33
54,Construction of new highways and streets,12781.77344,2661511963,593166626,160095581.1,656007019,24739078.52
55,"Construction of new commercial structures, including farm structures",24803.93555,3102727783,1055815918,317182830.8,291101013.2,44702892.3
56,Construction of other new nonresidential structures,31359.22656,2660756348,1376607422,412783752.4,-589596069.3,28266761.78
57,Construction of new single-family residential structures,38352.15625,5380438477,1646274536,523720581.1,896630981.4,41554763.79
58,Construction of new multifamily residential structures,11914.33887,1290332764,513576782.2,162928283.7,320760192.9,9827252.388
59,Construction of other new residential structures,26869.00781,5405666992,1170733398,360805481,891890808.1,84289337.16
60,Maintenance and repair construction of nonresidential structures,18296.09766,3684085693,795406250,249525207.5,487417968.8,55147121.43
61,Maintenance and repair construction of residential structures,8864.568359,1880418335,369818450.9,111216163.6,291691375.7,47735527.04
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",6614.748535,656192138.7,290519226.1,89637603.76,-99494201.66,11073377.61
63,Dog and cat food manufacturing,278.4066467,389902832,24193161.01,247871.5926,66786010.74,3937645.912
64,Other animal food manufacturing,306.1929016,314339233.4,19451477.05,1413777.113,11944693.57,8516164.78
65,Flour milling,46.99135971,52021450.04,2874458.79,65692.7526,3006108.522,174241.0511
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,8.324101448,11707721.71,268047.9884,58658.69299,471107.3339,51737.78534
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,37.77270126,176098617.6,2956081.867,33391.03982,11644227.98,565928.7572
70,Fats and oils refining and blending,84.44425201,134542495.7,6738749.981,62192.2873,6417792.32,440970.3612
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,25.2074585,24623682.02,1625327.587,125355.7056,2056637.526,90115.72599
74,Nonchocolate confectionery manufacturing,68.31578827,25374683.38,1804966.331,459021.4789,850571.9304,94330.48218
75,Chocolate and confectionery manufacturing from cacao beans,25.8544693,15960824.01,937082.9463,43897.90818,1046293.855,71106.41152
76,Confectionery manufacturing from purchased chocolate,94.4808197,28056171.42,1141648.889,517834.9018,507257.7,113302.9088
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,30.88671875,10704792.98,1068667.293,94627.90191,566611.5284,32154.36637
79,Canned fruits and vegetables manufacturing,429.8206177,197630569.5,15837218.28,1243508.577,13103502.27,626920.0444
80,Canned specialties,202.4005585,162994705.2,10985181.81,264366.5075,16038337.71,466078.5198
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,52.97779465,47598293.3,3221123.457,99085.98661,1321231.484,160887.8821
83,"Dry, condensed, and evaporated dairy product manufacturing",442.5718384,610642334,41779067.99,71057.33454,67002708.44,1989564.657
84,Fluid milk manufacturing,2369.291748,1779325317,192534133.9,133810.8778,128293670.7,6810617.447
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,172.4277191,72963394.17,9408903.122,86127.93684,5469490.051,308462.2324
87,Frozen cakes and other pastries manufacturing,3178.894287,286669250.5,103758239.7,4392843.723,17775093.08,33488704.68
88,Poultry processing,0,0,0,0,0,0
89,"Animal, except poultry, slaughtering",1805.821533,1223169678,94671478.27,696295.619,33295761.11,5433208.942
90,Meat processed from carcasses,147.6428375,78084747.31,8377425.194,581033.349,2093937.397,577929.8544
91,Rendering and meat byproduct processing,173.2826691,65603912.35,11572970.39,485134.5122,1104369.521,527558.5651
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",7729.130859,1059365601,281675323.5,11743487.36,85361839.29,35924240.11
94,Cookie and cracker manufacturing,363.3314819,124352645.9,19354120.25,315249.9795,9011084.557,478731.5428
95,"Dry pasta, mixes, and dough manufacturing",161.602478,86095771.79,6967267.513,243736.4608,9617131.233,363923.5497
96,Tortilla manufacturing,751.0834961,156805770.9,29379917.14,1032041.669,6318120.48,654737.2341
97,Roasted nuts and peanut butter manufacturing,320.9423828,145536071.8,22293912.89,215572.4317,14516322.14,240126.8482
98,Other snack food manufacturing,1467.60376,756525939.9,87752059.94,949471.5929,98667709.35,3429850.101
99,Coffee and tea manufacturing,174.2775421,102303596.5,4098956.108,1287759.185,4104407.787,418420.2254
100,Flavoring syrup and concentrate manufacturing,32.87485123,74818473.82,1052847.981,210477.531,8708439.827,297925.3829
101,"Mayonnaise, dressing, and sauce manufacturing",21.53876686,10353358.27,419583.5292,85610.82929,396848.7084,42816.77678
102,Spice and extract manufacturing,21.11086655,9640900.612,54680.04197,189754.8586,30647.37841,43417.34201
103,All other food manufacturing,3155.661865,1047503296,120818458.6,3633851.29,44368213.65,3503885.269
104,Bottled and canned soft drinks & water,3382.703857,2509794434,239588928.2,277193.4271,257098877,13600084.3
105,Manufactured ice,227.9737701,30306480.41,10772279.74,95198.39287,-6119205.952,173113.7335
106,Breweries,578.6370239,230568893.4,16270681.38,588328.5403,23259305.95,12877350.81
107,Wineries,413.8533936,127430511.5,14344568.25,370190.0244,9798799.515,2476450.443
108,Distilleries,35.29085922,29422761.92,719330.7877,60050.36086,1959806.204,5422436.237
109,Tobacco product manufacturing,45.58053589,107783134.5,1939591.885,9190.713055,20915119.17,22768733.98
110,"Fiber, yarn, and thread mills",51.59488297,21317546.84,3466526.985,41369.53875,4160605.907,200262.934
111,Broadwoven fabric mills,22.11291122,4686700.821,382807.6422,51380.16865,474478.6024,54542.36269
112,Narrow fabric mills and schiffli machine embroidery,7.034110069,997615.4566,112814.568,27473.52235,33916.42123,10387.15057
113,Nonwoven fabric mills,49.11710358,29138910.29,3576550.961,19921.64925,9169175.148,219257.1163
114,Knit fabric mills,35.18143845,8887956.619,1667434.335,79893.90194,1629200.935,78850.78341
115,Textile and fabric finishing mills,77.7046814,22935600.28,4224167.347,175033.4948,3443762.779,183194.6373
