IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,24064565.37,4.80136E+12,1.5392E+12,2.47966E+11,9.857E+11,1.76162E+11
1,Oilseed farming,31.03318977,49151802.06,88888.60047,49275180.82,-203444.1531,-2447839.26
2,Grain farming,1785.745605,969750671.4,49354095.46,406222686.8,330128509.5,-59154235.84
3,Vegetable and melon farming,35362.74219,8124654297,1109743408,1530638672,1618327271,-756585.7768
4,Fruit farming,69070.66406,11739643555,1540113525,2599656006,3277604004,-733103.6329
5,Tree nut farming,125799.1172,9207700195,4101177734,1635054565,374598358.2,754417.3598
6,"Greenhouse, nursery, and floriculture production",15008.35938,2914775635,641425231.9,505882568.4,460990936.3,-494491.905
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,3019.055908,638312011.7,151241973.9,125896751.4,133844299.3,-11548315.05
9,Sugarcane and sugar beet farming,178.8144684,52761001.59,9744927.406,18643787.38,12181498.53,-2529387.236
10,All other crop farming,21983.96289,1330409424,294353973.4,262844543.5,218673324.6,-77902343.75
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9786.039063,3199014648,34336128.23,995152160.6,793019043,-389533935.5
12,Dairy cattle and milk production,6823.075195,6377170898,203070632.9,721199279.8,538272766.1,-48822391.51
13,Poultry and egg production,1444.424805,1681973999,69422477.72,47238357.54,57249427.8,-9036949.158
14,"Animal production, except cattle and poultry and eggs",1443.510376,357002746.6,27462369.92,295426116.9,198680419.9,-232432113.6
15,"Forestry, forest products, and timber tract production",1954.292847,234024002.1,165130966.2,16866109.85,11223719.6,2679763.317
16,Commercial logging,5741.998535,620812927.2,304235290.5,95349853.52,13924990.65,14916572.57
17,Commercial fishing,3722.589844,353046203.6,51539661.41,11039899.83,235235092.2,49333030.7
18,Commercial hunting and trapping,465.3793945,99794624.33,2518408.775,5915015.697,81311164.86,5017428.398
19,Support activities for agriculture and forestry,248952.75,12956175781,9992921875,880763061.5,-130982391.4,337673004.2
20,Oil and gas extraction,27719.67188,11926446289,1020225403,21765943.53,3702686523,879802368.2
21,Coal mining,970.659668,225250183.1,8063792.229,13630198.48,6885519.028,18867347.72
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,217.426651,61595001.22,1818917.871,3508656.74,497202.2176,3990244.389
24,Gold ore mining,1178.283936,388999328.6,59524818.42,21824314.12,33544494.63,25186334.61
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,436.0860596,130188873.3,21922136.31,4621597.767,13816442.49,6377966.404
28,Stone mining and quarrying,1752.772827,452961853,98109107.97,7921833.992,120083824.2,17902006.15
29,Sand and gravel mining,3772.240723,722631408.7,264324798.6,20225774.77,92123001.1,32479213.71
30,"Other clay, ceramic, refractory minerals mining",200.3575897,44249668.12,15134222.98,310680.5682,5661500.931,1649857.044
31,"Potash, soda, and borate mineral mining",642.6436768,196350158.7,71135414.12,904850.6021,11219541.55,8075726.509
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,24.14801216,3384101.629,117935.2701,379125.0288,59893.39948,296395.4806
34,Other nonmetallic minerals,525.105896,100621757.5,36347686.77,2276650.906,13584523.2,4797643.661
35,Drilling oil and gas wells,5288.117676,2008465454,455155670.2,6766883.85,236725875.9,100683769.2
36,Support activities for oil and gas operations,10258.98145,2930104004,726786010.7,15146313.67,310187042.2,160645309.4
37,Metal mining services,2999.143066,1275794678,110967918.4,2374720.335,399608429,94334533.69
38,Other nonmetallic minerals services,3142.507813,1317599487,128256591.8,2661700.01,397999725.3,96108284
39,Electric power generation - Hydroelectric,2054.744629,1429907837,275591796.9,117314682,395220428.5,163166534.4
40,Electric power generation - Fossil fuel,8657.605469,13823101563,1470673950,150074432.4,2891282715,2120468018
41,Electric power generation - Nuclear,2871.563232,3187302490,661041381.8,0,594272522,453320892.3
42,Electric power generation - Solar,1451.804199,656713256.8,111581581.1,140896987.9,151867981,60813987.73
43,Electric power generation - Wind,1419.665527,2073844482,138156616.2,118227592.5,758296936,273319641.1
44,Electric power generation - Geothermal,942.1020508,568437439,112139541.6,30614524.84,119834777.8,63744525.91
45,Electric power generation - Biomass,1290.647339,694572937,55477077.48,134064132.7,94067962.65,79934791.56
46,Electric power generation - All other,1235.94397,288790557.9,147739578.2,82848342.9,-119973526,31190330.51
47,Electric power transmission and distribution,5369.750488,7280696289,718061645.5,160640274,1245613525,946788757.3
48,Natural gas distribution,32290.01367,30434367188,5941517578,56154693.6,8273056641,2836044189
49,"Water, sewage and other systems",7094.510254,2421111328,517883789.1,471986724.9,430857818.6,188532150.3
50,Construction of new health care structures,35181.20313,5947430664,1857427246,708711669.9,1180383179,35006938.93
51,Construction of new manufacturing structures,56410.23047,9176142578,3032688721,1115976807,998181274.4,55057285.31
52,Construction of new power and communication structures,77070.92969,15352932617,4107521973,1596291260,3957480225,114375274.7
53,Construction of new educational and vocational structures,89917.9375,13673331055,5324524414,1487322998,2284046143,71020172.12
54,Construction of new highways and streets,71880.08594,16496017578,4239840820,1375498291,3891734863,85904899.6
55,"Construction of new commercial structures, including farm structures",137909.6094,19527396484,7111239258,2738453857,1731017578,196476516.7
56,Construction of other new nonresidential structures,177601.8594,16410302734,9608114258,3563729492,-4982260254,106703735.4
57,Construction of new single-family residential structures,216404.25,35342621094,11212058594,4604020996,6345104980,360092987.1
58,Construction of new multifamily residential structures,66910.29688,8624953125,3495721680,1414753418,2057873047,65942413.33
59,Construction of other new residential structures,150978.0313,33070046875,8043768555,3108130127,5325449707,309011932.4
60,Maintenance and repair construction of nonresidential structures,102537.3125,22425617188,5409475098,2147905762,2905054932,213209137
