IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3816450.527,6.53193E+11,2.03228E+11,30439193666,1.1343E+11,22922418424
1,Oilseed farming,23.41194916,20963506.7,62907.25619,9696380.615,2885362.387,-367234.2598
2,Grain farming,3645.814453,1061959839,89670082.09,205217910.8,94361419.68,-24008602.14
3,Vegetable and melon farming,2692.108643,321828521.7,72932075.5,27970188.14,16732059.48,43547.00446
4,Fruit farming,537.31604,47847404.48,10414360.05,4887901.306,3486770.63,8121.363819
5,Tree nut farming,2.101250887,79039.27565,58408.58445,6474.810652,839.3073804,25.87458403
6,"Greenhouse, nursery, and floriculture production",3542.289307,351325592,128270568.8,28129201.89,14503086.09,25360.97541
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,234.43927,36158000.95,11080167.77,5894250.87,2178991.318,-659285.8434
10,All other crop farming,11260.10547,375463958.7,137825363.2,34220386.51,16108018.88,-7932936.668
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",18829.23242,3472389648,61835781.1,498315948.5,224677322.4,30115936.28
12,Dairy cattle and milk production,1553.739502,761018981.9,40206001.28,39703224.18,16766145.71,6613807.678
13,Poultry and egg production,268.1547852,164676742.6,11276893.62,2133589.506,1463010.907,298811.2867
14,"Animal production, except cattle and poultry and eggs",2593.147461,349427612.3,44596420.29,133394409.2,50757957.46,5499392.986
15,"Forestry, forest products, and timber tract production",242.2616577,20998239.52,14633134.84,134682.4765,1341681.6,162810.6683
16,Commercial logging,917.019165,53338584.9,17010282.52,2364331.007,1756157.875,1482992.768
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,881.2583618,24350778.58,582469.4037,-144937.4557,3519326.687,5716191.769
19,Support activities for agriculture and forestry,10865.23145,423205993.7,280454315.2,56121723.18,-4576124.191,9339082.718
20,Oil and gas extraction,29980.49805,13140510742,1451134888,3587731201,116638069.2,1169050171
21,Coal mining,1258.475342,687533447.3,140474655.2,-3948627.472,291673553.5,28809110.64
22,"Copper, nickel, lead, and zinc mining",50.23012161,48279201.51,1602662.325,-1901665.092,17903226.85,5093456.745
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,1209.352051,476697113,83509490.97,-7505107.88,114435485.8,30774517.06
25,Silver ore mining,61.26098251,25957113.27,4717717.648,-1125736.117,7339943.409,2088115.692
26,Uranium-radium-vanadium ore mining,91.54814148,9490366.936,4248265.266,-11221267.7,3880449.772,1000585.794
27,Other metal ore mining,792.9940796,389089386,89033706.67,-1863106.608,136448745.7,13720343.59
28,Stone mining and quarrying,1022.804871,206225845.3,29188251.5,-44230354.31,86873031.62,12468097.69
29,Sand and gravel mining,1690.767944,161313690.2,46366729.74,-82246620.18,39295097.35,17393218.99
30,"Other clay, ceramic, refractory minerals mining",35.91087341,5855924.129,1644586.563,-1490504.861,1495994.21,353271.2162
31,"Potash, soda, and borate mineral mining",68.73253632,31525125.5,14789250.37,-1197525.62,5672011.852,1029783.13
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,222.8315125,29314191.82,10935675.62,-12505851.75,9938364.983,2437633.276
35,Drilling oil and gas wells,4062.006592,1675101807,291428161.6,264978027.3,84717025.76,105196861.3
36,Support activities for oil and gas operations,18423.87891,5710805176,1612567749,357837860.1,406402221.7,249865692.1
37,Metal mining services,3405.83667,1482067871,188658035.3,384264495.8,23399877.55,126584304.8
38,Other nonmetallic minerals services,3467.861572,1469191284,172337509.2,385393554.7,19433303.83,127749458.3
39,Electric power generation - Hydroelectric,146.614624,48507240.3,3003091.574,2428529.263,4099357.128,4825120.449
40,Electric power generation - Fossil fuel,790.7520752,984847778.3,84888282.78,4453491.211,158853225.7,79891082.76
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,296.5915833,93268280.03,19841558.46,3474069.118,25705352.78,5114665.508
43,Electric power generation - Wind,550.1016846,532278930.7,28521308.9,6587225.914,149008544.9,43657741.55
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,70.40500641,27066034.32,2436521.292,844756.7821,3932533.979,1794541.955
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,5665.802734,7238092773,811972839.4,1851071,1451652100,530935546.9
48,Natural gas distribution,2010.324341,1316626587,168225830.1,21645565.03,223784362.8,73216201.78
49,"Water, sewage and other systems",980.6135254,230313583.4,54731994.63,6328896.523,45224910.74,11812568.66
50,Construction of new health care structures,7377.376953,1163343262,326227233.9,162673492.4,215419418.3,4841103.554
51,Construction of new manufacturing structures,11880.00586,1814648560,530529846.2,255939346.3,183552887,7651086.33
52,Construction of new power and communication structures,17737.98047,3316033936,840767517.1,343340087.9,814522094.7,33789306.64
53,Construction of new educational and vocational structures,18689.0957,2589674805,879765014.6,341526916.5,421872222.9,9869409.561
54,Construction of new highways and streets,14907.60645,3145123779,673539856,316426452.6,710753662.1,12744786.26
55,"Construction of new commercial structures, including farm structures",29189.85742,3870098633,1266907837,622715087.9,313120697,26950979.23
56,Construction of other new nonresidential structures,37363.23047,3304805908,1641290161,816090637.2,-878279418.9,18707876.21
57,Construction of new single-family residential structures,46218.39063,6847960449,2011731689,1036812378,1022730469,38375637.05
58,Construction of new multifamily residential structures,14347.34766,1655597534,627005188,322920135.5,357082092.3,7509876.728
59,Construction of other new residential structures,32345.69141,6653048828,1428810669,715627685.5,976486877.4,43489753.72
60,Maintenance and repair construction of nonresidential structures,22011.59961,4549274414,970957031.3,493555053.7,533667175.3,28738386.15
61,Maintenance and repair construction of residential structures,10315.79883,2221490723,435649078.4,211639251.7,310053466.8,30664966.58
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",7951.54541,827356201.2,354924621.6,176428894,-148112716.7,6005101.681
63,Dog and cat food manufacturing,790.7905884,1094959839,60103248.6,306206.1369,180383224.5,16988346.1
64,Other animal food manufacturing,814.494873,837763366.7,59464733.12,1326218.367,38762981.41,11975167.27
65,Flour milling,148.178009,174212051.4,13357775.69,92719.79332,15187561.04,834378.3617
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,39.93326569,57417942.05,1675228.357,76300.92651,3201007.128,375435.0543
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,61.77625656,280185485.8,2956277.132,17063.86171,12660321.24,1405749.559
70,Fats and oils refining and blending,46.93089676,72126632.69,2237266.541,18505.916,2316484.451,372323.8707
71,Breakfast cereal manufacturing,162.4886475,130458648.7,9337211.609,73338.15843,14749342.92,786227.6435
