IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2347063.4,4.62425E+11,1.47213E+11,29377570358,87230586865,18004768562
1,Oilseed farming,1.084900141,255422.4133,0,-269.6677984,0,-1593.468711
2,Grain farming,100.5737915,11038825.04,1058211.684,-26776.10703,3395903.349,-61129.81588
3,Vegetable and melon farming,567.9962158,34270961.76,8817196.846,-425480.8426,6168751.24,25324.07828
4,Fruit farming,524.8490601,21921012.88,5416828.156,-376664.2511,5530592.918,21868.404
5,Tree nut farming,0.645313978,23076.66838,19360.52553,0,848.3934798,35.64418512
6,"Greenhouse, nursery, and floriculture production",4657.367188,292785400.4,121360382.1,-1773164.034,41845252.99,91796.20445
7,Tobacco farming,450.3235779,20578548.43,8920421.6,-183537.2001,4402715.683,-50967.51824
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,1753.244141,17900651.93,7460020.542,-166348.1593,2658819.437,-113866.1355
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",375.0147095,18120998.38,366356.4026,-122771.9262,4059373.856,1648380.28
12,Dairy cattle and milk production,318.609375,73016998.29,4379551.411,-299665.1232,5569392.681,3738664.627
13,Poultry and egg production,170.9021912,46096469.88,3583728.79,-67919.38096,1417846.084,524993.5985
14,"Animal production, except cattle and poultry and eggs",695.875061,31166715.62,4515897.274,-234863.4303,15674152.37,4064514.637
15,"Forestry, forest products, and timber tract production",108.1482468,13388260.84,10506309.51,0,772244.8111,0
16,Commercial logging,688.7837524,57027717.59,11587649.35,20931449.89,939753.294,491095.0661
17,Commercial fishing,452.3266296,28338937.76,3960455.179,9823448.181,12541757.58,1539804.578
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,1368.601196,57988468.17,24202939.99,30651876.45,-8479880.333,1301440.358
20,Oil and gas extraction,1462.425903,410924560.5,0,78447372.44,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,364.9238281,90508003.23,5788477.898,-6260812.759,42706436.16,4771954.06
29,Sand and gravel mining,766.2924805,177416366.6,36987209.32,-9377386.093,77702590.94,8423940.659
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,18.10381889,2770133.018,242797.5684,-395710.8259,743247.3302,282660.4545
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,109.6333008,30936614.99,0,5868853.092,0,0
36,Support activities for oil and gas operations,218.9620514,50367160.8,399908.2148,13931735.04,-985712.4686,367287.6954
37,Metal mining services,180.2192535,48417022.71,996561.4676,8783706.665,-1668726.444,134604.9309
38,Other nonmetallic minerals services,167.2255096,44407569.89,810190.9757,8430047.989,-1747274.041,59995.33087
