IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,917017.6195,1.91324E+11,98686044671,9040148369,33414393702,5207139916
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,0,0,0,0,0,0
3,Vegetable and melon farming,0,0,0,0,0,0
4,Fruit farming,0,0,0,0,0,0
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",0,0,0,0,0,0
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,0,0,0,0,0,0
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0,0,0,0,0,0
12,Dairy cattle and milk production,0,0,0,0,0,0
13,Poultry and egg production,0,0,0,0,0,0
14,"Animal production, except cattle and poultry and eggs",0,0,0,0,0,0
15,"Forestry, forest products, and timber tract production",0.682074606,105115.9874,76882.01964,0,14928.36978,0
16,Commercial logging,11.09185028,2691440.344,82539.79683,2213104.01,19351.32593,4811.745137
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,15.32253075,783852.5772,0,516834.4975,0,23086.64471
19,Support activities for agriculture and forestry,44.96841431,667391.5386,147823.9447,-43614.59985,73567.80767,150787.8602
20,Oil and gas extraction,329.5427246,75694267.27,0,773940.3248,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,0,0,0,0,0,0
29,Sand and gravel mining,50.88499451,5731226.921,0,1502610.564,0,0
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,27.05023003,6460337.162,0,275275.6178,0,0
36,Support activities for oil and gas operations,35.42781448,6013408.661,0,82842.03708,0,0
37,Metal mining services,35.42781448,7980041.504,0,83180.93419,0,0
38,Other nonmetallic minerals services,35.42781448,7891057.968,0,83168.54388,0,0
39,Electric power generation - Hydroelectric,13.73422909,7109885.693,666095.0184,784481.2274,1140199.78,1319977.283
40,Electric power generation - Fossil fuel,2.454790115,4145086.288,413282.4242,0,969823.7181,723145.9618
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,154.2879791,45984661.1,2261681.318,11871263.5,3674318.552,7820466.518
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,696.2915649,1105427734,112954155,4015951.633,251836929.3,190766021.7
48,Natural gas distribution,1351.089966,1372464966,250304321.3,5308292.866,416070739.7,143123794.6
49,"Water, sewage and other systems",126.7163696,46240592.96,12942700.39,1205089.092,13157446.86,4434735.298
50,Construction of new health care structures,587.8461304,97267021.18,39369709.01,2421624.66,18169752.12,1115681.887
51,Construction of new manufacturing structures,815.0450439,128143249.5,51719203.95,3834319.353,13903090.48,1264731.407
52,Construction of new power and communication structures,1177.289185,234099456.8,75863372.8,5486038.685,63764499.66,3790614.605
53,Construction of new educational and vocational structures,1551.512939,238652084.4,114539451.6,5217916.965,39063568.12,2073987.007
54,Construction of new highways and streets,1020.899658,226049392.7,65878913.88,4635780.334,57325870.51,166248.7239
55,"Construction of new commercial structures, including farm structures",2176.171875,299726562.5,135972168,9542438.507,27458410.26,4457617.76
56,Construction of other new nonresidential structures,2721.462646,194252609.3,172587554.9,12085492.13,-119533905,4779249.191
57,Construction of new single-family residential structures,3381.598877,550251037.6,210500076.3,15759854.32,112419624.3,11221262.93
58,Construction of new multifamily residential structures,1035.821777,130004226.7,65247085.57,4786984.921,33350940.7,1994572.282
59,Construction of other new residential structures,2381.530029,511444244.4,153931121.8,10446831.7,81731834.41,8475325.584
60,Maintenance and repair construction of nonresidential structures,1566.739258,334784942.6,99604751.59,7196420.67,43185497.28,5262237.072
61,Maintenance and repair construction of residential structures,714.1879883,162383773.8,44912075.04,3133499.622,25296463.01,3644638.777
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",560.4179077,49077957.15,35725513.46,2571571.35,-21025987.63,929231.8225
63,Dog and cat food manufacturing,0,0,0,0,0,0
64,Other animal food manufacturing,21.35789871,22180591.58,1616461.396,-56231.34226,719989.121,856864.9292
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,0,0,0,0,0,0
75,Chocolate and confectionery manufacturing from cacao beans,9.103560448,4394582.748,56955.05068,-590866.3869,38600.20265,8819.734678
76,Confectionery manufacturing from purchased chocolate,4.220264912,1085859.776,80120.18353,-169007.0033,21608.25767,1771.441661
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,0,0,0,0,0,0
79,Canned fruits and vegetables manufacturing,20.31050491,7039691.448,105144.538,-1011471.391,52805.2263,10421.19227
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,0,0,0,0,0,0
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,359.2412415,34147178.65,13291421.89,11668.36731,2404915.333,4058379.173
88,Poultry processing,0,0,0,0,0,0
89,"Animal, except poultry, slaughtering",3.625570536,2542913.198,251397.3117,6055.854727,61719.60756,37195.14981
90,Meat processed from carcasses,3.625570536,1990532.637,251397.3117,6089.838222,69328.21125,31838.72998
91,Rendering and meat byproduct processing,3.625570536,1450114.25,251397.3117,6091.401447,79147.82315,27290.48207
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",613.663269,78667358.4,21174690.25,-2147178.411,4403150.082,4053115.368
94,Cookie and cracker manufacturing,0,0,0,0,0,0
95,"Dry pasta, mixes, and dough manufacturing",0,0,0,0,0,0
96,Tortilla manufacturing,0,0,0,0,0,0
97,Roasted nuts and peanut butter manufacturing,3.144697666,1064541.221,85671.15664,-111162.5433,27285.83291,1880.808035
98,Other snack food manufacturing,0.718169808,377027.3626,83068.1622,0,17121.55342,0
99,Coffee and tea manufacturing,20.88059044,11087056.16,298248.3506,-479896.8434,181274.5929,17487.91523
100,Flavoring syrup and concentrate manufacturing,2.514491558,4960442.066,21143.92072,-111987.4418,106155.3583,8001.383394
101,"Mayonnaise, dressing, and sauce manufacturing",0,0,0,0,0,0
102,Spice and extract manufacturing,0,0,0,0,0,0
103,All other food manufacturing,130.0972748,38232265.47,3685336.113,-2405742.407,821480.8702,50523.69833
104,Bottled and canned soft drinks & water,5.514264107,3820681.81,158339.0534,292390.4359,103134.3192,7804.254536
105,Manufactured ice,0,0,0,0,0,0
106,Breweries,153.9802246,58509311.68,4731093.884,1225310.564,4105199.337,1193965.077
107,Wineries,11.54211807,3296737.671,246814.2658,122271.9327,102338.0905,24089.23954
108,Distilleries,45.94554901,37721565.25,2631460.667,599349.7968,4351741.314,2458909.512
109,Tobacco product manufacturing,15.16071224,41201374.05,2365864.038,37640.19161,15485366.82,2640390.396
110,"Fiber, yarn, and thread mills",0,0,0,0,0,0
111,Broadwoven fabric mills,14.68011093,9034106.255,2599459.648,-17370.77348,3853218.317,126881.6441
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0
113,Nonwoven fabric mills,0,0,0,0,0,0
114,Knit fabric mills,0,0,0,0,0,0
115,Textile and fabric finishing mills,9.112123489,3843264.818,1027842.402,-10765.99024,1002127.886,75688.6676
116,Fabric coating mills,0,0,0,0,0,0
117,Carpet and rug mills,0,0,0,0,0,0
118,Curtain and linen mills,18.26486969,2981546.402,77516.0566,-7050.035056,114611.0296,136012.3605
119,Textile bag and canvas mills,0,0,0,0,0,0
120,"Rope, cordage, twine, tire cord and tire fabric mills",0,0,0,0,0,0
